name,address,latitude,longitude,phone,overview,Total Sites,Overnight Sites,Seasonal Sites,Maximum Amperage,Electrical / Water / Sewer,Electrical / Water,Electrical,No Services,Min / Max (Daily),Max length (of RV),activities,Accessible facilities,Credit/debit cards,Dumping (station or mobile),Group camping,Internet (WiFi at site),Laundromat,Pet-friendly,Planned activities/events,Playground,Pull-thru sites,Rec hall/games room,Restaurant/snack bar,Store,Swimming (outdoor pool),Toilets/showers (comfort station),"Boating (marina, boat launch, or docks)",Cable TV (at site),Controlled access,Hot tub,Internet (hot spot),Propane,Swimming (indoor pool),"Swimming (lake, river, or beach)",Toilets (pit/outhouse)
1000 Islands/Kingston KOA,"2039 Cordukes Rd, Kingston, Ontario, K7L 4V4",44.30151,-76.57545,613-546-6140,"Our big-rig-friendly, level pull-thru, 50-amp sites accommodate every type of RV, or treat yourself to one of our deluxe sites with concrete deck, patio furniture and a wooden swing set. We also have cabins for 4 to 6 people and deluxe cabins with washrooms and kitchens. Whether you are a first-timer or a full-timer, we will be able to accommodate your needs.You can spend your whole stay at the KOA: we have activities for everyone. Have fun in our large heated pool, relax on our sundeck or lounge on your large site. Spend time with the kids looking for treasure in the mining station, riding our pedal carts or participating in our many theme weekends.At the gateway to the 1000 Islands, Kingston, just minutes from the campground, is a city rich in history, culture, critically acclaimed attractions and cuisine. Kingston is the perfect backdrop to your next adventure and offers guests of every age something to do.Your hosts: Patrick and Amanda Wagner. Wir sprechen Deutsch.",117,95,22,50,0,97,0,20,$49 / $222,80 ft,"Activities In or Around the Campground:Casino, Farmers' market/stands, Golf (mini), Movies, Museum/heritage sites, Pedal carts, Restaurants, Shopping",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1000 Islands/Mallorytown KOA Holiday Campground,"1477 County Rd 2, Mallorytown, Ontario, K0E 1R0",44.46956,-75.87978,613-923-5339,"Nous parlons français!  Open Apr 12 – Nov 3. This award-winning KOA is just minutes from Hwy 401 and 1000 Islands Parkway, this KOA has RV Sites with KOA Patio; 85-foot full-service Pull-Thru RV Sites for big rigs; and open, semi-shaded and shaded grassy sites for RVs and tents. Deluxe Cabins, Cabins and RV rentals offer A/C, heating and propane BBQs. Relax in the heated saltwater pool with slide, hydrotherapy jets and a kiddie pool. In high season, order pizza on Friday & Saturday nights or come for breakfast Sundays & long weekend Mondays. Enjoy themed weekends and full-time (in season) events, a Jumping Pillow, an RC track and a frog pond. Visit Boldt Castle (passport required), Aquatarium and Skywood Eco Adventure. Nearby, go zip lining, boating, diving, fishing, golfing, hiking and cycling. Free Wi-Fi. Full-service propane. Our special hot deals include Spring & Fall multi-weekend stays, our own Happy Kamper Klub and more. Book a specific site for reservations of 2 nights or more.",121,105,16,50,40,67,0,14,$45 / $99,85 ft,"Activities In or Around the Campground:Casino, Fishing, Golf, Scuba diving, Walking/hiking trails",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0
Almaguin Campground,"419 Owl Lake Rd, Katrine, Ontario, P0A 1L0",45.57136,-79.32835,705-382-3802,"Family campground on Owl Lake. Swimming pool, sandy beach, full-service campsites, store, cottage rental, boat rentals, playgrounds, rec hall, mini-golf, disc-golf course, beach volleyball, basketball/ball hockey court, badminton court, fishing, hiking trails, firewood. Pets on leash welcome. Your hosts: Willy and Amy Hollett.",105,5,100,30,105,0,0,0,$50 / $70,50 ft,"Activities In or Around the Campground:Basketball, Boat rental (non-motorized), Fishing, Golf (mini), Swimming (lake, river), Table tennis, Volleyball, Walking/hiking trails",1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0
Alpine RV Resort,"46 Alpine St, Lindsay, Ontario, K9V 4R1",44.39709,-78.75377,705-324-6447,"Beautiful, spotless resort on Sturgeon Lake, part of the Trent canal system. Excellent facilities, activities. Heated saltwater pool. Access to ATV trail. Great lake for fishing and watersports.",137,10,127,30,131,0,0,6,$55 / $65,43 ft,"Activities In or Around the Campground:Motorboats allowed, Shuffleboard, Table tennis, Volleyball, Walking/hiking trails, Horseshoes, ATV-friendly, Fishing",1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0
Amazing Rocky Park Campground,"423059 Rocky Saugeen Rd, RR 1, Durham, Ontario, N0G 1R0",44.23216,-80.8259,519-369-6450,"We offer 130 sites to campers, either on a daily or a seasonal basis.A select number of sites are situated along the babbling brook that flows through the property.19 acres of the property have been maintained in their natural state, and have many walking trails to enjoy the unique flora and fauna of the area.We have over 2500 feet of riverfront along the Rocky Saugeen River, and a hydroelectric dam adjacent to the park creates two distinct sections of the river. Upstream of the dam, a wide and deep section is perfect for swimming, diving, boating and fishing. At the dam, the river drops, creating a very dramatic and beautiful waterfall. Downstream of the dam is perfect for nature hikes and fishing.Onsite is a pool, a store, an RV service centre, a rental cabin and a recreation hall.",130,40,90,30,67,58,0,5,$34 / $42,45 ft,"Activities In or Around the Campground:Horseshoes, ATV-friendly, Basketball, Boat rental (non-motorized), Cycling, Shuffleboard, Fishing, Swimming (lake, river)",0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
Arran Lake RV Resort,"53 Conc 12 W, Allenford, Ontario, N0H 1A0",44.51282,-81.26043,519-934-1224,"Welcome to Arran Lake Park, a seasonal vacation park scenically located in the heart of Grey Bruce. Located on the shores of beautiful Arran Lake, our resort offers stunning scenery and excellent fishing. We also feature paddleboat rentals and a number of organized activities, including scavenger hunts, bingo and children’s crafts. High-speed WiFi and trailer rentals are available. Be sure to check our website for a full description of park amenities.",192,22,170,30,153,37,0,2,$35 / $55,50 ft,"Activities In or Around the Campground:Motorboats allowed, Horseshoes, Basketball, Boat rental (non-motorized), Fishing, Swimming (lake, river), Volleyball, Water skiing",0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0
Auburn Riverside Retreat,"38382 Blyth Rd, Auburn, Ontario, N0M 1E0",43.7699,-81.5291,519-526-7238,"This 97 acre family-owned and -operated campground is located on the beautiful Maitland River. Complete with spacious sites, nature trails, a playground, a pool, fishing, elk viewing and WiFi, this is the perfect campground for all types of campers. Whether you prefer rustic sites with hydro and water, no service sites, full-service sites, grass and sunny sites, cabin and cottage rentals, daily rates, weekly rates or seasonal rates, we offer it all. Come camp with us and enjoy tubing or canoeing on Huron County's famous Maitland River, use our shuffleboard, horseshoes, soccer, or join us on a long weekend and participate in our fun-filled activities. The Scott family.",180,80,100,30,100,75,0,5,$35 / $48,40 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Fishing, Shuffleboard, Soccer, Swimming (lake, river), Volleyball, Walking/hiking trails, Wildlife viewing/birding",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1
Bare Oaks Family Naturist Park,"20237 Kennedy Rd, East Gwillimbury, Ontario, L0G 1V0",44.14742,-79.37489,905-473-6060,"Bare Oaks is a year-round naturist park near Toronto in Canada, where the entire family can experience traditional naturist values in a modern setting. Naturism is more than just taking your clothes off. It is a life philosophy with physical, psychological, environmental, social and moral benefits. We try to live a naturist life, and nudity is key to body acceptance and an integral part of our naturist philosophy. As such, we are not clothing-optional. Clothing is worn only for protection. We give visitors a chance to adjust, but everyone is expected to make a decision as to whether they want to be naturists or not.We are nestled among the natural wilderness of the Ontario greenbelt and the Oak Ridges Moraine. Our varied landscape includes open spaces, forests, ponds, streams and a small lake. We also have many recreational facilities. Our clubhouse provides year-round amenities, including saunas and a whirlpool.",124,30,94,50,27,92,0,5,$9 / $225,45 ft,"Activities In or Around the Campground:Day use, Golf (mini), Nude beach, Spa, Swimming (lake, river), Volleyball, Walking/hiking trails, Wildlife viewing/birding",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
Bass Lake Park,"179629 Grey Rd 17, Georgian Bluffs, Ontario, N0H 2T0",44.69773,-81.00829,519-534-0919,"Welcome to Bass Lake Park, a seasonal vacation park on the scenic Bruce Peninsula. Ideally located between Owen Sound and Wiarton, and on the shoreline of Bass Lake, our park mixes natural beauty with a friendly atmosphere to create the kind of vacation experience that brings guests back year after year or entices them to become seasonal campers.There are many beautiful and unique sights to see close to Bass Lake Park for those who enjoy day or overnight trips. Let us tell you all about them, as they are too numerous to list here! Link to the Bruce Trail right at our park. Come and experience the beauty and carefree living of the Bruce Peninsula. There are plenty of organized events at the park for you to enjoy, including dances, music nights, barbecues, bingo and carnival days, as well as swimming, boating and fishing on Bass Lake. Be sure to check the links below for a full description of park amenities.",102,2,100,30,102,0,0,0,$49 / $59,40 ft,"Activities In or Around the Campground:Horseshoes, Fishing, Swimming (lake, river), Walking/hiking trails, Basketball, Boat rental (motorized), Boat rental (non-motorized), Cycling",0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
Batman's Cottages and Campground,"11408 Highway 6, PO Box 102, Sheguiandah, Ontario, P0P 1W0",45.89282,-81.9241,705-368-2180,"Discover family camping at its best on Manitoulin Island. Waterfront cottages, large waterfront or wooded sites. Full hookups, 50/30 amp, sauna, sandy beach, modern washrooms, playground, laundromat. Gift and grocery store. Canoe, kayak and fishing-boat rentals. Free WiFi. Excellent swimming and fishing. Woodalls-rated, CAA/AAA-approved.",142,62,80,50,57,74,0,11,$37 / $50,50 ft,"Activities In or Around the Campground:Badminton, Boat rental (motorized), Boat rental (non-motorized), Fishing, Shuffleboard, Swimming (lake, river), Volleyball, Walking/hiking trails",0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0
