original_name,name,place_id,rating,by
Aaron Provincial Park,Aaron Provincial Park,ChIJj8efqcG7olIRZjK84OhM0rI,4.3,name
Algonquin  Achray Campground,Achray Campground Office,ChIJp8rrkFrr1kwR5YDZ-uzjXag,4.8,name
Algonquin  Backcountry Campground,,,,name
Algonquin  Brent Campground,,ChIJe_jpKmg51kwRJ9AgEKiCrBo,5.0,name
Algonquin  Canisbay Lake Campground,Algonquin  Canisbay Lake Campground Office,ChIJmXvBP1Pn1UwRwDQKqieeOsw,4.5,name
Algonquin  Coon Lake Campground,Algonquin  Coon Lake Campground,ChIJSzQxoEQes1IRJr1ctdAhpt8,4.4,name
Algonquin  Kearney Lake Campground,Kearney Lake Campground,ChIJp824MgnZ1UwRSCx2OBC6fLY,4.4,name
Algonquin  Kiosk Campground,Kiosk Campground,ChIJg4agzTLaKU0R9a0IBzPmQpQ,4.6,name
Algonquin  Lake of Two Rivers Campground,Lake of Two Rivers Campground Office,ChIJc8f6bMPe1UwRZK5S0Oo-6iY,4.4,name
Algonquin  Mew Lake Campground,Mew Lake Campground,ChIJhXOQWuze1UwRo0bBirlE3DE,4.5,name
Algonquin  Pog Lake Campground,Pog Lake Campground,ChIJsy9idgrZ1UwR-qYTmgLsmL0,4.4,name
Algonquin  Rock Lake Campground,Rock Lake Campground,ChIJsVe8TJnQ1UwRdjgqKd5O_EI,4.4,name
Algonquin  Tea Lake Campground,Algonquin  Tea Lake Campground Office,ChIJwV34IOnl1UwRypZHEJU65RE,4.1,name
Algonquin  Whitefish Lake Campground,Algonquin  Whitefish Lake Campground,ChIJLwQOrvpoZlMR104wBfqMhw4,3.8,name
Arrowhead Provincial Park,Arrowhead Provincial Park,ChIJDT0k5TINKk0Rj8AbTHfbzxU,4.6,name
Arrow Lake Provincial Park,,,,name
Awenda Provincial Park,Awenda Provincial Park,ChIJie0i1wYgK00RmAw703ltsMw,4.6,name
Balsam Lake Provincial Park,Balsam Lake Provincial Park,ChIJx0Gakoo51UwRR-3Kzltq1kg,4.4,name
Bass Lake Provincial Park,Bass Lake Provincial Park,ChIJcZSED2KuKk0R0WUrEs3awp0,4.2,name
Batchawana Bay Provincial Park,Batchawana Bay Provincial Park,ChIJKYfbd1nfN00RirYXBLUP1yU,4.7,name
Biscotasi Lake Provincial Park,,,,name
Blue Lake Provincial Park,Blue Lake Provincial Park,ChIJ5-s7N5xmvVIRdkE73nI2FGM,4.7,name
Bon Echo Provincial Park,Bon Echo Provincial Park,ChIJDyJ46POg00wRGy7EmvK-jkI,4.7,name
Bonnechere Provincial Park,Bonnechere Provincial Park,ChIJeUi6FWal1kwRDCq0CvXcJsE,4.6,name
Bronte Creek Provincial Park,Bronte Creek Provincial Park campground,ChIJcXmf_zJnK4gRQB-hmJkBAQM,4.3,name
Caliper Lake Provincial Park,Caliper Lake Provincial Park,ChIJc9_I37tHvFIRT0k-s6ADd5o,4.5,name
Charleston Lake Provincial Park,Charleston Lake Provincial Park,ChIJ1Qy90aJuzUwRYpgzQ-LjCQs,4.5,name
Chutes Provincial Park,Chutes Provincial Park,ChIJhcBXXYvpMU0R7PEcr9N-eFI,4.6,name
Craigleith Provincial Park,Craigleith Provincial Park,ChIJtQSCwL92KogRpF6iYyv5n7M,3.9,name
Darlington Provincial Park,Darlington Provincial Park,ChIJS01V71sC1YkR5GavxBo8-WY,4.1,name
Driftwood Provincial Park,Driftwood Provincial Park,ChIJ_1vaftsB10wRcj3fCbi-Ndo,4.5,name
Earl Rowe Provincial Park,Earl Rowe Provincial Park,ChIJP3EChhXuKogRFOvSHPrNRQQ,4.2,name
Emily Provincial Park,Emily Provincial Park,ChIJZzyPAzuE1YkR9pb2XFdK1tY,4.3,name
Esker Lakes Provincial Park,Esker Lakes Provincial Park,ChIJU4Z7HE70I00Rty7pIpxOpoc,4.4,name
Fairbank Provincial Park,Fairbank Provincial Park,ChIJafCWZYI0Lk0RaAHqp5GkeSk,4.2,name
Ferris Provincial Park,Ferris Provincial Park,ChIJYdgBTqAD1okRm0IdAB7W6bs,4.3,name
Finlayson Point Provincial Park,Finlayson Point Provincial Park,ChIJQ7_jw0cDJk0ReTJRzdfcCt8,4.3,name
Fitzroy Provincial Park,Fitzroy Provincial Park,ChIJ7fZfNynz0UwR63np6uyIZaM,4.4,name
Forks of the Credit Provincial Park,Forks of the Credit Provincial Park,ChIJ4Z9zUwcGK4gRS0yMr4MnUJw,4.5,name
French River Provincial Park,French River Provincial Park,ChIJr_Hvwsm2Lk0RIyPLVZQ6ius,4.7,name
Frontenac Provincial Park,Frontenac Provincial Park,ChIJYUuzvXSX0kwRtcdm43-MrvI,4.7,name
Fushimi Lake Provincial Park,Fushimi Lake Provincial Park,ChIJaXU28ov-P00RprtW-4-3DeY,4.4,name
Grundy Lake Provincial Park,Grundy Lake Provincial Park,ChIJpdwHu7evLk0RN62OG7dc_VY,4.6,name
Halfway Lake Provincial Park,Halfway Lake Provincial Park,ChIJfyM9dJseME0Rs27WBNuSW8w,4.7,name
Inverhuron Provincial Park,Inverhuron Provincial Park,ChIJSQIKjhZMKIgRhZHOhYlTIJg,4.7,name
Ivanhoe Lake Provincial Park,Ivanhoe Lake Provincial Park,ChIJYbgNV8LTO00RN6-lAQ2chSI,4.6,name
John E. Pearce Provincial Park,John E. Pearce Provincial Park,ChIJzcYycexLLogRkxQW5W8WZiA,4.1,name
Kakabeka Falls Provincial Park,Ontario Kakabeka Falls Park,ChIJO8N1a53qWE0R8FUOiUIl5Ug,4.8,name
Kap-Kig-Iwan Provincial Park,Kap-Kig-Iwan Provincial Park,ChIJ0yD-TmMlJE0Rz8j1UJuHd-Q,4.5,name
Kawartha Highlands Provincial Park,Kawartha Highlands Provincial Park,ChIJy5jLORTq1EwRdCxQ3PsNb8w,4.6,name
Kettle Lakes Provincial Park,Kettle Lakes Provincial Park,ChIJ48oaTpBFI00RWpuLYDfxAKs,4.7,name
Killarney Provincial Park,Killarney Provincial Park,ChIJ4Tp56VpsLk0RDhAHnT1UD6s,4.8,name
Killbear Provincial Park,Killbear Provincial Park,ChIJdyQ-nWG9K00RlIRseaHuBUs,4.7,name
Komoka Provincial Park,Komoka Provincial Park,ChIJKxCPOL_7LogR-LdSoSrYK1o,4.1,name
Lady Evelyn-Smoothwater Provincial Park,Lady Evelyn-Smoothwater Provincial Park,ChIJQ9eYHV6YJU0RZn1K8otWd-Q,4.7,name
Lake on the Mountain Provincial Park,Lake on the Mountain Provincial Park,ChIJ2UIV7CvJ14kRYPAtCLI2p04,4.4,name
Lake St. Peter Provincial Park,Lake Saint Peter Provincial Park,ChIJnXJwsWs51EwRU40COk-BTOE,4.1,name
Lake Superior Provincial Park,Lake Superior Provincial Park,ChIJX-wxAjHqR00RWnvJd7xD9oA,4.7,name
