original_name,name,place_id,rating,by
1000 Islands/Kingston KOA,1000 Islands / Kingston KOA Holiday,ChIJV0iPlmqu0kwRtnhyKTBZGiw,4.2,name
1000 Islands/Mallorytown KOA Holiday Campground,1000 Islands / Mallorytown KOA Holiday,ChIJi6IdWPIUzUwRXHs1dr4c9Qc,4.1,name
Almaguin Campground,Almaguin Campgrounds,ChIJw-DHLToYKk0RW80s37RHtXM,4.8,name
Alpine RV Resort,Alpine RV Resort,ChIJ527K5iV81YkR41ZgcEWxSZI,3.2,name
Amazing Rocky Park Campground,Amazing Rocky Park Campground,ChIJ8aQzGMSJKYgR0HB-pTYRSaE,4.3,name
Arran Lake RV Resort,Arran Lake RV Resort & Campground,ChIJ2UkjZ6TEKYgRcKqQlp_b1Zc,3.4,name
Auburn Riverside Retreat,Auburn Riverside Retreat,ChIJezBHtODfKIgREnFPL46g4EU,4.5,name
Bare Oaks Family Naturist Park,Bare Oaks Family Naturist Park,ChIJJSc6-rU01YkRvDjg_-GqA4I,4.7,name
Bass Lake Park,Bass Lake Park,ChIJvVbpKWWOrIkRugH3o7TpTkQ,4.7,name
Batman's Cottages and Campground,Batman's Cottages and Campground,ChIJSeeAB34AMk0RJCDT4AXNGDk,4.4,name
Bay Meadows Park,Bay Meadows Park,ChIJZ_QbR-Oej4ARWTLb5ZDMlwU,4.4,name
Bayfort Camp,Bayfort Camp,ChIJIewsHcvEKk0R1_ZPeMISqKE,4.0,name
Bayview Trailer Park,Bayview Trailer Park,ChIJjUQxbPNQ00wRBcKy-FYjqfI,4.4,name
Bear Ridge Campground & Cottages,Bear Ridge Camp Ground,ChIJazsqsJ1TM4gRJX8afkCxOSM,4.7,name
Bell Haven Park,Bell Haven Park,ChIJI1I3_RfX1EwRQNZ3TzrfLlk,3.8,name
Bensfort Bridge Resort,Bensfort Bridge Resort,ChIJ5aMYAqbs1YkRrRJ8vdI5RXE,4.0,name
Bingemans Camping Resort,Bingemans,ChIJ1V_snq6MK4gRA8suIZwOe_4,4.1,name
Birch Bark Trailer Park,Birchbark Trailer Park,ChIJM-NapQkwL4gRiDQL_dJOPP8,4.2,name
Bissell's Hideaway Water Park & RV Resort,Bissell's Hideaway Resort,ChIJAa_6-whM04kRRnwyHBPlMwo,4.3,name
Blue Sky RV Resorts,Blue Sky RV Resorts,ChIJ9Tqm01ZbKogR_iH90LJ6DS0,4.1,name
Bon Echo Family Campground,Bon Echo Family Campground,ChIJ-1YdC08I00wRzdyDQAg1JUI,4.5,name
Booth Landing Camping & Cottages,Booth Landing Camping & Cottages,ChIJnbkw7MSkKU0RRi4bawVSTzg,4.4,name
Burnt Hills Lakeside Resort,Burnt Hills Lakeside Resort & Camping,ChIJh5RMmu9fzUwRoxdWgCK-HLw,3.8,name
By the Bay Campground & Resort,By the Bay,ChIJ878RPPbFLE0RRVoX8mMPXyI,4.6,phone
Calabogie's Lakeside Camping and RV Resort,Calabogie Camping & R.V. Resort,ChIJBW4D2HPN00wRwN4BWafVh4k,4.0,name
Cameron's Point Family Campground,Cameron's Point Family Campground,ChIJhebxw4EEzEwRTRwzy6-ylv4,3.3,name
Camp Conewango,Camp Conewango,ChIJv8uEm1VKKE0RAmEyEaN3R04,4.4,name
Camp Hither Hills,Camp Hither Hills,ChIJ5XsqttjhzUwR0UMTZadKu5k,3.7,name
Campark Resorts,Campark Resorts,ChIJN5PaKwBF04kRM9BBOXuu9CE,3.9,name
Campers Cove,Campers Cove Campground,ChIJCVTYzv-6OogROLJ-Tpxg-wQ,4.6,phone
Camping Paradis Bourget,Camping Paradis,ChIJOWwtupFkzkwRguXK_wOFupo,4.1,name
Cape Croker Park,Cape Croker Park,ChIJlzFWYqLALE0RWlOpTwAN5XI,4.6,name
Carol's Campsite,Carol Campsite and RV Park,ChIJB2N9t1r-Lk0R0Jw1QoRc18o,3.7,name
Carson's Camp,Carson's Camp,ChIJRUICSDvZKYgRdVjKdBh9AXk,4.6,name
Cedar Beach Resort,Cedar Beach Resort,ChIJp_vlhRcu1YkRhihZAvaJoOI,4.1,name
Cedar Park Resort,Cedar Park Resort,ChIJmfdDIQMG1YkRv_vqt1tf-Ic,4.4,name
Cedar Valley Resort,Cedar Valley Resort,ChIJ-3SginYp-ocRel8sv80yzkg,4.7,name
Cedar Valley Trailer Park,Cedar Valley Trailer Park,ChIJVxgY8lx51YkRG9imfFWL_PA,2.2,name
Cedardale Family Campground & Seasonal Resort,Cedardale Campground,ChIJlZXhXahs1okRJvYQuCuyddM,3.6,phone
Country Gardens RV Park,Country Gardens RV Park,ChIJecMZZOsJLIgRsR4U1d7ImHA,4.6,name
County Shores,County Shores,ChIJmVyZkE_S14kR4NBhIMYwQb8,4.8,name
Covered Bridge Park,Covered Bridge Park,ChIJwWYpKz03xIkRCSrMRW5RzWM,4.7,name
Craigleith RV Resort,Craigleith RV Resort,ChIJEU0sxL90KogRNfD9OuwPZew,4.3,name
Deer Lake RV Resort,Deer Lake RV Resort & Campground,ChIJFdsCswpyKk0RZmdNRVeTCoc,3.8,name
Double M RV Resort & Campground,Double M RV Resort & Campground,ChIJVxgY8lx51YkREKv2A_7VHvc,4.2,name
East Shore Campark,East Shore Campark,ChIJI-NcXGM41okRLd8Hz_hROHU,3.3,name
Emerald Lake Trailer Resort & Water Park,Emerald Lake,ChIJo7QjWbCBK4gRxtpDxp4qlzA,4.2,phone
Family Paradise Campground,Family Paradise Camping Park,ChIJmS1Q0nA7KYgR1l_uz7_UFo4,4.5,name
Fernbrook Resort,Fernbrook Resort,ChIJz5Qr6ed-K4gRK9ifAUGStUM,3.5,name
Fisherman's Cove Tent & Trailer Park,Fisherman's Cove,ChIJA3UUwjpRKIgRW_RLkY2uyHA,4.4,phone
Fisherman's Paradise Resort,Fisherman's Paradise Resort,ChIJpff9GZxT00wRPBGe6kcV5Zo,4.5,name
Glenrock Cottages & Trailer Park,Glenrock Cottages and Trailer Park,ChIJ31DRPDohKU0Rcke9B1L6H7s,4.3,name
Golden Beach Resort,Golden Beach Resort,ChIJQ1HyrSXm1YkRFgqLlQk5_1Y,4.0,phone
