name,author_name,author_url,profile_photo_url,rating,relative_time_description,text,time
1000 Islands/Kingston KOA,Helen Kearney,https://www.google.com/maps/contrib/106326472465568905098/reviews,https://lh6.googleusercontent.com/-EFyPc00j37U/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcY5qqsLi6XGAY19RN8uzPI9iHpH6w/s128-c0x00000000-cc-rp-mo/photo.jpg,4,4 months ago,"Really like this place . Only reason not a 5 is the bathrooms we're just OK, we arrived sat night and they were not great.  Sunday morning was better but not 100 percent.  Apart from that staff were lovely in particular Alix , friendly ,helpful and just wonderful. Grounds fantastic and facilities impressive   will be back!",1535917218
1000 Islands/Kingston KOA,Jessica Wilson,https://www.google.com/maps/contrib/100460707634658157715/reviews,https://lh6.googleusercontent.com/-x7Q9M7xgFnw/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcZIbZUq4b9eeCrESN4KQ8Xswr4kqg/s128-c0x00000000-cc-rp-mo/photo.jpg,5,2 months ago,"My partner and I have rented their deluxe camping cabin two years in a row, we absolutely love it here. It's not along a shoreline, but they have a well maintained inground pool. Small walking trail is very nice and their shop has a little bit of everything.",1541533177
1000 Islands/Kingston KOA,Crysta Nash,https://www.google.com/maps/contrib/108913734735451320455/reviews,https://lh6.googleusercontent.com/-oeYQvMbPN3Q/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcb1brmtGupSlTLjPpj_wUF5qUvDtw/s128-c0x00000000-cc-rp-mo/photo.jpg,5,6 months ago,Patrick and his staff are always welcoming! The campground is very well maintained. Always fun activities for kids. The Sunday morning breakfast is a perfect opportunity to spend with everyone you’re with or even other on the campground! Always look forward to visiting again,1532571379
1000 Islands/Kingston KOA,Richard Burns,https://www.google.com/maps/contrib/112822954571237221562/reviews,https://lh3.googleusercontent.com/-OYvjw5jp3jw/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcZh0wHd2gEjuBH5BQ0tOEj7FySKcw/s128-c0x00000000-cc-rp-mo/photo.jpg,5,2 months ago,Excellent cruise went on the Canadian side very memorable next one will be the American side as u are able to stop to see the sites as canada you just cruise by and see from the boat,1541872826
1000 Islands/Kingston KOA,Caroline Castrucci,https://www.google.com/maps/contrib/116138674275101651033/reviews,https://lh3.googleusercontent.com/-o-aDgZkN84A/AAAAAAAAAAI/AAAAAAAAAWI/CDaOXrgK_hI/s128-c0x00000000-cc-rp-mo/photo.jpg,5,4 months ago,Love staying at this KOA.  The camp sites are very generous and everyone has privacy.  Nice mature trees between each site.  All the staff are very friendly and helpful.,1536677863
1000 Islands/Mallorytown KOA Holiday Campground,Jen Em,https://www.google.com/maps/contrib/113983722611015686453/reviews,https://lh6.googleusercontent.com/-P6DROhNHeUU/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYJMmNCcy8Rsj1AlpUIAq5yfyiyRg/s128-c0x00000000-cc-rp-mo-ba3/photo.jpg,5,4 months ago,"We had sooo much fun here! Staff is so welcoming, we all felt like old friends even though it was our first visit. Tons of activities planned for the whole family all weekend long. The pool with the water slide was a complete hit. The grounds were beautiful and well maintained. We fully plan to make this a regular camping spot.",1536011836
1000 Islands/Mallorytown KOA Holiday Campground,JS Gerv,https://www.google.com/maps/contrib/111867886802916892852/reviews,https://lh3.googleusercontent.com/-0txXl_72D_k/AAAAAAAAAAI/AAAAAAAAAEs/FcLBQ0Ozu7s/s128-c0x00000000-cc-rp-mo-ba4/photo.jpg,5,6 months ago,"Awesome camping and customer service experience!

Despite the rush season and a late late night arrival, Susan (the owner) welcomed us with incredibly open arms and allowed our family to get some rest and enjoy great days of camping.

In the middle of the night, she took the time to explain all the services and activities her campground has to offer for the whole family (including home made pizza delivered to your site!).

We are very grateful and will be back without a doubt.

Thank you!",1532186939
1000 Islands/Mallorytown KOA Holiday Campground,Ron Nasman,https://www.google.com/maps/contrib/108410781843717331404/reviews,https://lh5.googleusercontent.com/-2wPg7nZzcLU/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwca144zYDhqztb6Ra1nA7sWhy8QDrA/s128-c0x00000000-cc-rp-mo-ba3/photo.jpg,5,4 months ago,Pulled in on a early afternoon for an overnight stay.  Asked what to  do and the staff said to go on a boat ride of the 1000 Islands.  It was wonderful.  Came back to campsite and crashed.  Got a nice quiet rest.  Recommend this campsite.,1536714391
1000 Islands/Mallorytown KOA Holiday Campground,steve charette,https://www.google.com/maps/contrib/114712711571248365360/reviews,https://lh5.googleusercontent.com/-51MLQeliH9E/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYVOF2Ejq0wiAUfPLj5Kh9DtHPCkQ/s128-c0x00000000-cc-rp-mo/photo.jpg,5,5 months ago,"Fantastic as always! The site was excellent and the staff extremely helpful!
Noticed one person complain about the
 water(?) It must have been from their own tank. The water here is perfectly fine and fresh. Train horn wasn't an issue, too far away to be bothersome. And who cares? It has nothing to do with the site!! 
Very family oriented!! No drunk loosers ruining your nights! Will be back again! Thanks Sue and Richard!",1534271552
1000 Islands/Mallorytown KOA Holiday Campground,Sean Oakley,https://www.google.com/maps/contrib/107689758184642501487/reviews,https://lh6.googleusercontent.com/-683r6GgpQ78/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcaKevlpkFYqzGROa4rpvQFrtUQipg/s128-c0x00000000-cc-rp-mo-ba3/photo.jpg,4,6 months ago,"Very Nice Place. Incredible things for kids to do, as well as adults. Hot tub, pool, laundry, huge store with everything you forgot to bring. Great Staff, kind, friendly. If you need a cabin, they have those too. Very quiet, away from the Hwy. Treed, scenic, great for walking around and unwinding. My only negative was the rather unlevel tenting sites. $51 a night to pitch a tent with no services should at least give you a level site. Just saying...... Aside from that, 5 stars for sure.",1531437799
