name,user,stars,review
Algonquin  Canisbay Lake Campground,Eric McStravick,5,"We really enjoyed.  Lots of space on sites, not bare like some of the other Algonquin grounds.  We saw lots of wild life, moose near bathrooms, bear on trail, snakes, etc.  Construction was a little bit of a drag but perspective is ..."
Algonquin  Canisbay Lake Campground,Cary and Kim McArthur,5,Great campground for families. Most campsites have decent privacy. Try camping!
Algonquin  Canisbay Lake Campground,Dianne Hanson,4,Great site aside from the mud hole that could have been filled with the gravel that was piled up in the parking spot down the road.  We had a great time and would come back!
Algonquin  Canisbay Lake Campground,Dan Zielnik,5,"July/August and the lake is public swimming pool warm! Amazing water and views, and the hiking trails around Algonquin park are top notch if you just want to get out for some nice views and aren't a hardcore trekker, although they would enjoy it too I'm sure!"
Algonquin  Canisbay Lake Campground,Justin Fraser,5,"Staff are fantastic, site 118 was perfect, beach was well kept. Highly recommend. Beware bears visited us every night even without food around."
Algonquin  Canisbay Lake Campground,Antonio Lomonaco,4,Campsites are very tiny (42) barely any room after parking two cars. Staff was helpful in telling us where not to go due to bears. Love being in Algonquin though.
Algonquin  Canisbay Lake Campground,Joyce Thomson,5,"The folks on the office were wonderful when we needed to switch our site from one we had already booked to a non-reservable one... I was 4th in line at the office before 8:30 on Jul 21st & between the 4 couples who wanted a site, one of ..."
Algonquin  Canisbay Lake Campground,Kevin Fitzpatrick,5,Beautiful campground for car camping in the middle of the Hwy 60 corridor  central for most of the trails that are accessible on the highway.
Algonquin  Canisbay Lake Campground,John Henry,4,"One of favorite campgrounds in Algonquin park. I do have to say it's becoming a bit run down in the restroom and shower facilities. Otherwise it's well maintained. Also the office sells ice and wood but a few other options would be nice, such as fire starters, insect spray and maybe sunscreen incase you forgot it at home."
Algonquin  Canisbay Lake Campground,Shannon Blakely,5,Our absolutely favourite campground in Algonquin! Have been camping here for 28 years ☺️
Algonquin  Canisbay Lake Campground,Luke St. James,5,"We have been coming here for 10 years. Great sites, lovely beach and good facilities. Some of the best bike trails in the park are just next door at Minnesing Trail. The kids still call it Cursing Trail."
Algonquin  Canisbay Lake Campground,Michael Hurst,4,"Easy to find your camp site, nice beach area, friendly staff, clean bathrooms."
Algonquin  Canisbay Lake Campground,Amod K,5,Best place to enjoy fall colors
Algonquin  Canisbay Lake Campground,Sarah Bunting,3,Sites are very close together. We're at site 43 and it is basically on top of the site next to it.
Algonquin  Canisbay Lake Campground,Aaron Aitken,5,An excellent place to bring the family and enjoy nature.
Algonquin  Canisbay Lake Campground,darren Towns,4,Nice campground.  Clean washrooms
Algonquin  Canisbay Lake Campground,Marguerite Bertrand,5,Great campsite. Lots of wildlife!
Algonquin  Canisbay Lake Campground,Lynda,5,"Great campsites available from hydro sites to regular camping. Comfort stations are well maintained and positioned appropriately within each section.
Easy access to the various hiking trails throughout Algonquin Park."
Algonquin  Canisbay Lake Campground,Josh Joseph,5,"This park was amazing!
The site was nice and private. There were lots of different things to do nearby and the staff was really helpful!! Especially Amanda at the Front Office, she seemed like a really hard worker who really enjoyed to do her job!"
Algonquin  Canisbay Lake Campground,Leanne Loewen,5,"This is,  by far,  my favorite of all the hwy 60 campgrounds"
Algonquin  Canisbay Lake Campground,M G,5,Thank you Tyler and the other Cannis Bay staff for your help and assistance. This weekend I had a medical emergency camping. I cut myself badly and needed medical attention. The Park Warden Tyler was there to help within minutes of the ...
Algonquin  Canisbay Lake Campground,Nick Lovalente,1,"This is definitely the worst place I have ever camped. If you're the type of people looking to have any sort of a good time at your campsite, camp private. This place feels like you have to tip toe around constantly. On top of that they ..."
Algonquin  Canisbay Lake Campground,Linda Somerville,5,Beautiful lake to canoe and camp.
Algonquin  Canisbay Lake Campground,Shariq Khan,5,"Lake is beautiful and perfect for swimming and canoeing but there is no campsite facing lake. Do not leave your food items or even recycles outside as this park has some bears. Before planning your visit, buy a bear repellent spray ..."
Algonquin  Canisbay Lake Campground,Jackie Manella,4,"You can get wood, and info, or borrow fishing gear!"
Algonquin  Canisbay Lake Campground,Chris S,4,Excellent lake to swim in and canoe. The lake is very shallow in most spots but very clear.  If you plan on canoeing then you must reserve your canoe ahead of time from the outfitters store in the park.
Algonquin  Canisbay Lake Campground,Dominic Beaudet Poulin,5,Great privacy on #58
Algonquin  Canisbay Lake Campground,Natasha Ronaldson,5,Very friendly and informed
Algonquin  Canisbay Lake Campground,Peter Matwyuk,5,"If you're looking for a more secluded and quiet developed campground then Canisbay is one of the best.  Shalow lake also makes it great for learning how to swim, canoe, and kayak."
Algonquin  Canisbay Lake Campground,dennis cunningham,5,Breath taking place away
