name,user,stars,review
Algonquin  Kiosk Campground,Philip Harmathy,5,"Very nice location for drive in camping. Lake is beautiful and there's a nice beach to go swimming. Most of the sites have a nice view of the lake, and the stars are beautiful at night on a clear day. Not sure how this campground is managed though as I was unable to find the camp host or anyone in charge of the place."
Algonquin  Kiosk Campground,Dave B,5,Beautiful campsite. So nice we went back after staying (at the same site) 4 years ago! The lake is great and you can rent a canoe from the Algonquin shop and they drop it off the next day
Algonquin  Kiosk Campground,Dom Bert,5,"Clean and peacefull camp site with flush toilets at some spots. There is no cell phone reception but they have a wired phone at the front desk. 
There is a canoe rental shop nearby which can deliver canoes and gear directly to the ..."
Algonquin  Kiosk Campground,Jeff,5,Great entry point for a canoe trip in beautiful Algonquin Park. Located between the cities of Mattawa and North Bay. Very convenient entry point for people from outside the region.  There is also an reputable outfitter located nearby. Love it and will go back!
Algonquin  Kiosk Campground,Sanjeewa Abeykoon,4,More closer to wilderness. Excellent for canoeing and it is very well connected to isolated lakes inside the park. Don't canoe late in the evening as you might get lost or get trapped to wind. four stars is due to lack of  comfort station but this is very closer to back country camping experience
Algonquin  Kiosk Campground,Igabod Clarke,4,"Nice place to camp and kayak around, but be ready for BUGS!!!"
Algonquin  Kiosk Campground,Nicholas Liberty,1,"junior staff do more swimming then working, they should try and fit the part of an authority rather then trying to enforce rules while they appear to be on vacation"
Algonquin  Kiosk Campground,Sean Davidson,5,Beautiful area with spacious lake side camp sites.
Algonquin  Kiosk Campground,Courtney Wattie,5,Beautiful and Peaceful. Will definitely return
Algonquin  Kiosk Campground,Fiona Begg,5,one of algonquins best campgrounds super quite and small very private and amazing views all around
Algonquin  Kiosk Campground,Sh4rkkyy,5,We arrived here on Thursday July 19 from the GTA. It is a 4-5 hour drive depending on your stops and traffic and whatnot. We decided to go to North Algonquin because we heard it's alot less busy there and it was true. It was fairly ...
Algonquin  Kiosk Campground,Matt Kerry,5,"Loved camping here, I would recommend this site to everyone."
Algonquin  Kiosk Campground,Mason Evans,5,Airways an amazing experience!
Algonquin  Kiosk Campground,Michael Pitura,3,"Lots of deer flies, mosquitos black flies and horse flies. Park not patrolled after 11pm so nobody checking on noisy neighbours or people setting off fireworks."
Algonquin  Kiosk Campground,Scott Langille,5,"Remote, quite, and extremely well kept."
Algonquin  Kiosk Campground,Kevin,5,Great access point. Awesome car camping as well.
Algonquin  Kiosk Campground,Sean Murphy,5,Great campground!
Algonquin  Kiosk Campground,Sajad Karimi,5,"Friendly Staff, Quiet Place and Intact Comparing to Central Algonquin (Hyw 60). and it has Beautiful Fall. Best Place to Go."
Algonquin  Kiosk Campground,Rafael Jimeno,4,No showers :(
Algonquin  Kiosk Campground,Maggie Dalton,5,Beautiful!!
Algonquin  Kiosk Campground,Benjamin Vanderloo,3,Limited hiking within the park.  I recommend going to the gorge for a hiking to see a great waterfall.
Algonquin  Kiosk Campground,Shath Tharmaratnam,5,Great quiet place. Canoe rentals are easy to rent. There's no cellphone reception but the payphones costs as much as $14 per call to the GTA.
Algonquin  Kiosk Campground,Gary Kowal,5,A little too quiet for my liking. But a great place to take your family.
Algonquin  Kiosk Campground,Paul Pickett,5,"Beautiful, close knit, campground. Sure to enjoy waking up on the lake with some campsites. "
Algonquin  Kiosk Campground,Jason Edgar,5,"Get outside and enjoy life. Kiosk beings you back to nature. Great lakes, trees, nature :-D"
Algonquin  Kiosk Campground,Maxime Boulanger,5,Friendly staff and a lication if the algonquin oark that isnt busy
Algonquin  Kiosk Campground,zaraab Khan,5,One of the best place to camp in Algonquin.
Algonquin  Kiosk Campground,Hannah DeGeer,5,More remote than other Algonquin access points with waterfront campsites for car camping and  decent access point for canoe tripping. 
Algonquin  Kiosk Campground,Hussein Yusufali,5,i love the site because its nice and quite. Northern part of the park. 
Algonquin  Kiosk Campground,diesel Syndrome,5,Great camping here.
Algonquin  Kiosk Campground,Emese Somogyvari,5,Great camping!
Algonquin  Kiosk Campground,Anthony McDonald,5,Beautiful
Algonquin  Kiosk Campground,Greg Van Alstyne,5,Breathtaking
Algonquin  Kiosk Campground,Huneault Yvon,5,(Translated by Google) I grew up kiosk for the first 12 years of my life. This was the place where I was happiest. Better place to live and raise a family. Best friends. I'm going down next summer for August 2019. Hope to meet friends ...
