name,user,stars,review
Algonquin  Lake of Two Rivers Campground,Edgar D'Costa,5,"Fantastic place to camp. Very clean campsites and bathrooms.  Would definitely visit annually.  Camp staff are very polite. I called them to fix my electrical problem at the site and they were there within minutes.  Thank you for making my camping trip, one to remember."
Algonquin  Lake of Two Rivers Campground,Carey Haight,5,Fantastic campground I been going since I can remember.  Nice size lots for trailers. Clean bathrooms can be very busy some families hog the showers . Beautiful beach walking trails and the store all within walking distance. Plus wild ...
Algonquin  Lake of Two Rivers Campground,poppazon global,5,An awesome place on this beautiful earth of ours - come and experience this most wonderful place for yourselves
Algonquin  Lake of Two Rivers Campground,nitin khandelwal,4,Its a awesome place for camping. We all loved it. The first sign post to the entrance was of a bear scare. That was sufficient to excite us. Overall the place is great with nice Beach.
Algonquin  Lake of Two Rivers Campground,Lauren Avery,5,"Lake of Two Rivers is a beautiful campground! My family and I went twice this year – once in June and another in September. The campground has such a unique feel as it is mainly filled with giant, towering pine trees. The campsites, for ..."
Algonquin  Lake of Two Rivers Campground,Peter Thompson,4,"Beautiful campgrounds adjoining a great lake. Situated just off Highway 60 so there is a decent chance to have a moose sighting. Often the sounds of loons, wolves and other creatures at night. There is also the sounds of the highway ..."
Algonquin  Lake of Two Rivers Campground,Valerie Fox,1,"Our stay here sucked as there was a fire ban on the day we stay there. 
We were unable to cook any food or have a campfire at night. So we just set up our tent and starved.
Spent the night and left first thing in the morning.
 Otherwise ..."
Algonquin  Lake of Two Rivers Campground,Dean Potter,5,"This campgroumd is very nice. Store close buy, sells coffee and breakfast. Has some awesome lots. Bathrooms always seem to be clean. Showers are used alot so floor is always wet. Makes getting dressed tricky."
Algonquin  Lake of Two Rivers Campground,Gary Burandt,5,"Awesome variety of activities to do such as paddling, biking(family & MTB), hiking. Very nice lake. 
Not enough washrooms in campground, but showers are good. Poor privacy on most sites.
Store, restaurant and bike rental shop are convenient."
Algonquin  Lake of Two Rivers Campground,Chelsea Bilton,4,"Nice campground, but very crowded. We stayed at site 18, which was closer to the beach and quite large! Camp staff were nice, and warned us of a bear in the area. washroom was well cleaned. The beach was closed due to algae, so we didn't get to swim, or dog did enjoy the dog beach."
Algonquin  Lake of Two Rivers Campground,Ad 31,2,Nice camping with an appreciable beach but toilets are never cleaned. Also not operating!! As it is already small capacity if you had toilets blocked it becomes complicated. Also no trash available in the park except at the entrance ...
Algonquin  Lake of Two Rivers Campground,Haresh Oad,5,Wonderful beach with both electric and non electric camp sights. The beach is smooth sandy and clean. Canoe’ can be rented through portage canoeing company for on site delivery
Algonquin  Lake of Two Rivers Campground,Jobie68,4,Easy campground for tent trailer setup and close access to all the trails. Always a bear problem at these sites so pack carefully and keep food locked in your car. Pretty nice beach here and bike trails along old railway bed.
Algonquin  Lake of Two Rivers Campground,George Gomes,4,Beautiful clean park with nice beach. My two sons learned how to kayak and loved the experience. Would love to back soon.
Algonquin  Lake of Two Rivers Campground,Juan Navarrete,5,"Amazing place. Nature, great landscapes and clear sky at night. This is a place to relax, have some fun and enjoy Canadian nature. You will find lots of activities to do depending the plan and everything at the park seems to be taken care of."
Algonquin  Lake of Two Rivers Campground,Narges Zare,5,Great spot. Large camp sites and the park is amazing specially during fall time.
Algonquin  Lake of Two Rivers Campground,Maria Zwarycz-Calberry,4,"It was really nice and peaceful during the week, however Friday night became loud. Even though Park staff drive through nothing is enforced.  Another dumping stationed is needed in this park. 
Such a beautiful park with so much to do. Caters to the needs of different campers."
Algonquin  Lake of Two Rivers Campground,Steven's Motors,5,Nice sites. Great place to bike and swim. Perfect for the whole family.
Algonquin  Lake of Two Rivers Campground,Justin O'Brien,4,Great campground with acces to a beach. Even a small dog beach.
Algonquin  Lake of Two Rivers Campground,Viv Beaudoin,4,It's a big campground.  Some lots are big others are average.  Beach is nice.  Area us great.
Algonquin  Lake of Two Rivers Campground,John Recchia,4,"Biggest Dear Flies I've ever seen, pretty sure they had teeth. Really didn't like the fact that water fill and tank emptying was off site. Otherwise a clean campground with helpful friendly staff."
Algonquin  Lake of Two Rivers Campground,Dave Helm,5,"Great place. Lots to explore in the area. Just be mindful of the bears. 
Its there place and we are the visitors."
Algonquin  Lake of Two Rivers Campground,Stephen McKean,1,"Be prepared to shell out the big bucks for permits in this place.  Wardens adorned in ""bulletproof "" vests play tough especially with unsuspecting visitors."
Algonquin  Lake of Two Rivers Campground,Ken Senter,3,Mew Lake Yurt # 39 is fabulous
Algonquin  Lake of Two Rivers Campground,Algonquin Voyageur,2,Sites quite open. Camp alot in Algonquin and only here once. Kids didn't like it which was enough for me.
Algonquin  Lake of Two Rivers Campground,Margmark Margmark,3,"Lake of Two Rivers Store, great icecream & restaurant too.  Lots of choice and most necessary items in the store."
Algonquin  Lake of Two Rivers Campground,Jana Forgrave,2,I love it here....but been waiting since end of May for a refund....office is very hard to get a hold of.
Algonquin  Lake of Two Rivers Campground,Jiyong Kim,3,The land was not a good place in the rain for me. Mobile signal is good. 118 is just behind the store.
Algonquin  Lake of Two Rivers Campground,vizzi,5,Beautiful  place to visit....  Tracking  is awesome as well take water and some food for tracking 🤗
Algonquin  Lake of Two Rivers Campground,Ana Ferreira,5,"This is an amazing campground in the heart of the Algonquin Park! Staff is great, campsites are big and washrooms are clean.    The store's got everything you might need in case you've forgotten something at home. Beautiful hiking trails! The lake is great for canoeing!"
Algonquin  Lake of Two Rivers Campground,Dave Miller,5,"Very nice campground lost of nice sites. Although I will say not alot of privacy in any of them almost like Walmart parking with trees and a fire pit. 
It is all right but if you are looking for a place to get away it's not here."
Algonquin  Lake of Two Rivers Campground,akmeet kaur,5,"Can definitely go again n again . It was a perfect beach campground , didnt expect it to be great but love it."
Algonquin  Lake of Two Rivers Campground,Rose Kirby,5,One word: awesome. Going again as soon as I can. You see BEARS!
Algonquin  Lake of Two Rivers Campground,Brad MacDonald,4,Nice campground. Not too much privacy. Go slow if you have a larger travel trailer of 5th wheel. It is very tight in some areas!
Algonquin  Lake of Two Rivers Campground,Robert Charlebois,5,Great beach. Great swimming. Families having fun
Algonquin  Lake of Two Rivers Campground,"Jeff W. Sauve, csp.",5,Love Algonquin Park. Perfect for the beginner or avid camper. Activities for all ages and skill levels.
Algonquin  Lake of Two Rivers Campground,Scott Sharron,4,"Sites have limited privacy, but the lake is beautiful and plenty to do nearby."
Algonquin  Lake of Two Rivers Campground,Cathy Miles,3,"Bear encounter on site: Lake of Two Rivers has been the go-to campground for my family. Its mid-point location in the park, direct access to Hwy 60, close proximity to the store, beautiful lake for swimming/canoeing and tall tree canopy ..."
Algonquin  Lake of Two Rivers Campground,Andree-Ann Saulnier,2,"Very busy campground with low privacy and few busses of schools kids while we were there .. so not very relaxing.  The campsite are more expensive than others campgrounds in the area and the less quality.  Also while we were there, there ..."
