name,user,stars,review
Algonquin  Mew Lake Campground,Darius Campeau,0,Love this place for winter camping. Their host system is great and can be a life saver. The staff are all very friend and easy to talk to. Lots to see and do here. The hockey rink makes for fun day time game. There is a fair amount of ...
Algonquin  Mew Lake Campground,Marco Tochijara,0,"Went Dec 18-21 and the park was beautiful. Went with a bunch of friends to hike and photo shoot and we were more than impressed with the trails. There was a good number of them too. A few paths were closed but we still had a great time.
Bonus: wildlife are not afraid to interact with you."
Algonquin  Mew Lake Campground,Joanna Bellingshausen,0,We love Mew Lake in the winter.  Thank you to Harvey Cornell for always going that extra mile to make the park such a wonderful place to be.  And thanks for always making that rink so amazing for the Hockey players and skaters.
Algonquin  Mew Lake Campground,Snowy Owl Travel & Entertainment Group Toronto,0,"Mew Lake campground is located in the middle of Highway Corridor 60 in Algonquin Park, just before the Lake of Two Rivers Store. The campground is relatively small and beautiful. Some of the campsites have a very beautiful waterfront ..."
Algonquin  Mew Lake Campground,TripAdvisor Reviewer,0,I went to the skating rink on a Sunday afternoon and nobody was there. The skating rink was in perfect condition and there was also a little fire going with a warm up tent. I didn't stay overnight but I did see a few people that had ...
Algonquin  Mew Lake Campground,Jayne Zavitski,0,"Great in all seasons, winter time is a must to experience the ice rink alongside the fire pit. Bring hot dogs and marshmallows for roasting along with skates."
Algonquin  Mew Lake Campground,Robert Snider,0,"Awesome place! The campground is well maintained and clean. Flush toilets and showers make it an easy sell for those not really into the back country style camping. 
The beach was a nice soft sand bottom with nice clear water. For the ..."
Algonquin  Mew Lake Campground,Deborah Patrick,0,"Mew Lake Campground was reasonably priced and had beautiful pine trees, lakes and scenery.  The amenities were good for being in the wilderness.  Our cell phones and data worked, had satellite TV to get FOX news and had electric. ..."
Algonquin  Mew Lake Campground,Julie O,0,There has a lovely skating link. A delightful and well-managed clean campground is made us feel happy
Algonquin  Mew Lake Campground,Liam McCann,0,"Great Facility! This would be a great way to introduce someone to Algonquin camping! You can rough it if you like but there are amenities (showers, toilets and fresh water) to make it easy."
Algonquin  Mew Lake Campground,Norman Wise,0,Good average campground in the park. One of the best campgrounds if you are pulling a large trailer and need a larger site.
Algonquin  Mew Lake Campground,Momo C,0,We have been trying out different camp ground in Algonquin Provincial Park this past 5 years and we liked Mew Lake Campground the best so far. It located about the middle of highway 60 corridor so is easy to access to both east and west ...
Algonquin  Mew Lake Campground,Tommy Gunn,0,Great camp ground. Got a site by the lake with plenty of room enough for 2-3 families. Beautiful during the Fall season.
Algonquin  Mew Lake Campground,Yvonne Taylor,0,Just peaceful beautiful place always happy to go back there
Algonquin  Mew Lake Campground,Amber Nutter,0,"Wonderful place to camp in the winter time. (Havent camped here in the summer yet) 
The public hot tent, fire pit and ice rink is amazing and so much fun! 
And they had hot water for showers still! 
Overall such a great experience ..."
Algonquin  Mew Lake Campground,Quinn Sutherland,0,Thank-you. Nice staff. Nice campground.
Algonquin  Mew Lake Campground,TripAdvisor Reviewer,0,Now if I had the new Yurt the review would get a 5. The older Yurts are still comfortable and warm but the are outdated. However they are warmer than a tent. The Yurt has electric heating which is sufficient for even the coldest nights. ...
Algonquin  Mew Lake Campground,Ryan Hie,0,"This is only the second campground I have stayed at in Algonquin Park. There is a good sized beach on the small lake. It is pretty close to the highway, so I found it a little noisy with road traffic. Will try a different campground for my next visit."
Algonquin  Mew Lake Campground,Gary Clarke,0,Absolute heaven! Only been here 2 days so far but loving every moment. Site and showers are clean. Walked a couple of close trails and the views are awesome.
Algonquin  Mew Lake Campground,TripAdvisor Reviewer,0,"After camping at Ontario Parks for most of my life, we finally camped at an Algonquin park campsite.  We got a pretty nice site at Mew Lake campground last minute leading up to Labor Day weekend.  Must have been a cancellation!|The sites ..."
Algonquin  Mew Lake Campground,Dawna Rowlson,0,"I love yurt camping and this time we saw moose, wild turkey and fox.  Going back again in February and March."
Algonquin  Mew Lake Campground,TripAdvisor Reviewer,0,"This campsite is much warmer than Lake of Two Rivers which is nice for fall. Likely because the trees are much smaller. Downside, the beach does not allow dogs, & there is no dog beach, although the map says there is. The sites are a ..."
Algonquin  Mew Lake Campground,Gary Rocha,0,Great campsite with a beautiful view of the lake! Campsite #93. Make sure to bring bug spray and a good camera! Launch your canoe right off the site. One more word of advice get gas and any tobacco products before you hit Algonquin park or you'll have to drive back!!
