name,user,stars,review
Algonquin  Rock Lake Campground,RQP INC,0,Great view of the lake. However the site were so close to each other with absolutely no privacy.  I would use this site as a last resort for car camping. Washroom facility was good and clean
Algonquin  Rock Lake Campground,Aaron Cat,0,Even though we arrived late they were OK with us not checking in until the next morning. The bathrooms are beautiful. We got site 115 and it is right beside the water across the other side of the street. Loons calling at night is amazing but the best thing about nighttime is the stars and Milky Way galaxy in the sky.
Algonquin  Rock Lake Campground,Denny Hill,0,"Park officers think non white should not be allowed to camp and enjoy the nature. 

Park rangers stopped me and my family and asked for identification. We were just going back from the washrooms to the camp site and he asked for ..."
Algonquin  Rock Lake Campground,Shawn Roy,0,Nice place. Loved canoeing and hiking here
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,We stayed at this campground over the long weekend. At first we were worried about the lack of privacy and how close together the sites were. This was the least of our concerns. On our first night I was sitting by the fire by myself with ...
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,This campground suffers from a complete lack of privacy. You can see from literally one end of the campground to the other. Your neighbour can probably reach over and stir your coffee in the morning. ||||It has a trailer sanitation ...
Algonquin  Rock Lake Campground,Andy Fyon,0,"Efficient, friendly check in. Lovely, but very open campsites because of the red pine trees and little understory. Nice beach. Have stayed 2x."
Algonquin  Rock Lake Campground,kyung-in Moon,0,Most of camping spots are so close each other. But perfect for beginner!
Algonquin  Rock Lake Campground,Tyler J,0,"Road to camp site is not paved. My car all got dented. We found it noisy and when we told PARK RANGER about people making noise in other camp site, they told me that that's how WHITE people camp. Camping is not for COLORED people. He told me to go back to my SLUMS. Guess I am not going to go here again."
Algonquin  Rock Lake Campground,Jamie Thomson,0,"Very loud, lots of people with no etiquette. Garbage everywhere honking car alarms."
Algonquin  Rock Lake Campground,Christina Trigiani,0,"Definitely one of my favourite campgrounds in front country Algonquin. 
Not too much privacy but the lake is beautiful and we caught fish ! The Booths Rock hike we did was great. Highly reccomend."
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"Our campgrounds were 112/114 by the lake. Such incredible views, never camped right by the lake before.  My only two concerns was the lack of privacy due to campsites being too close together and the park staff could really do a better ..."
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"This is my favourite campground in Algonquin park. This is a yearly trip for my family. We have been in the spring, summer and fall. We have never been disappointed. We love it because it is about 10km from hwy 60. Traffic noise is at a ..."
Algonquin  Rock Lake Campground,X P,0,Staff was very friendly and courteous. Office sells fire wood and kindling as well.
Algonquin  Rock Lake Campground,Mike Dixon,0,they answered some questions I had.. disappointed with signage about where to get water from for my camper. all in all it was pretty good
Algonquin  Rock Lake Campground,paridhika kayal,0,"We stayed at coon lake the campsite was good and the beach was not crowded. However, the tap water was full of mud; not even suitable for cooking. We had to use lake water for cooking."
Algonquin  Rock Lake Campground,Jade Goodwin,0,It is pretty open (i.e. you can see basically everyone and everyone can see you) but it was still a pretty nice place to stay.
Algonquin  Rock Lake Campground,Vanlallawmzuali Kundu,0,"Helpful staff, definitely going back to this campsite 😃😃"
Algonquin  Rock Lake Campground,Scott Coates,0,"My Favourite car campground. Quiet, peaceful, perfect."
Algonquin  Rock Lake Campground,R Pur,0,"Beautiful site for camping.
Lake is very clean."
Algonquin  Rock Lake Campground,Ron Goose,0,Nice provincial park the wardens and rangers were awesome.  Prak was busy but most ppl seemed friendly and waved as you walked buy Algonquin Park has been a place we go regularly for years.
Algonquin  Rock Lake Campground,Grant Williams,0,Friendly staff willing to help.
Algonquin  Rock Lake Campground,Eugenia Pestikova,0,Great place to come to relax
Algonquin  Rock Lake Campground,teiuriz,0,"Incredible campground, open sites but what a view. Friendly staff and clean washroom."
Algonquin  Rock Lake Campground,Spicer Cook,0,My favourite campground in Algonquin Park.  The farthest to get to from the West gate. Highway 11 side. But well worth it.  Nice beach area. The drive up and down Rock Lake Road is tranquil.  A little bit busy on statutory weekends.
Algonquin  Rock Lake Campground,John Dutchyn,0,Friendly and accommodating staff
Algonquin  Rock Lake Campground,Nimalan Santhirarasa,0,Nice place I love it
Algonquin  Rock Lake Campground,glenn boniface,0,Second year in a row we went to Algonquin and the water got shut off... We won't be going back next year.
Algonquin  Rock Lake Campground,Andrew Byers,0,Amazing trail views.
Algonquin  Rock Lake Campground,Eric Lanning,0,"Rock Lake is not an ideal campground.
It is very densely populated with a fair mix of trailer campers and some simple car campers.
The sites are not very private or well segregated from each other.
I only recommend this campground for larger parties of 8+ people."
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"To find a good camp site , you need to count the dates they open up for reservations , usually six months ahead for summer long weekends . They have first come , first serve locations , you may have to take a chance and drive up to try ..."
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,Stayed there nights in early May in the electric section.  The sites are close together and lack privacy.  The views of the lake make up for this though.  You can be on any site in the first 2 to three rows and still have a water view. ...
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"The bathrooms were dirtier than other years, often lacking toilet paper, in 8 days the floor never even got swept. The flush bathrooms at shower building lacked hand soap for 2 days. The firewood was so wet that everyone struggled to ..."
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"We have been camping in Algonquin Provincial Park for approximately 30 years. Our first camping experience wasn’t exactly the smoothest couple of days we ever had. We had friends over from England, so we borrowed a tent from some ..."
Algonquin  Rock Lake Campground,Lea Csordas,0,Very friendly and helpful. Gave us good tips about the kind of people who come in on long weekends. (Thank you). 
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"I like quiet camping and it is possible at the start of the season. Rock lake campground is the one i like. Sites are not very private but enough to spent time with family. Showers are very hot and clean flush toilet. No phone service, ..."
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"We have been camping in Algonquin Park for over 20 years, and staying at Rock Lake specifically for the 15 years. We hadn't been able to get up to Algonquin for the last 3 years, so this trip was way overdue.||Rock Lake is a much quieter ..."
Algonquin  Rock Lake Campground,Chasel J. Weng,0,"The cellphone almost loses signal around this region. There is a Bell pay phone here. You can get a map here, and restrooms are also provided. "
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"Folks, weekend out with 6 Families with children. When i booked online, the system allowed me to book all 6 families next to each other. NO COMPLAINTS. ||||We have very small children and chose to go camping so that kids can learn other ..."
Algonquin  Rock Lake Campground,Norman Wise,0,Very nice area of the park. A great spot to put in your canoe and do a day trip.
Algonquin  Rock Lake Campground,TripAdvisor Reviewer,0,"Three friends and I went up for the 24 weekend. At arrival we found our site (79, campground B) was flooded. The fire pit had 3"" of water in it. The site was also very small, as is many of the sites. They also seem to be practically on ..."
