name,user,stars,review
Arrowhead Provincial Park,Heather Vanhie,5,So fun!!! I loved the rink in the forest but wish it was a little longer! Still super fun and reasonably priced as well for the day pass! Hiking trails were also a blast and we didn’t even need snow shoes! Perfect place for the little adventurers out there :)
Arrowhead Provincial Park,mark veitch,5,We arrived at a good time. The fall colours were just coming into their own and the crowds were kept to a minimum. The trails were easy and scenic. There were a couple of trails closed due to maintenance that seemed to be slow on the maintenance. I actually picked up a lot of downed limbs and trees myself.
Arrowhead Provincial Park,Taylor Ziesmann,4,"Cross country skiing was fun, $30 for day pass for two people plus $45 for two people to rent skis, poles and boots. Nice Visitor centre but was truly busy by 1pm. Wished the skating trail was open but we came early in the season. Worth a visit and hope to come back during the warm months!"
Arrowhead Provincial Park,Kaitlyn Bullen,5,Went in the winter to the skating Trail. It was magical. What a beautiful way to enjoy skating. Weekends get busy so go early to find a parking spot. They also have a fire pit so bring warm clothes so you can stay awhile.
Arrowhead Provincial Park,Chris Thorn,5,"Great winter cabins! Very cozy! Hiking relatively easy if you don't want to rent snowshoes or skis...but you can! As a winter adventure(Really can't speak to summer) this place is top notch. Quiet, clean and lots of activities and places to get warm. Friendly staff too!
We'll be back!"
Arrowhead Provincial Park,kim Johnson,5,"Lovely park, worth exploring in the winter too... tons to do. Went in Sept last year and the bugs were surprisingly brutal for that time of year. Campsites aren't stacked on top of one another which is awesome. Usually a back country camper but this was a great place for car camping. Friendly staff, clean, quiet."
Arrowhead Provincial Park,Piotr Lupa,5,Fire and Ice is an awesome experience. Worth the drive. Not the smoothest ice but you're skating through a forest trail!!! Also some parts are slightly uphill and others slightly downhill (I advise knowing how to slow yourself down)
Arrowhead Provincial Park,Chris Marshall,5,love going here in the winter to ski. trails are great and well marked. new lodge building is very nice. Also skated on the ice skating trail that runs in the woods and it was good too but of course bumpy.
Arrowhead Provincial Park,Colleen Brailsford,5,Have skated on the track several times. Great place for family fun. So many things to do. New   Lodge is awesome.
Arrowhead Provincial Park,Sergio Sarmiento,5,"Amazing experience. We did Fire & Ice night skating and it was awesome. Torches lighting up the ice trail was awesome and even though it was Saturday night, it wasn't as packed as i expected it to be."
Arrowhead Provincial Park,Lisa Bell,5,"My parents would take my brother and I camping here every summer. I like to camp in more secluded areas and they offer quite a few sites with a lot of privacy. Canoe rentals are safe and fairly priced. I love the bike trails, beaches, ..."
Arrowhead Provincial Park,Eric Bojmelgrin,5,"One of my favourite parks in Ontario. Great way to spend a week or a Weekend.  Camping sites afford enough privacy to make one feel as being one with the surrounding wilderness,  but with the reassuring knowledge that the comfort station ..."
Arrowhead Provincial Park,Carol-Ann Riddle,5,"If you will be camping with your dog, pick a location close to the ""Pet Exercise Area"". You can enjoy sandy beach areas where your dog can go in the water with you and run around. Also try a rope from one tree to another with a carabiner for your dog to roam tangle free as dogs must be leashed at camp all sites."
Arrowhead Provincial Park,arshpreet singh,5,"We planned our trip one week in advance. Luckily the weather was really good. Snow was fresh. They have very proper arrangements for skates, skating trial, skies, sking trials, lockers, washrooms . Good warm area to help you stay warm. Looking forward for our next trip."
Arrowhead Provincial Park,Andrew Webber,5,Arrowhead park has a great trail system and an overall great camping experience. The new Welcome Centre is excellent with a great space to warm up in the winter and get year round rentals. Staff are super friendly and helpful!
Arrowhead Provincial Park,Todd Hunter,5,"Rented a cabin here twice, very cozy this weekend while in the -20's . Ski trails are awesome, 1.3km ice skating trail (clean by zamboni) is very good and night skating in torchlightis pretty cool. Comfort station and warming fires also. Snow shoeing trails I have yet to do."
Arrowhead Provincial Park,Anwaar Murtuza,4,"Nice little park, the river bend is a must see when visiting Arrowhead. Hiking trails are good and for the average to moderate hikers. The campsite are good and have good privacy. The washrooms need a little update, the taps would not hold the water running for more than 2 seconds. Overall a nice place."
Arrowhead Provincial Park,Edriss Sydeqi,5,This park at fall time is absolutely beautiful! The change in tree colours and the reflection of it makes it a perfect getaway from the city or to enjoy a nice day in the nature. There is a lot of camping spots and parking available in ...
Arrowhead Provincial Park,vnixon33,4,"Large, beautiful sites for camping, gorgeous beaches and lots of fun things to do with kids.  However, there are far too many outhouses that need to be changed to flush toilets on the camping roads.  The beaches also really need to have ..."
Arrowhead Provincial Park,Patty Townsend,5,"My favourite provincial parks.  Big, clean, well maintained RV lots and lots of hiking trails.  We will be back."
Arrowhead Provincial Park,Andrew Kim,4,"I have camped here three times, all in the East River campground. All three campsites were spacious and well maintained. Two inner sites (#326 & #333) were quite private and located well apart from neighbours, but the other (#347) near ..."
Arrowhead Provincial Park,Katelyn Mast,4,I love this place! It's one of the nicer provincial parks with reach of toronto! The trails are picturesque and their winter activities are super. If you are thinking about it try their roofed cabin accommodations. They may be a little pricey but they are great!
Arrowhead Provincial Park,ibrar ahmad,5,View is awesome. Pictures are in my laptop but something you really going to enjoy with your eyes. Must visit place for fall
Arrowhead Provincial Park,Keren Wise,5,"Such a beautiful provincial park during the fall season. 

The prime time to visit and witness all the trees changing colour is mid-october. 

The park is very well taken care of, the atmosphere is gentle and free from societal smells and sound. 

Don't miss out on arrowhead provincial park or you'll ACTUALLY regret it!"
Arrowhead Provincial Park,shaun davidson,5,Great time skating the trail. Can't wait to do it again.
Arrowhead Provincial Park,Dujana,5,Beautiful park with great hiking trails extraordinary views. Carefull to not be here on humid days hiking... You will have a lot of mosquito friends...
Arrowhead Provincial Park,George Pazmino,5,AMAZING night skating.... hiked to stubb falls! Great little trail.
Arrowhead Provincial Park,Scott Payette,4,"We took our children camping here for a week and thoroughly enjoyed the experience.  The best thing here is location, being 10 minutes from all the restaurants of Huntsville meaning no more cooking and eating in a tent when it is ..."
Arrowhead Provincial Park,Vishwanath Keerthi,4,Best hangout spot just 2 hours drive from Toronto and in winter it’s best to do ski and skating
Arrowhead Provincial Park,Arshpreet Singh,5,Awesome experience. People were there to guide for skieng. Will be visiting again
Arrowhead Provincial Park,Hazim Aldujaili,5,One of the most beautiful site in Ontario had many interesting things to know and see... Also there is a very nice campground in the heart of that interesting area.
Arrowhead Provincial Park,Girlonfire Girl8on1fire,5,Most beautiful sites I've ever seen  i totally recommend this camp ground for everyone each sites are spaced out really good to give privacy to you to us as well as they have  a lot of amazing hiking trails. you can also go canoe ...
Arrowhead Provincial Park,Auptechs Ostaszewicz,5,"Absolutely amazing camp ground. This place has the best Northern beach area I've ever been to. No weeds, no rocks gorgeous beach, clean water so enjoyable. Down side is the signage isn't the best for navigation while inside the park. Some of the washroom facilities are not the best but an amazing park."
Arrowhead Provincial Park,Alex McDonald,5,Beautiful park. Clean and well kept. Very good trails. Our dog loves the dog beaches especially the one at the far end of Arrowhead lake. We'll be back!
Arrowhead Provincial Park,Albert Leung,4,It's nice but started to rain soon after we got there. Lake is nice too. Didn't find any high grounds to shoot fall colors.
Arrowhead Provincial Park,Steve Brackett,5,"Beautiful park.  Great river for kayaking with first-time kids.  Decent beaches, hiking trails, and super private sites in the east river section.  Minutes to Huntsville if you need ice cream."
Arrowhead Provincial Park,Bin Ou,4,Lots of activity to do seems like a beatiful place in summer
Arrowhead Provincial Park,Tiffany Cariaga,5,Amazing park in the winter time!  We came up here to go skating in the forest.... that’s right in the middle of the forest!! It was great!  Make sure to come earlier as it gets quite busy!
Arrowhead Provincial Park,Laura Gardner,5,Beautiful trails. Very well organized
Arrowhead Provincial Park,Jeffery Meyer,5,Nice place to camp with kids. Beaches are small and safe.
Arrowhead Provincial Park,Natalie E,5,Had a great time at Arrowhead Provincial Park. The washrooms were older but cleaned daily. The showers did flood up the whole room and had no ventilation. The lot sizes were large and very shaded which helped on the hot days. This is a ...
Arrowhead Provincial Park,Steve Gregory,5,Had a great time even though it rained for 14 hours on Wednesday. Hard to navigate through this place to find anything though. Great trails and a great place for the dog to swim and play. Wish I could have stayed longer. I'll be back next year.
Arrowhead Provincial Park,Celine Potter,5,"Beautiful park, very well maintained, fantastic and helpful staff."
Arrowhead Provincial Park,Kyle Gizas,4,"Beaches are pretty nice. Went mostly for some hiking trails. The trails are pretty nice but wish they were marked better. Hard to tell which trail was what. The falls trail is nice, a beautiful lookout spot"
