name,user,stars,review
Awenda Provincial Park,Aswani Datt,5,Amazing place to go with the kids. Facilities are clean and well kept. Always felt safe. The trails are amazing and I have bee taking my kids there for years. The staff always have nature presentations that are kid oriented. We are gifted with great parks in Ontario. Keep it Beautiful.
Awenda Provincial Park,Murry Rusk,5,"Always pleased leaving a park in this beautiful country. The campsites where very large, with gorgeous, old, tall trees all around, and lots of greenery. The staff was friendly and the office/park store was clean. 
The staff where very ..."
Awenda Provincial Park,House of beng beng blog,3,The drive to get there isn’t that long compared to other provincial parks.  It is a nice place to camp. Well maintained. Dog beach is very nice but small. If you have a dog and you come in late on a sunny day you will have a tough time ...
Awenda Provincial Park,Trev 2G,5,Definitely a place you should check out.  Beautiful beach!  Friendly staff when you register.  Easy to park.  Make sure you grab a map before you enter.  It can be a bit confusing if it's your first time.  Great for family & friends. ...
Awenda Provincial Park,Jessica Frias,4,"This is a gorgeous provincial park, not too far from the city and a wonderful quiet getaway. The only draw back for me is that the beaches are mostly natural and so not that sandy, with the nicest ones being quite a walk (since you can’t ..."
Awenda Provincial Park,P,5,"Lovely beach, gets lovelier the harder you work for it. Facilities are well maintained and the showers are fantastic. Park is very well kept. Even after four days of heavy rain, this park is a gem."
Awenda Provincial Park,Michelle Chang,4,Got a site at the bear campgrounds here and it was very close to the comfort station which was cleaned frequently and stocked with toilet paper. Camp grounds were a bit small though lots of privacy from other campsites. Garbage was also ...
Awenda Provincial Park,Ian Matchett,5,"Went in the middle of the week, camped for a night with family. Wonderful camp ground. Clean, big, tons of privacy.  Dog beach was small but we really enjoyed the space, went with a newborn, toddler and a dog and had a great stay. I could see how on a weekend space may be limited. Will definitely go again."
Awenda Provincial Park,Farzad Ali,5,"Went camping for the weekend here, it was an awesome quiet place, lots of trails to hike, things to do, theirs a beach, boat/canoe rentals nearby, they have firewood and all, campsites were good, showers had hot water which was a plus"
Awenda Provincial Park,Michael,5,"Awenda has a great beach. Clean sand and warm water. Kettle lake for canoe rental is beautiful, but relatively small. Rental facility is on opposite side of park from the lake and canoes so be prepared to wait for previous renters to ..."
