name,user,stars,review
Balsam Lake Provincial Park,Cathi,5,"Wow, it's a very popular and beautiful spot. We just went to go for a walk there over Thanksgiving weekend and can't believe how many people are there camping. It looks like a great community and plenty seen to be planning to stay until ..."
Balsam Lake Provincial Park,Maryam R,4,Went once and fell I love with the place! Great place for families! Lake is awesome for swimming and kayaking (rentals are available). Lots of trails for walking. Camping sites are decent with washrooms close by. Definitely would go again.
Balsam Lake Provincial Park,Okan Korsal,5,Very nice camping spot. Cozy sites. The faucets in the men's washroom at the Poplar comfort station needs to be changed. It's wasting lots of water and not hygienic as you need to hold the knob as you wash one hand. They should be ...
Balsam Lake Provincial Park,Devashish Arora,5,Very clean water and not too crowded. There are covered picnic areas that can be used. One can also book the whole picnic shed if there is a large group. There is also a volleyball net with sand underneath the feet. Space is also available for camping if one wants to camp overnight.
Balsam Lake Provincial Park,Justin Mistry,5,"Favourite provincial park to camp in so far. The beach surprised us, actually a sandy beach! Lake water was warm once you got in and you could go probably 50 meters before the sand turned to seaweed. 

At the campsites we chose power ..."
Balsam Lake Provincial Park,Katie Johnson,5,"Had an awesome experience in section Cedar where we could walk to the beach! second time at this park. great park, friendly staff, overall great campground! only concern would be the fact that more and more of the sites seem to be ..."
Balsam Lake Provincial Park,David Vant Erve,5,"Extremely clean, well-maintained park. Busy beach and nice, less-travelled trails.  Would love to see it open in the winter with activities like Arrowhead."
Balsam Lake Provincial Park,Dujana,4,Another good camp area for beginner camping. Its a bit more muddy in camp area more fit for trailer camping.
Balsam Lake Provincial Park,Erin Wright,5,"I have been coming to this park since I was a child and now I get to bring my own child here! This is the best park I have ever visited! The washrooms and showers are cleaned on a regular cleaning schedule, the beach is beautiful and the ..."
Balsam Lake Provincial Park,Kevin Ronald,1,"Do you like camping with white trash bros and people who don't know what nature is? Then this is the campground for you! Endless parties on loud campsites, wardens that couldn't care less about rules and sites that are basically on top ..."
Balsam Lake Provincial Park,Louise Stanley,5,"So much fun! Family friendly, great beach. Had an amazing time. Cant wait to go back next summer!"
Balsam Lake Provincial Park,Wendy Pringle,4,"Very nice. I would suggest mor comfort stations maybe at least 2. We were here on a busy weekend in mid September,  the park was not full but busy, I can't imagine when it is full, as the comfort stations had line ups. We were ..."
Balsam Lake Provincial Park,Stacy Crown,4,"Great park. Very nice beach with dog beach too. Our camp site was nice and private and had lots of shade. However, entire site was sand which was a bit of a mess but nice for being bare feet. Park could use some better signage for way finding. Overall was a great stay."
Balsam Lake Provincial Park,Shannon Pike,5,Just beautiful. Had a great day there with the family. The beach had tons of space and picnic tables and we rented a water hammock for a reasonable price. I can't wait to go again.
Balsam Lake Provincial Park,John C,4,I love this park. It offers every type of camping experience from Eco walk in sites to premium electrical along the shore. The lake has beautiful sand beaches and abounds with fish. I've snorkeled the entire shore and found it very ...
Balsam Lake Provincial Park,Mark Ryckman,4,"Great park in the Kawartha Lakes. Very nice, long beach with sandy swimming areas. There is a dog beach at one end which is a little bit rockier in places, but still good for swimming. Nice trails."
Balsam Lake Provincial Park,Susana Vargas,5,Great place to go for the day or camping. Tried electric campsite this year. I’m sold. Bathroom are clear and it’s closer to the water!
Balsam Lake Provincial Park,Shaun Iles,3,"The property is great and the beach is beautiful, lots of activities for the kids. Down side is that there is very little done about people being incredibly loud all night, even in radio free quite zones. Ignorant visitors just being ..."
Balsam Lake Provincial Park,Mike M,5,I love balsam lake provincial park. The sites are nice and the beach is amazing. As long as you get to the beach by 11am you are generally fine to get a nice spot. By 1pm onwards it starts getting very crowded.  If you are driving to the ...
Balsam Lake Provincial Park,Scott Targett,3,"Balsam lake is a nice park, seems to be getting a little run down. Park Rules do not seem to be enforced. The lake is very nice and clean. The park stores themselves are not like any other provincial park. They are small not well stocked and do not offer many options other then the basics"
Balsam Lake Provincial Park,Richard Carter,5,Very very nice park. Large clean beach. There's sand. You can rent water toys like paddle boats...never seen this in any provincial parks I've been to. Great for families.  Shallow enough for young kids. Warm water. I don't camp so I can't comment.
Balsam Lake Provincial Park,A Cam,5,"It was so lovely here. I can not tell you how clean the comfort center was !!! Annie you do an amazing job! I would come back here again:) 
Thank you for a wonderful weekend"
Balsam Lake Provincial Park,Megan Henderson,4,Good sized campsite with a good mix of sun and shade. Close to a comfort station. Has a pet beach which was perfect to take our dogs to and play in the water.
Balsam Lake Provincial Park,Bette j Harley,4,"Clean park..all areas, from comfort stations and showers to beach front.
A variety of campsites from grassy neighborhoods (think Legoland) to forested areas and deep woods 'echo' sites.  Waterfront/beach great for young families/children ..."
Balsam Lake Provincial Park,Daphne Hendsbee,5,"Camped here with a few friends. It's a beautiful park with a few short hiking trails, nice sandy beach, and canoe/kayak/paddleboat/etc rentals at a reasonable price. The park office and on-site store are also well-stocked with camping essentials and souvenirs. We will definitely come back again."
Balsam Lake Provincial Park,Tomas,5,Really nice campsites. Some are super private and some even have sand! Bathrooms were clean and lots to do around there. It's a big park. Water was nice but there wete way too many people people for the size of the beach and it wasn't even a long weekend. I would come back again.
Balsam Lake Provincial Park,Rylie & Sally Cook - OneWheel Realtor,5,Had a great time with our family in early August! Bugs weren't too bad & the beach + walking paths made for some great adventures
Balsam Lake Provincial Park,Jessica KW,5,Wonderful spot to camp. Easy access to washroom and hydro on site. A shop to buy wood and ice on site as well. Nice hiking trails.
Balsam Lake Provincial Park,Shawn Hayward,5,Been going here with my family for years. There is no better provincial park in Ontario as far as I’m concerned. This place really is paradise. The staff are always awesome.
Balsam Lake Provincial Park,Ashley Martin,5,"Balsam Lake was amazing! The sites are really large and it offers a wide variety of private sites with lots of trees or more open/social sites.

The staff were extremely helpful and efficient.

The beach area is beautiful and perfect for ..."
Balsam Lake Provincial Park,Tyler Russell,5,"Great place especially on the thanksgiving long weekend, lots to do theres even trick or treating for the kids. Love fall camping"
Balsam Lake Provincial Park,Denis Vachon,4,Love this park. Comfort stations are clean and in good working order. Beach is a good size and has a place to rent water crafts and buy ice cream. I will be back for sure
Balsam Lake Provincial Park,Kyle Maurice,5,Absolutely beautiful. Just stunning.
Balsam Lake Provincial Park,Stephen Chometa,5,Really nice Provincial Park. Clean. Lots of space on the sites.  The website is accurate as to the site you're booking ie. We wanted a shady site and it is. Lots of families come here. Camp store has all the usual basic amenities if you ...
Balsam Lake Provincial Park,melissa lindao,5,Beautiful place to visit . Our camping site had plenty of space with tall trees for privacy. An handful of washrooms are new and clean. Lake area is beautiful but its small for the amount of people but plenty of picnic table and shelter.
Balsam Lake Provincial Park,Rob Potter,4,"The lake is beautiful and great for boating.  We had a good time, and other park patrons were pleasant and respectful."
Balsam Lake Provincial Park,Dan Cooney,5,Great sites. Some have hydro. The Amphitheater is a great place for the kiddos to learn about nature. Friendly staff
Balsam Lake Provincial Park,Mathew Learn,5,"Great park... nice beach... eco-sites are really fantastic. Feels like truly isolated, but you're not really. Amazing starlit sky for a midnight beach walk"
Balsam Lake Provincial Park,Gangsta Bob,5,Grear park. The best i have been too in all ontario and ive visited almost 20
Balsam Lake Provincial Park,Andrew McIntosh,5,"Great beach! Good sand and warm water. The sites good. Poison Ivy around, so keep to the paths."
Balsam Lake Provincial Park,Brett Whitefield,5,We were camping at the 3 group sites. Staff were amazing & accommodated our needs. As we were camping with 80+ youth & sever thunderstorm warnings were in affect. The staff helped with a safe haven evacuation plan to ensure our safety.  Couldn't ask for a better location or staff. Thanks for a great weekend.
Balsam Lake Provincial Park,Bassy,5,Nice campgrounds. The comfort stations are cleaned every day! The staff were very friendly.
Balsam Lake Provincial Park,Freddy Obeid,5,"Every year we visit the place, we just love it, water is clear, not too crazy busy like the other lakes"
Balsam Lake Provincial Park,anderson do,4,"Beautiful nice campgrounds, fishing is abundant..no motor boats for rent though...best paddle on a canoe or kayak! The water is very clear and clean, nice beach to swim on."
Balsam Lake Provincial Park,CHRISTOPHER DOWNEY,5,"Family had a great time here. The place is clean, quiet and lots to do for the kids."
Balsam Lake Provincial Park,Chris Thorn,4,"Busy beach, but lots of good campsites if you do your research."
Balsam Lake Provincial Park,Evan Markiewicz,4,"Lots of bugs, but site was nice, lovely if busy beach"
Balsam Lake Provincial Park,Janice Byrne,5,One of the best provincial parks...great sites and amazimg sandy beach.
Balsam Lake Provincial Park,Catherine Ramdeen,5,Amazing calm peaceful.  Great place to go with family for a day trip or camping.
