name,user,stars,review
Bass Lake Provincial Park,Romit Maity,5,"Amazing, picturesque and tranquil place to spend some quality time. This place definitely warrants a visit during the early and mid fall time frame. The foliage and colors hugging along the shoreline of the lake is really worth the trip. ..."
Bass Lake Provincial Park,TheSusanGloria,4,It's a campground. Has what it claims. Though inadequate parking around boat launch area. Washrooms and Showers clean. Not many fish biting.
Bass Lake Provincial Park,Karii Apa,5,I always come here with my church for our annual beach trip. The park is always well kept and clean. Renting the side houses are always easy to do. The beach is lovely to swim in. And the walking trail is beautiful to take a stroll.
Bass Lake Provincial Park,Belinda Long,5,"The have plenty ample campsites...they have large and smaller sites....even the smaller sites, have plenty of room.  The showers & bathroom facilities are pretty clean. Really well laid out. And really friendly staff. Would definitely recommend Bass Lake to anyone."
Bass Lake Provincial Park,Brutally Honest,4,"It is a great park if you are wanting to get some camping in but don’t want to drive for hours. They have a beach, kayak and canoe rentals, playground and a park store. Facilities and sites are maintained. If you forget something Orillia ..."
Bass Lake Provincial Park,Cassandra Muise,5,"Lovely park. 
Lots of walking. 
The park store was amazingly reasonably priced.
Free borrowing of fishing gear...no deposit.
Bathrooms are well kept. 
Friendly crowd. Can't wait to go back. 
Ten minutes away from Orillia"
Bass Lake Provincial Park,Acadia Alexis,2,For starters I was put in a crowded place. No privacy . The beach was too far. And once we finally got there it was way too over crowded. The washrooms were desgusting. And the half decent ones were all the way on the other side of the campground
Bass Lake Provincial Park,James Creech,4,"Great campground. Excellent Beach, nice sites with lots of shade (hilltop campground). Some traffic noise and headlights from road directly behind our site. Wardens and office staff all very friendly.  Beach is shallow (maybe 3 feet at ..."
Bass Lake Provincial Park,Cindy Fugaccia,5,"absolutely loved it, been going there (amount other places) to camp for many years. Lots are huge with lots of privacy, although some of the lots could have the Hydro a bit more accessible to the sites!"
Bass Lake Provincial Park,Janice Correia,4,Nice park with lake to rent canoes.  Very steep hills in park must be in good shape to get around park.  Good location close to city amenities.
Bass Lake Provincial Park,Neil Ellis,4,"Bass Lake Provincial Park is a great spot for a family camping trip. Located a short drive from Toronto, it is accessible from anywhere in the GTA. 

The campground has a great beach, which the kids are able to wade out in and enjoy. At ..."
Bass Lake Provincial Park,Sherri Cooper,3,"Basslake was OK, if it's ur first time camping than this would be a great park to visit. Everything is very clean. The beach area is very small. They have one trail which was nice, however I wouldn't recommend a stroller on it (big hills ..."
Bass Lake Provincial Park,Brian Broerse,5,Very nice park.  Friendly staff.  Not a lot of mosquitoes.   Facilities were nice and clean.  Beach was great.
Bass Lake Provincial Park,Gabrielle Huston,5,"Bass Lake Provincial Park is a lovely campsite with friendly park staff. The beach is large and the water is clean, and nearby trails offer fantastic hiking for individuals or families."
Bass Lake Provincial Park,Shannon Sohm,4,"We went to visit my cousins in Wasago, and Bass lake was one of the campgrounds that was close to there house. We camped at hilltop campground which was close to the water tapes and washrooms/showers. It’s a nice campground, very clean. ..."
Bass Lake Provincial Park,Pauline Esther,4,"Lovely place, the lake view is so beautiful good place for camping and hanging out with friends and family"
Bass Lake Provincial Park,Robert C,2,The park is beautiful and the bathrooms cleaned every 4 hours. The reason the park gets only two stars are because the wardens were patrolling and picking every infraction possible. Most of the time we agreed with them but when we get ...
Bass Lake Provincial Park,Ray Barker,5,"Excellent park with convenient and well maintained facilities. Friendly staff. Choose site 31 for good location, privacy and drainage."
Bass Lake Provincial Park,Steve Larsen,4,Beautiful small park 10 minutes away from shopping in Orillia. Small beach with clean water. Fishing and boating is allowed.
Bass Lake Provincial Park,Нелли Панкратова,5,"A very nice place, picturesque, well kept, warm, clear water, clean sandy beach, a lot of shade from trees, ideal for families with small kids. We all loved it"
Bass Lake Provincial Park,Stefani P,5,"Beach/ Lake: Clean, not a lot of seaweed, sandy beach, can walk pretty far out. A few jet skis, and lots of canoes/ kayaks
Camping: decent sites, lots of trees/ cover, well maintained garbage area, and bathrooms are kept nice too! ..."
Bass Lake Provincial Park,Lizzie I,4,"Very close to a lot of residential houses and the road so it is not very quiet or picturesque. The beaches are quite odd and obviously not natural, they are very groomed. It is very quiet from about September onwards so nice if there is ..."
Bass Lake Provincial Park,Ronald M,5,I go here every year and only go somewhere else to try new places. It's my comfortable default place. No complaints
Bass Lake Provincial Park,Paul Onwubuke,4,Amazing camping ground. The water fees just right.  Will certain come back.
Bass Lake Provincial Park,Joao De Moura,5,"I was there for short time , but the park has great green area , playground , boat renting, the beach is not big but very clean, is a nice family place."
Bass Lake Provincial Park,Serena Dayman,5,"Can't go wrong with this camping choice.  Coffee, ice cream and snacks available yet rustic."
Bass Lake Provincial Park,Melissa Kuncic-Shand,1,"The park itself is beautiful but do not camp here. Taking around a fire is excessive noise yet children screaming at 5/6 in the morning is completely fine. Using twigs directly beside the fire pit for kindling is obstructing property, ..."
Bass Lake Provincial Park,Robin Williams,5,We try to come here at least once a year...love it!
Bass Lake Provincial Park,CL Wallace,4,Lovely park. Nice walking trails.
Bass Lake Provincial Park,havishan uthayavannan,1,"We had went there August 5, 2018, and were treated very poorly by this beach and we will never return. This place is very racist and we could not even set up any of our things before we were asked to leave by the police & the park ..."
Bass Lake Provincial Park,Dalton Cole,1,"Went here whilst on vacation. Decided an afternoon out by the water and on the beach.. paid $14 entrance fee at 12, 25 minutes later we left.. There was 5 dead fish laying on the beach getting eaten by birds.. Dead birds laying on the ..."
Bass Lake Provincial Park,Steve Tedford,5,Very warm and very clean...i come and visit here every year from nova scotia and the first place i go i swimming in bass lake too cool off :)
Bass Lake Provincial Park,Ayasoshaka Milwana,3,Nice Park for a picnic with the family but know place to fish unless you have a boat.
Bass Lake Provincial Park,Fred Chard,3,Nice park but lots of hills.Good walking path by the lakeside
Bass Lake Provincial Park,kobi zanguri,5,Nothing like a good day in nature. Worth the exploration/drive.
Bass Lake Provincial Park,Rodolfo Fiallos,5,The best place fir camping. Nice beach for families.
Bass Lake Provincial Park,Edward Eiras,3,Too busy. And park ranger  has a power trip over loading the car for 1 min at a non parking spot
