name,user,stars,review
Batchawana Bay Provincial Park,Andy Vidal,5,For a relaxing place that has one of the most beautiful beaches you can ever experience with family. If you love peace and quiet you have to go to the hill the radio free section
Batchawana Bay Provincial Park,Broden Franklin,4,Camping is nice here.  Lots of good sites with nice views.  The water is relatively warm considering it is in lake Superior. There are good hiking trails in the area including near pancake bay a bit down the road and especially at Lake ...
Batchawana Bay Provincial Park,Mike Scott,5,"Been around a long time. Very well established Provincial Park. Right on the TransCanada Hwy 17. Gorgeous sand beach!  Often hard to get in, as it is so popular!"
Batchawana Bay Provincial Park,Dale Lutes,5,Good deals with the retirement sale. A shame this place is closing. If I had the $ I would buy it because it can generate income in the North
Batchawana Bay Provincial Park,ielung Yap,4,"Park is closed for the season when I visited in mid October 2018. However, the colorful Fall leaves are still visible along the shoreline."
Batchawana Bay Provincial Park,Sara Alex,5,Love that this is open all seasons now!!
Batchawana Bay Provincial Park,Julie Wiltshire,5,"The place here was a place I'd visit again, friendly, and Madee feel like home."
Batchawana Bay Provincial Park,JJ Janderton,5,grand kids love the water park area when it is really hot.
Batchawana Bay Provincial Park,Aidan Hunter,5,Amazing motel awesome food too 100% would stay here again
Batchawana Bay Provincial Park,Brandon young-Kemkes,4,Great place to stop very helpful owner but not open 24 hours
Batchawana Bay Provincial Park,Cliff Conrad,3,Great place to drive but no places to stop and take pictures without paying.
Batchawana Bay Provincial Park,Darla Personett,5,Awesome place to stay loved it here pool and hot tub was great.
Batchawana Bay Provincial Park,Blue Seven,5,Great place too have a picnic or cool off at the  lake
Batchawana Bay Provincial Park,Sandra Stewart,4,"Nice place for a picnic, lots of tables, or a swim, or just a quick break to use the washrooms."
Batchawana Bay Provincial Park,David Smith,5,Beautiful spot to view Lake Superior
Batchawana Bay Provincial Park,kamaksi24,5,"We didn’t stay very long, we were on our way to Calgary, but it was a noce little beach in the middle of nowhere!!"
Batchawana Bay Provincial Park,Fred Pepper,1,Nice beach but unkept grounds
Batchawana Bay Provincial Park,Forest The Canoe,4,Washrooms open year round
Batchawana Bay Provincial Park,Justin Whent,5,A lovely place to swim. The water is beautiful and the sand feels amazing.
Batchawana Bay Provincial Park,Beatrice Brown,5,Beautiful Lake Superior
Batchawana Bay Provincial Park,Zu One,5,Nice stoo while on a long long drive
Batchawana Bay Provincial Park,Frank D McLeish,4,Beautiful park but very expensive.
Batchawana Bay Provincial Park,Russ Harrington,5,Awesome shops
Batchawana Bay Provincial Park,Glenn & Diane Hunt,4,"Long sand beach, great view and water quite warm for Superior"
Batchawana Bay Provincial Park,Vince Davies,5,Gotta go here again. So beautiful and relaxing.
