name,user,stars,review
Blue Lake Provincial Park,Christina Perry,5,"Camping at Blue Lake is a wonderful summer tradition for my family - we've been coming here for 15 years!  Lovely beach, hiking trails to suit every fitness level including a trail that is wheelchair accessible, great interpretive centre ..."
Blue Lake Provincial Park,matt ferber,4,"Massive campsite with lots of amenities (Hikes, beach, interpretive centre, showers). It was a bit too much of a party campsite (noisy, drunks, etc) and very expensive for my tastes but it was also like a friendly little town during the day.

And no floodlights! Nice place overall. Bring earplugs."
Blue Lake Provincial Park,Eric Carlson,5,Always a beautiful place go. Especially if the weather is good. Lots of trails to explore and the lake is as cold as can be. Have been going for the past 16 years.
Blue Lake Provincial Park,Shaun and Angela Martin,5,"Small but packed with beautiful campground, forest and hiking trails for its size. Beautiful clear water.. One of our favourite places in the region."
Blue Lake Provincial Park,Morgan MacDonell,5,"Great sites, beautiful & cold, clear lake for swimming. There are many nice hiking trails for every effort level and ripe blueberries growing along one of them! The interpretive center was a quiet building to escape the heat and the lady on staff was very knowledgable about the local flora and fauna."
Blue Lake Provincial Park,Merc J,5,Best provincial park I've ever visited. So many events always on and beautiful beaches. Park staff is fantastic. I recommend anyone going through vermillion to stop by.
Blue Lake Provincial Park,Mark Fontaine,4,A good place to take the kids camping.
Blue Lake Provincial Park,Pablo Ventura,5,"Crystal clear, and cool water lake, with sandy beach. A couple of hiking trail options. Well maintained and kept. One of my favourite places!"
Blue Lake Provincial Park,Caroline Roschuk,5,"I went here as a young adult with my bf and it was the best experience I've ever had camping. It's my favorite lake to this day.  We did a part of the loop, starting off in the campgrounds. It was a beautiful sight to see. The scenery, ..."
Blue Lake Provincial Park,Leroy Flett,5,This is an excellent family oriented campground. Nice sites and beautiful  bluewater just like the name. 25 years of coming here with so many upgrades
Blue Lake Provincial Park,Sue Bird,5,What an amazing park. Go in June to have the entire park and beach to yourself. Water is so clear.
Blue Lake Provincial Park,Lindsay Garrow,5,"Beautiful beach, with play equipment for kids. Nicely kept campgrounds with lots of space. And the lake is so crystal clear."
Blue Lake Provincial Park,Jeff Friesen,4,Very nice park with lots of things to do. My only recommendation would be to give more beach space to the dogs because it seems every other campsite has 1-2 dogs.
Blue Lake Provincial Park,John Patrick Abrenica,5,Great place to camp or day trip. Have been going here for years. Love the lake and the many things to do.
Blue Lake Provincial Park,Susan Leutschaft,5,Still the nicest fark for a family vacation. Been coming here for nearly 50 years since 1960s. Love it.
Blue Lake Provincial Park,Rhonda Reed,5,"Quiet campground. Clear, clean lake. Rugged nature. Beautiful."
Blue Lake Provincial Park,Matt Goulet,5,"I just love this place. Giant beach, great camp sites, good programming."
Blue Lake Provincial Park,mbmopar,5,"Beautiful clean clear Lake, lots of beachline, an area for dogs to swim with their owners. 

Would like to see more patrols by parkies after the curfew time to shut down the early a.m. parties though."
Blue Lake Provincial Park,Bob Mckeown,4,Beautiful sandy beach and clear blue water. This provincial park is a great place to stay
Blue Lake Provincial Park,Erin Salmonson,4,Large tenting area. Beach and water is perfect. Activities for kids and lots of hiking opportunity.
Blue Lake Provincial Park,Txia Manalo,5,Crystal clear water lake and tan sand. Kids enjoyed snorkeling.
Blue Lake Provincial Park,Dimitris Protsios,5,"Pristine beach, well organised, lots of things to do and see."
Blue Lake Provincial Park,Lee-Anne Sewell,5,Wonderful place to spend quality time with friends and family.
Blue Lake Provincial Park,Kevin Taylor,5,Beautiful spot. I will be back. 👍
Blue Lake Provincial Park,Geoffrey Ball,4,Great park. Water is great. Campsites are good. Nice showers that are free.  Some restrooms are old fashioned outhouses with a tap on the sink but there wasn't soap.  Really really bright lights on sensors that could wake people up near the group camping sites.
Blue Lake Provincial Park,aaron kaltenthaler,5,Really clean nice and quiet the lake is crystal clear
Blue Lake Provincial Park,Carla Sinclair,5,Beautiful sandy beach & clear waters. Thank you for the fun afternoon :)
Blue Lake Provincial Park,Ted Claeys,5,Cleanest water I've ever seen
Blue Lake Provincial Park,Alain Girard,5,Favorite Camping spot! Water is clean and good fishing. Quite and relaxing.
Blue Lake Provincial Park,Katie Lovallo-Sadiua,5,"Beautiful clean water, 4 great parks for kids"
Blue Lake Provincial Park,Gene Schilling,5,Very nice and clean campground friendly staff
Blue Lake Provincial Park,Mary Carmel,5,Best time ever
Blue Lake Provincial Park,Steven P,5,Been coming here with my family for 32 years! Our favorite place to camp and relax - hands down!
Blue Lake Provincial Park,Odette Maury,4,"Super nice location, nice play structure for kids"
Blue Lake Provincial Park,Sturdy Girl,5,"Beautiful place, huge pine trees with lots to do!   Different playgrounds and swings for the kids to play on.  Pristine beaches to lay on and crystal clear gorgeous spring fed lake to swim in.  Washroom facilities are updated, great ..."
Blue Lake Provincial Park,Adam Tesseract,5,"I could really delve into how this is the best provincial park there is...but just go there.  It literally has everything good facilities, electric spots,  the best beach/lake you could hope for, trails and portage routes, boat rentals, ..."
Blue Lake Provincial Park,J H,5,Excellent camping beautiful water
Blue Lake Provincial Park,Tara Freeman,5,Beautiful park. Really enjoyed the beach and plan to return soon.
Blue Lake Provincial Park,Don Tront,5,Extremely nice campground and beach
Blue Lake Provincial Park,Arshad Mahmood,4,Excellent place for camping enjoying lake beach front and natural trails around it staff very helpful
Blue Lake Provincial Park,Cathy Cummings,5,Great place to camp. Big sites clear cool lake and quiet at night
Blue Lake Provincial Park,Alex Stodola,5,Excellent park. We enjoyed the trail and the museum. Well staffed and maintained. 
