name,user,stars,review
Bon Echo Provincial Park,Trina Bartolo,5,This place holds a special spot in my heart. The landscape is so compelling.   I love walking the trails and observing nature this place makes taking great photos easy.  The trail along the rock is a must for those who are ready for a ...
Bon Echo Provincial Park,Adam G,5,"bon echo offers quiet, well-appointed camping sites ideal for families.  lovely sandy soil floors - perfect for tent pegs.  water and washrooms nearby, with a really nice central washroom and shower facility a few minutes away.  the ..."
Bon Echo Provincial Park,Lisa Ray,5,We stayed last minute in one of the cabins. Fantastic time and we will definitely return in the future! The cabins were super clean and tidy; staff were warm and welcoming. Super glad we were able to score a last minute reservation. Looking forward to returning this summer!!
Bon Echo Provincial Park,Martino Gabra,5,"I love Bon Echo! I've visited several times and it really is one of my favorites. It's a pretty big park and you can go on a kayak or canoe to the little petroglyphs along the water. There aren't a lot of mosquitoes along the water, but ..."
Bon Echo Provincial Park,Emily Harvie,5,"Incredible. Magic. Amazing. How do you write a review about the provincial park where you got engaged?! My fiance popped the question at the top of the Mazinaw Rock, overlooking the lake and all of the trees - it was the most magical ..."
Bon Echo Provincial Park,Cherry Shrimp,5,Went there on a Sunday Monday early September and it was surprisingly busy but we managed to get a site on the walk trail to your site. Surprising awesome spot pic 1. The pictographs on the rock were surprisingly small as I’ve seen ...
Bon Echo Provincial Park,Ryan Yeung,5,"Stunning views and amazing campgrounds. The boat rentals are clean and affordable, definitely a must when visiting. You could spend days hiking, kayaking, and swimming around the park. They have many events like stargazing and shows for the whole family."
Bon Echo Provincial Park,Ahmed Shehab,5,Best destination for a family outdoor experience. There are plenty of activities to practice. The lake is awesome to swim at and the view is incredible. You can also have a barbecue next to the lake. The water is shallow so young kids ...
Bon Echo Provincial Park,Ryan Hie,5,"Bon Echo Provincial Park is beautiful. I have only visited twice, and both times were in October, so it was too cold to swim but the colour of the autumn foliage is impressive. There is a ferry that will take you to a trailhead where you ..."
Bon Echo Provincial Park,Mitchell McGovern,5,Beautiful spot to come with your family and friends for a fun get away vacation close to home. The history behind the park is very interesting. The park is extremely well kept and taken care of. Not many bugs. The water is over 100 ft ...
Bon Echo Provincial Park,Prabhat Mani,5,"Very nice place for camping as well as full day activity for one day trip.
Canoe rentals are easily available.
Very nice and clean small lake beach.
Great photogenic places.
A super quick bite of hiking and gorgeous lookout points in ..."
Bon Echo Provincial Park,Aaron Kipp,5,"This park is stunning. The water is clean and warm, even in September. The various trails give ample hiking and great views. The large park layout provides a lot of exploring to do! There is also a full rental area for canoes, kayaks, paddle boards, etc. Well kept and quiet."
Bon Echo Provincial Park,Sophia Wang,5,"we had a big group with four families and 6 children. All of us had fun and enjoyed the beautiful view and water fun! Will for sure go back. Oh, facilities are very clean and well maintained"
