name,user,stars,review
Bonnechere Provincial Park,DR. RD MR. RM,4,"Nice place

Those of us who love short stories know the magic behind a well-told tale. There are times when you just need a complete story with a beginning, a middle, and an end. And you need it fast.

Well, we’ve got some great news:A ..."
Bonnechere Provincial Park,Kelly Diane,5,One of the best parks in Ontario. The lake is crystal clear for swimming and some pretty great fishing too.
Bonnechere Provincial Park,Yagu Coker,5,"This park is BEAUTIFUL!  Our site was very large, the staff was amazing, Round Lake a shallow beach which is great for families and it's also an accessible beach.  Highly recommend paddling down the Bonnechere River.  Rent or bring your own."
Bonnechere Provincial Park,Godwin Thambithurai,4,"We are at camp site 6.
There is trail to the comfort station.
The only downside is that the electrical outlet is on the wrong side.  The wire goes right through the campsite.
Water is great, play area is great...camp store is adequate."
Bonnechere Provincial Park,abbottfrancois,5,"This camping was Amazing with certainly and by far, the best service we ever had 👍 Quiet, good sites, very close of a beautiful beach, a near by awesome fishing site, a general store at about 1km that has everything you could think of ..."
Bonnechere Provincial Park,Luke Smith,4,Well taken care of park. The sites are spaced out nicely so you are not on top of each other. Would recommend getting to book one of the sites that are on the river. The beach is quite sandy all the way out. And the swimming area is ...
Bonnechere Provincial Park,Megan Blumenthal,5,"This is a wonderful provincial park.
This was the cleanest, best managed provincial park we’ve been to in Ontario.

It’s quite small but the sites are great quality. You have your choice of three different loops. One is radio free (Sandy ..."
Bonnechere Provincial Park,Matt Sadowski,5,Beautiful beach. Spacious sites. All you need stores.  Greatplace
Bonnechere Provincial Park,Paul Rolfe,5,The best provincial park I have been to.  The facilities are kept spotless and the staff is amazing.  Programs for kids are awesome.  Campsites and beach are beautiful and peaceful.
Bonnechere Provincial Park,Robinson Carpentry Ltd,5,Great park with over the top staff. Nice beach with amazing back drop. Paddling down the Bonnechere is a great adventure right into algonquin. Been twice and will be back.
Bonnechere Provincial Park,Tassiano Neuhaus,5,Amazing infrastructure. Plenty of canoes for rent at reasonable prices. Camping spots well maintained and organized. They also offer activities for kids.
Bonnechere Provincial Park,Tim and Tiina Parker/Harrison,5,Beautiful park. Great staff. Campsite #76 is amazing!
Bonnechere Provincial Park,Jason Laughlin,4,"Amazing park, great for hiking, kayaking or canoeing. Stream was not great for fishing but apparently the lake is better although we didn't give it a go. The sites are a nice size, ours was right on the river so an easy launch. The river ..."
Bonnechere Provincial Park,Chris S,3,"The park was clean and pretty well organized.  Sites were level and had plenty of room for our 21' trailer.  The park was nice and the walking trails were enjoyable.  The beach was nice sand, but the water had about 30' of black silt and ..."
Bonnechere Provincial Park,Josh P,5,Amazing summer times here with the kids.  Love the free life jacket loan program.
Bonnechere Provincial Park,Dale Joynt,5,"Excellent place to camp. Sites are well maintained, washroom are clean and the people are friendly."
Bonnechere Provincial Park,Alex Prince,5,Beautiful views from the Pine Shores Cottage and M. Schmidt is an excellent staff member!
Bonnechere Provincial Park,Grant Lamontagne,5,We have been to many parks and enjoy them all but this one truly stands out!
Bonnechere Provincial Park,murray Quibell,5,Beautiful time with my wife exploring and boating
Bonnechere Provincial Park,Robert L,5,"Very clean, very family friendly.  Lots of great activities to do with the kids."
Bonnechere Provincial Park,Nicole Wong Tomchuk,5,Nice campsites along the river
Bonnechere Provincial Park,james reimer,4,Make sure to canoe or paddle up the river. Great experience!
Bonnechere Provincial Park,Ann Morrison,5,Beautiful clean well maintained. Nice beach.
