name,user,stars,review
Charleston Lake Provincial Park,Anne Newell,5,"We had such a great time on the lake! The staff was polite, kind and a lot of fun!  We enjoyed the programs in the park. And, it wasn't too far to go into Kingston. We did the 1000 islands Dinner Cruise. We rarely go back to the same place, but we will be going back to Charleston Lake!!!!!"
Charleston Lake Provincial Park,Willard Meyer,5,"Awesome park and great family camping. Great place to camp, kayak, hike and fish. Great for family."
Charleston Lake Provincial Park,Elliot Zovighian,3,Tough review to write. As far as our campsite goes it was the worst of all the Provincial Parks we've been too. There is very little privacy. The next campsite is literally RIGHT beside you. The ground was full of gravel and roots from ...
Charleston Lake Provincial Park,Shallen McIlwain,5,"Been coming here 35+ years, great during the summer but rediscovered it in the fall season. make sure you reserve very very early for premium sites. clean beaches, good trails, lots to explore."
Charleston Lake Provincial Park,Daniel Oger,4,"Love this place. We had a few roudy neighbours this year. The park staff did the best they could, but it made for a rather unpleasant experience. The  David Archibald show at the amphitheatre was great, as was the learn to fish clinic ..."
Charleston Lake Provincial Park,Lisa Lessard,2,"Nice lake, beach was great to cool off in! Not much of a breeze during the heat wave though, made for warm camping trip. Don’t keep garbage out for too long, raccoons wont take long to find it. Common garbage/dumpster bins should be ..."
Charleston Lake Provincial Park,Jess Robinson,5,"First experience both at this park and in a Yurt.  Yurt was well maintained, and was as advertised.

The night sky was excellent for night sky photography on the beach. Weekday visit in Sept so the park was basically empty"
Charleston Lake Provincial Park,Jessie Harris,5,Charleston Lake Provincial Park is great for all ages. This place is very scenic and can turn anyone into have a fond relationship with nature. The park now has a newly improved trailer dump and water fill up station that is accessible ...
Charleston Lake Provincial Park,Thomas McCutcheon,5,"What a stunning location! The lake is gorgeous, the beaches are quite nice, and the water is warm. There is plenty to see, and there are onsite canoe, kayak, and paddle board rentals. The camp sites that are somewhat private, spacious, ..."
Charleston Lake Provincial Park,micheal kilborn,4,Camp is well maintained clean and has a variety of activities.  Several trails for hiking . Some with wheelchair accessible areas. Several very nice private campsites.
Charleston Lake Provincial Park,Eric McStravick,4,Nice park.  Small and intimate.  We travel with family and get multiple sites - the sites are sparse enough that we don't feel like you are sharing but close enough to carry a propane tank between sites (not that I was given a choice :) ...
Charleston Lake Provincial Park,Verlyn Nischuk,4,Great hiking trails.   And sites with real grass.  Wow!
Charleston Lake Provincial Park,Heather Simmons,4,Nice clean campsites. Lots of RVs. The park office offers boat rentals for under $25 for the day which is a great way to explore some of the lake. Bring watershoes as there are zebra mussels throughout the lake and along the shore.
Charleston Lake Provincial Park,Jason M,3,"The good: 
Amazing trails and water. 
The staff is really friendly and helpful.

The bad:
Poison ivy everywhere! On the trails and the campsites, ours had some around the electrical outlets. Even though I was really careful I still got a ..."
Charleston Lake Provincial Park,Rui Zhao,4,The main attraction here is a beautiful lake speckled with islands; perfect for boating and fishing. The facilities are well maintained. Really like to go back for Canon camping
Charleston Lake Provincial Park,Chris Stone,5,Very well run. Excellent services. Private campsites. Bring a boat or rent a canoe or kayak. The lake is beautiful. Be prepared for bugs.
Charleston Lake Provincial Park,Andrew Phillips,5,Park was clean and quiet. Staff was friendly. Had a great time! Lake was beautiful to Kayak around.
Charleston Lake Provincial Park,Edward Beauchamp,4,"This is a nice campground spacious sites,  shaded and lots of space between most sites . Large lake with good fishing and room for tubing and water skiing."
Charleston Lake Provincial Park,Ali Als,2,"This place is very crowded and campsites a very close to one another. The park is well managed and staff is helpful, it's for a quiet camping it might be good for you if its for a group camping i don't recommend this place. you can't ..."
Charleston Lake Provincial Park,kaitlyn code,3,"Nice clean park, not much privacy at between campsites. Watch out for all the poison ivy.. online when we booked it said our site didnt have any but it was full of it! Also it's unfortunate the dog swimming area is so small and bad ..."
Charleston Lake Provincial Park,Doug Carles,5,Great weekend camping with Individual and Group sized sites.  One of the best lakes for swimming in the summer.
Charleston Lake Provincial Park,Carlos C,5,"Really had a good time on this park. Nice and clean facilities, friendly staff and beautiful trails. Cant go wrong with this park."
Charleston Lake Provincial Park,JAYDEE,5,The campground was beautiful. The campsites are big and have lots of privacy. The beaches are really nice the water is clean. I had a amazing time.
Charleston Lake Provincial Park,Mirza Foisal Ahmed,3,"It was really noisy out there. We went there to have some quite time but motor boats were roaring even way past mid night. Whole day was full with speed boats, different motor boats. We barely have some peaceful time. We tried some shore ..."
Charleston Lake Provincial Park,Lisa K,5,"Great experience. We had a group Camp site located just outside the park. It included gazebo setting with many benches, vault toilets and a water pump close by. We visited both beaches which were beautiful. Racoons are very active, hide ..."
Charleston Lake Provincial Park,Julien Bérubé,5,"The sanitary installations are very clean and functional where we will were (spot 109). Some terrains are bigger and comes at a premium, but it's worth it.
Prominence of poison ivy, so be cautious. Some racoons, but not too annoying. The ..."
Charleston Lake Provincial Park,Hulya Ozel Heeney,5,OMG..it was a paradice! Hiking was amazing with hills and rocks by the lake. There is also camp grounds.
Charleston Lake Provincial Park,Melissa Lafleur,5,Amazing family camping.  So many activities.  Very peaceful!
Charleston Lake Provincial Park,Tasha Tremblay,4,"For car Camping, this is by far one of the best parks to go to. However, I am basing my review on the backcountry sites. Charleston Lake is very beautiful, scenic for canoeing and hiking, a good spot for beginner back country . You can ..."
Charleston Lake Provincial Park,Rob Arthur,5,"Slim bay is great, it's the same as it was 20 some years ago, the last time I was there."
Charleston Lake Provincial Park,Jesse Binstock,3,"Pretty good paddling and camping sites, a little busy and built up for my tastes. Still a great spot for those looking to get away into nature."
Charleston Lake Provincial Park,Paul Jaworski,4,Nice park. Or site was basically on a 90 degree angle though... Made it difficult to pick where to pick the tent but we managed
Charleston Lake Provincial Park,Colin Harper,5,"Excellent hiking, trails were well marked and the scenery was excellent."
Charleston Lake Provincial Park,Ciaran McIlwraith,5,WOW...this provincial park is #1 on my list of favorites...you can canoe and hike all day!  And you will never see every nook and cranny!  So beautiful.  Just watch for the poison ivy!
Charleston Lake Provincial Park,Daniel Hines,5,This park is amazing we had a beautiful site on the water! Each site has something ubique
Charleston Lake Provincial Park,Rebecca Dick,3,Nice Campground. Beaches are small and a little crowded. Very scenic and nice for paddling
Charleston Lake Provincial Park,Ingo Wolfert,5,Great park - and not too busy
Charleston Lake Provincial Park,Waltz,4,The backcountry sites are average. We were a bit disappointed how close our neighbours were to our site. There are some good beginner routes. The car camping sites were very noisy.
Charleston Lake Provincial Park,Marlene Koehler,5,"Very peaceful during the week in September
 Love the hikes and the water."
Charleston Lake Provincial Park,carl L,4,"Nice park,  the site was really big.  Had enough space for 3 tents and 2 cars. Being everything ur gonna need because there are no stores close by. Oh,  lots of raccons."
Charleston Lake Provincial Park,Timothy Daum,3,"Good, not great.  Sites in the Meadowlands are lacking an form of privacy and they charge quite a bit extra for additional vehicle that is still parked on your own site."
Charleston Lake Provincial Park,Adrian Greyling,5,A very beautiful slice of Ontario nature.  I love coming here.
Charleston Lake Provincial Park,Marilee Trottier,2,"The camping itself is really nice. The bathrooms and showers are exceptionnally clean! The reasons why I am giving 2 stars are because there were too many raccoons and the campsites were too close to each other.

There were so many ..."
Charleston Lake Provincial Park,Pamela Feres,5,A beautiful clean lake with spectacular views+great staff!
Charleston Lake Provincial Park,Todd Bell,5,Super clean. Well run park. Lots of raccoons.
Charleston Lake Provincial Park,Matthew Little,5,"It's my favorite provicial park, and...what can I say?

It's the park I grew up in, camping with my family through many a hot summer. My parents with loud bickering 3 kids; me (the annoying younger brother) and my 2 older half sisters ..."
Charleston Lake Provincial Park,Tracy S,5,"Good size, clean sites. Very clean, updated bath houses. Tons of trails and a lovely beach in Bayside area. Friendly staff. Also, check out Twist's Outlet in nearby Lansdowne on your way in or out and enjoy some poutine or ice cream!"
Charleston Lake Provincial Park,Shiham Ghouse,5,"Great location for camping, excellant shower facilities."
Charleston Lake Provincial Park,Peter Dawson,5,"Beautiful park, with many rocky islands. Great for a day paddle."
Charleston Lake Provincial Park,Marguerite Bertrand,5,Great camping area. It has different levels of hikes. Lots of trees.
Charleston Lake Provincial Park,lukpwh,5,They got a nice 10km trail for hiking
Charleston Lake Provincial Park,susan w,5,"Beautiful,  the lake  camp grounds  small town of  Lansdowne   all magnificent . I have  been  going  here for about  9 years.  Will  come  back   as many  times  I can"
Charleston Lake Provincial Park,Edgar Viramontes,5,Beautiful park! The 10k trail loop is not difficult and easily done in 3:30 to 4 hrs
Charleston Lake Provincial Park,Joshua Zuiderveen,4,"Well maintained and clean.
Too much poison ivy around the sites."
Charleston Lake Provincial Park,sylvie cusson,5,Loved it very well supervised. Good swimming beaches and pet beach is really nice.
Charleston Lake Provincial Park,Natalie Collins,5,Loved our stay!  Can't wait to come back!
Charleston Lake Provincial Park,Ian Russell,5,"Yah have to come and chill for the day at the small beach. Lots of young ones, but it’s a great place to chill and enjoy lake views!"
Charleston Lake Provincial Park,Rob Watson,5,"One of my very favorite places in the world! A great place to recharge my soul. Water, rocks and trees. Bliss!"
Charleston Lake Provincial Park,Will M,5,"Love this park. Very clean, great staff, beautiful water and great Kayaking."
Charleston Lake Provincial Park,Apple House Art,5,Wonderful place to visit
Charleston Lake Provincial Park,ewin Majidi,5,A great place for camping
Charleston Lake Provincial Park,Roderick Heinz,4,Nice park. Smaller beach.
Charleston Lake Provincial Park,Irene Nowak McDonald,5,Peacefula and relaxing. Camping spots with trees all around.
Charleston Lake Provincial Park,Sgjkytfhj Fhcddgj,1,"It's a nice place. However, we got a ticket at 10pm for noise, given that we didnt even have music on, and we were chatting around the fire pit. An hour later, the Park staff was hiding behind a tree watching and listening in, and he ..."
Charleston Lake Provincial Park,Christina Chenard,4,"A beautiful park with lots to do, but it is covered/infested/full of poison ivy."
Charleston Lake Provincial Park,Lucja Falkowski,5,"Beautiful park. Great hiking, swimming, boating and campgrounds."
Charleston Lake Provincial Park,Talal Twal,5,"Backcountry camping was great. Only downside is how close the campsites are to each other. Unlike other parks, you can clearly hear and see other groups of people while canoe camping. Would still recommend though."
Charleston Lake Provincial Park,Natalie Burke,5,"Yurt was clean, campsite was clean. BBQ, picnic table and deck great. Was so nice to bring our things and tada! Ready!"
Charleston Lake Provincial Park,Chris Gagne,5,"What a vacation should be.  Friends, family, a lake, and awesome weather."
Charleston Lake Provincial Park,Sina Kheiri,5,Great place! Clean an organized
Charleston Lake Provincial Park,Carlos H,5,"Amazing place to camping,  spots with all the amenities,  the lake is wonderful"
Charleston Lake Provincial Park,Ian Waldron,5,Best lake ever . so big you never see it all in a week of fishing .
Charleston Lake Provincial Park,Brent Leal,5,Great place to go camping with the family
Charleston Lake Provincial Park,Josie Ruyf,5,Its a beautiful park. The campsites are huge and private.
Charleston Lake Provincial Park,George Semple,5,Great park. Clean beaches. Interesting mix of short and some longer trails. Not camped here but used for running and hiking.
Charleston Lake Provincial Park,Allan Duong,3,Got the group site A few which was the better site compare to the other ones there. The outhouse is a bit of a walk and the same with the water. Good thing was that the garbage drop off is a bit close so don't have to drive all the way ...
Charleston Lake Provincial Park,Matt Morey,5,"This is our favourite place to camp. The water is so clear. We go to the interior camping grounds, very private. Great rock jumping spots!"
