name,user,stars,review
Chutes Provincial Park,André Pelletier,4,Quiet little park. Some campsites backing on residential. Adequate spacing between sites.   Picturesque river but no real place to swim...only good wading for kids.  Off-leash fenced dog park near the water. Adjacent town has basic amenities.
Chutes Provincial Park,D L,5,"We only had an overnight stay at this park, but We loved it. Nice sites, clean bathrooms, good showers, friendly staff. The waterfalls are nice. The swimming area looks good as well although we weren't able to try it on our stay.  This is a nice quiet park."
Chutes Provincial Park,claudia mosher,4,"Beautiful woodsy park that was empty except for our camper, in September 2018.  Mind you, it was raining buckets. Sites were large with wooded verges visually separating the sites. My only downer was having to pay for electricity even though we didn't use any. And the train that loudly whistled by across the river"
Chutes Provincial Park,Christy Brandon,5,"The water at this beach is warm and clean...ideal for little children.
There is a warning for older children who might wander off. Don't. Don't go down river from here. Can't swim there! It's very dangerous to follow this river too near ..."
Chutes Provincial Park,Dan Ursin,5,"Great, flat site with water spigots everywhere. We watched the grounds crew cleaning up sites and they do a great job. Lots of great hiking spots and very clean and easy showers."
Chutes Provincial Park,michel poirier,5,been going to chutes for the last 30 years and always a great time
Chutes Provincial Park,Thomas Telfer,4,"Good for relaxed camping but not if you are looking to escape into the back woods. River swimming and a 6km trail are the highlights for us. Showers are also a plus.

If you're looking to go for a swim, our family always brings a few ..."
Chutes Provincial Park,Emma Lecours,5,Beautiful waterfalls. Nice campground. Really nice main toilet building.
Chutes Provincial Park,Jocelyne Aichwalder,4,Beautiful park but can see city street lights at night ... too close to people's houses
Chutes Provincial Park,Philip Semple,5,This park is a hidden gem. The only thing missing for me are the lack of biking trails. Very clean comfort stations. Good privacy and very nice walking trails. The water was warm but be wary of the river currents.
Chutes Provincial Park,Canadiansugar Angel,4,Nice size campground. Nice swimming area at bottom of the falls which has low and deep areas. Great for families. Wheel chair assesible washroom and campsites. Clean washrooms and showers.Very nice groomed trails. Large lots. Close to little towns and Sudbury.
Chutes Provincial Park,Robyn MacLean May,4,"Really nice park, sites are a nice size. We had plenty of room with our 28ft trailer and pick up truck. Bathrooms are very clean. The mosquitoes were the only bad thing about our stay."
Chutes Provincial Park,Jennifer Turbin,5,Great  Camping... Quite and lots are well spaced out.
Chutes Provincial Park,Tammy Mathieu,5,"Beauty location. Also as a bonus, given its proximity to Massey allows the park to use the municipal water supply, meaning that water does not have to be boiled before drinking.
Beauty trails with great scenery ...especially the falls!!"
Chutes Provincial Park,Lesley Monjezi,4,"The falls are a great place to explore - we spent the whole day there. Campsites were well maintained and a good size. Could hear noise from town, including a party going on at a cottage just on the other side of the fence. Good place for a one or two night stopover on a family trip"
Chutes Provincial Park,Kathleen DeVries,4,"Big treed sites with electrical only. Hot, clean showers and great water pressure  Friendly park staff and beautiful scenery. Highly recommend. We stayed two nights in a 24 foot 5th wheel."
Chutes Provincial Park,Ahmer Nadeem,5,Few hundred meters from trans Canada highway. Nice camp ground close to River and scenic water falls.
Chutes Provincial Park,brianbvm39,4,"Nice park for stop overs....the dumping station needs to have trees cut down so that bigger vehicles can navigate the turn easier and not worry about damage. 
The same goes for getting into some sites....trees need to be removed in order to have a better turning radius....other than that the provincial parks are wonderful"
Chutes Provincial Park,Kevin,4,Beautiful waterfront quiet park
Chutes Provincial Park,Jay David,5,Had a great weekend.
Chutes Provincial Park,Steve Goldberg,4,Nice place to camp for a night or two. Cleanest bathrooms and showers I ever experienced in any government park in North America
Chutes Provincial Park,Ryan Rypstra,5,Awesome for family.  Great swimming areas for little and big kids.
Chutes Provincial Park,Eric Addleman,5,Frigid night in mid July but stunning views and quieter than the other parks along Lake Superior
Chutes Provincial Park,Benoit Lafortune,4,"Nice place!
The only downsides are the damn train at night and the power distributor location."
Chutes Provincial Park,meagan markus,5,I love this little park. Really nice campsites and swimming area with the chute.  Love the trail.  Good food in town.
Chutes Provincial Park,Schrute-Farms-,5,We stayed for two nights. Had a great time!
Chutes Provincial Park,Dave Monighan,5,Great park. Very quiet. Very clean
Chutes Provincial Park,John W. Vanos,4,Smaller park but a great place for a stay.
Chutes Provincial Park,Kathie Greer,5,This is my favorite P.P. It is so beautiful and peaceful.
Chutes Provincial Park,Lucinda H,5,Beautiful scenery along an easy hiking trail.
Chutes Provincial Park,Godwin Thambithurai,4,We loved this Provincial Park.  We stayed at campsite 59.  Absolutely great great spot.
