name,user,stars,review
Craigleith Provincial Park,David Stade,5,What an amazing park. Don't know where to start staff was awesome. Bathrooms where so clean. Loved the swimming. The other campers where so friendly.  Definitely going back next season.
Craigleith Provincial Park,Brian Suggs,3,"The best part about the park is access to the lake. It's beautiful and shallow. Lovely place for families. We were camping close to the highway and it was loud. If you can't get a spot right on the lake, don't go. Those spots are quieter."
Craigleith Provincial Park,Crystal MacEachern,3,"I give the camp ground a 5, it's very nice.  Right on the water and beautiful.  Clean showers and baths. Sites are smaller than I expected but there is so much waterfront to explore it didn't matter to us. Went with my 2 kids. Had a site ..."
Craigleith Provincial Park,It's Rin.,5,My friends and I stayed 5 days here this past week and we loved it. Even though we were right by the highway we found it easy to tune out any noise coming from it. The beach was beautiful and we were able to watch some beautiful sunsets. ...
Craigleith Provincial Park,Heather Wilson,4,Our site is right on the water. Amazing sound of the waves. Not a lot of privacy which we semi fixed with the set up of our trailer and truck. We are right in the middle of where the facilities are so we have the longest walk to the washrooms. Site 196.
Craigleith Provincial Park,Adnan Riaz,5,"Nice spot for 1 or 2 days camping. Access to water is there but a regular beach is under 3 min drive away. 
Sunrise and sunset was amazing to watch if the day is clear."
Craigleith Provincial Park,Jean McLachlin,5,"Don't expect a private campsite - this is not a wilderness park. Go for the waterfront. It's beautiful slate rock shelves stretching out into Georgian Bay. If you love being on or in the water, there's nothing better than this park."
Craigleith Provincial Park,Chris Lyons,4,Great park to visit. Seems smaller than it is. Lots of beautiful shoreline to explore and beautiful sunrise and sunsets! Staff are friendly and courteous. Amenities are reasonably close by. Not all sites have much privacy though.
Craigleith Provincial Park,Lizaveta Ksenafontava,5,"Clean but pretty small. We came around 11 pm, so nobody wasn't here to sell some firewood, but it was bunch of bags left on the corner. We took one and paid in the morning. Thankful for that!"
Craigleith Provincial Park,Frank,5,Very nice campground.   Large pull through sites.  Staff very friendly.
Craigleith Provincial Park,Megan Vail,2,"Definitely not a campground for an extended vacation, more suited to someone just stopping in for a night on route to somewhere else. The park is very small, the sites are tiny and although we thought our site in Area C was lacking in ..."
Craigleith Provincial Park,Angie Burnett,5,We had an excellent stay! Site #12 was perfect for us with a lovely water view. We'll definitely be back! Thank you!
Craigleith Provincial Park,Hussein Hamam,4,"Went camping over the weekend. The camp site, especially the washrooms and showers, are clean and well maintained. The camp sites are close to each other and the privacy is minimal. No sand beach and the rocks make it hard to go inside the lake. Overall, it was a nice experience."
Craigleith Provincial Park,M Kellington,4,"This park is really small and its wedged literally between  the shore of Georgian Bay and Hwy 26.
Half the park has amazing tree sites the other half is almost treeless and some of the sites are ignorantly small.  
Still the views and seeming is amazing and kids can find fossilized bones very easily."
Craigleith Provincial Park,Shiva Teja,5,"If you are at blue mountains or wasaga beach, you must visit this place. I visited this place twice and loved to visit again and again. Best place for yoga too 😂"
Craigleith Provincial Park,Ashley Hallett,1,"Beautiful view, staff were very accommodating and friendly. But the campsites are so small and close together our trailer barely fit on it. We pulled in and back out again and headed home. Very unfortunate."
Craigleith Provincial Park,Tim Hill,5,"Great park! Camping is close to the road, but nice facilities. Beach is nice to cool off."
Craigleith Provincial Park,laura m,4,"The sound of the water at night was beautiful. Bring water shoes! There's oddly alot of roads here, we heard alot of traffic. The place could use more trees as well. Love how close it is to other fun things like the scenic caves"
