name,user,stars,review
Darlington Provincial Park,Michael Walton,5,"We were pleasantly surprised to be able to book this campsite the same week. The park is well kept, washrooms and showers were clean. We loved how close to the water we could be at short notice. Love the radio free area so not to have to deal with partiers. Will definitely be back."
Darlington Provincial Park,Steve Paul,5,"First time visiting park. Spent 2 hours walking various trails and roads admiring birds and squirrels, plus taking in beautiful views of Lake Ontario. Picture shown is from shores of Lake Ontario overlooking McLaughlin Bay at sunset. Definitely worth a visit!"
Darlington Provincial Park,magicn3ss,3,"Not a bad park. Staff are friendly and helpful. Washrooms are well maintained and store has great ice cream. Sites are a good size too. Improvements that could be made;
Some sites are not private at all. Our site had a water tap in the ..."
Darlington Provincial Park,holiday season,3,"Darlington was a great experience but for a campground, I can't say it was as enjoyable as a place like Presquile or Algonquin. The main issue is how close it is to the train tracks. I live nearby a train line, so I was used to it but ..."
Darlington Provincial Park,Krishna Shenoy,4,"Camping was fun! Great first time experience for me. Campsite was clean. Huge too. Public washrooms were decent at the beginning, but as time went by, you'd expect them to be maintained - but nope! Overall the beach there is good. Clean. ..."
Darlington Provincial Park,Shawn,4,"First time camping with my family.  Park is nice, entrance is where you get registered and receive a map to the site you have paid for.  You pass by the convenient store before you get to the sites.  Fairly priced logs at $7 a bag, they ..."
Darlington Provincial Park,Ryan Paul,4,Hard to rate since the park was only partially open. The trails were easy and the day use area looks really nice
Darlington Provincial Park,Ryan Cozier,5,Took my 3yo on his first overnight camping trip here. Wanted to stay local in case we had to bail out early. We had a blast! Great camp sites and super clean park. We will be back next season!
Darlington Provincial Park,Sandra Vos,3,"Be sure to stop at the Ranger office and purchase day pass even though the park is closed. They will watch you hang out and drive around and when you leave your car, they ticket you. No warnings at all. We didnt realize once park closes for the season, we still needed a permit. Expensive walk, but nice just the same."
Darlington Provincial Park,Abner Cotter,5,"Second time at this camp ground. Cool breeze coming off the lake even in the heat wave. Best thing about there is no raccoons. Can play your music pretty much all night (not loud of course) alcohol is allowed. The park rangers are genuinely nice people,very friendly and willing to help."
Darlington Provincial Park,Canadiana North,4,"41.50 to camp near a lake view minutes out of Oshawa.

A slightly hilly area featuring several moderately flat hectares of camping, this Ontario Provincial Park features two hundred and something sites, some with electricity and all with ..."
Darlington Provincial Park,Reid Hopmans,5,Great little park close to the city. Not much good swimming tho.
Darlington Provincial Park,Kay Silva,5,"We were pleasantly surprised to be able to book this campsite the same week. The park is well kept, washrooms and showers were clean. We loved how close to the water we could be at short notice. Love the radio free area so not to have to deal with partiers. Will definitely be back."
Darlington Provincial Park,G Li,4,Perfect place to take your kids on their first camping trip.  I just wish there were more fun activities for kids.
Darlington Provincial Park,Laura Franks,4,"Couldn't believe there was such a nice little park so close to where we live.  Quaint, small but big enough. And obviously enjoyed by plenty of people.  Sites are well big enough, was quiet, and we enjoyed our stay.  Would not call it our favourite but we will definitely go back without a hesitation."
Darlington Provincial Park,Ed Muirhead,1,"$33 to park my truck on the site on top of the camp site fee. Put my pass on the post and my dash as stated. Wake up to a ticket that was issued at 3 am - ""not displaying pass on my dash"". Very strange as it was there when I woke up. ..."
Darlington Provincial Park,Ken Barbe,5,"Clean, calm. Water was warmish & crystal clear. The shore is rocky & entry into water was rocky 2 meters. Then sand. Water drops off quickly. Couldn't have asked for a better day."
Darlington Provincial Park,Ricky Yu,4,"Nice small park close to Lake Ontario, with camping facilities.  Great for summer fun."
Darlington Provincial Park,Manan Bhasin,5,"Awesome beach, fishing training was free  for kids and small park. it's nice for everyone specially families..got sand too for kids like mine need sand to play"
Darlington Provincial Park,D J,5,"Love it. Been camping there two years in a row. Great for kids and large groups and families, and couples alike.  Beach is near by with picnic area.  All around relaxing. A great place to excape the extreme city heatwave."
Darlington Provincial Park,Laverna Woodcock,5,"I would recommend this park. It has trails to hike, fish to catch and lots of areas to camp. The staff is extremely informative and friendly."
Darlington Provincial Park,Stephanie Kilbride,5,"Excellent location for visiting TO and surrounding areas.
All the facilities showers, water and electricity.

When we arrived after booking on line our spot was taken #34 and My Hubby is handicapped and we needed that closeness to the ..."
Darlington Provincial Park,Steve Lortie,4,Really nice park as far as PPs go. Most sites are BIG. Beach is mostly small stone and not nice to walk on barefoot. A lot of trains pass close by but you get used to it. In a trailer anyway. Probably louder if in a tent. Daily events for children and a nice play area. Store with basics. Overall a nice place.
Darlington Provincial Park,Denys S,4,"Love this park, great for small or large gatherings, camping, there's a lake also so you just follow the trails that will lead you there. Be with nature for a while.. We've been having our Annual picnic there for over 30+ years."
Darlington Provincial Park,Marc Hahn,4,"Awesome campsites close to home. The only downside is the proximity to the highway, train tracks and the level crossing (train horns). Excellent beach and hiking areas."
Darlington Provincial Park,alexandre dusseault,1,"The place is wonderful, we were wondering why nobody's mentioned it before... Until we eared the train whistle... Multiple time... During the night!!!"
Darlington Provincial Park,Lisa Robinson,3,"Nice shaded, private sites. Beach is very rocky. Building sand sculptures is out. Need to walk about 3 meters/9 feet into the water before reaching sand. Recommend water shoes."
Darlington Provincial Park,Ayesha Abdullah,5,Loved that we could bbq near a bench and ate our food then sat by the beach side. The waves are pretty high in this beach compared to sauble beach. Water I'd also a little milky grey color. It is definitely a family beach. The downside ...
Darlington Provincial Park,Geoffrey Campbell,3,We were on site 226. Adequate privacy as the site is surrounded by trees and brush. One side of the campsite has a trail along side it and you see everybody who walks along it through the bushes. The site is rated for 30' trailers but ...
Darlington Provincial Park,Derek Lyon,5,"Had a great time, walked to the beach and saw the pioneer cemetery. 

Our dog loved his first time camping and we will definitely be back."
Darlington Provincial Park,Sharmila Parashara Bhattar,4,Very secured place to camp. Ontario Parks and OPP surveillance. Neatly maintained camp ground and most of the camp sites are shady all day.. :)  the beach is full of moss on the shores and untidy.. but the waves are the best.. we can have fun and the day camping site isgood too.
Darlington Provincial Park,Ammo,3,Constant trains all night long made it difficult to sleep. Site 311 was good for hammock camping.  The staff did a good job of policing the park.
Darlington Provincial Park,Sophie Perron,3,"Nice camping lots. Washrooms aren't the greatest and shower water was always cold. Staff was nice and welcoming. Told the staff my firepit was full and they came to take care of it.
If you're used to more quiet camping/hearing the ..."
Darlington Provincial Park,Sefali Ghayal,1,"Staff need to clean the washrooms and the shower almost 1 or 2 hours. Showers were so dirty with tissues and other dirty stuff. But none one came to clean until 6 or 7 pm. 
Then Sunday night to Monday around 10am. Nothing were cleaned. ..."
Darlington Provincial Park,MADDAWGNETWORK,5,"Nice and close to home.
Nice walking paths, waterfront, and some easy hiking close by. 
Only downfall to this park is train passing occasionally."
