name,user,stars,review
Earl Rowe Provincial Park,Bogdan Dinescu,4,"It's a beautiful getaway for summer. The park it's clean and well maintained and the access fee is reasonable. The staff is very helpful and friendly. There is a pool which is gorgeous, with lifeguards and some shade. There is a lake ..."
Earl Rowe Provincial Park,Adam Gibson,5,I ran a half marathon through the park and had a grand time. The park looks like it would be a fun place to come and stay!
Earl Rowe Provincial Park,Steve Drenters,5,"Our own little secret in Alliston!  If you have been here before, you'll come again.  Great place just located minutes away of great amenities if you need last minute things.  Fun trails, picnic spots, water fun and well kept.  See you there!👍"
Earl Rowe Provincial Park,Jennifer Pike,4,"Arrived at check in and set up. Decided to swim afterward... Beach was closed due to bacteria levels. Totally fine, can't be helped or predicted and besides there's a pool... IF YOU PAY EXTRA. Seriously. Makes sense for day trippers, but ..."
Earl Rowe Provincial Park,GreenShrike,5,"Excellent camping in the Riverside campground. The ""lake"" isn't great to swim in if you're used to a real lake and not what is essentially a flooded river, but it suffices for boating and they have a large swimming pool for when the lake ..."
Earl Rowe Provincial Park,Daniel Hinbest,4,"Absolutely beautiful. I would definitely recommend Earl Rowe. Throughout my week long trip, there was only one downside, the unsafe beach. The pool is lovely, the campsites are wonderful, the staff are very helpful. There are some very lovely trails that were so neat. This is one of my favourite campgrounds."
Earl Rowe Provincial Park,Will Wright,3,"Some of the best sites you can find but these days the nights are filled with traffic sounds. On top of that, the lake is no longer open due to bacteria levels. Barely a 3, but the sites are top notch and so are the trails."
Earl Rowe Provincial Park,Lisa Elminowski,2,"Almost everything you'd expect from a provincial park (which is usually pretty good, in my books). The beach being closed KILLED our vacation, however. There was no indication on their website that the beach was inaccessible - in fact, ..."
Earl Rowe Provincial Park,Andrew Cruickshank,4,Great park with beach and a number of short trails.  When i was here during the fall hundreds of geese were taking a break in the water on their way South.  There is a swimming pool open during the summer.
Earl Rowe Provincial Park,Todd Hunter,3,"Not a great park for hiking, especially in the winter! As a summer camping experience it is one of the better near city experiences."
Earl Rowe Provincial Park,chris harrilal,5,"Shamefully attended the learn to camp program.  Turned out to be a great weekend.  Staff was knowedgeable, friendly and always available to help."
Earl Rowe Provincial Park,Samantha W,2,Used to come here all the time as a kid and this was my first time back in over 15 years. Not too far from home for us but I think the trek to go somewhere else is worth it at this point. It was never mentioned when I booked the site or ...
Earl Rowe Provincial Park,Chris Miller,5,This is a great park close to the city.  The huge swimming pool makes up for the man made lake that is not much fun to swim in.  The canoes and paddle boats are the best way to enjoy the lake.
Earl Rowe Provincial Park,Maria Wright,1,My husband and I used to go to this park 3/4 years ago once or even twice a year and both my husband and dad grew up spending their summers here. We went in September and I will never go back. The lake is full of e-coli so it's a ...
Earl Rowe Provincial Park,Colleen H,4,Very spacious sites. Matures are mostly evergreens and mature. Pool is amazing when open. Beach is huge but water quality is lacking. Great for canoeing and fishing off the bridges. Actually watch a turtle lay eggs right beside the pathway! Parks are small and old fashioned.
Earl Rowe Provincial Park,D. K.,5,Great trails and camp sites. An acre sized swimming pool for when the lake water quality is poor. Laundry and shower facilities. Trailer fill and dump stations. Full LTE connectivity (I'm on bell)
Earl Rowe Provincial Park,Georgy Ivashkevych,3,"The park is good in itself for recreation. It's good for families and friends to go on picnic, relax and talk. No swimming facilities though there is a big pool but it is not suited for serious swimming."
Earl Rowe Provincial Park,Judy Goodhand,4,"Beautiful Provincial Park near Alliston. Has grassy sites, lots of bike trails, a small lake, pool, and close to shopping."
Earl Rowe Provincial Park,Vitaliy Latanskiy,2,I visited this park with my family at the beginning of september as we like to scout the camp grounds before making booking camp site for next summer. The horrible smell ruined our day trip. the lake stunk really bad. The hiking trail was not too bad and the look up spot offered a beautiful view.
