name,user,stars,review
Emily Provincial Park,Justin Majik,4,Excellent park. Came here as a kid and brought my family here in June of 2018. Pigeon river is very weedy for fishing but if you find a spot you can get some nice fish bass/musky. Facilities were clean and the beach was consistently ranked in the mornings. Awesome dock for your boat/fishing as well.
Emily Provincial Park,Radhu Vijay,5,Nice park to visit during summer months. Charcoal Barbecue is allowed. Children’s play area is nearby the water.
Emily Provincial Park,selam belete,4,"I had a fantastic time at Emily park. Was there for 6 nights with 3 kids ages 8 to 10. They enjoyed their time at the south beach, swimming, fishing and walking the short trails. Truly speaking, the park and what it has to offer is good. ..."
Emily Provincial Park,Hailey Batchelor,5,"Have been going here since my childhood and it's a fantastic park for camping. The trails are great, they've done lots of work on them.  Every campsite has decent privacy on at least 2 sides from my experience. Washrooms are always in ..."
Emily Provincial Park,Sarah Nisbet,4,We had a great experience at Emily park. I think it definitely depends on what type of camping you're looking for. We could hear a lot of other people but the wardens must have done a good job as they mostly quieted down shortly after ...
Emily Provincial Park,Jaison Parayil,4,"Our family enjoyed the beach (there's 2 small ones to choose from), and the playground, but we really appreciated the shows and activities that were put on by staff.  Shower/toilet facilities were relatively clean too.  Will return again."
Emily Provincial Park,Sheryl Evans,5,Love this park. The washrooms we are using are some of the best we've experienced. Love that there's place for all your stuff and sufficient hangers! Staff are awesome as well. Very polite and helpful.
Emily Provincial Park,Lisa Synard,3,Clean park as expected from most provincial parks. The staff are very nice. The sites were ok. Our site was great. Large with a decent amount of tree cover but some people in our party had sites that weren't as private. The beach was ...
Emily Provincial Park,brent Chase,4,"PLEASE READ.
Remember you are in nature's back yard.
Site 211 has a permanent thief that lives and steals. Yes, this is not a joke.
Red squirrel steals lighters, keys, buns, or anything you may need under your screened In gazebo. Don't hurt him or them. They don't know any better."
Emily Provincial Park,Lisa Chan,4,Nice clean place with family-friendly activities and friendly staff. One thing that is needed is a few more informative directional signs to key areas like the Beaches and Convenience Store. I helped someone looking for the convenience ...
Emily Provincial Park,Gary Mark,5,"Stayed here for a few days in August 2018.  Staff are absolutely amazing.  The site we stayed at (#307) was huge, but had a pretty hefty slope to it.  I had run out of 6x6 to try to level out the trailer.  I asked staff at the front of ..."
Emily Provincial Park,Ian Emmons,4,"Spent 3 nights at Emily in August. Its a fairly large campground. Has equipment rentals, a parks store of course, and the two boat launches are very well kept, with new docks and parking lots."
Emily Provincial Park,Magdalena Stoeva,5,"Great little park. Close by to a city. Clean facilities, tons of programs for younger kids. The beach area was nice, but the 'sand' was more clay like, kids enjoyed getting dirty and building things. Needs an EV charger."
Emily Provincial Park,Paul Kuznecov,4,"Really nice park but they need to have a nice place for dogs to swim. Currently they can only go in the water at boat launches which are weedy and dirty. Staff are friendly and helpful, sites are private and beautiful. We stayed on circle and it was great. We cant wait to go back."
Emily Provincial Park,Jennifer Wilson,3,"Lovely campground - very private.  Our campsite (108) was also very nice.  However, we had heavy rain our first night, and quickly discovered that we were at the lowest point in the park - rain run-off from three different roads flowed ..."
Emily Provincial Park,simon mak,3,The beach is full of algae and water is not as clean as the southern part of Toronto beaches. The camp is not big and easy to go around on bike. Camp staff is very friendly and helpful. Washroom and shower room are cleaned frequently. We stayed on RV site and overall is quiet.
Emily Provincial Park,Laurette Ginglo,4,Yes go there every year for a Family reunion annually on the September Long Weekend.  The guy at the front desk this past year was ignorant and really was not helpful in anyway and directed us in the wrong direction to the open Family ...
Emily Provincial Park,Diana Barbour,5,I really like camping at emily park. The sites are nice and big and the beach is nice for the grandchildren. Unfortunately I can't take my dog on the beach even though I always pick up after him. But those who don't spoil it for those who do. The staff are very friendly and the park is very clean.
Emily Provincial Park,Jon Douglas,5,Super clean with great showers. Walking trail is very short but the boardwalk is finally being rebuilt.
Emily Provincial Park,Brian Bad,4,"This is my first time camping at Emily Provincial Park. Campground is very nice. Bathrooms are modern and are fairly clean with a large amount of shower capacity, 7 shower stalls where I was at. I've read other reviews about the beach ..."
Emily Provincial Park,andrew robertson,3,"Overall decent experience good staff at the gate and terrific staff at the parks store, but we were on the same group site as we have been on for the last several years, and they still haven't fixed one of the washrooms that's been out ..."
