name,user,stars,review
Fairbank Provincial Park,Joanne Eddy,5,"Wanted to share our experience at Fairbank Provincial Campground. We had a great time even though there was a fire ban on, and it rained off and on. Our experience was great because of one of the Park Attendants' - Julie!! She has a ..."
Fairbank Provincial Park,Nour El Shamy,4,"Great campground. Lots of seasonal RVs so most campgrounds are reserved with no occupants actually being there, so it's fairly empty and private. Showers, toilets, and laundry equipment are fairly dated and not super clean. The lake and ..."
Fairbank Provincial Park,Jason Hall,5,"Amazing lake, spring fed making it very clear. The lake allows boats which is cool and the park is super awesome as it's very sleepy and laid back."
Fairbank Provincial Park,Mathew Daniels,3,"The lake is pretty and the water is clear. There is one comfort station for the whole park, and it could use a face lift. There was a one minute boil water advisory in place while we stayed here, from their state of the art water ..."
Fairbank Provincial Park,Kristini D,5,"Always a great time, three separate beaches, lots of sites, bathrooms, and potable water. Our family loves this campground."
Fairbank Provincial Park,Jamie Paradis,5,Wow what a beautiful spot for outdoor enjoyment entertainment staff at the park are very helpful security does monitor the park so safety is notr a problem ..walking trails are amazing and just a great place to sit and relax or take a swim
Fairbank Provincial Park,Haley Swanson,5,Love this place! Very pretty and well kept.
Fairbank Provincial Park,Dylan Kryskow,4,"Not super busy, it has beautiful scenery and crystal clear water."
Fairbank Provincial Park,Chaim,5,Best camping experience ever. Brought my dog and he was off leash and they didn't really care  you can rent canoes for 50 bucks a day and a 50 dollar deposit they also don't care about smoking which is awesome. Overall clean and comfy site with our own private beach
Fairbank Provincial Park,willeh,5,Great public camping spot for a small getaway
Fairbank Provincial Park,Mike Cameron,2,"Lake and beach is nice enough but the park is dated, lots of things needing repair and no programing for kids and families. Sites on the water are nice. Electric sites and main area doesn't give much privacy. Many other provincial parks much nicer. "
Fairbank Provincial Park,Carla Sinclair,5,Beautiful waterfront campsites.
Fairbank Provincial Park,Katie Grant,5,its a very nice park with lovely water  and nice camp sites
Fairbank Provincial Park,Steven Hepburn,5,One of my favourite places to camp in Ontario. A very family friendly camp ground. A lot of high quality sites and clean washrooms.
Fairbank Provincial Park,Clark McMaster,4,Restrooms not the best...  Sites pretty close together... Very nice lake to swim in.  Fun drive on #4 but pretty bumpy in spots.   Beautiful little park.
Fairbank Provincial Park,Dan Scott,4,"A good park for car camping; potable water and toilets are spread throughout the campsite, and there's a comfort station that offers showers and laundry if you have an extended stay. Some of the campsites are nice and secluded, but many ..."
Fairbank Provincial Park,Gabriel Drolet,5,Awesome campsites. We got one directly on the lake.
Fairbank Provincial Park,Akash mahajan,5,"Great hiking, camping and swimming. A nice Park to visit, especially if you're looking to get away from the GTA crowds"
Fairbank Provincial Park,Line McDonald,5,It was a wonderful weekend
Fairbank Provincial Park,Matt McNeill,5,"Scenic, quiet and friendly"
Fairbank Provincial Park,Troy Mazerolle,5,Beautiful Park. Gorgeous beaches. Nice park for kids. A lot of trees which most other parks don't have. Beautiful lake side sites
Fairbank Provincial Park,Kevin McDonald,5,Great place. Awesome maintenance staff
Fairbank Provincial Park,Scott Ingham2,4,Lovely water
Fairbank Provincial Park,Kuljot Grewal,5,"wonderful place for camping, the morning mist was a totally out of the world experience"
Fairbank Provincial Park,Fernand Bidal,1,needs to be replaned
Fairbank Provincial Park,Janet Giroux,5,Beautiful provincial park close to home.
Fairbank Provincial Park,Nancy Marchand,5,Very relaxing and beautiful scenery
Fairbank Provincial Park,D We,5,Great camping spot!
Fairbank Provincial Park,Lee Bodson,5,Nice clean Lake and nice camp grounds 
Fairbank Provincial Park,Braden McMillan,1,Just don't waste your time here. Most of the camp sites are uneven on a slope which makes it hard to sleep in a tent. Plus it's $40/night.
Fairbank Provincial Park,Matthew McCue,4,"Lake is beautiful, site is always packed."
Fairbank Provincial Park,Colin Gallagher,5,Great place.  I've been going there since I was a kid.  
Fairbank Provincial Park,Vanessa Jacques,5,"Nice park, lake is great"
Fairbank Provincial Park,Vanessa Mensah,4,Great place to hangout as a family. Hot showers are available!!!!!
Fairbank Provincial Park,Jake Beaudry,5,Spring fed crystal clear lake
Fairbank Provincial Park,Ezekiel Rego,2,Because it's very far up north.
Fairbank Provincial Park,Janusz Prominski,4,Great little park. Isolated
Fairbank Provincial Park,Gareth S.C.,2,Not even an actual park. Lame
Fairbank Provincial Park,John Reid,3,secluded
Fairbank Provincial Park,Brian Drolet,5,"Clean, classic northern Ontario "
Fairbank Provincial Park,Marilyn Dubé,1,"(Translated by Google) Could not have the line for 3 days what bad service

(Original)
Impossible d'avoir la ligne depuis 3 jours quel mauvais service"
Fairbank Provincial Park,G Wonch,5,
Fairbank Provincial Park,Nigel Nicholson,1,
Fairbank Provincial Park,Emily kehoe,5,
