name,user,stars,review
Finlayson Point Provincial Park,Karly Perreault,5,"Very clean park with well maintained grounds, friendly staff and great fishing!! The docks could use a bit of work but other than that this place is excellent. I come here every year and am never disappointed."
Finlayson Point Provincial Park,John Maier,4,"This park has character.  The sites can very significantly but I liked most I saw.  Ours was small but unique. The beaches are very small and in many parts of the park you can either hear the highway, float plain or train.  The boat ramp ..."
Finlayson Point Provincial Park,Dianne Hanson,5,Love this park!! The staff is amazing and friendly and so very helpful. This was our first non electric site with our 21ft trailer! Great spot right by the lake. Lots of private sites to choose from.  Highly recommended and Will definitely be rebooking❤❤❤🎣🛩
Finlayson Point Provincial Park,James O'Hearn,5,Nice surprise. Park has many dimensions from shoreline sites to rugged natural Canadian Shield sites. Staff have been very helpful and friendly. Haven't checked out any trails yet but that's next.
Finlayson Point Provincial Park,Paul Cote,2,Not overly impressed. Bathrooms were clean but the rest of the park needs some TLC. The rangers were driving around our area continually...annoying...the wood I was forced to buy was hardwood and we were even allowed to clean up some dried branches from the side of the road to get the fire started.
Finlayson Point Provincial Park,Taylor Searles,5,"Great park, A little small but friendly staff. Nice and close to the town for supplies"
Finlayson Point Provincial Park,James Jolly,4,Beautiful location and nice staff for an overnight stay!!
Finlayson Point Provincial Park,Balkar Sandhu,5,"It's the most beautiful park I have ever seen.best for motorboats,canoeing and other boating activities"
Finlayson Point Provincial Park,Bob Alexander,5,Nice clean very friend park rangers  lots to do an see
Finlayson Point Provincial Park,Blake Cram,5,"Clean showers, great swiming. Nice campsites."
Finlayson Point Provincial Park,Andy Fyon,4,"Stayed 3 nights, July 5-7/18. The good: quite private sites; mature forrest; stable electrical supply; friendly and helpful staff; access to Lake Temagami; boat docks; good playground; day and evening programs; proximity to the town of ..."
Finlayson Point Provincial Park,Laura Poletto,4,Beautiful park. Some sites have incredible views. Fishing from shore is not great
Finlayson Point Provincial Park,Anthony Euphoric,5,"Absolutely stunning, heaven on Earth with an amazing staff! Zero complaints, will come back time after time!"
Finlayson Point Provincial Park,Louise Gaudet,4,Beautiful park and quiet surroundings.
Finlayson Point Provincial Park,Jon Nebel,5,"A recent addition to our family camping adventures. Friendly staff and a quaint camping experience. Activities for kids and the ability to rent canoes, kayaks and bicycles. Lots of trails in the local area to explore.

A favorite for our family for sure!"
Finlayson Point Provincial Park,paul poulin,5,Great park!
Finlayson Point Provincial Park,Ryan Rumsby,5,Great place for families. Awesome staff. Highly recommended.
Finlayson Point Provincial Park,Ally Carter,5,I love this place
Finlayson Point Provincial Park,Richard Vicentino,2,"One of the worst parks I've been to. The ""beach"" is all but non existent and the sites are small. One comfort station for the entire park. It's only saving grace is that if you want to access lake tamagami this is a good way to do ..."
Finlayson Point Provincial Park,Amy Rumsby,5,"Love going here every summer!! Very clean, friendly staff, close to town, great lake."
Finlayson Point Provincial Park,mark pringle,5,"Great park but small size, good quality campsites and boat mooring slips are available plus canoe racks at the small beach"
Finlayson Point Provincial Park,Jason Belanger,3,"Beautiful area, but small park that is not very well equipped to handle big trailers and rv's. The pull thru sites here are very small, and with little privacy "
Finlayson Point Provincial Park,Natalie Mihaly,5,Such a beautiful experience! The park staff was so friendly and welcoming and made our experience a memorable one! We drove from the Toronto area for the long civic holiday weekend last year and we were going to be 10 minutes late after ...
Finlayson Point Provincial Park,Corey Amyotte,4,"It was a great little provincial park. Had everything one needs while camping and glamping (glorified camping). Lots to see in the area, short drive to town (<1 minute), boat launches and trailer parking available and various privacy options for sites. 

Great place to stay with a friendly staff."
Finlayson Point Provincial Park,C C,5,Beautiful and helpful staff.
Finlayson Point Provincial Park,Jamie Coull,5,"I camped at Finlayson my whole childhood. It holds a very special place in my heart. Great swimming, (in fact that is where I learned to swim as a child) hiking, fishing and and the best of anything you love the out doors for. The park ..."
Finlayson Point Provincial Park,phraseography,5,"awesome views, very quiet, and friendly staff. plenty to do in the area"
Finlayson Point Provincial Park,David Ridgeway,5,This place is gorgeous. 
Finlayson Point Provincial Park,Pierre Brisson,1,Don't like provincial park
Finlayson Point Provincial Park,Jonathan MacKay,2,Meh
Finlayson Point Provincial Park,Akash Guha,5,Best place for cannoeing
Finlayson Point Provincial Park,Shawna Preston,5,
Finlayson Point Provincial Park,Jason,5,
Finlayson Point Provincial Park,Blair Whyte,5,
Finlayson Point Provincial Park,Nick Capizzo,5,
Finlayson Point Provincial Park,Adrian DiLena,4,
Finlayson Point Provincial Park,Austin Sims,4,
Finlayson Point Provincial Park,Naseer Ahmed,5,
Finlayson Point Provincial Park,Sonya Breault,5,
Finlayson Point Provincial Park,Stephany Ward,5,
Finlayson Point Provincial Park,Sean Kim,5,
Finlayson Point Provincial Park,Claude Barre,4,
Finlayson Point Provincial Park,Alain Roy,4,
Finlayson Point Provincial Park,Tony Johnston,5,
Finlayson Point Provincial Park,Gena Harker,5,
Finlayson Point Provincial Park,Ryan Gear,5,
Finlayson Point Provincial Park,Ramona Cole,1,
Finlayson Point Provincial Park,Troy Czerkas,5,
Finlayson Point Provincial Park,Faisal Rehman,5,
Finlayson Point Provincial Park,Kate Mather,5,
Finlayson Point Provincial Park,Jason Belanger,3,
Finlayson Point Provincial Park,enrique beboso,4,
Finlayson Point Provincial Park,John Voort,4,
Finlayson Point Provincial Park,Duncan Ward,5,
Finlayson Point Provincial Park,Dennis Schinkel,4,
Finlayson Point Provincial Park,D M.,5,
Finlayson Point Provincial Park,Jennifer Curry,5,
Finlayson Point Provincial Park,ron berthelot,5,
Finlayson Point Provincial Park,Gerhard Gehrmann,4,
Finlayson Point Provincial Park,akpro2u,4,
Finlayson Point Provincial Park,Pamela Auge,5,
Finlayson Point Provincial Park,narges ayat,2,
Finlayson Point Provincial Park,Steve Winkel,1,
Finlayson Point Provincial Park,Vadim BAD,5,
Finlayson Point Provincial Park,Paul H. Lin,5,
