name,user,stars,review
French River Provincial Park,Horizons Adventures,4,Nice waterways. Campsites overused. Some nice backwater home to some rare turtles
French River Provincial Park,Owen McGrenere,5,This is the greatest place on planet Earth. I have traveled near and far searching for a true paradise and this is where I found it. At French River Provincial Park. You want wildlife? You got it here. Leagues of flora and fauna surround ...
French River Provincial Park,Michael Huang,4,Beautiful and tote which is it's good and bad. Would be great if there was more public access points
French River Provincial Park,Bryce MacLean,5,"Fantastic time, as always! Love staying at the family cabin on the French River, every year."
French River Provincial Park,Claudette Emond,5,Beautiful area wonderful place to visit if you love nature
French River Provincial Park,William Ascroft,5,Great scenic views coupled with historic sites.
French River Provincial Park,Mike S,5,Wonderful area for camping and fishing.
French River Provincial Park,Ramil De Leon,5,The love of nature and the history behind the river. Breathtaking!
French River Provincial Park,Sylvia Bartlett,5,One of my favorite places!
French River Provincial Park,Sherif Ahmed,5,Stunning northern Ontario....
French River Provincial Park,Jenny Lam,5,Beautiful park with nice welcome centre and waterways. We were here for a canoe trip on the delta and I would recommend staying off the largest tributaries of the river. Although it was really lovely there is a huge amount of motorboat traffic on the main river that detracted from the entire experience.
French River Provincial Park,Tian Chen,4,Great view and good museum there but there were way too many obstacles on the trail
French River Provincial Park,C G-man,4,Great views and hiking trails! Don't forget to stop by the trading post for some fudge!
French River Provincial Park,RQP INC,4,4 starts because I got lost looking for the waterfalls lol
French River Provincial Park,Allan Connor,5,Great scenery and quiet surroundings.
French River Provincial Park,Trevor Riengeutte,5,Great place to fish swim enjoy the outdoors
French River Provincial Park,santiago villegas,5,French river is a nice place to relax and fish. They help you with all the info to visit the place and enjoy the place 100 %.
French River Provincial Park,Smita Gohel,5,This park's is different from other landscapes. It's a 4 hour drive from Toronto but it's worth travelling. If you do not a water vehicle then you cannot camp. This place was found by the natives and there are so many beautiful birds to see. Just be aware of the snakes. 
French River Provincial Park,Dirk Townsend,5,Beautiful getaway for a backcountry canoe expedition.  We were lucky with 20 deg weather over the thanksgiving weekend.  Kids were swimming off the canoe several times per day.  Bring a map.
French River Provincial Park,Andrew de Boer,4,Neat little museum with some information on the history of the French River and it's importance in historical trade. Good information but not a lot of exhibits. And take a trip to the largest snowmobile bridge while you're there. Well worth it. 
French River Provincial Park,Naj H,5,"Just one hour north of Killbear. If you have a day to spare, go for an all day canoe trip here (bring your own canoe or rent from the nearby Supply Store). Apparently some of the best fishing grounds are here. "
French River Provincial Park,Terry Barrett,5,We have had many years of great outings in this area and recently were in great hands when Assistant Park Superintendent Ed Chevrette saved the day for us. We hit a rock far off the beaten path and he was so kind to help us back safely! Much appreciated!
French River Provincial Park,Bruce Tiffin,5,"Great outdoors at its best, in a wonderful area. Amazing scenery, my guests have described it as mystic."
French River Provincial Park,JIJU JOHN,5,Nature's paradise
French River Provincial Park,Ben Repa,5,"Good fishing, beautiful scenery."
French River Provincial Park,Jason Fowler,4,Lots of channels to explore in the lower delta!  Don't care for the amount of fishing motor boats and the fact that there is practically no free parking and will get gouged for parking and 'boat launch' fees for your canoe.  Some ...
French River Provincial Park,Jeet Trivedi,5,"Beautiful place to visit, 90ft bridge with a great view. Tons of cliffs you can jump off into the river as well. Good trails and tons of wild blueberries."
French River Provincial Park,Piper Chapman,4,"Very cool place to take some pics. Walking bridge just off hwy 1.
Also a hiking trail. 10km"
French River Provincial Park,Mike Dobson,5,"The Muskokas at their best here. Very limited development, awesome views, the best fishing in the area far off the beaten path, so not very crowded. Just be warned there are rocks everywhere. Come with cautious boat driving skills and a depth finder "
French River Provincial Park,Ahmer Nadeem,5,Enjoyed hiking
French River Provincial Park,Hooman B,5,Nice gorge. A new suspension bridge next to a new visitor center with a museum. Worth a visit for sure.
French River Provincial Park,Melanie Sander,5,Absolutely one of the most naturally beautiful places I've ever been.
French River Provincial Park,Daniel Byrne,5,"Great museum the history of the french river
There's a nice path down to rapids half hour hike can fish there
Also foot bridge across river"
