name,user,stars,review
Grundy Lake Provincial Park,Tara Petrie,4,"One of my favourite places!
You won’t regret your stay and the views of the lake are amazing!
Pictures of the lots when booking online can be deceiving but they had no issue changing it up for us."
Grundy Lake Provincial Park,sonja oliveira,5,"We had a blast. Kids saw lots of animals, safe for riding bikes and playing with other campers. Gorgeous views and fun cliff jumping!"
Grundy Lake Provincial Park,jon dobson,5,Great camping. The park has tons of things to do. My 5 year old daughter loved the art/nature activities they had. I enjoyed the ease of renting a canoe as it was delivered directly to my site. I would definitely recommend this provincial park to my friends and family.
Grundy Lake Provincial Park,Artjom Belomestny,5,"Great camping experience. One of my favorite campgrounds and parks because it's the cleanest and the environment is the best overall. They have a variety of sites available, including electronic, trailer and group sites. If you want a place to go camping at I highly recommend here."
Grundy Lake Provincial Park,Sheryl Love,5,"This park is absolutely beautiful. The sites are large, clean and close to relief stations. There are lots of hiking trails and various lakes to explore via kayak, canoe or paddle board. The staff are friendly and always willing to help! The comfort stations are cleaned regularly and are newly revamped."
Grundy Lake Provincial Park,Amanda Jean,5,By far my most favorite provincial park! I have been visiting Grundy for 22 years. Very well maintained park with excellent staff and wonderful sites.  Always a pleasure to camp here.
Grundy Lake Provincial Park,Daniel Hefford,4,"Great park, I went the weekend after it was closed and it was fantastic. I brought my bike and biked around the campground without having to worry about anyone. Hiked the trails alone. It truly is a beautiful park"
Grundy Lake Provincial Park,Ryan Anderson,5,"Excellent campgrounds with good facilities. A good amount of trails to hike, views and wildlife to see. Excellent canoeing/kayaking as well as fantastic fishing."
Grundy Lake Provincial Park,Aaron Murray,5,Fantastic place to go camping with the family. Lots of places to swim. Bring a canoe with you!
Grundy Lake Provincial Park,Scott Coates,5,"Beautiful and small provincial park. Great for a long weekend, not much to do if you stay longer. Buy your firewood outside are the gas station. It's dry."
Grundy Lake Provincial Park,Shikhar Sandal,5,"Really great park. Lots of activities to do. Canoeing, fishing, hiking, cliff jumping and swimming. Lots of mosquitoes though. Bring a lot of bug spray. The general store just outside the park offers frozen meats, food and canoe rentals at a reasonable price. Great ice cream too."
Grundy Lake Provincial Park,Bilal Baasit,5,"Great time with the family, park Rangers were cool even when we broke the rules a few times. Lots of bugs but hey that's camping in June for ya! And we had a little raccoon come and eat my barf lol"
Grundy Lake Provincial Park,Eric Stevens,5,"Dog friendly, nice trails, clean facilities. Very enjoyable outside mosquito season."
Grundy Lake Provincial Park,Paul Leunissen,4,Nice park with lots to do.  Fair bit of highway noise...and of course several trains each night.  I'd go back.
Grundy Lake Provincial Park,Marion antunovic,4,"Shower/real bathrooms were very  far from our site. Everything else was great. Water access close and lake was perfect for kayaking, canoeing and swimming."
Grundy Lake Provincial Park,Thomas Fowlie,5,Nice spot to spend  some leisure  time.
Grundy Lake Provincial Park,Bethany Delleman,5,Beautiful and great hiking. Didn't camp so I don't know about that experience but a lovely day trip.
Grundy Lake Provincial Park,Daniel Millar,5,"We go camping three times a year and this place is always our first shot of the year. Clean, boatless lake (no gasoline), amazing night sky. One of our favourites."
Grundy Lake Provincial Park,Nicole Francis,5,I loved it here! Kayaking was amazing! My popup trailer rocked! Much better than  a tent😀
Grundy Lake Provincial Park,Richard Hamilton,5,"We love it here. Trilliums are in bloom end of May. No motors on the lakes, so great for canoeing and kayaking. Unique swimming at slippery rock and jumping rock. Hungry pike in the lakes. Great sunrises and sunsets. Lovely trails."
Grundy Lake Provincial Park,Jon Woodward,5,Great campground. Good biking. Good swimming. Strict Park staff. Have your documents in order!
Grundy Lake Provincial Park,Rob Peters,5,Awesome park. Tons to do. Beautiful hiking trails. Informative staff.
Grundy Lake Provincial Park,Kimik Real Adventures,4,Great park with good fishing and nice sites. Lots to see and do including activities for kids. Also has lots of clean beaches.
Grundy Lake Provincial Park,Evgeni Reingold,5,"Beautiful place, many beaches. Good washrooms"
