name,user,stars,review
Halfway Lake Provincial Park,Colleen H,5,The beaches are amazing!! Sand clean and great shallow water depth throughout the swimming area. Park stores are always full of necessities and wonderful trinkets. The park here is old fashioned but entertaining none the less. Parks staff are very welcoming and helpful.
Halfway Lake Provincial Park,Kurt Snetsinger,5,Great park for families. Sites are spaced out enough that you aren't sitting on top of your neighbor. Large and clean public beach.  Dog friendly but remember to bring a long lead since dogs are to remain leashed.
Halfway Lake Provincial Park,Al Linton,4,We always like to come back to Halfway Lake Provincial Park. A lot of memories for us. It is away from the city with lots of area and trails to roam. Beautiful setting on the lake and good fishing.
Halfway Lake Provincial Park,Dhruv Patel,5,Very peaceful park. Beach is nice enough to hangout on hot sunny day. Staff was kind and helpful. Few site does have waterfront. We had one of these and had lots of fun in our inflatable boat all day long. Site num 93 is highly preferred.
Halfway Lake Provincial Park,Al Carriere,5,"This is our favourite park! Super friendly staff all the time, great lots, tons to do and one of the best beaches Ontario has to offer! This is a must for your travel list."
Halfway Lake Provincial Park,JR Demellweek,5,Fishing was great. Staff was friendly. Nice place to clean fish before bringing them home
Halfway Lake Provincial Park,rashid muhammed,4,"Amazing place, had nice trails for hiking, u can also do cannoying or swim in the lake. Park has a convenience store where u can buy  everything including food, clothes, and other items. Park rangers are very polite and help. Only reason ..."
Halfway Lake Provincial Park,Pat Gervais,5,What a stunning park. A fantastic Beach. Great place for the kids. Fantastic staff.
Halfway Lake Provincial Park,Murray Lewis,5,Excellent Park.  Nice private sites. Paved sections of roads which are good for young children learning to ride bikes.  Staff very friendly and a store on location just encase you forget anything.  Beautiful Sandy beach.
Halfway Lake Provincial Park,Donald Leavens,3,"Great park but we arrived on July 3 2018 Gate house was closed all day, I had an issue with my camp site and there was no one to help thank goodness an camper walking along was able to help me. For a Provincial Park to have no one at the ..."
Halfway Lake Provincial Park,Laurie LaFleche,4,Great park but unfortunately could not take advantage of all the park had to offer due to complete fire ban which closed the hiking trails. Maybe next time.
Halfway Lake Provincial Park,Michelle Falone,5,"Spent a week tent camping.  Only thing that could have made our trip a little better was no fire ban and less mosquitoes.  Campground staff are helpful, amenities are more than adequate.  Most of the people who camp at the park are ..."
Halfway Lake Provincial Park,John Maier,5,Stayed for three nights.  It was worth the drive!  The staff were incredibly helpful tracking us down when we forgot something and bringing a second pic nic table without prompting.  The beach was perfect with lots of room to accommodate ...
Halfway Lake Provincial Park,Robert Andre,5,Excellent provincial park with a great sandy beach.  A good mix of amenities and activities
Halfway Lake Provincial Park,Peter DeHaan,5,One of my top 3  provincial parks I visited
Halfway Lake Provincial Park,Uli Moesker,5,Despite the bugs being crazy this time of year the water is warm the beach is beautiful and the views are gorgeous 👌👌
Halfway Lake Provincial Park,Kent Wold,4,Excellent park with very private sites!
Halfway Lake Provincial Park,Lindsay Bryan,5,"We've been camping here for over 25 years. Lovely campground, great hiking trails, lovely canoeing lakes."
Halfway Lake Provincial Park,Deep Vaghani,5,Nice and quite place with lush green beauty
Halfway Lake Provincial Park,Zahir Salehmohamed,3,"Nice place, lots of bugs. Black flys. Other than that it's okay."
Halfway Lake Provincial Park,Dave Monighan,5,Nice park. Very private sites
Halfway Lake Provincial Park,Lisa McCaul,5,Nice park.  Very quiet.
Halfway Lake Provincial Park,Al V,5,Great place. Lots of activities. Nice beach and large lots!
Halfway Lake Provincial Park,Fernand Bidal,5,Best park in Ontario !
Halfway Lake Provincial Park,Tara Ollis,5,"Great park great staff clean fun. 
Was my first time as an adult and my two youngest first time and we all had a blast. Thank you staff. We will be back again we didn't want to leave."
Halfway Lake Provincial Park,Claire Guerette,4,Always a pleasure!  Love the beach!
Halfway Lake Provincial Park,Emily Lockhart,5,"Absolutely drop-dead gorgeous park. Great staff, clean facilities and very well-stocked camp store! Highly recommended!"
Halfway Lake Provincial Park,Jason Milne,5,"Beautiful beach! Had a great time camping there for the week in a trailer. Showers, bathrooms and on site laundry were all great to have."
Halfway Lake Provincial Park,Jenny Kidd,5,This Park is a hidden gem north of Sudbury!
Halfway Lake Provincial Park,Ronald Glassford,5,This is a great park. We have been camping here a couple of weeks every year. We love the fact that most sites have privacy between them.
Halfway Lake Provincial Park,Arielle Hall,4,Great backcountry
Halfway Lake Provincial Park,Jeanne Romero,5,Love the scenery. Quaint shops around it. And the old villages. Parking is always an issue. 
Halfway Lake Provincial Park,Bobbi Mcnamee,5,Always beautiful and well kept.
Halfway Lake Provincial Park,Brandy Poirier,5,"Very scenic, best beaches, nice bushy marked trails, clean and we'll maintained amenities,  nice fair sized kids park, nice store and many great campsites that have enough trees and space between you and your neighbour. Better than Windy ..."
Halfway Lake Provincial Park,Haley Swanson,5,The beach is very big and very sandy. They also have a store to buy ice cream and camping essentials.
Halfway Lake Provincial Park,Kimik Real Adventures,5,This provincial park is easily on par with any of the big parks like Grundy and Arrowhead. The drive from southern Ontario is easy and well marked and very good quality drive. The first impression of any park is it's staff and their ...
Halfway Lake Provincial Park,Heather Lewis-Cochrane,5,Beautiful place
Halfway Lake Provincial Park,Tim Aiello,5,The echo pond loop had a lovely view from the top! Can't wait to try out the longer trails!
Halfway Lake Provincial Park,Dylan Kite Smith,5,Amazing place! You have to go see the lake. The view is incredible! If you want to you could kayak or canoe from the white sand beach to the other side. Very good exercise and tons of fun. YOU MUST VISIT BLUEBERRY ISLAND! Tons of wild ...
Halfway Lake Provincial Park,norm Stjean,5,Very nice park in nature like setting
Halfway Lake Provincial Park,Angeleroxanne Love to try it.,5,Awesome place
Halfway Lake Provincial Park,David Joslin,5,Had a great family camping experience!! 
Halfway Lake Provincial Park,Paul McIntyre,5,"Good size sites, excellent privacy in sites."
Halfway Lake Provincial Park,Dave Wabbit,5,Nice scenery
Halfway Lake Provincial Park,C Sailor,5,Beautiful northern camp ground
Halfway Lake Provincial Park,Trinity MacCormick,5,Amazing always have a great time the workers always make it fun for children and if your looking for some family time totally recommend!!😊
Halfway Lake Provincial Park,Crystal Thibault,4,Was ok but canoes or way to far from the lake and they or heavy so u have to carry them so not a good set up but beautiful camp ground
Halfway Lake Provincial Park,Sophie Perron,4,Nice beach and park
Halfway Lake Provincial Park,Steve Chum,5,Made for families and great fishing on the lake 
Halfway Lake Provincial Park,Jeff Currie,5,Great Beach 
Halfway Lake Provincial Park,Emily kehoe,5,
Halfway Lake Provincial Park,Heather Nixon,5,
Halfway Lake Provincial Park,Darren Hayden,1,
Halfway Lake Provincial Park,Monika Prazuch-Kuflewski,4,
Halfway Lake Provincial Park,Cathie Noonan,5,
Halfway Lake Provincial Park,Andrea Januszewski,5,
Halfway Lake Provincial Park,shane hotti,5,
Halfway Lake Provincial Park,Ghyslain Rieux,5,
Halfway Lake Provincial Park,joyce grieve,5,
Halfway Lake Provincial Park,Justin Carpenter,5,
Halfway Lake Provincial Park,Mama Charby,5,
Halfway Lake Provincial Park,Travis Johnson,5,
Halfway Lake Provincial Park,Roxanne Chaput,5,
Halfway Lake Provincial Park,Lynn Kabaroff,5,
Halfway Lake Provincial Park,Levi Linton,5,
Halfway Lake Provincial Park,Alain Thibert,5,
Halfway Lake Provincial Park,Chantal Levesque,4,
Halfway Lake Provincial Park,Josh Wismer,4,
Halfway Lake Provincial Park,Roger Eriksson,5,
Halfway Lake Provincial Park,Jennifer Danzer,5,
Halfway Lake Provincial Park,Tanya Millson,4,
Halfway Lake Provincial Park,Bev Blake,5,
Halfway Lake Provincial Park,Justin Lalonde,5,
Halfway Lake Provincial Park,Patrick Paquin,5,
Halfway Lake Provincial Park,Mike Bowser,5,
Halfway Lake Provincial Park,Tania P,5,
Halfway Lake Provincial Park,Taylor M.,5,
Halfway Lake Provincial Park,Andy Bagga,5,
Halfway Lake Provincial Park,mark cracknell,5,
Halfway Lake Provincial Park,Guy Gosselin,4,
Halfway Lake Provincial Park,Tomas Eimantas,5,
Halfway Lake Provincial Park,P. Cayen,5,
Halfway Lake Provincial Park,Steve Soulier,5,
Halfway Lake Provincial Park,Daryl Li,5,
Halfway Lake Provincial Park,Chris Johnston,5,
Halfway Lake Provincial Park,Andrea Stewart,4,
Halfway Lake Provincial Park,Louise Petitclerc,5,
Halfway Lake Provincial Park,Mélanie Sonier,5,
Halfway Lake Provincial Park,Jen Vezeau,5,
Halfway Lake Provincial Park,Pamela Auge,5,
Halfway Lake Provincial Park,Norbas,4,
Halfway Lake Provincial Park,Harry Assinewai,4,
Halfway Lake Provincial Park,Gilbert Bibeau,2,
