name,user,stars,review
Inverhuron Provincial Park,sebrena hesch,5,Fantastic campsite. Can't wait to stay longer next time three nights doesn't seem like enough. Lots of paths and trails love the swimming area. Both Rocky and Sandy areas depending on what you want to do. Kids enjoy jumping off the rocks. If you are a camping advocate this place is a must.
Inverhuron Provincial Park,donny richardson,4,"Recently updated facilities and sites. Very private large sites. This place needs a huge upgrade of the electrical for the serviced site.
we needed 100 for of electrical cord to reach the plug-in. Luckily the camp store rents out extra ..."
Inverhuron Provincial Park,Steven Weber,5,"We loved camping here!!  You can choose from private, semi private or general camping sites. A beautiful sun set can be seen from the beach at the park.  The men's and women's washrooms were both nice and clean. Park reps were great to ..."
Inverhuron Provincial Park,Donald Keay,5,"Stayed in one of the rental cabins (built just last year I believe).  

Cabin was quite nice, very clean, in the shade most of the day so it didn’t get too hot.  Cabin features a microwave, small fridge (with icebox), coffee maker, ..."
Inverhuron Provincial Park,Susan Cook,5,"Beautiful provincial park...great for biking, exploring...even an old settlers cemetery to respectfully visit.  Beach is great.  Sites in Holmes Bay are spacious and private.  Staff is helpful and friendly.  Love it...we have returned again and again!"
Inverhuron Provincial Park,Dhruv Patel,5,One of the best parks of ontario parks. Our gang just love this park. The best thing about this park is it’s sunset view which is insane. Beach is very nice and clean. They have very clean restrooms and all sites are very well ...
Inverhuron Provincial Park,Michelle Southwell,5,One of my fav parks...nice beach and dog area...great sites and always clean
Inverhuron Provincial Park,Henry Lukassen,5,Great camp ground. Sites were covered in pea gravel. Easy to walk on. No dirt in the tent. What more can you say.  Beach was clean and nice. Hiking was amazing. There is a sand and separate rock beach around the bend.
Inverhuron Provincial Park,Jack Gibson,5,Great park. Lots of private pull-through camp sites with peastone gravel helps keep the RV and tents clean after a rain. Washrooms were clean and well serviced. Very nice beach. Staff was very friendly. Enjoyed the stay!
Inverhuron Provincial Park,Linda Armstrong,5,Good campsites and facilities plus hiking and biking trails
Inverhuron Provincial Park,Joel Tawse,5,"Camping sites a laid out perfectly and are private. The beach is beautiful and well taken care of, lots of activities to do at this park. Would definitely return."
Inverhuron Provincial Park,Robert Miller,5,I love this place! Very private sights.  No water and you need a mile of extension cord to plug in. But it is worth it!!! Great beach. Dog beach is beside the public beach so you don't feel segregated.  Nice walking trails.
Inverhuron Provincial Park,Marisa Galer,5,"I love this provincial park. It has great trails along Lake Huron, the sites are private and a good size. There is a boat launch if you have a boat. Last year they put in a park for kids."
Inverhuron Provincial Park,Courtney Ecclestone,5,"Sites are large and private for the most part, the new Holmes Bay section is obviously too new to have the site coverage. All washroom facilities are clean. Staff is really friendly. The beach is narrow depending on the water levels, not over used so you can usually always find a good spot."
Inverhuron Provincial Park,Shanon Singh,5,My favourite summer spot. So refreshing.
Inverhuron Provincial Park,Michael Rayner,4,"A great park for naturalists. 
Be sure to check out the 400 year old eastern white-cedar. 
Very popular with campers."
Inverhuron Provincial Park,Devon Posthumus,4,"The campground was great. In our area, the site was rock covered, so not the greatest for tents (which we did). Lots of trails to walk/ bike on. The beach is very narrow and can get crowded very quickly. The rock entrance to the water was uncomfortable. Would recommend to others and we will be coming back."
Inverhuron Provincial Park,Laura Kentie,4,Nice visit.  Very well kept playground and trails.  Staff helpful during shorter hours-attended to an electrical problem and provided a solution  even though it couldn't be fixed.  Clean facilities.
Inverhuron Provincial Park,Steve Lynch,5,"Great camping! Sandy beach, trails, rocky beat on opposite side of the park and seasonal cabins available. Popular spot! Book in advance!"
Inverhuron Provincial Park,Adam Werstine,5,"Very small park, but beautiful beach and nice sites."
Inverhuron Provincial Park,Heather W,4,"Great place to go camping. Nice beach, nice trail along the water and lots of privacy!"
Inverhuron Provincial Park,S Banerjee,5,Great camping destination. Carry all the camping instruments and medicines. There will be a nice beach to spend day time. Wood for camp fire is available at the door. Be little careful about black fly.
Inverhuron Provincial Park,Cory Craddock,4,Nice beach and one end of beach is open for pets to come as well.
Inverhuron Provincial Park,Emily Riggs,4,Clean and quiet. Came back this year because we loved it so much last summer! Amazing sunsets!
Inverhuron Provincial Park,Jeff coles,5,"Amazing park! Clean washrooms, clean secluded sites and nice trails"
Inverhuron Provincial Park,murray percival,4,"Huge sites.. bring lots of power cord.. no minimum 75 ft.. although I'm currently using 100 ft
Hidden gems in southern Ontario.. we will be back"
Inverhuron Provincial Park,Mary Sooley,5,"Great park, clean beaches with sand bar, and sand dunes. Day Park includes lots of picnic tables and fir pit. We hated to leave, stayed until closing at 10"
Inverhuron Provincial Park,Mike Carrington,5,Really nice park only down fall is the electric posts are a little far bring extra cord for your trailer
Inverhuron Provincial Park,Stephanie Rutledge,5,Wonderful park.  The only downfall is the beach.  They need to upgrade the space near the water.
Inverhuron Provincial Park,sandra Muscat,5,Great park. Nice swimming area. Not in favor of dogs on beach.
Inverhuron Provincial Park,Julie Bedard,5,This park is awesome ..staying in Holmes bay ..friendly staff clean park clean bathrooms our site is amazingly big ..well worth a trip here!!
Inverhuron Provincial Park,Teresa Millard,5,This is a beautiful and very clean park!  Lots of big and private sites!  Lots of biking and trails!  We really enjoyed our week here!
Inverhuron Provincial Park,NF Contacts,4,"The park was lovely four years ago, but the washrooms have badly deteriorated. The faucets were jiggly and moving all over, and the toilets weren't always clean, the showers were pretty dirty too. The campgrounds, and the beach were phenomenal, as always."
Inverhuron Provincial Park,Popstag Magnolia,3,It's good scenery and nice atmosphere but why do I have to pay people who were sitting. ._.)
Inverhuron Provincial Park,lin doolan,5,Provincial park on lake Huron. Close to quaint towns. Beautiful beach and coast line. Well treed sites
Inverhuron Provincial Park,Stephen Whan,5,"Great campground. Sites are well laid out, amenities are clean and plentiful. Great place for a family vacation. 😀"
Inverhuron Provincial Park,Neil Butler,5,We go at least once a year. Place is truly a hidden gem.
Inverhuron Provincial Park,Mark Thomas,5,We have been to Inverhuron a number of times.  Sites are a good size.  Park is generally quiet after dark.  Washroom facilities are clean and staff are friendly and helpful.
Inverhuron Provincial Park,Stuart H,4,"Good, clean, private sites. Sandy beach, but a bit rocky just in at the edge. Quiet atmosphere in my experience."
Inverhuron Provincial Park,J T,4,"Great sized lots, clean and well shaded. Only complaint was campsite was small rock - really difficult to secure tent."
Inverhuron Provincial Park,Tammy Lewin,4,Lovely views and so peaceful. The kids loved the beaches
Inverhuron Provincial Park,Jeff Hegmans,5,Great place to camp or hang out on the beach for the day. The most beautiful sunsets around. A hidden gem!
Inverhuron Provincial Park,T W,5,Beautiful park. Site was nice and bathrooms where clean.
Inverhuron Provincial Park,Michael Campbell,4,"Haven't been to the park in several year, but i must say the service sites have improved with 50 amp sevice and with the foliage thicker than previous, the privacy has improved 10 fold"
Inverhuron Provincial Park,gonzozen55,5,"Great park!   Close to  the nuke plant, but nice spots.   Mostly private."
Inverhuron Provincial Park,Paul Titarenko,5,"Really liked it! Quiet, good fishing, large sites"
Inverhuron Provincial Park,Dennis Gannon,5,"Great park, well looked after with unbelievable sunsets"
Inverhuron Provincial Park,Doug and Heather Wice,5,Fantastic Park! Well maintained and clean.
Inverhuron Provincial Park,Jill Watterson,5,Great provincial park.   Camp here every year.
Inverhuron Provincial Park,Steve Leeson,5,Nice big private campsites...ideal for big rigs
Inverhuron Provincial Park,Tim van Vliet,4,"Great park, open after decades,  not as busy as other beaches along the shoreline. Note the water was very high may 2018 so beach is quite small this year."
Inverhuron Provincial Park,Joan Mallyon,4,Nice place to visit beautiful beach great camping
