name,user,stars,review
Kakabeka Falls Provincial Park,kirby fults,5,We stopped on our way through to Thunder Bay.  I remembered our trips through from when I was in elementary school and loved seeing the falls.  I showed my husband all the views. The walkways are well maintained and it was extremely safe. The prices might be a bit steep but it was a lovely visit.
Kakabeka Falls Provincial Park,Robert Thibodo,5,Outstandingly beautiful falls! Going back in summer to hike their trails. Easy access to fall especially for the physically challenged.
Kakabeka Falls Provincial Park,Evan R,5,"Been here a few times. Always a good rest stop. Nice boardwalk and good views of the river and waterfall. The parking lot is nice, big and clean. A well kept facility great for picnics with friends and family. Make sure you check it out 👍"
Kakabeka Falls Provincial Park,Jeannine Szostak,5,"Great visit even / especially with all the snow. Many boardwalk trails / stairs were blocked off due to bad conditions with snow / ice.  Took the Little Falls Trail and came to an unmarked T-intersection; unfortunately, I had no cell ..."
Kakabeka Falls Provincial Park,Andrew Cook,5,Beautiful scenery. Really enjoyed walking around the falls on both sides of the river. Well laid out walkways
Kakabeka Falls Provincial Park,Josnamol Joseph,5,The best travellers paradise in Thunder Bay. Kakabeka. Beautiful place in Winter and in Summer. Whoever comes to Thunder Bay must make a visit- be in winter or in summer.
Kakabeka Falls Provincial Park,Jane Kilpatrick,4,Beautiful views. Definitely a must see place if you enjoy heights. There's a few trails around the falls so you can see it from multiple angles. The line up to get into the park was a tad confusing.
Kakabeka Falls Provincial Park,Erik Racer,5,Beautiful views. Easy to intermediate trails. A must stop if visiting the area.
Kakabeka Falls Provincial Park,Tahir Maqbool Ahmed Khuwaja,4,Amazing falls and beauty of the place is breathtaking.  The platforms provide a good view of the falls. The only thing that I didn't like was the payment of 3 dollars for parking to just view the falls. I think they should abolish the ...
Kakabeka Falls Provincial Park,Kerry Osmond,5,Great place to relax. Clean well maintained for provincial park. Water for refills is not far away. Electrical outlets at most sites far away long cords needed for sure. Lots of walk trails.
Kakabeka Falls Provincial Park,Richard Kolp,5,This is definitely a must stop if you are in this area or coming from Thunder Bay heading westbound towards fishing resorts and outposts. Well maintained park with an outstanding boardwalk to get you those perfect views.
Kakabeka Falls Provincial Park,Paula Wiebe,5,A must see if you're passing by. Amazing falls and some cool hikes. Just remember hiking friendly shoes.
Kakabeka Falls Provincial Park,Adam Oldfield,4,Great place and amazing view. Almost too commercialized. If you're looking to see The Falls you will need to pay $2 per hour which is reasonable. You could see where nature used to have Trails you can walk to. Not disappointed by how amazing it looked and you can still feel the spray of the water crashing on the bottom
Kakabeka Falls Provincial Park,Brad Dosch,1,"""The Falls"" are a beautiful, natural phenomena...a true wonder of nature! The park itself was well kept and the restrooms ('washroom' in Canada) were clean and well maintained. Camping is available.
That said, the personnel (from the ..."
Kakabeka Falls Provincial Park,Nunki Seyer,5,"The park is well maintained and beautiful. You pay a fee for every hour. The overlook decks are great for taking an beautiful shots of the falls. If only there was a way to get to the bottom of the falls, it would have been better. If ..."
Kakabeka Falls Provincial Park,Joanne DeCook,5,The falls are an amazing sight and the campground sites were big and fairly private. Power at the sites and a place to fill your water tanks and dump your sewage and grey water. Well worth a visit! There are boardwalks on both sides of the falls.
Kakabeka Falls Provincial Park,Barb Golliet,5,Loved the falls! It's so beautiful! The park has walkways to view the falls. Very lovely. Wheelchair accessible walkways.
Kakabeka Falls Provincial Park,Tina Vannatter,5,"The Park, campground, and shops/visitor's centers are impeccable. Clean, well-kept buildings open to reveal the cleanest, most thoughtfully designed bathroom and shower facilities I and my well-travelled friends have ever encountered. ..."
Kakabeka Falls Provincial Park,Roslyn Lowe,5,"It was so beautiful, it looked like a movie scene. The prices to get in the provincial park was very reasonable. I paid $3 for an hour. Then it goes up in prices but, for a day pass was $14.50. If you are travelling  through here or to thunder bay make sure you stop!"
Kakabeka Falls Provincial Park,Heather Wilson,5,The falls are gorgeous! You can pay $3 for parking for 1 hour which is all you will need if all you want to do is look at the falls from both sides. Very cool.
Kakabeka Falls Provincial Park,C Dueck,4,Lovely little roadside gem in the midst of all Westen Ontario's trees. Transports one back in time to the age of the pioneers. Ahhh just feel the mist and breathe in the forest and pretend that civilization doesn't exist.
Kakabeka Falls Provincial Park,Mark T,5,"After making multiple stops alo g the North Shore, I was expecting more of the same, but the falls really blew me away.  It made the drive up worth it, no complaints.  Nice trail around all of the falls."
Kakabeka Falls Provincial Park,Kelly Doris,5,"Beautiful place to visit. Well worth the trip if you can make it. Cost to visit is cheap, too."
Kakabeka Falls Provincial Park,Roman Romaniuk,4,"Always nice to drop in and observe the changes of the seasons, and with them the water flow. Celebrate 125 years of Ontario Parks! #on125"
Kakabeka Falls Provincial Park,Nathalie Holler,4,"Its a nice place, however I wouldn't say its the greatest falls you can see in ON. 
My advice is Rainbow falls"
Kakabeka Falls Provincial Park,Mark Bailey,3,It was closed so not much to do. The trails are good for hiking and the falls look great.
Kakabeka Falls Provincial Park,isha sohal,5,A calm place to enjoy nature's beauty away from city's hustle bustle.
Kakabeka Falls Provincial Park,darren gregory,5,A great place to stop. We come every year while we are visiting family in thunder Bay. The falls are quite spectacular and larger than you might think.
Kakabeka Falls Provincial Park,Rob Main,5,A totally beautiful and natural area. When I lived there the view was free. Now the gov. in their infinite wisdom is charging to view.
Kakabeka Falls Provincial Park,Michelle Ferguson,5,The falls are beautiful great place to take the family
Kakabeka Falls Provincial Park,Leanne Klimek,5,We hopped out to see the falls and right back into the car to avoid paying fees. Beautiful! Very busy but worth the stop.
Kakabeka Falls Provincial Park,Steve Rechtzigel,5,Falls are BEAUTIFUL!!  The park is clean and the boardwalks and well taken care of.  There are numerous platforms to view the falls from.
Kakabeka Falls Provincial Park,Jessica Herring,5,Amazing sight and good place to stay and rest with friends or family!
Kakabeka Falls Provincial Park,Corey Canham,5,Beautiful scenery. Staff could have been more friendly
Kakabeka Falls Provincial Park,Dennis Tjaden,5,Enjoyed the falls again. Lower water than the past but still an impressive part of nature.
Kakabeka Falls Provincial Park,Yan Wang,5,Nice view of the fall. A small and neat park. Campground management was pretty casual. Nice bathrooms.
Kakabeka Falls Provincial Park,Phil Klingensmith,5,Some really great trails to walk and beautiful falls to see.
Kakabeka Falls Provincial Park,K.A.S. Grewal,5,Awesome waterfall great place .A must see in Thunder Bay!!
Kakabeka Falls Provincial Park,Andrew Olesen,5,"Small and well maintained park. The waterfalls are breathtaking when  the flow is high enough, kind of dissappointing in early spring before runoff. There are two short hiking trails on the north side. One is a short easy 1.1 km loop. ..."
Kakabeka Falls Provincial Park,Ben Cedarberg,5,Amazing waterfalls with well-developed pads from the parking lot. Handicap access and easy for kids make this a quick but beautiful stop.
Kakabeka Falls Provincial Park,Jenn C,5,Beautiful view especially in the winter
Kakabeka Falls Provincial Park,alberto s.,5,"Amazing view of the falls and the river. Didn't have the time to hike the trails in the park, but I'm considering going back some day with more time available."
Kakabeka Falls Provincial Park,Margaret Lau,5,"Only 3 dollars for parking for 1 hr. Falls were nice to see when it was frozen but watch out because it can be very slippery on the ice on the pathways. We think it would be beautiful in the summer, but it was down season (march) so the ..."
Kakabeka Falls Provincial Park,Jeanine Boulter-Bitzer,5,How can you not love the falls here? :)  Beautiful!
Kakabeka Falls Provincial Park,Mary Catherine Morris,5,"Gorgeous place to go, cold swimming & good hiking trails."
Kakabeka Falls Provincial Park,Krystal Rondeau,5,This is a beautiful place to go look at the falls and the walking trails are amazing.
Kakabeka Falls Provincial Park,Denise Pugh,5,Definitely a place to stop! Gorgeous falls! Perk with clean individual bathrooms.
Kakabeka Falls Provincial Park,Rene Doucette,4,Really beautiful. Would be nice to have showers for all areas
Kakabeka Falls Provincial Park,Eugene Blum,5,Beautiful park with incredible water falls
Kakabeka Falls Provincial Park,John Bergmann,5,Beautiful frozen falls!
Kakabeka Falls Provincial Park,Kerhaoghene Aomreore,5,"You gotta see this for yourself G. It's no Niagara Falls, but for 3 bucks, these are some serious views man! Perfect pitstop on your long haul drive."
Kakabeka Falls Provincial Park,Shilah Roberts,5,"The falls are the best I've seen in these parts.  I have to say I didn't expect that much water in late August but these falls didn't disappoint. There's a campground for those who like to rough it and for the rest of us, Thunder Bay and ..."
Kakabeka Falls Provincial Park,Bagz,4,It's a beautiful waterfall with a stunning gorge.
Kakabeka Falls Provincial Park,Gardner Calibuso,5,Excellent place!  Highly recommended
Kakabeka Falls Provincial Park,Nick Wilson,5,Beautiful place to stop for a stretch of the legs.
Kakabeka Falls Provincial Park,Stephen Hall,5,Amazing sights.  Well worth the stop.  Beautiful walkways.
Kakabeka Falls Provincial Park,Morgan MacDonell,5,"Majestic and awe inspiring views, easy to access, nice spots for a picnic and a nice little hiking trail."
Kakabeka Falls Provincial Park,Cristina Zoe Hernandez,5,"What a breath taking place!!! First time in Canada, and we are so glad we came here!!! It's about 45 minutes from Thunder Bay! We had a great time! :)"
Kakabeka Falls Provincial Park,Carla Sinclair,4,Beautiful falls and great walking access. Love the legend of Greenmantle posted in the parking lot.
Kakabeka Falls Provincial Park,Steve Moses,5,Beautiful spot to visit and have a picnic.
Kakabeka Falls Provincial Park,Erin Forte,5,If you love water you will love this....stunning!
Kakabeka Falls Provincial Park,Shurree Whymer,5,"A must stop on your travels, so beautiful"
Kakabeka Falls Provincial Park,Saurabh Limaye,5,Great waterfall! The park is well maintained and there are trails to explore.
Kakabeka Falls Provincial Park,The_living_water 76,5,"Beutiful place and there is a cool beach and swimming area, with a place to change!"
Kakabeka Falls Provincial Park,Christopher Krasowski,5,Very gorgeous stop along our road trip
Kakabeka Falls Provincial Park,Joe Steffler,5,Falls area beautiful and parking can handle big rigs
Kakabeka Falls Provincial Park,Kassandra Braün,5,This place is beautiful!
Kakabeka Falls Provincial Park,Bill Mallonee,5,Beautiful park. Great camp sites and facilities.
Kakabeka Falls Provincial Park,A T,5,Very nice park and falls. It is right on the highway
Kakabeka Falls Provincial Park,stephen calcutti,5,Very beautiful scenery of you drive by your crazy not to stop !!!
Kakabeka Falls Provincial Park,Jay cote,5,Awsome place to be. Peaceful
Kakabeka Falls Provincial Park,Wesley Brown,5,"If you chase waterfalls, gotta stop here"
Kakabeka Falls Provincial Park,Rick Harrison,5,Beautiful falls.  A must see if you are in the Thunder Bay area.
Kakabeka Falls Provincial Park,dragunroze,5,"Since I have moved away for work, I sincerely appreciate this wonderful location even more. On a trip this fall with my American significant other, we took an opportunity to stop in during our drive into Thunder Bay. He was amazed and I ..."
Kakabeka Falls Provincial Park,Barbara Rivers,5,A must see.  Lookouts well placed for great views and pleasant walk around the falls
Kakabeka Falls Provincial Park,Jennifer Wilson,5,Incredible views of the falls from trails and observation decks on both sides of the river.
Kakabeka Falls Provincial Park,Sherie Fisher,5,Was a beautiful sight.
Kakabeka Falls Provincial Park,Kyla S,5,Gorgeous falls and easy to walk around on boardwalks!
Kakabeka Falls Provincial Park,Neil Schulz,5,An absolutely breathtaking sight!
Kakabeka Falls Provincial Park,Matt Thelander,4,"Nice place to eat a picnic lunch, do a nice hike, park pass is by the hour, very reasonable"
Kakabeka Falls Provincial Park,Terry Talentino,5,Nice waterfall. Interesting history.
Kakabeka Falls Provincial Park,Beth Syrnyk,5,"Awesome!  Lots of walkways, great for many angles of the falls."
Kakabeka Falls Provincial Park,Sameer Ahmed,4,Lovely park to spend picnic with family.
Kakabeka Falls Provincial Park,Kenneth Hannaford,3,"Sad that you have to pay to see a natural wonder, actually pathetic."
Kakabeka Falls Provincial Park,shilohjackson1024,5,Gorgeous!  Easy pit-stop. Very little walking
Kakabeka Falls Provincial Park,gonzozen55,5,"A MUST see when passing thru.  Rated in the top 20 falls in Canada for a reason.   We nicknamed it ""Root Beer Falls"" (for obvious reasons!)"
Kakabeka Falls Provincial Park,Amanda Pflughoeft-Job,4,"We were there in March, it was so beautiful. I can't wait to go back in the summer"
Kakabeka Falls Provincial Park,Pj Jackson,5,Absolutely breathtaking  . I will be back !!!!
Kakabeka Falls Provincial Park,Don Collette,5,Nice park. Love the falls.
Kakabeka Falls Provincial Park,Erin Leah McCrea,5,Third time visiting. Love these falls.
Kakabeka Falls Provincial Park,Sandy Breckenridge,5,Georgous and Eddy Resturant food and service is excellent.
Kakabeka Falls Provincial Park,Zaharat Ara Tahmina Sarker,4,Nature's wonder
Kakabeka Falls Provincial Park,Jury Rodionov,5,"Roadtrip. Hard to miss if you driving on Trans Canada Highway East. Falls are gorgeous and powerful. Park fees are small, amenities well maintained and clean, park personnel is friendly and helpful. Our experience was unforgettable ..."
Kakabeka Falls Provincial Park,MR. S,5,I see why the call it the niagara Falls of the north! It was beautiful the morning we went there to see it!
Kakabeka Falls Provincial Park,Rafi Ansari,5,Nice place. Must see
Kakabeka Falls Provincial Park,Tracey Zimmer,5,Beautiful and surreal. Never dissatisfied.
Kakabeka Falls Provincial Park,Mo Cons,5,"Beautiful place to visit while in Thunder Bay area, it was the highlight of my stay there. I went at dusk, the mosquitoes were getting bad, but the view of the falls is amazing. It is like a mini Niagara falls! Would love to go again during the daytime. The walkways and trail is lovely, offers great views. "
Kakabeka Falls Provincial Park,Linda Fearnley,5,Now this is a wayer fall. Nice clean park.
Kakabeka Falls Provincial Park,Ladyhawkmb Heyer,4,"Love the falls. Tons of photo ops, and camping."
Kakabeka Falls Provincial Park,Danielle Lebel,5,"Grew up in the area! fun place to go camping, swimming and hiking! Dog friendly."
Kakabeka Falls Provincial Park,Brenda Thibert,5,Absolutely beautiful breath taken
Kakabeka Falls Provincial Park,Kelty Taylor,5,Beautiful as it always has been.  A safe place to bring children because the gates are eztremely safe. I would bring my almost two year old daughter here and feel very comfortable. One of he best places around his area!!
Kakabeka Falls Provincial Park,dean oswald,5,Great place to see
Kakabeka Falls Provincial Park,Ruchi Haruray,5,"Calm,Quite and Full of nature...... one should visit"
Kakabeka Falls Provincial Park,LUKE FRAZIER,5,Beautiful place to stop and visit. It's great for a good 30 minute nature walk around both sides of the river and you get views of really nice waterfalls and running water
Kakabeka Falls Provincial Park,Shannon Hunley,5,Easy walk to falls. Awesome vistas.
Kakabeka Falls Provincial Park,Renee Bogner,5,Beautiful! Quiet! Peaceful
Kakabeka Falls Provincial Park,Greg Kroeker,5,Beautiful. Well worth the stop.
Kakabeka Falls Provincial Park,The Original Daily,5,"Beautiful walkways and amazing waterfalls. You can get up close from two different sides thanks to a new bridge. Clean bathrooms and a nice little quiet getaway for a picnic, late lunch or supper"
Kakabeka Falls Provincial Park,Danielle Andreason,5,So pretty! Kind of upset that someone had started a fire on the deck to look at the falls so there is a big ash hole
Kakabeka Falls Provincial Park,Kimber Munford,5,"❤❤❤ Love Kakabeka! This was my second time there and it was just as breathtaking as the first. I'd love to explore the whole park sometime, but I love that you can make a little detour off the trans Canada to see a waterfall. Absolutely beautiful."
Kakabeka Falls Provincial Park,Nathan Jousmaki,5,Breathtaking views. Not too long of a walk to get to the falls. Winter time is neat to see the falls frozen.
Kakabeka Falls Provincial Park,Thomas J.,2,Pretty. Camping is 45$. For. Camping.
Kakabeka Falls Provincial Park,Ayane Firefly,5,It's beautiful here 🌿
Kakabeka Falls Provincial Park,Timothy Guiheen,3,Nice Park Falls weren't that high
Kakabeka Falls Provincial Park,Michelle Buttles,5,"Breath taking , wonderful clean park area."
Kakabeka Falls Provincial Park,John Bartucz,5,Beautiful park. Nice little hiking trails. Make sure to wear good shoes if you're planning on going down to little falls.
Kakabeka Falls Provincial Park,mary houvardas,5,"Breath taking, absolutely amazing a must see!!!!!"
Kakabeka Falls Provincial Park,Matthew,5,This place is great...  It has trees and a waterfall.  It was very parky.
