name,user,stars,review
Kawartha Highlands Provincial Park,Chip Diamond,5,Amazing national park but it’s tough to find good companies to rent canoes/kayaks from. We’ve had bad experiences with two different places. The park itself it worth 5 stars though
Kawartha Highlands Provincial Park,B Mason,5,"Great place. Yes you have wildlife that should be left alone.
DON'T CHASE THE LOONS
DON'T CHASE THE TURTLES. If you see a turtle on a road, move it to the side it was going towards.
RUN away from the bears
If you catch fish that can be released, release them. Then someone can catch them later."
Kawartha Highlands Provincial Park,Nigel Peters,3,"After a long and winding drive from the main road Google maps said we had reached - but where?

It was just trees on both sides and a gravel road.It was kind of scary too as it was isolated and very few cars.
I guess we need to make a ..."
Kawartha Highlands Provincial Park,Atomic Chronic,5,Cool trail. Squirrels seem to have a gold tip tail for some reason....
Kawartha Highlands Provincial Park,Ryan Lowe,5,"Just wrapped up a trip to site 301 and it was awesome. Shooting stars at night, long swims during the day... you'd almost want the water to be cooler in August. The park staff are amazing. I forgot to display my permit and was ticketed ..."
Kawartha Highlands Provincial Park,george stubbs,5,Nice trails. And lots of snow at the rite time of year.
Kawartha Highlands Provincial Park,Larry Kirtley,4,We rented a cottage here. Its beautiful with lots of wildlife
Kawartha Highlands Provincial Park,Emran Toronto,5,"This park is way more beautiful than Algonquin for fall colors, hope my review does not make it over crowded like Algonquin"
Kawartha Highlands Provincial Park,Bernie Gasse,5,If your sick of camping 15 ft from your neighbour then this is the place for you.  All the sites are water access only and plenty private.  Big sites with several options for where to setup.  Just spent a night at Cold Lake and was the only person there.  By far the best remote site close to Toronto.
Kawartha Highlands Provincial Park,Jordi Martori,5,Great provincial park. We rented a canoe and enjoyed some paddling and picnic. Looking forward to going back!
Kawartha Highlands Provincial Park,Susan Connors,5,Camped on sucker lake site 122.   Was beautiful.   2 portages to get there.  Both portages were short but steep and had lots of roots and rocks on the portage hills.
Kawartha Highlands Provincial Park,Luke Russell,5,"Did 5 night canoe camping trip.  Lakes stayed at were Secret, Buzzard, Shark and Stoplog.  Secret and Shark are very picturesque with no cottages, Buzzard is nice too.  Campsites were spaced far apart which gives a very remote ambiance. ..."
Kawartha Highlands Provincial Park,Androo Piek,5,One of the best camping experiences I've had. Private camping. Not expensive. Good fishing. Peaceful as can be.
Kawartha Highlands Provincial Park,Faith LeRoy,5,Our favorite place to visit each year. The sites are very well maintained and always stocked with fire wood upon our arrival.
