name,user,stars,review
Komoka Provincial Park,Austin Hurley,4,"As someone from northern Ontario this trail isn’t amazing, although a great place for a leisurely walk there is no challenge here. The park is very well maintained, unfortunately people still leave garbage about. The trail head does have ..."
Komoka Provincial Park,bri daisy,4,Great place to take a hike and clear your head.  The trails are will maintained and clean.  The variety of terrain as well as the different trail skill levels make it so you want to hike more and more!
Komoka Provincial Park,Gerald Holland,5,"We love hiking here. Parking is now paid, which is $5.25 for 2 hours, as a minimum, however, the trails are great, and scenic. Great place for a family walk or a date, and just minutes from the city"
Komoka Provincial Park,Shanti Nahata,4,"Great place for a hike. I like the different terrain the trails take. Flat and open, up hill, down hill, rocky , roots sticking out, canopy, big trees, river.
Quite and pristine. This is definitely worth a visit, if you like hiking and ..."
Komoka Provincial Park,Heather Cabral,4,"Even on a cold fall day this provincial park is magical. Set along the Thames River, there are beautiful look outs, wildlife, and a multitude of paths. 

Only downside.. there is a fee for admission."
Komoka Provincial Park,Thor Sorensen,5,Saw Two Bald Eagles circling an hour ago it was fantastic.
Komoka Provincial Park,Matt Scarpz,5,Excellent park with lots of parking. Long calm relaxing scenic walks in your choice of 3 directs. Lots of animals & birds. Takes you right to the Thames river. There's a nice lookout spot in the winter & spring/fall without leaves that lets you see the horizon from a good height. I’ve come here 7 times this year.
Komoka Provincial Park,Grant davies,3,Great hiking spot would give 5 stars if it wasn't for the expensive parking $5.25 for 2 hours.
Komoka Provincial Park,Matthew Emery,5,"Great place for a hike just a short drive outside of London Ontario. Parking is paid now, there is a public washroom. Trails are nice along the river. A good mix of hills and valleys, trails in the woods and also through the meadow valleys. Horses allowed on a few trails. Always have a good time here."
Komoka Provincial Park,Anna Smith,4,I thoroughly enjoyed a mid day walk under the canopy of the Komoka treed park. The ground was easy to navigate. There were some slight inclines that required a little extra effort. I used my urban poles which helped with any climbing. This is new and the only upgrade is a public toilet and gravel for the parking area.
