name,user,stars,review
Lady Evelyn-Smoothwater Provincial Park,Loni Cox,5,"Beautiful area, beautiful view from Maple mountain.  I wish I was here on better circumstances.  It's so sad to see this massive fire."
Lady Evelyn-Smoothwater Provincial Park,KJH Outdoors,5,Definitely world class canoe destination. Less busy than Algonquin. Rugged portages!
Lady Evelyn-Smoothwater Provincial Park,Simcoe County Roamer,5,"My fav provincial park yet! Did a back country canoe trip beginning at the Montreal River put in, paddling to Ishpatina Ridge and back. The calmest waters I’ve ever paddled! Avoid Snake Portage unless you are up for a challenge."
Lady Evelyn-Smoothwater Provincial Park,Wayne Ridsdale,5,Wild and quite
Lady Evelyn-Smoothwater Provincial Park,Lee Bodson,5,beautiful area
Lady Evelyn-Smoothwater Provincial Park,S Pelletier,5,Best canoe camping in Ontario... Possibly the world... I'm biased..lol
Lady Evelyn-Smoothwater Provincial Park,Martin Chrabalowski,4,"Very nice park, some very marshy areas and the path is a little hard to follow."
Lady Evelyn-Smoothwater Provincial Park,Daniel Hefford,5,Went to Ishpatania ridge. Amazing views at the top of Ontario!!!
Lady Evelyn-Smoothwater Provincial Park,Mike Tunstall,5,Beautiful
Lady Evelyn-Smoothwater Provincial Park,Chatravi K,5,Amazing and pretty
Lady Evelyn-Smoothwater Provincial Park,Saruti Suriya,4,beautiful
Lady Evelyn-Smoothwater Provincial Park,Forrest Guyton,5,Otters!
Lady Evelyn-Smoothwater Provincial Park,Andrew X,5,
Lady Evelyn-Smoothwater Provincial Park,Francois Grandmont,5,
Lady Evelyn-Smoothwater Provincial Park,alexander Poliakov,5,
Lady Evelyn-Smoothwater Provincial Park,Christine Ethier,5,
Lady Evelyn-Smoothwater Provincial Park,Jeremy Penn,5,
Lady Evelyn-Smoothwater Provincial Park,Kas Shel,3,
Lady Evelyn-Smoothwater Provincial Park,Bob Wing,5,
Lady Evelyn-Smoothwater Provincial Park,Ali Shammaa,3,
Lady Evelyn-Smoothwater Provincial Park,Sylvie Beaudry,5,
