name,user,stars,review
Lake Superior Provincial Park,Michael B,5,"A great collection of provincial parks arrayed along the North shore of Lake Superior.  We can there at least once each year, and have never been disappointed.  Great place for families or couples"
Lake Superior Provincial Park,Sydney Foster,5,Gorgeous views with so much to see. Perfect for people looking to get away. Plenty of activities.
Lake Superior Provincial Park,joy carere,4,"Breath taking. Would go back in a heartbeat. The drive is long, but so worth it. If you haven't been to the this part of Ontario, you are missing out. Don't count on the water being warm. We went the second week of August and being the true Canadians that we are, it was quite (shall we say) refreshing."
Lake Superior Provincial Park,R Campbell,5,"Surprisingly beautiful park just hours north of Sault Ste. Marie. The park has a headquarters with bathroom facilities but is mostly primitive. There is some hiking, canoeing, and several from-the-car strolls. No food except up in Wawa."
Lake Superior Provincial Park,Joanne DeCook,5,We had a great spot with the lake right in front of us! There was lots to do and see! Showers and bathrooms and laundry facilities. Power hook up was a bit far but we had plenty of cord. The sound of the waves was incredible! A thunder ...
Lake Superior Provincial Park,Jacob P,5,I love this place. Definitely want to buy property in this area someday.  I wish my family had not immigrated to Wisconsin! I love Canada!
Lake Superior Provincial Park,John Wordley,4,Nice campground. Bit isolated though. An hour to Wawa for shops. Transcanada  can be noisy as it is very close to the park. Lot of tractor trailers going all night.
Lake Superior Provincial Park,Vlad Samarin,5,"Amazing views of fall colors in the end of September, start of October."
Lake Superior Provincial Park,Tahir Maqbool Ahmed Khuwaja,4,Drove past the park in fall. Amazing scenery and twists. The lake and mountain combination on road is mesmerizing.
Lake Superior Provincial Park,Sue Robinson,5,"Lake Superior Provincial Park,  Agawa campground is amazing. 
The coastal drive to get there is breathtaking. I tented, but you can easily rent a cabin or lodge along the way. 
The flora and fauna is very different from Southern Ontario. ..."
Lake Superior Provincial Park,Chris Meunier,5,"I visited the park a few years ago. This park is awesome! Everything is bigger in this region. We had a great time from camping at Gargantua Bay to hiking the Sand River and even bushwhacking to a campsite that was not used in years. 

If it was not so far from Toronto I would visit more often."
Lake Superior Provincial Park,James O'Hearn,5,It's on Lake Superior. It's beautiful. The park offers many trails. Both campgrounds are amazing. All the staff we've dealt with are excellent. I mean it's on Lake Superior...what more do you need !!!!
Lake Superior Provincial Park,Bill Ahearn,5,This part of Ontario is gorgeous. The lake is shimmering from the Ontario side. The hike down to the petroglyphs is rugged in places. The cables along the rocks are in need of repair. The government needs to put some money into improving ...
Lake Superior Provincial Park,Leanne Klimek,5,"This place is beautiful and even if it's hard to get here you should probably go. I cycled through the park which is both properly hilly and amazing. Must stop at Old Woman Bay, Katherine Cove and Agawa Bay."
Lake Superior Provincial Park,Abbass Shoucair,5,Went camping and it was cold in July! Really nice play overall definitely should visit.
Lake Superior Provincial Park,Julie Wiltshire,5,What can you say about this place it's the amazing views amazing places amazing experience the whole way through this place and it's huge
Lake Superior Provincial Park,Renee Bogner,5,We had the nicest camp spot! Campground was nice and quiet so we stayed 2 nights.
Lake Superior Provincial Park,Steve Goldberg,5,"Beautiful park with great campsites at Rabbit Blanket Lake camping area. Many sites are split level and quite large. Lots to do for fishing, swimming, hiking etc"
Lake Superior Provincial Park,D Dawson,5,Love this park. Book campgrounds in advance as they do fill up quickly. Amazing shoreline and interior hiking.
Lake Superior Provincial Park,Mike Philion,5,We took the fall tour and the colors were unbelievable. Highly recommended the trip.
Lake Superior Provincial Park,Dharmil Vyas,5,"Largest fresh water lake!! Very exciting place! Back country camping is very lovely, with well maintained sites and very helpful staff. If you are visiting, must see places are Old Woman Bay, Pictographs, Bathtub Island and Agawa River Falls."
Lake Superior Provincial Park,Peter Pauer,4,"Staff great, park itself is large and very nice. Lot of good hiking trails. Comfort stations are in good shape. Mediocre rating due to overgrown state of agawa bay campground electric sites. Very hard to fit trailers into many sites they ..."
