name,user,stars,review
Lake on the Mountain Provincial Park,Stefan P,5,"The lake is OK. I mean, it looks like any other of the million lakes we have here in Ontario. Anyways, the view from the parking lot is AMAZING. This is one of the best views of Prince Edward County. Want to impress your Toronto date? ..."
Lake on the Mountain Provincial Park,Norris Lee,4,Beautiful scenic place. Great for pinics and photos. There isn't a lot of other things to do here. But make sure you get yourself a cheese platter and wine next door before you leave. You won't be sorry.
Lake on the Mountain Provincial Park,G,5,"Very beautiful setting ,gorgeous Lake on one side, stunning views on the other. Restaurant is good, plus craft beer."
Lake on the Mountain Provincial Park,yash mahashay,5,Amazing place. Words cannot describe how beautiful this place is. Plus the way to get there is so pretty.
Lake on the Mountain Provincial Park,Lisa Ray,5,Be sure to stop by and enjoy the view!! A real beauty to see
Lake on the Mountain Provincial Park,Ramses Morales,4,Wonderful place. Lots of great views in the surrounding areas.
Lake on the Mountain Provincial Park,dhaniel martinez,5,The view was amazing and its not too far from downtown picton
Lake on the Mountain Provincial Park,Kenneth hayles,5,Absolutely perfect. I had the chief’s special. It was lake trout that was caught in the same county. It was perfectly cooked servers with vegetables and basmati rice. I sat on the patio with a great view of the marvelous Lake On The ...
Lake on the Mountain Provincial Park,Sulanis,4,"It is the second time at this restaurant and it was just as good as the first. Decent prices, great staff in person. Over the phone the girl was rude, but it's a minor thing."
Lake on the Mountain Provincial Park,Ryan McCarron,3,The food was pretentious without being anything more than ok.  Old fashioned and boring.  The lakes and mountains however were spectacular.
Lake on the Mountain Provincial Park,Deutschin boyadtschiev,4,"People wonder where is the source of water.
It may be underground spring and winter snowfall and raining collection. For sute the lakes ground is a thick layer of clay."
Lake on the Mountain Provincial Park,Steven W,4,"Nice little lake at the top of the mountain, definitely a great spot for a picnic,. but overal felt there was not too much to do. Couple of smaller restaurants and patios nearby. There was also washrooms and a parking lot."
Lake on the Mountain Provincial Park,Terry Johnson,4,"A bit busy even on a weekday in summer, but the beautiful view is worth it. You may have to wait for a table at any of the restaurants nearby, so plan accordingly. There's also a microbrewery at the bottom of the hill."
Lake on the Mountain Provincial Park,Ricky Wiehr,4,"Wonderful view, nice Park  interesting history."
Lake on the Mountain Provincial Park,Debjani Barman Roy,5,Nice place. Restaurants are great
Lake on the Mountain Provincial Park,Michael Ball,5,This place is amazing. The view is absolutely incredible. Be sure to grab a table at the Miller house on the back patio.
Lake on the Mountain Provincial Park,Jason Osborne,5,Very scenic with the view of the lake and the Glenora ferry as it runs across the bay.
Lake on the Mountain Provincial Park,Ruby Singh,3,Cute restaurant and inn located on the mountain. Small lake on the mountain but cute place for a picnic.
