name,user,stars,review
Long Point Provincial Park,Daniel Millar,5,"Amazing beach. You would honestly forget that you were in Ontario. White sands and crystal clear, warm and shallow waters. 
I always make the trek from Toronto once if not twice per year (AT LEAST)
Love it."
Long Point Provincial Park,Sage Bradbury,5,Beautiful! Sucked that there was no cell service way out there but it was still a lovely beach none the less! And they had a side for the dogs too which was great! My pup absolutely loved his big swim there last summer!
Long Point Provincial Park,Candace M.,5,My husband and I love taking our 3 children to Long Point.  It's so beautiful!!!!! They have a dog beach if you love bringing your furry loved one along !! It's so peaceful and clean !
Long Point Provincial Park,HoneeyBadger JR,5,Amazing family time connecting with GOD our CREATOR... Thanks Lord for aloud us to enjoy your own creation 🙏🙏🙏🙏
Long Point Provincial Park,House of beng beng blog,4,"Long point has a nice Long Beach, easy to get your own spot away from other people. Beach water temperature is warm. It’s all sands. No rocks .Perfect for smaller kids and dogs. Campsites are great especially the ones close to the beach. ..."
Long Point Provincial Park,Fig Toria,5,"I particularly want to review the ""Dogs Allowed"" section of Long Point Provincial Park.   We've often been to the ""normal"" beach, but after acquiring a couple of dogs in the last two years, we wanted to include them in our annual ""Beach ..."
Long Point Provincial Park,Amanda Bryce,5,"Went to the beach for the day. I couldn't find pricing information ahead of time, but for two adults, it was $14.50 which wasn't too bad. There were people parking outside of the park along the main street and entering the beach via ..."
Long Point Provincial Park,Mela O,3,Went in July 2018 and the water had too much debris for my liking. It took forever to find parking and then the beach itself had way too many people. Would not go back here.
Long Point Provincial Park,Karl Berzins,5,"Like any provincial park, well maintained with friendly staff.  Rates are, however, getting a little high for camping. 

We stayed at the Monarch and Firefly area.  Amazing site if you have kids.  Very close walk to the gorgeous beach, ..."
Long Point Provincial Park,Donald Yap,4,"Almost the perfect beach.  Decent fine sand and shallows forever.  Nice and warm water, great for the kids. The only problem is the bugs. The side of the point facing inland is a marsh, which means huge breeding ground. It's hard to ..."
Long Point Provincial Park,Christine Birch,4,The beach is fantastic! Tons of sand and great for the kids since it's shallow for quite a distance.  Unfortunately the mosquitoes were terrible when we went in mod July.  Luckily we found a device in Port Rowan to help with the mosquitoes at night so we could still enjoy our campfires!  We will definitely go back again!
Long Point Provincial Park,Louise Platiel,5,"Long, clean, sandy beaches great for families. We were there on a Monday and it was so VERY much nicer than Port Dover where the party crowd had taken over with loud music, booze and smoking YUK!  Had a peaceful day of fun and sun, water was beautiful.  Worth the entrance fee."
Long Point Provincial Park,Tony Laviolette,5,Great experience and historical place. So much I didn't know until you visit and read. And by far the best beach in South Western Ontario. Here's a little hint don't climb up the 50 foot sand dunes there are Pathways that get you to the beach LOL
Long Point Provincial Park,K C,4,Nice beach all sand and miles of space to spread out dor your own peace of sunshine. Park is clean and well looked after. Worth the day trip and picnic with the family. Dog beach also here and the sand is easy on your pups tender feet.
Long Point Provincial Park,Glenn Skitch,5,"This was a amazing place to camp. Washrooms and showers were free and clean. The lake is a bit cold but the waves were fun. Lots of sites have paths straight to the beach, Lake Erie. Overall awesome place to camp, I would definitely recommend this park for future campers!"
Long Point Provincial Park,Dahod King,4,"Awesome beach and quiet long.  Early you go, you get better parking.  Get your own food, water was warm enough on a day like 35°C. Your own tent, beach umbrella or canopy would be very helpful.  Lots of cottages and RV park.  About 2 hrs driving from Toronto. Multiple route options before you hit hwy 6."
Long Point Provincial Park,Areez Habib,5,What a wonderful beach! Must be the best in Ontario. Sand is nice and soft and no smell... also very quiet and always a nice breeze.
Long Point Provincial Park,Martin Pillmajer,5,Great beaches close to the campsite. Sites are a little smaller - however are well maintained and the access to the beach is worth it! Very popular campground for families.
Long Point Provincial Park,Jamie Cryne,5,was a great holiday. love to go back with a trailer. and my lovely family
