name,user,stars,review
MacGregor Point Provincial Park,Sherri Cooper,4,Now this is a wonderful place. The beach is amazing. The sites are big and you don't feel like your sleeping on top of your neighbor. If you like to hike/bike the pathes are wonderful. The sunsets are wonderful if you head out to the beach 😁
MacGregor Point Provincial Park,Alana stewart,5,"Great place to camp, especially for those into biking! Been coming here since I was a kid and will continue to come. Private, wooded sites offer excellent privacy. Clean and abundant facilities.  If you’re into fishing you will really ..."
MacGregor Point Provincial Park,Paul Vera,5,"This place is amazing. We went to spend the weekend on a yurt. Perfect for groups up to 6. Very comfortable, with heater, nice beds, table and chairs. Outside an amazing barbecue and a fireplace. Washroom qnd showers 3 minutes away and everything with hot water. This was a perfect weekend."
MacGregor Point Provincial Park,Craig Beaupre,5,Great stay in a Yurt on the coldest night of the winter so far.  Cozy and warm by the gas fireplace.  Skating on the oval.  Hike in the woods.  Great day.
MacGregor Point Provincial Park,Rick Almeida,5,"Been here quite a few times, it's one of my favourite provincial parks. Numerous walking and biking trails. Sunset point can get busy during sunsets, but there is always a spot for a great view. Big park right next to the beach for the ..."
MacGregor Point Provincial Park,adrian zafiriu,5,fantastic campground. amazing views. we've already booked our next stay. Bonus: year round activities including a skating trail through the forest !!
MacGregor Point Provincial Park,Katelyn Mast,5,"By far too 5 fav provincial parks. Up there with Shaw’s bay, arrowhead etc. So many amazing trails! Beautiful beach, excellent visitors centre and clean bathrooms!
I even did a free painting class there. I adore this park! Plus, if you go in the off season you can pay by the hour if you wish cheap!!!!"
MacGregor Point Provincial Park,Sheila Steele,5,"Have been going to MacGregor Point since 1994. The children grew up going there and my son decided he wanted to get married at the park he truly felt connected with. It is very close to the town of Port Elgin, and so you will find ..."
MacGregor Point Provincial Park,MaryAnne Gajdek,5,"Really enjoyed the campsite. Very private. Friendly staff. Lots of trails, bike rentals, beach area to enjoy. And very nice nearby towns to visit while camping."
MacGregor Point Provincial Park,Diana Moreno Ojeda,4,"If I could, I would give this park a 4.0 on amenities, and a 4.5 for the natural diversity. I loved my camping ground, it was really closed to a viewing deck of the Marl,which was both strikingly beautiful and very peaceful. There were ..."
MacGregor Point Provincial Park,Melissa Hofmann,4,Great fall camping trip. Our site had a lit of privacy. The washroom were clean and not busy. The trails were well groomed. The beach and playground were fun for the kids. The only down side was the poison ivy. There is a lot at the campground and trails.
MacGregor Point Provincial Park,Tara Kachroo,4,"A very large, clean and well kept park. The main activity is definitely biking and I wouldn't camp here without bringing a bike. Beaches are so so.  When they list camping sites as without shade they absolutely mean it. Bring a tarp and some tarp supports for a much more comfortable stay."
