name,user,stars,review
Mara Provincial Park,Dujana,4,Great park for beginner camping. Have medium size picnic areas. Some spots can be muddy. Good showers and washroom.
Mara Provincial Park,W G,4,"Found this spot after doing a google search knowing I would be in the Orillia area. It’s a great spot if you are just looking for a nice quiet beach, some hiking trails or a campground.  There is ample parking. The beach itself is large ..."
Mara Provincial Park,Aucoin Digital,5,I stayed at Mara Provincial Park last weekend. We were at a campsite near the end of the park that does a loop. We had 2 secluded campsites for 8 people. Park Wardens were friendly. The beach is huge and busy during the weekends. Would recommend  10/10.
Mara Provincial Park,indu rana,5,Had a fantastic day at the beach. Loved everything about it. The temp was like 30° but didn't even feel it because of the trees n shade around.
Mara Provincial Park,Karen Misek,5,Small park with approximately 100 sites. Our site wasn't very private but during the week it wasn't too busy. Beautiful beach within walking distance.
Mara Provincial Park,whoizaghost,5,Loved it. But I wish they had a sign on how much entrance cost.like q small sign maybe put the cost up front it was 14 dollars and to pay in cash after a certain time for a day pass. But otherwise well worth the price for sure loved it hope they maintain it this way..
Mara Provincial Park,Mercedes Mundo,3,Very nice por children's can play it's clean.
Mara Provincial Park,Heather Lewis-Cochrane,4,"Cute park, sites aren't very private"
Mara Provincial Park,Kevin Pike,5,"Wonderful little gem of a park!  We used it as an introduction to camping spot for our young kids since it wasn't that far from home.  If things went south quick it wouldn't be much to pack and go home.  Arrived in a downpour, but that ..."
Mara Provincial Park,Theresa Leilich,5,Had a great time! Was a very quiet park! Wpuld recommend it and would go back again.
Mara Provincial Park,James Weber,5,I frequently visit Mara to camp during the summer and I love it! The park is fairly small which I enjoy as there is not much noise. The beach is very big as well. There is also a considerable amount of mosquito so don’t forget bug spray!
Mara Provincial Park,Melissa Shah,5,"This is by far the best beach we have been to just outside the GTA. There is lots of space on the beach to set up your beach tents, mats etc, there's a grassy lawn with picnic tables, a small playground area with some slides and fun ..."
Mara Provincial Park,Shazia Raja,5,It is a really nice park and the beach with lots of trees and a lot of space for kids to play sometimes in summer hot months they have a ban on open fires so if you are planning to have a charcoal BBQ make sure you call ahead and ask them if the ban is in effect you can still use your propane BBQ but not the charcoal one.
Mara Provincial Park,Nick Patel,4,"Very nice, small clean provincial park less then 2 hours drive from 401/400. Good for family and friends get together for picnics"
Mara Provincial Park,MegaMark,5,"Great beach! Tons of space. You can do anything from volleyball to throwing a football to swimming. If you hop by Orillia, this is the beach you must visit."
Mara Provincial Park,Kat Nadler,5,Super nice beach. Small but clean and very few people especially on a weekday.
Mara Provincial Park,Allan Zoleta,2,"There are two areas here: Beach and the other one is a Camping grounds. I went to the Beach area. Plenty of room, lots of sea shells, weeds and rocks. It hurts going in or going out to the water.The washrooms are nasty, not regularly being check and clean.The garbage/recycle bins are regularly check and emptied."
Mara Provincial Park,Abdul Khan,5,The park is well maintained and the washrooms are super clean. Super friendly staff...
Mara Provincial Park,Maninder Singh,3,"Beach is awesome, shallow water, but no changing room, you will only get toilets and you have to use to do everything"
Mara Provincial Park,Fred Chard,5,Very Quiet and Peaceful .Enjoyed the hiking trail around the park.
Mara Provincial Park,Thilagan Kunanayagam,5,A wonderful place to spend time with your family during the summer days.
Mara Provincial Park,Sinthu Kuna,5,I was skeptical about going to this beach but I'm glad I did. The beach is beautiful and the water is very clean. I read reviews saying you can't barbecue there but this is false. You can most definitely bbq as long as its a propane bbq. ...
Mara Provincial Park,Kesha Leshion Livingston,5,"Nice park, the water is clear, beach is clean. Please as the sign clearly states no dogs in the water, respect that."
Mara Provincial Park,roby p,3,"Too crowded  on weekends!!!!

This beach is a heaven on weekdays with not too many people around, however it's way too crowded on weekends, which makes it one of the worst places."
Mara Provincial Park,Karyn Noble,4,Great..beautiful beach..the only negative is our electric site the breaker keep going off..#23
Mara Provincial Park,Mickey I,5,Nice clean and friendly beach very recommended for kids and families. Also you can camp there!
Mara Provincial Park,Shondelle Reis,5,Loved it there the park was beautiful
Mara Provincial Park,Maciej Kościuk,4,Very nice beach little bit crowded but very nice
Mara Provincial Park,Natasha Carr,5,Beautiful beach and clear shallow water. Love it here!
Mara Provincial Park,Sinoun Pil,5,Beautiful and clean park with a nice beach. Campgrounds and picnic areas available as well.
Mara Provincial Park,Barthee Yoga,4,Nice shadow picnic area close to beach.
Mara Provincial Park,Renat G,5,"The best rangers of any provincial park I've ever been to, work here."
