name,user,stars,review
Mark S. Burnham Provincial Park,Nusrat Jabeen,4,Went for a fall hike. It was nice but had expected better - perhaps the timing wasn't right. Enough parking spots and short pleasant hike.
Mark S. Burnham Provincial Park,Robin Kirchen,5,Beautiful wide trails. Great area!
Mark S. Burnham Provincial Park,K Neufeld,4,Great little spot to hike. Not the biggest fan of how expensive parking is. Honestly a lot of the time I don't bother paying. $15 for a 30 min walk doesn't make sense when all the other parks and trails are free!
Mark S. Burnham Provincial Park,Eric Gregory,5,Beautiful park for a short walk. I really enjoyed walking through the long trail. I took my time and and struggled to make it last longer than an hour while I waited for my car to be serviced across the street. Close to highway so there a bit of road noise in the picnic area but otherwise a good spot for that.
Mark S. Burnham Provincial Park,Chalmers Reed,4,Beautiful place to stop and rest on the drive from Ottawa to Toronto. After a walk or a 15 min snooze ready to hit the road for the rest of the drive. Recently new washrooms but you now have to pay to park. 😞
Mark S. Burnham Provincial Park,ed c,5,Amazing place to take the family for a walk.. We find more wildlife there than at jacksons park.
Mark S. Burnham Provincial Park,Kara Horton,5,"Love walking through here. Parking is expensive, worth it if plan on being there all day. $11.50 for parking a little much I'd say."
Mark S. Burnham Provincial Park,Erin Merkley,4,Short but beautiful trail. Good for a half hour walk or so.
Mark S. Burnham Provincial Park,Faery 5,5,It's a lovely little patch of woodland trail. Nice tall trees and some speckled woods.
Mark S. Burnham Provincial Park,Debora Neate,5,Icy but beautiful
Mark S. Burnham Provincial Park,Kevin Roche,5,Very nice here
Mark S. Burnham Provincial Park,Dan Eagleton,4,Nice place to go for a walk.
Mark S. Burnham Provincial Park,James D,4,Beautiful. $11.25 for parking is expensive for a 20min walk
Mark S. Burnham Provincial Park,Joerg W,5,Very good park too walk your dog clean but closed over the winter.
Mark S. Burnham Provincial Park,bryan hatton,4,Great for a short hike in town.
Mark S. Burnham Provincial Park,Dee W,2,"Nice little park. Been going for short walks there for over ten years. The new electronic day use fee machine costs $11.25, seems a little steep for a park you can walk entirely in 45 minutes. I understand it needs money to be maintained, maybe at a reduced park fee. Won't be visiting anymore."
Mark S. Burnham Provincial Park,tim weatherup,5,Great quick dog walk spot.
Mark S. Burnham Provincial Park,Basil Alias,5,Nice place for walking
Mark S. Burnham Provincial Park,Joshua Harman,3,"A very nice, short walk. Expensive parking though."
Mark S. Burnham Provincial Park,Scott Irvine,5,One of my favourite places; I've been coming here for over 20 years and watched the forest change. Well maintained trails good parking and picnic area. Small but lovely.
Mark S. Burnham Provincial Park,Kate Mcglashan,5,"Nice trails; went later in the day so only did the short trail , bout a 10 minute walk with kids."
Mark S. Burnham Provincial Park,Cory Marazzo,5,"A short, easy trail through the woods. Parking is not free."
Mark S. Burnham Provincial Park,Collin R,5,Lovely spot to walk around and enjoy.
Mark S. Burnham Provincial Park,Terry Stopps,4,"Nice little day-use Provincial Park, with picnic area, and a pretty, relaxing interpretive trail. "
Mark S. Burnham Provincial Park,kimberannes crochet,5,Love the walk through the woods:) so do our dogs lol
Mark S. Burnham Provincial Park,Graham Hill,5,Historic preservation area. Good hiking.
Mark S. Burnham Provincial Park,Quang Vu,5,It is so beautiful in Fall!
Mark S. Burnham Provincial Park,Nick Powers,4,Beautiful small park with a couple of trails. Great for a picnic lunch or short family hike.
Mark S. Burnham Provincial Park,Katherine Charchuk,5,I used to cross country ski here.
Mark S. Burnham Provincial Park,Kirk April,5,"My Daughter and I love this park. Great walking trails, a big Picnic area. this is mostly a walking trail park. There are 2 main trails, a short trail about 15-20 mins and a medium trail about 30-40 mins. The longer trail does have a ..."
Mark S. Burnham Provincial Park,Jeff Suddes,5,Great place for a walk
Mark S. Burnham Provincial Park,Caleb Hunt,4,"It's a small park, relatively speaking, but the trails offer a nice afternoon walk. Easily done with small children. "
Mark S. Burnham Provincial Park,Andrew Curzon,4,Walking paradise
Mark S. Burnham Provincial Park,Joshua Kubinec,4,A really nice place for a walk. 🙂
Mark S. Burnham Provincial Park,Neil Barker,5,Very nice little park for hiking just outside Peterborough.
Mark S. Burnham Provincial Park,Dan Britt,5,Great variety of walking trails.
Mark S. Burnham Provincial Park,Harrison Han,4,Summer is better
Mark S. Burnham Provincial Park,Jorg Klein,5,Nice trails
Mark S. Burnham Provincial Park,Sazzad Mahmud,5,Feels like I time travelled back 200 years
Mark S. Burnham Provincial Park,Petr Pulchart,4,Beautiful forest
Mark S. Burnham Provincial Park,Kenny Annett,4,$3 to park?
Mark S. Burnham Provincial Park,Ali Dupont,2,"(Translated by Google) Paid parking $ 3 for 2 hours. short hiking trail made in 30 minutes.

(Original)
Parking payant 3 dollars pour 2 heures. Circuit de randonnée très court réalisé en 30 minutes."
Mark S. Burnham Provincial Park,fatima neamtu,5,
Mark S. Burnham Provincial Park,Ian Douglas,5,
Mark S. Burnham Provincial Park,Darryl LaPlante,4,
Mark S. Burnham Provincial Park,jam har,5,
