name,user,stars,review
McRae Point Provincial Park,suzanne walker,5,"Well managed Campsite, were in the south side with no electricity yet preffer the North side with electrical outlets. Sand swimming area waist deep. Showers always have hot water. Start your fire early around seven to drive out the mosquitoes. Great nature hikes and nature enhances intimacy."
McRae Point Provincial Park,Cakelaine,5,"I cant say enough great things about this lake and campground. I found this place this past summer and drove 1.5 hours to see it over 10 times during the summer. The lake water is always warm, clear and the little minnows are friendly. Staff keeps these grounds clean and safe"
McRae Point Provincial Park,Sherman D'Souza,4,"Really nice park. They only allow 6 people on a site and they considered my 2 year old niece as a full person so we had to pay for a second site, which felt like a cash grab. Really no reason for the rule to be as such especially with ..."
McRae Point Provincial Park,Traciee Stafford Pollard,5,Great beach and camp sites. Good owners. Shower stalls are clean.
McRae Point Provincial Park,Ed Lawlor,5,It was really nice. Lots of areas to see the water and a great picnic beach. It might have been different if it were busier because the sites all seem really close together in the north section but it was good while we were there.
McRae Point Provincial Park,Ryan,5,I come here every year and its always a fantastic experience. The staff on hand was helpful and fun to talk to. The site is kept really clean.  ^_^
McRae Point Provincial Park,Marcus Fuchs,5,Great place for suburban camping. Not too much of a deep forest and close to a major town. Well worth it for families and kids. Beach Is great.
McRae Point Provincial Park,Sreedev S,3,One of the most perfect camp grounds ever. Nice and big with grass. But the provincial park is rather small and there are better beaches than this. But not all the camp grounds there are good so pay attention to the pictures.
McRae Point Provincial Park,Steve Dangle Nation,4,"Small Park but very well kept, staff are friendly and helpful. Bathrooms and showers are very clean for our off-peak visit. Pull throughs have large sites but not much privacy. There is one trail running the perimeter of the park and along the water."
McRae Point Provincial Park,Lisa Buchanan,3,"Average park - most beautiful campsites ever ... can get very close to water with your own path down. Clean facilities, friendly staff. Mosquitoes were a major issue - probably better to come here in fall. No easy spots for shore ..."
McRae Point Provincial Park,Ron Antle,5,"Great place. Clean and lots are very spacious. Comfort areas are very clean.
This our second visit here. We will be back again and again."
McRae Point Provincial Park,Jenn Gaudet,5,"Great beach, large sites with shade. Beach is all sand and shallow for a long way out; perfect for kids. Adults can swim out past the buoy for deeper water."
McRae Point Provincial Park,Rise up,5,"Great park, love the trails thru and around the park. Awesome views from shore. Clear water but water shoes come in handy."
McRae Point Provincial Park,Sal,3,Good small camping place. Not the best
McRae Point Provincial Park,Leona Lau,5,"Very nice and clean park, well maintained. Many spots with perfect view for fall colors."
McRae Point Provincial Park,Xiaowen Liu,5,Very relaxing place. Walk distance from the lake. The showers were clean and had warm water.
McRae Point Provincial Park,Christine R,4,"Lovely park with many well tree-shaded service sites. I was there Canada Day and the beach and park did not feel crowded.  4 stars though until they add more night visible trail markers. In the summer heat, I try to run before dawn. I ..."
McRae Point Provincial Park,Yvonne Kuhn,5,Love McRae. The size of the sites are nice and big. Quiet while we were there midweek.
McRae Point Provincial Park,James Moses,4,"Great spot, good sized sites and clean. Water was perfect, Sandy beach , nice walking trails along waterfront. Will go back."
McRae Point Provincial Park,Miki goldentear,5,"Beautiful, I recommend going during weekdays campsites are less crowed, lovely beach"
McRae Point Provincial Park,Shelley Smith,5,We have camped here numerous times. Love the pull through sites. Park is clean and well maintained.
McRae Point Provincial Park,Glen Follett,4,Trying out new to us trailer. Park was nice and the young lady I dealt with for the first few days was polite and efficient - very nice young lady. However when I went back to remove the trailer from the spot I was told if I didn't get ...
McRae Point Provincial Park,kelly gill,5,Great staff awesome sites and trails good boat launch and a fantastic park and beach area with play set.
McRae Point Provincial Park,Nick Graziotto,4,Great park! Very clean friendly staff. Will definitely be back!
McRae Point Provincial Park,Alina Toronto,5,Off season means that it's nice and not crowdy. Until the next weekend of June 24th the office is opened only till 3.45PM Sunday to Thursday and till 9.00 PM on Friday and Saturday. We came just after 9PM but the guard was really nice ...
McRae Point Provincial Park,Samantha Tang,4,Really enjoy our time here. Love the beach!
McRae Point Provincial Park,shril verma,4,"Quite and small park, not that crowded. Beach is not far from camping sites. Must visit there once"
McRae Point Provincial Park,Shay A,5,Had an awesome time! Good park to come with friends and kids.
McRae Point Provincial Park,Brennan Rossi,5,"Great staff, low key and great pet friendly beaches."
McRae Point Provincial Park,Gary Jardine,5,"Great campground, all areas are grass, and the Southern Campsites are all very spacious and private. Very close to Orillia, which has a wonderful waterfront and a great bike trail, along the harbour."
McRae Point Provincial Park,Angela Bottineau,5,Clean environment.  Grassy sites.  Large swimming area.  Convenient city access.
McRae Point Provincial Park,Jobie68,4,Nice park with water all around and ok short beach but plenty of bird poop everywhere. Large playing field at main beach. Ok walking trail along the water out to the point. Close to Orillia if you forgot supplies.
McRae Point Provincial Park,Cyn Cynsaturn,5,"Clean, well maintained park ..nice and peaceful in September"
McRae Point Provincial Park,Gordon E,4,Looks of shady trees and beautiful lake Dimco with great trails
McRae Point Provincial Park,Nazmul Hoque,4,Kids love it. Provincial park chargedmore than $10 for a day use.
McRae Point Provincial Park,Sonia Bizarro,2,"Went to this beach with my kids because im known to it from past experiences and them having a play ground makes it enjoyable for thr kids, i drove an hour and ten minutes from Toronto to get there for the day use, wheb i went to pay for ..."
McRae Point Provincial Park,Nick Vullings,5,Great place to camp. Nice scenery and beach for swimming.
McRae Point Provincial Park,Shariq M.,5,"This place could be a less known one, but definitely worth visiting"
McRae Point Provincial Park,Suzanne Walker,5,"The Staff are very Friendly, the sites North and South are ample and well designed."
McRae Point Provincial Park,rabsalan,4,Beautiful all year round
McRae Point Provincial Park,Paul Kuznecov,5,Excellent park close to home.
McRae Point Provincial Park,Ryan Persaud,5,Have loads of fun here
McRae Point Provincial Park,SolarMadeEasier,5,Great park. Loved it!
McRae Point Provincial Park,Dave Wilson,4,Nice small park with great swimming
