name,user,stars,review
Mikisew Provincial Park,Jessica Williams,4,Enjoyed our stay. We went specifically for our dog because of the secluded dog beach. We found the dog beach very rocky and was hard to navigate into the water with our dog. Other than that a great place to camp
Mikisew Provincial Park,Nathan Kendall,5,"One of our favorite places to go. Comfort stations are clean, nice sites wooded sites. Hydro and non-hydro sites. Boat launch, probably the nicest beach around."
Mikisew Provincial Park,Firelight Studio,5,"This is an excellent park all around!  It may not be a big park like some others but makes up for it in spades with character.  There's something for the whole family here, trails, wetlands, wildlife, beaches, dog areas, canoeing, ..."
Mikisew Provincial Park,Tyler Pellow,4,Underrated provincial park. Definitely worth a visit. Super clean facilities all around.
Mikisew Provincial Park,Michelle Renaud,5,"First time camping here. Stayed at 394. Beautiful tall red pines made the scenery quite spectacular. Despite the lesser foliage, it was still quite private. The beaches were pretty nice and spacious. Clean bathrooms, hot showers. I'd definitely come back."
Mikisew Provincial Park,mack n cheese,5,Have been coming to Mikisew for 30 + years. There has been great memories and have had some bad experiences as well throughout the years. I would have to say this past week was one of the greatest times experienced. The staff were ...
Mikisew Provincial Park,Sean Webster,5,"This beautiful small park has several beaches and some short trails friendly to kids. We especially enjoyed the dog friendly beach and open area for off leash time. 

The facilities are newer and kept reasonably clean, could be better ..."
Mikisew Provincial Park,Megan Marshall,4,Loved the camping lots here - we were in the hardwood area. Lots of privacy between sites. Dog beach is okay - lots of rocks in the water for owners to try and navigate around of you want to swim as well and then lots of weeds further ...
Mikisew Provincial Park,Smantha Petch,5,"Our favorite car camping, site 455 every time! It's a very nice camp ground, beautiful lake great for swimming. The staff at Mikisew Provincial Park are really friendly abd helpful."
Mikisew Provincial Park,Jenn E. Buckton,5,"I've been going here since I was a child...it truly is the best! Great swimming, family and dog friendly, many options for campsites and privacy, the Narrows has great fishing and tasty treats...overall, great memories every time 😃❤👍"
Mikisew Provincial Park,Dhiraj D'Souza,5,Small park. Great for young families. Around 3.5 hours from Toronto. Highway 11Road is now 2 lanes till South River. This was our first camping trip in Canada.
Mikisew Provincial Park,Ryan Chedour,5,A great park.   Nice beaches with a fenced of dog beach.  Well maintained sights and trails.
Mikisew Provincial Park,Brian Tinio,4,"First time visiting Mikisew and we would come back for sure. Park is quiet, has volleyball net, basketball court setup. You can also rent canoes and paddle boards are reasonable prices. I kept at 4 stars because parking is quite ..."
Mikisew Provincial Park,Patrick Johnson,5,"awesome family campground.  multiple beaches 
great camp site. clean bathrooms good boat ramp.  
been going here since I was a kid."
Mikisew Provincial Park,Nicole Rae,5,Had an amazing time! I went camping solo with my dog for the first time and I can't imagine a better place to do it. We're trying to get back before the summer ends.
Mikisew Provincial Park,Jenn Fee,5,Great campsites. Clean facilities. Helpful staff. Beautiful swimming. Great dog beach
Mikisew Provincial Park,Debbie Haggart,5,Great campground. Love the fenced in dog beach. Definitely family oriented.
Mikisew Provincial Park,Tony Lyons,5,great camping. nice and quiet  and lot of privacy  between  the sites
Mikisew Provincial Park,Kyle R,4,"Great park, lots of good sites. Beaches are pretty decent and staff is nice and helpful."
Mikisew Provincial Park,Kyle Johnston,4,Nice big campsites. Good privacy. Great Sandy beach for the kids.
Mikisew Provincial Park,Cherrelle Sea,5,It was beautiful. Less privacy than I prefer but still an very enjoyable experience.
Mikisew Provincial Park,Frank Riemland,5,This is a great park been coming here since I was little and still coming here
Mikisew Provincial Park,Michael Tremblay,4,"5/5 for dog area
5/5 for natural beauty
5/5 for staff
4/5 for beach
1/5 for park store distance
1/5 for bike trails"
Mikisew Provincial Park,Mark Garrisi,5,Clean and quiet. Small a cozy.
Mikisew Provincial Park,Genevieve Boudreau,5,It's really nice cuz it's not really loud. It's also near small towns so you can but a few things you forgot.
Mikisew Provincial Park,Jack Sim,4,"Nice out of the way park. Clean, we'll kept."
Mikisew Provincial Park,Dave Wilson,5,"Great park and trails, lots to do here"
Mikisew Provincial Park,Julie Poff,5,Amazing dog beach and off leash area.
Mikisew Provincial Park,Yanik Brunette,4,Very nice place but the squirrels were kinda evil throwing there pine cones at us
Mikisew Provincial Park,Marlo Crossing,5,"I will definitely come back. Mikisew is one of the most quiet parks I have ever been to, and I was there on a weekend. The dog beach was excellent. Nice and clean and I love that it was fenced in and there was enough room for them to run. Worth the 3 hour drive for sure!"
Mikisew Provincial Park,Nathalie Bilodeau,5,The trails are moderate. Very nice hike with some very nice views.
Mikisew Provincial Park,kourosh abdi,5,Well kept and serviced park with great staff. It doesn't have the vast and wilderness of other parks in the region but it has its own unique character and beauty. A great Park for families.
Mikisew Provincial Park,Patrick O'Donovan,4,"Nice beaches, friendly staff, clear water"
Mikisew Provincial Park,Gregory Waters,4,Love the lake!
Mikisew Provincial Park,Tammy Wortman,5,"Another one of my favorite provincial parks! Friendly, helpful staff. Washrooms are clean!"
Mikisew Provincial Park,Jeff Rogers,5,Super nice park.
Mikisew Provincial Park,Alannah Schaus,5,"Excellent campground! We unfortunately we're there on a very rainy weekend, but our site held up well!"
Mikisew Provincial Park,Amanda Edwards,4,Super nice park
Mikisew Provincial Park,buildingreno,5,Great park. Really good beaches and trails.
Mikisew Provincial Park,Forest The Canoe,5,Hidden gem.
Mikisew Provincial Park,Dan M,4,"The camping grounds are similar to other provincial parks with slight differences to the on site activities. They had 3 beaches for swimming in the gorgeous lake. All the beaches were in close proximity of each other, while one of the ..."
Mikisew Provincial Park,Tim Williamson,5,Beautiful provincial park! Played host to the perfect location and backdrop to my cousin's wedding!
Mikisew Provincial Park,Jianyu Su,4,Quiet and fun place
Mikisew Provincial Park,Topaz Goold,5,"Mikisew is a wonderful place to escape to. There are hiking trails, canoe rentals, spacious campsites and RV sites. The bugs weren't bad in late August and the stars at night are so numerous you can get lost just gazing up at them. If ..."
Mikisew Provincial Park,Dylan Sweeney,5,Loved this park... definitely returning next year
Mikisew Provincial Park,Hank Nauta,5,Must see.  Great scenery and peaceful
Mikisew Provincial Park,Brad MacDonald,5,Great park. Good fenced in dog beach area. 
