name,user,stars,review
Mississagi Provincial Park,Jade Alexis,3,"Wish that half stars were an option as I'd like to give this place 3.5 stars! 
I stayed at site #19 for 12 nights. The campsite was okay, not flat at all and the firepit was in an awkward spot, but you basically have your own private ..."
Mississagi Provincial Park,Keith Charabaruk,5,"This place has become an annual tradition for us.  We have been going up for over a decade and now all my family is involved.

Park staff is friendly, clean lakes, great fishing and a lack of cell service is amazing.  There are few places left that you can truly unplug."
Mississagi Provincial Park,Michele Blundell,1,Paid 12.00 $ day pass to use the provincial park beach. Drove an hour and half to get there. We had our granddaughters for a week and thought it would be a great beach day. Well. The beach is full of leaches. Nobody there not one person. ...
Mississagi Provincial Park,AL KRC,5,"Worth the drive!  Love this place (other than the deer flies, mosquitoes and black flies).   It’s peaceful and not many motor boats around. They rent out bikes and canoes.  I wish they rent out kayaks or SUP however.   There are a few hiking trails.  Washrooms are primitive."
Mississagi Provincial Park,Donna Wade,5,A beautiful unspoiled park. Very nice lake for swimming fishing and boating
Mississagi Provincial Park,Yan Wang,4,Generally a nice and quiet park. We camped here in mid June - two people and a dog. Had a good sleep. Crazy amount of flies and mosquitoes. No cell reception.
Mississagi Provincial Park,MADDAWGNETWORK,5,"Great park. Great hiking to beautiful lookouts.
One of Ontario's best hidden parks."
Mississagi Provincial Park,Derek Mereweather,4,Beautiful park. Fantastic beaches.
Mississagi Provincial Park,Isabelle Zoldy,5,I have the best time there each and everytime I go its new memories . I recommend camping out there its beautiful and the staff members are friendly and helpful
Mississagi Provincial Park,Christina KN,5,The BEST camping experience I've had! Park is incredibly clean and well maintained including washrooms that even include a sink. No reception on your cellphones which in my opinion was great! Had deer on our site early in the morning. ...
Mississagi Provincial Park,suleman bholat,3,everything is good only problem is no shower and washroom is not Canadian stander short of staff but park is good no cell phone network totley neutral feel 
Mississagi Provincial Park,Mallesh B,5,"Best campaign site. Lake view, night view, lots of hiking trails, calm, enjoy the nature. Be ready to live in Wild. This place is one that I always visit again and again. You can see the best sky."
Mississagi Provincial Park,steve thompson,5,Great wilderness experience.
Mississagi Provincial Park,Kevin P,5,The Park is open for camping this summer (2013). The town of Elliot Lake and the Province struck a deal to keep the facility operating. This is the only provincial park in Ontario situated off the power grid. Absolutely amazing at night.
Mississagi Provincial Park,Mason McFarland,5,A awesome place to be in general
Mississagi Provincial Park,junaid aziz,5,Very nice place
Mississagi Provincial Park,Mike Semeniuk,4,Great views and trails! Campsites were noisy at night.
Mississagi Provincial Park,Scott Herod,5,"Have been going there for 30 years, one of the most beautiful parks in Ontario. It is still open, the town of Elliott Lake is keeping it going. Be warned, there are water taps, and that's it. Real camping. "
Mississagi Provincial Park,Jeff Aul,5,"Beautiful park, very low traffic."
Mississagi Provincial Park,Goran Vinko,4,A few kilometers of great hiking trails. 
Mississagi Provincial Park,DOUG PRIDGEON,3,"have been there four times  twice last year  Good fishing and can rent a canoe Lots of grouse a few bears  .Has a great swiming beach  Seems somewhat expensive for a parking space,.picnic table   water tap close by and a nearby outhouse at $38.00 a night   no showers or flush toilet   Does have hikeing trails "
Mississagi Provincial Park,Craig Moorhouse,4,Great little park. Not too busy like a lot of other Provincial parks.
Mississagi Provincial Park,Sidd Kumar,5,Pure wilderness and serene beauty.
Mississagi Provincial Park,Martin Turner,4,Elliot lake resident. Good trails good staff quiet and family friendly
Mississagi Provincial Park,Norm Albert,5,Unspoiled beautiful wilderness 
Mississagi Provincial Park,John Green,5,Friendly staff
Mississagi Provincial Park,Don Armstrong,5,Great off grid  camping
Mississagi Provincial Park,Rahul Gautam,5,I have been there with my friend in 2011 summer. Like the trails and cannoning.
Mississagi Provincial Park,Jeannine Marinier,4,
Mississagi Provincial Park,Josie Dindia,2,
Mississagi Provincial Park,Kim Mcmurray,5,
Mississagi Provincial Park,Brent Sleightholm,5,
Mississagi Provincial Park,Ryan O,4,
Mississagi Provincial Park,Shashank Doulath,5,
Mississagi Provincial Park,WaffleMan148,4,
Mississagi Provincial Park,Robert Zaichkowski,2,
Mississagi Provincial Park,Jack MacGregor,3,
Mississagi Provincial Park,Bev Blake,5,
Mississagi Provincial Park,Jake Letkeman,5,
Mississagi Provincial Park,Jake Bueckert,5,
Mississagi Provincial Park,Larry Buchanan,5,
Mississagi Provincial Park,Mohammad Alsafra,2,
Mississagi Provincial Park,Adam McQuiggin,5,
Mississagi Provincial Park,Megan Rooney,3,
Mississagi Provincial Park,Wally Slowinski,5,
Mississagi Provincial Park,Doug Robinson,5,
Mississagi Provincial Park,bert charette,3,
Mississagi Provincial Park,Trish Wilde,5,
Mississagi Provincial Park,Zoe Prest,5,
