name,user,stars,review
Mono Cliffs Provincial Park,Anthony Hammond,5,"Mono Cliffs is one of my favorite places to spend the day, in any season Plenty of well maintained trails connected to the larger Bruce Trail. The views from the top of the cliffs are awesome. There's always plenty of parking and clean …"
Mono Cliffs Provincial Park,P. Karas,3,"Pretty close old place, but I didn’t find this place extremely interesting. We came in the evening and explored just some main trails. It wasn’t bad, but as it was getting dark it became extremely scary. The good thing is that there are picnic tables, so we managed to make a bbq."
Mono Cliffs Provincial Park,John Warmann,5,One of my favorite parks close to Toronto. The loop is perfect for a day hike.
Mono Cliffs Provincial Park,tammy davis,4,"Ok I've been planning since spring to go here and do the full walk about...the hole trail from start to finish. 
We got there at 8am on a misty day, thinking it wouldn't be busy. Didn't think it was that much to park there, found price …"
Mono Cliffs Provincial Park,Bethany Musselman,5,"Little too icy during the winter. Fell too many times and a ton of bruises. However, the walk is beautiful. Our walk was roughly 3 hours."
Mono Cliffs Provincial Park,jane Li,5,"There are many side trails besides the main trail. It has lots of varieties, one of the trail called South Outlier Trial has one challenging steep path, it's fun to hike indeed. Overall it's small elevation while going up, but coming …"
Mono Cliffs Provincial Park,Jonathan Dakin,5,"Excellent trails all year round with a wide variety of terrains.  Beautiful natural tree arrangements.  Sites including hills, lakes, rivers, swamps, and small islands."
Mono Cliffs Provincial Park,Louisa Szymanski,5,I had a great time hiking here. The trails are pretty nice; some of them are slightly more challenging than others. Good times overall. Would recommend!
Mono Cliffs Provincial Park,Farleyjones,4,"Hiked a trail today up the escarpment to a great lookout point. Well signed, with a trail that is clearly looked after.  You need to pay a nominal parking fee and yes, the officers do show up to give tickets if you haven't paid.  Hike took about 2 hours, with my 7 year old kids and dog in tow."
Mono Cliffs Provincial Park,Jim McIntyre,5,Spectacular place to hike. Great trails and vistas !
Mono Cliffs Provincial Park,Rebecca Ke,4,"I found this interesting hiking place from Pinterest. It is actual more fun than I think, and I believe the view will be even better once the fall colour comes. It is a one way trail with so many side trails. You can have lookout view, …"
Mono Cliffs Provincial Park,Matthew H,5,"Trails are well maintained and marked. There are some steep rocky parts, so wear good footwear. Parking lot can get full, but people were parking on the road"
Mono Cliffs Provincial Park,Arthur Lewis,4,Great hiking trails. Not a tremendous amount if variety in the scenery. But a great site none the less. Lots of trails to explore with family or friends. Parking is paid only. The washrooms are terrible so go ahead of time. You can …
Mono Cliffs Provincial Park,Shawn Freer,5,"Lots of trails to choose from.  Various ability levels required.

I really enjoyed it."
Mono Cliffs Provincial Park,Marcel Larocque,5,We love hiking at Mono cliffs. Its a great hike. Hard to do with a stroller due to rocks and roots and some water erosion of the paths but still doable. Kids love being in nature and this is perfect for them.
Mono Cliffs Provincial Park,Sona Poulose,4,One of the best places for hiking. There are so many trails in this park which leads to different directions so you may get confused. Good place to hang out with friends.
Mono Cliffs Provincial Park,Henry Lukassen,4,Great place to hike. Little ponds and some hard climbs up the hills. There stairs and rock formations are great scenery.
Mono Cliffs Provincial Park,myco mori,5,I like trails here. Nice place. You would better print map and bring it with you.
Mono Cliffs Provincial Park,Victoria Kirst,5,"There are several trails that run throughout the park, allowing you to customize how long or short you would like your adventure to be. There are several lookout spots, and the main parking lot has a decent washroom/picnic area. Look forward to trying a different path next time."
Mono Cliffs Provincial Park,Mitra Alizadeh,5,Great place for a hike. Bring water and snacks.
Mono Cliffs Provincial Park,Jia Cai,5,"Very large park with multiple trails. You can enter from east or south side. There are many parking spaces. The hikes have a little bit up and down but totally manageable. It has a little creek, a view deck and some grassland. Interesting place to go. Do recommend."
Mono Cliffs Provincial Park,Jeff Schofield,5,Great place for a walk in the snow with family on Boxing Day!
Mono Cliffs Provincial Park,Solange Walinga,5,An excellent place to go for a nice hike. Beautiful view from the top of the cliff.
Mono Cliffs Provincial Park,Jeremy Anderson,5,Nice hike on a sunny Saturday. The loop of the trail furthest from the wooden lookout bridge is actually the nicest section of trail. Less foot traffic and still very nice scenery. Worth checking it out once you've seen the lookout.
Mono Cliffs Provincial Park,M McCallum,3,"Very nice park if you have a strong bladder and are free from mobility issues. No running water in outhouses, very bad smell. The ticket machine at the main entrance was working very slowly for credit card transactions, which caused a …"
Mono Cliffs Provincial Park,Promod Sharma,4,"A nice place for a fall hike. For a more peaceful bike-free, stroller-free, horse-free experience, try the South Outlier trail."
Mono Cliffs Provincial Park,strongline L.,3,"If you are a family with young kids, nearby Island Lake Conservation Area is definitely a much better choice. This is an OK park - nothing stands out really."
Mono Cliffs Provincial Park,kyle ulrick,5,Great place my girl loved it even gave my pickle and tickle
Mono Cliffs Provincial Park,Tim Murray,5,"We took a day to hike the park, there are many great trails here. Excellent day spent exploring with the family."
