name,user,stars,review
Murphys Point Provincial Park,Jamie S,4,"Excellent campground. Stayed here in a Tent on May long weekend. Good space between sites, good beach and hiking trails. It is also interesting historical area with an old settlement that you can see on a hike. There are also canoe in sites that we will likely try next time. Store was small, but decently stocked"
Murphys Point Provincial Park,Russ Cosenzo,1,"We spent the weekend here and the camping area and beach are wonderful.

Our only issue was the wardens, in 2 night we had 2 complaint about noise. One of the nights was around 10pm, there was 4 of us talking with no music. We were told …"
Murphys Point Provincial Park,Jen Christie,5,We car camped over the long weekend in Sept here and really enjoyed it although I don't think we fully got to see the whole park. Our site was pretty private but it was a little loud due to a big group staying on the neighbouring sites. …
Murphys Point Provincial Park,Kevin Pearce,4,"Beach is really nice, canoes are available on site.

My particular camp spot was.. Odd. It was not well distinguished from the one adjacent.

The other one wasn't in use, but if it had been it would have been awkward. Right on top of …"
Murphys Point Provincial Park,Joseph Luciano,5,Always a blast going here.  Nice clean beach with clear water.  Not a very busy beach every time I’ve visited.  Haven’t camped here but driving through the sites look like a good size.
Murphys Point Provincial Park,Kristy Chown,5,Ive been coming here since I was a baby. Its one of my favourite lakes or parks in all of Ontario. The campers beach is a favourite spot and we go back year after year.
Murphys Point Provincial Park,michael Greaney,5,"Awesome park, with lots to see and do with such helpful and lovely staff, especially The guys in the well stocked and fairly priced park store. Will be coming back! LOVE MY NEW TSHIRT!!"
Murphys Point Provincial Park,Dane Merritt,4,a wonderful park! remote and wild. lots of activities at this one compared others. needs more shoreline sites for my taste
Murphys Point Provincial Park,Tony Citta,5,"Great little park, unfortunately with our luck we camped during a heat wave like I've never experienced before so we didn't have a opportunity to explore the whole park. We spent it time in the lake trying to stay cool. Will be coming back to explore it, especially the mine."
Murphys Point Provincial Park,Ryan Andre,5,"Murphy's Point is probably one of the best little Provincial Parks around for camping.  Great beaches, walking trails, nice facilities and located close to the historical town of Perth, therest lots to do for everyone."
