name,user,stars,review
Oastler Lake Provincial Park,Sabrina Pembleton,5,"This place is truly amazing. 
Went camping with friends and we all had a blast. The camp Ground was very nice and very clean. The views are amazing and the beach is awesome. Great for kids for swimming you can walk out and not deep. The ..."
Oastler Lake Provincial Park,Amaris,3,Pretty spot but so loud. You can hear the 400 in the distance but the road near the park is closer and louder. But that's nothing compared to the train. Still worth a visit if you want to camp close to Parry Sound. There isn't much to do at the park though unless you brought or rent a boat.
Oastler Lake Provincial Park,TheLostIndieCity RadioShow,4,The is a great park. Love the walk in sites for a little more privacy and you get your own shoreline. The only complaint which the park has no control over is the trains nearby at night wake you up at night which was never a problem a long time ago until they rerouted the highway.
Oastler Lake Provincial Park,Liz Kamerman,5,Had a beautiful site on the lake. Lots of people complain about the trains. But honestly didn't bother me all that much. Nice small park with a decent. Beach. Will for sure be going back.
Oastler Lake Provincial Park,martin lister,4,A small but charming park. The gateway to the Massasuaga provincial park. Which is more than charming.
Oastler Lake Provincial Park,Nick Arduini,5,Went camping here in July as part of a road trip and we were very impressed with how clean and scenic this campground was. It’s located on Oastler Lake and offers a variety of unique campsites. We would definitely camp here again.
Oastler Lake Provincial Park,Ryan Taylor,3,"We thought Oastler Lake was nice for  families and pet owners. Campsites were very clean and the park rangers were very helpful. We did not find it as scenic as many other Ontario Parks, but it was still nice for swimming and doing some ..."
Oastler Lake Provincial Park,Justin Diep,3,"Surprisingly peaceful and nice for a provincial park so close to the city. The park has a nice clean, although small beach and has a variety of watercraft for you to rent. The campsites themselves are bit to close for comfort and small ..."
Oastler Lake Provincial Park,Charlotte Tribble,5,"Beautiful place to spend some time outdoors, beautiful beach and everything is fairly close by to the camping areas.  Just be aware of the train that passes occasionally - bring ear plugs for the night if you're a light sleeper!"
Oastler Lake Provincial Park,Stephanie Perkins,5,Great park ! A smaller park which is nice because it’s not too busy and easy to get around. The beach is perfect for a day of swimming / kayaking. The staff was very friendly. There is a train that goes by frequently making noise but it is not difficult to deal with. Will be going back had an excellent time.
