name,user,stars,review
Ouimet Canyon Provincial Park,Stewart Slaymaker,5,"Wow, a stunning location. The drive off the highway to access the canyon is well worth it. There is a short and easy trail that takes you to two view points over the canyon. There are limited facilities at the park."
Ouimet Canyon Provincial Park,Gayle Labuz,5,"An easy trail that takes you to two lookouts over the canyon.  Signage at the lookouts explain how the canyon was formed, as well as info about the plant life there. Self serve pay station with a fee of $2 per person . Definitely worth the visit"
Ouimet Canyon Provincial Park,Courtney Kaspardlov,5,Though it's pretty far off the highway it is definitely worth the trip at least once! Beautiful sights to see! Easy & quick trail.
Ouimet Canyon Provincial Park,Joel Barter,4,"This place is beautiful and stunning. It was a quick stop and actually smaller than I had expected. I knew the ziplining and what not were way over priced so I decided to fly it instead.
Check out the shots I got. Sorry for the window reflection on some of the shots."
Ouimet Canyon Provincial Park,Andrew D.,5,20 mins from the hi way but well worth it for the 15min hike to see an amazing place.
Ouimet Canyon Provincial Park,Bill Hanson,5,Stunning Canyon. My only suggestion would be to increase the length of trails surrounding the canyon; it's a beautiful area - more time to explore/view would be appreciated.
Ouimet Canyon Provincial Park,Rebekah Schwartz,4,Canyon was pretty darn cool! Just wish it was more accessible and there was a way to get to the bottom of the canyon
Ouimet Canyon Provincial Park,Lizaveta Ksenafontava,5,"scary bridges! Staff is extremely helpful,  lots of seating spots around and very nice little gift-shop."
Ouimet Canyon Provincial Park,Justin Gignac,5,"What an amazing view this place has! The walk isn't very long, but it's worth it regardless. From the balconies overlooking the canyon floor, you can see lakes and mountains in all directions with forest covering everything. It is ..."
Ouimet Canyon Provincial Park,Greg Thompson,5,Beautiful site! Well prepared and cared for. Nicely done!!
Ouimet Canyon Provincial Park,Shaun Holma,5,Spectacular viewing docks and a well-maintaned trail. Great place to visit when you have out of town visitors.
Ouimet Canyon Provincial Park,Chatravi K,5,I NEVER KNEW SIGHTS THIS STUNNING AND GORGEOUS EXISTED IN ONTARIO AND BOY WAS WRONG. Very clean trails and facilities. Staff is friendly and very helpful. It's really good for hiking and running. Amazing place for camping and for the ...
Ouimet Canyon Provincial Park,Andrew Lawrence,5,Breath taking view short hike wide smooth paths a must see if you are in the area.
Ouimet Canyon Provincial Park,dragunroze,5,"Absolutely stunning, gorgeous, and brought back wonderful memories of my very first time here .... just wished the souvenir shop was open"
Ouimet Canyon Provincial Park,Jeffrey Mehagan,5,"Quiet and contemplative, not congested with people when we were there. Views are amazing, wildlife was varied, and experience was excellent."
Ouimet Canyon Provincial Park,Dennis Tjaden,5,Always fun and interesting worth the trip north to Canada to see
Ouimet Canyon Provincial Park,David Hubbard,4,"Beautiful place, despite the tourists it remains very close to nature. Definitely a must if you're in this part of Canada."
Ouimet Canyon Provincial Park,Lisa-Lynne Laverdure,5,Such an awesome place... I brought the trollz ...next generation loved it
Ouimet Canyon Provincial Park,Adam Frank,4,"This is a carved glacial path through the massive rock landscape of the Canadian shield. It took a lot of power to carve out the canyon and it has a beautiful, iconic rock sticking out on the left of the farther lookout. Definitely check this out while you are driving through."
Ouimet Canyon Provincial Park,Jennifer Wilson,5,Easy trails to amazing views of the very impressive canyon.
Ouimet Canyon Provincial Park,Bob Gerow,4,"Amazing views of a dramatic natural formation from two separate vantage points.  The viewing pods are accessed by a trail, suspension bridge and boardwalk.  The total walking distance is in the order of 1 to 2 km and there are a few ..."
Ouimet Canyon Provincial Park,Peter Grey,5,Its pretty amazing! If you dont like heights you'll be uncomfortable...😊
Ouimet Canyon Provincial Park,Wesley Goethals,5,"Beautiful views after a short hike, would definitely recommend"
Ouimet Canyon Provincial Park,Mindful Jazzy,5,Awesome view 😍
Ouimet Canyon Provincial Park,J.A Racz,5,Such a beautiful sight of God's creation.
Ouimet Canyon Provincial Park,Joseph Poniatowski,5,It's a very special place
Ouimet Canyon Provincial Park,Amanda Drisdelle,5,Super foggy day but made for amazing pics.
Ouimet Canyon Provincial Park,jenny keller,4,The views were spectacular and the paths were well kept (I don't remember seeing any garbage at all). There were no staff there and there is no camping which was a bit of a bummer but that is easy to plan around with other camping parks close by.
Ouimet Canyon Provincial Park,Matthew Williams,5,The Canyon is amazing to look at and the trails are great. It's a bit out of the way but so worth the trip.
Ouimet Canyon Provincial Park,Tariq Hossenbux,4,"Just a short walk to get a spectacular view and it's only $2 to enter. It's very accessible to walk, and you get a spectacular alp like view."
Ouimet Canyon Provincial Park,Ron Kenning,5,Fog was in and did not see much but what we did see was spectacular
Ouimet Canyon Provincial Park,Scott Irvine,5,"Great stop while travelling along Highway 17! Really nice interpretive trail and boardwalks overlooking the canyon. It's a really special ecological area, and its very nice and peaceful."
Ouimet Canyon Provincial Park,Ryan O,4,"Well maintained trail, easy walk out to observation platforms."
Ouimet Canyon Provincial Park,Tim Cruickshank,5,"Beautiful canyon that exemplifies the beautiful geological features of the area. The trails are short and very easy walking. It is a fairly short stop, probably no more than an hour, with only two real viewpoints."
Ouimet Canyon Provincial Park,Charles Larocque,5,"The view was great, the routes were both maintained and wheelchair accessible, and the canyon had a few signs explaining how the canyon was formed and the local spiritual beliefs having to do with it. No flush toilets at the time of this review though. "
Ouimet Canyon Provincial Park,Wesley Brown,5,"Awesome, a must see"
Ouimet Canyon Provincial Park,Bill Schwabe,5,"Great views, nice hike. Worth the time!"
Ouimet Canyon Provincial Park,Tony Culp,5,Year round scenic beauty
Ouimet Canyon Provincial Park,Mayank Thacker,4,Nice Views and close to Eagle canyon.
Ouimet Canyon Provincial Park,Fraser Smalls,5,"Awesome trails, fairly short (about 1km). Lots of shade on the route. Bathrooms on site and a fair amount of parking. Takes approx 1 hour minimum to fully enjoy the voews"
Ouimet Canyon Provincial Park,Thomas Panozzo,5,Love Ouimet Canyon ..    Nice short hike to beautiful views  ...
Ouimet Canyon Provincial Park,Sharon Silveira,5,Beautiful!
Ouimet Canyon Provincial Park,Albert Postma,5,"Not a huge park, but has a nice walking path to some beautiful views. Most paths are wheelchair & stroller accessible, but if you do the whole loop there is one very short but pretty steep hill to climb."
Ouimet Canyon Provincial Park,Sander Salen,5,"Cheap, great view, friendly staff. What Else do you need. Strongly recommend visiting this place"
Ouimet Canyon Provincial Park,Glenn Erwin,5,Great place
Ouimet Canyon Provincial Park,Malinuui9iyy Divadalage,5,Amazing views for free !!Must watch
Ouimet Canyon Provincial Park,Nicholas Steele,4,"Very beautiful park, easy hike for canyon view. Canyon is beautiful, worth the trip"
Ouimet Canyon Provincial Park,Michael Benjamin,5,"No effort, stunning views! "
Ouimet Canyon Provincial Park,Alyssa Franks,5,Absolutely beautiful and pristine park.
Ouimet Canyon Provincial Park,Michael Premo,5,Very nice 1k walk to two spectacular views of this unique geological site.  Costs a couple bucks and worth it.
Ouimet Canyon Provincial Park,Michelle Landry,5,Breath taking
Ouimet Canyon Provincial Park,Britannia Hill,5,Great Views!
Ouimet Canyon Provincial Park,steve thompson,5,Must see.
Ouimet Canyon Provincial Park,Gisele Smith,5,Breathtaking 
Ouimet Canyon Provincial Park,Blair Coveney,5,"Simply put, beautiful"
Ouimet Canyon Provincial Park,Allen Montgomery,5,Excellent history
Ouimet Canyon Provincial Park,Ken Chau,5,A definite go!
Ouimet Canyon Provincial Park,My Dog,5,Beautiful
Ouimet Canyon Provincial Park,dee roswell,4,Beautiful!!!
Ouimet Canyon Provincial Park,Claudine Lacombe,5,"(Translated by Google) The view is fantastic!

(Original)
Le vue est fantastique!"
Ouimet Canyon Provincial Park,Dave Barkman,5,
Ouimet Canyon Provincial Park,Megan Brown,5,
Ouimet Canyon Provincial Park,Thomas Ostapchuk,5,
Ouimet Canyon Provincial Park,Tina Zandri,3,
Ouimet Canyon Provincial Park,Brian Dawson,5,
Ouimet Canyon Provincial Park,themis1929,5,
Ouimet Canyon Provincial Park,Kevin Chen,4,
Ouimet Canyon Provincial Park,Ryan Moore,5,
Ouimet Canyon Provincial Park,Jessica Nelder,5,
Ouimet Canyon Provincial Park,Emily Graceness,4,
Ouimet Canyon Provincial Park,Bruce McDonald,5,
Ouimet Canyon Provincial Park,Xun Lin,5,
Ouimet Canyon Provincial Park,Rebecca Reimer,5,
Ouimet Canyon Provincial Park,Eric Rude,5,
Ouimet Canyon Provincial Park,Kevin Baker,5,
Ouimet Canyon Provincial Park,John Elson,5,
Ouimet Canyon Provincial Park,Carole Talgoy,4,
Ouimet Canyon Provincial Park,Patrick Sacher,5,
Ouimet Canyon Provincial Park,Ainslee Brooke,5,
Ouimet Canyon Provincial Park,Stan McCarthy,5,
Ouimet Canyon Provincial Park,Cathy S,5,
Ouimet Canyon Provincial Park,Yvette Sivyer,5,
Ouimet Canyon Provincial Park,Daniel Casanova,5,
Ouimet Canyon Provincial Park,Nisha Mohammed,5,
Ouimet Canyon Provincial Park,Brad Linnell,3,
Ouimet Canyon Provincial Park,TigerLionCheetah,4,
Ouimet Canyon Provincial Park,Zoe Gicopoulos,5,
Ouimet Canyon Provincial Park,Will Thiessen,5,
Ouimet Canyon Provincial Park,Jason Colyer,5,
Ouimet Canyon Provincial Park,David Caldarelli,5,
Ouimet Canyon Provincial Park,Terry Short,5,
Ouimet Canyon Provincial Park,alf nagel,5,
Ouimet Canyon Provincial Park,Joshua Vanwyck,5,
Ouimet Canyon Provincial Park,William Duncan,5,
Ouimet Canyon Provincial Park,Albert Veira,5,
Ouimet Canyon Provincial Park,Raynald Veillette,4,
Ouimet Canyon Provincial Park,Masumi Hisano,5,
Ouimet Canyon Provincial Park,Diane Lafond,5,
