name,user,stars,review
Oxtongue River-Ragged Falls Provincial Park,Yen Le,5,"Stopped here for 1 hour and already felt in love with the place. Amazing sound of the waterfalls, the beauty and the strength of the water , and of course the charming and vibrant colors of the falls.... hope I could find better words to ..."
Oxtongue River-Ragged Falls Provincial Park,Henning Plum,5,"🇨🇦👍🏻🥶❄️ Awsome experience ... Short trail from Highway 🛣 60 , 10 minutes walking for a unique experience !!!"
Oxtongue River-Ragged Falls Provincial Park,Shivamohan M.P.,4,Nice waterfall to visit. We went during fall too see the foliage. We were late as most of the leaves had already fallen. But the falls was good looking and had a nice time.
Oxtongue River-Ragged Falls Provincial Park,Outdoor Adventurer,5,"This is a hike i recommend you do.  Its only 350 Meters in length but OMG well worth the hike.   Such a Gorgeous view of the water fall.
Go check this out its amazing.   The only flaw is that you have to pay for parking but 5.00 or so is not that expensive at all well worth it."
Oxtongue River-Ragged Falls Provincial Park,Ceolwyn23,5,"Beautiful waterfall. Nice trail to get to the lookout - we went on a whim so weren't necessarily dressed for hiking but it wasn't too bad, we just didn't climb down the rocks.

Wardens there at the time putting up a sign were friendly. ..."
Oxtongue River-Ragged Falls Provincial Park,Daniel Hefford,5,"Short hike in the summer, however make sure you pay to park. In the winter it's free but you have to park outside the park and hike in. There is a really cool island in the middle of the falls that is a really cool place to hang out at ..."
Oxtongue River-Ragged Falls Provincial Park,Monique Taza,3,"Not a bad hike, 20 min from parking to falls but very hard to see the falls. If they can make a small clearing or lookout place, it would be much better."
Oxtongue River-Ragged Falls Provincial Park,Fernando Paiz,5,"Amazing park to be one with nature. Great trails for walking and to observe the ragged falls, both from the top and or bottom of the falls. Either way great experience."
Oxtongue River-Ragged Falls Provincial Park,S. Cheyenne,3,"Has nice views a bit challenging in some spots, some parts do not have a clear passage but its nice, i suggest not going when its wet though it gets pretty dangerous, but it was still nice."
Oxtongue River-Ragged Falls Provincial Park,Paul Schaedlich,4,"For those who haven't, recommend paddling or kayaking to get here.  Beautiful scenery and quite a view from the bottom of the falls."
Oxtongue River-Ragged Falls Provincial Park,Harold Noseworthy,5,What an awesome place. Well worth checking out
Oxtongue River-Ragged Falls Provincial Park,Sayyam Mehmood,5,I went there for kayaking and I must say that this was one of the best super calm and smooth kayaking. Ragged falls is breathtaking.
Oxtongue River-Ragged Falls Provincial Park,Sundeep Balsara,5,Great place to stop off. Short hike to the falls. Worth checking out
Oxtongue River-Ragged Falls Provincial Park,Vij Singh,5,Amazing and very short hike to see spectacular waterfalls
