name,user,stars,review
Pancake Bay Provincial Park,D L,5,"Good Campsites, although I would avoid the ones that are right next to the highway as there is lots of noise from the passing trucks. Fantastic Beach with great sand and clear water. Water is a little cold, but it is lake Superior. ..."
Pancake Bay Provincial Park,Jessica king,5,"My favourite camping spot!! Clean, sandy, beautiful beaches, great campsite sizes, usually great neighbors & all around wonderful experience. Love it here!"
Pancake Bay Provincial Park,Andrea Hajt,4,"Gorgeous beach! Look forward to returning but they really need to work on the campsite outhouses. We could smell them on the regular from our campsite (not good when you're trying to eat, relax or enjoy campfire!)"
Pancake Bay Provincial Park,Janette S,4,"Beautiful beach on Lake Superior.  Many nice campsites, but some are way to close to the highway.  I wish they would close the first row and let it fill in with bush as a bit of a buffer.  Suffers the same reservation issues as all Provincial Parks."
Pancake Bay Provincial Park,Jordan Wentzell,4,"Excellent stopover for road trips through sparse Northern Ontario.  Great for camping, and also some of Canada's best wood carvings available nearby.  Nicely located for a stop between Thunder Bay and Sudbury."
Pancake Bay Provincial Park,Dara Schraft,5,"Great place to stop, get gas, stretch your legs, and shop.  They also have a little deli which was convenient because I was staying in a motel down the road.  I hope one day to get back with more time to look around their very cool shop.  Very friendly service.  I'd highly recommend stopping by to have a look around."
Pancake Bay Provincial Park,Denis Gagnon,5,"Incredible sandy beach with a dedicated section for dogs. Today all the dogs were well socialized and on leashes. Cool water, hot sand and a warm breeze made for an excellent day at the beach. It's a great spot to bring the kids because ..."
Pancake Bay Provincial Park,Bill Ducat,5,"Excellent beach! Camping spaces can be a bit tight for big rigs however, so be careful."
Pancake Bay Provincial Park,Doug MacIntyre,2,"This is a place that i held great expectations for since i came here as a child.  Very nice area, but the toilets are seldom pumped out and many of the trails are in need of serious maintenance.  We had complained about people running ..."
Pancake Bay Provincial Park,Andy Fyon,3,"Nice campsites, but a little noisy because of the highway traffic. Beautiful beach. Cell service coverage. Evening (movie night) and day programs offered primarily for kids. My main complaints was the delay in removing ""boil water ..."
Pancake Bay Provincial Park,Mike Scott,5,"One of the few spots where you can actually enjoy swimming in Lake Superior. Very nice park, but busy all summer long."
Pancake Bay Provincial Park,Jan Greenhalgh,5,One of my favorite places to visit relax and shop . Local artists crafts . Great variety
Pancake Bay Provincial Park,Alan Steed,5,Loved camping there. Spots are relatively private and service is good. Swimming is awesome with a long sandy beach.
Pancake Bay Provincial Park,Nandhu Krish,5,"It’s was wonderful experience for the first timers. We enjoyed camping, they have bathrooms, water, etc . The place we stayed was right across the beach, easy for kids to play in the water."
Pancake Bay Provincial Park,Gary Coleman,5,Very clean wonderful and helpful staff. Been coming here for over 12 years and will be coming back for manny more. Hope to see you there
Pancake Bay Provincial Park,Adam Schaubel,3,"Right off the highway, nice beach but lots of garbage left at sites from previous campers. Could use more trash cans. Still beats a motel!"
Pancake Bay Provincial Park,Farrah Anderson,4,I normally don’t leave reviews on things but since we have became interested in camping I heavily rely on reviews of each park. I don’t care much to read about how many bugs there were or how loud children were or about dogs barking ...
Pancake Bay Provincial Park,Ken Degrow,5,One of the best provincial parks in Ontario in my mind. The beach alone reminds me of the Caribbean.
Pancake Bay Provincial Park,Amy McGonegal,4,"It's a massive campground. Lots of kids areas, and a huge beach. But so much busier then we're used too.  Inexpensive, showers, toilets and electrical hookups, sewage dumping, water filling stations too."
Pancake Bay Provincial Park,Shane Barill,4,Would have given 5 stars except for the fire ban. I like cooking over open fire. Just not camping without fire.
Pancake Bay Provincial Park,Taylor Jean,5,"Pancake Bay Provincal Park is located right on Lake Superior. The sites are quite private as they are densely treed. We went in the beginning of May. The park is open, but there is no one at the front gate and it's self serve camping, at ..."
Pancake Bay Provincial Park,Nicole Service,5,Went to Pancake Bay for the first time. It was a great experience. Lots of campsites to choose from. Beautiful beach. They have a dog beach. The staff are very friendly. The park is very clean. I will definitely be back great camping spot.
Pancake Bay Provincial Park,Tim Gowans,5,Best beach in Ontario. Nice campground and picnic area.  Hiking trails available
Pancake Bay Provincial Park,Den Boychuk,5,A beautiful provincial park with fine facilities and great people on staff.
Pancake Bay Provincial Park,Mary Segato,5,"Awesome campground.  Well taken care of.  
Great sandy beaches and clear...clear  water.
10 star for me. :)"
Pancake Bay Provincial Park,Forest The Canoe,5,Amazing beach and close to the highway
Pancake Bay Provincial Park,Mayukh Chakraborty,4,"Decent place, a bit too far from the GTA, but it's a good option if you can't find something closer to your city."
Pancake Bay Provincial Park,Mick Shea,5,"The campsites are a very nice size, with room for multiple tents, lots of tree cover, and great facilities (showers and laundry and flush toilets)."
Pancake Bay Provincial Park,Shurree Whymer,5,"Wonderful, a must stop, lots of nice beach area, shaded eating area, clean bathrooms, nice staff"
Pancake Bay Provincial Park,Chatravi K,5,This place is so beautiful. Very clean trails and facilities. Staff is friendly and very helpful. It's really good for  running. Amazing place for camping and for the family. It has very beautiful scenic sights as well. Recommended 10 outta 10. The beach is very pretty and we'll kept
Pancake Bay Provincial Park,Barb & Barry Stuckey,5,This is the most awesome place to stop! There is something of interest for every traveler.
