name,user,stars,review
Pinery Provincial Park,Marissa Edwards,5,My family and I love it there! We go in a tent and we have a making time. The washrooms aren't a long walk. We saw some turkeys walking around. My family and I go to town and go to aunt gussied for break feast and go to sea jewels and go mini golfing and walk through the stores. Amazing campground.
Pinery Provincial Park,Danny Mazza,5,"The Pinery is the best provincial park in South Western Ontario, it has everything you need to enjoy a nature filled get away from the city. You don't have to pack any big sports gear because you  can rent canoes, paddle boats and ..."
Pinery Provincial Park,Sherri Cooper,3,"Ok I am not a big fan of this park. It is big with lots to do. However the sites are small, I feel like your waking up to being on your neighbors site. If this was all that was available than I would go back, but there are definitely better parks in Ontario."
Pinery Provincial Park,Joe,2,"It’s a nice park. It would have been better if that Maynard guy wasn’t there trying to convince people that his grandfathers campfire story means the park is his but oh well, there’s always someone trying to get something for nothing. I’ll visit again for sure, when they get it all sorted and kick that guy out."
Pinery Provincial Park,Kristin Ippolito,4,"Loved the experience for renting canoe/kayaks, dog beach, biking around the wooded forest and the ice cream is delicious! It’s definitely car camping though and can be a bit crammed for my liking. We are more into backpacking and tried ..."
Pinery Provincial Park,Conner Hein,5,"Too many memories too call this an unbiased review, but this place is amazing.  The environment, the trails, the sights, and the sounds of this park are amazing.  I can’t recommend this place any more.  The ultimate escape is just laying ..."
Pinery Provincial Park,Jessica Williams,5,Such a beautiful amazing camping park. There aren’t many parks that have so many trees as Pinery! I am happy we got a site right beside the bathroom as some of the sites are really far from bathrooms. The bathrooms were really clean! We are going to go in the summer so we can check out the beach!
Pinery Provincial Park,Sajjan Aryal,4,"Excellent place for camping and activities. Thoroughly enjoyed the stay. It was quite and natural. Biking trail is great. Beaches are serene, could be dangerous due to current. Loved the walk in the dunes."
Pinery Provincial Park,James Vrolyk,5,"Beautiful park on Lake Huron. Great big sandy beaches (some gravelly patches, but generally sandy). Campsites are private and comfortable. Comfort stations are well spaced and lots of things to do. Three different ecosystems throughout ..."
Pinery Provincial Park,Mike Schmidt,4,"A big provincial park with huge beaches and pretty decent camp site sizes. Beautiful sunsets everyday, but one has to watch for poison ivy especially in the dark. Often had cell phone service throughout the park so was able to coordinate ..."
Pinery Provincial Park,Prashant Chauhan,4,"Good clean campground, easy to access and use clean facilities. Lots of trails to hike but quite far from our campsite. There is bike rentals, canoe rental and good ice cream shop across the general store within the park in the center. ..."
Pinery Provincial Park,Dexter Grif,5,Absolutely adore this place. I have been coming here for years and I have never had a bad time. The prices are always great and the camp sites are extremely well kept. All around great place.
Pinery Provincial Park,Gordon Ng,5,"What a fantastic place to camp and get away from the city.  Nestled on the shores of Lake Huron you can enjoy the clean waters of this secluded provincial park.  The first time we visited this park it had all beautiful sandy beaches, but ..."
Pinery Provincial Park,Bob Bublic,5,"Probably our favourite Ontario park. Plenty to do for the kids, excellent beach, superb trails and lots of tree cover. Don't forget to visit the visitors centre. I was surprised to see it all refreshed. Last time we were there was in ..."
Pinery Provincial Park,Stephany Amanda,5,"I've been coming here since I was a kid and I've always loved this place! The drive just going into the beach is stunning but the trails are just as gorgeous!
Love this beach and park!!! I"
Pinery Provincial Park,Maria GAHLINGER,5,"What a great park! The park is extensive, well forested and set along the eastern shore of Lake Huron. 
The campsites are attractive, large, private, and with many trees and bushes between the sites. I was in the ""Dunes"" area which is ..."
Pinery Provincial Park,EnvyMiA,5,"Great place, the camping grounds were clean and firewood provided (though you should bring your own)

Lots of benches for a group site, washrooms not too far and very well taken care of, and close enough to get to the beach, while being a short drive from the main grand bend strip. Will definitely be coming back"
