name,user,stars,review
Point Farms Provincial Park,Rick Almeida,5,"We stayed in Colborne area. Washrooms were kept in very clean condition, sunsets here were breathtaking, trails are well marked and perfect for walking or biking. Beach was great with access ether via the stairs or the road. Park is busy ..."
Point Farms Provincial Park,Krista Demcie,5,Love this place. Its quiet and clean. Great beach and friendly people. Was our first visit and are making this our yearly camping place. The sound of the waves and the great campsite sold us. Highly recommended.
Point Farms Provincial Park,Aileen Molloy,5,Beautiful campground.some great sites with elevated view of lake Huron.easy pull through sites. Park staff friendly and helpful..  awesome dog beach.. excellent sunsets
Point Farms Provincial Park,Daniel Venturuzzo,4,Try to go camping here at least once duringbthe year. Our families favorite provincial park. almost had our baby here this year had to leave early to go to hospital. staff were so happy for us that the reimbursed us for our camp site which we only stayed at first 2hours of a five day trip before my son was born.
Point Farms Provincial Park,Anjli Patel,5,"This is one of my favourite provincial parks to go camping at, and I've been to quite a few. The group camping spots are very big and there's a lot of privacy between the spots because of the dense trees which I like. The beach is ..."
Point Farms Provincial Park,Alik Volkov,5,"My favourite provincial park. It's small, simple, and easy. The whole park isn't just forest, it's many different things, from a farm, to a field, to a thicket. Hiking is really enjoyable here since there are so many trails you can take ..."
Point Farms Provincial Park,Carol K,5,Really nice park. Camped there for 3 nights. Average beach. Really quiet this time of year. Will definitely return.
Point Farms Provincial Park,Flavia Elena Rodriguez,5,"Loved it here! The trails are good and there are also hidden trails, very fun hikes... Comfort station is very nice (Huron campground), shower is perfect warm temperature."
Point Farms Provincial Park,JonNArianne,5,This is a great campground with an awesome beach. It's also not too long of a drive from the KW area.
Point Farms Provincial Park,María Alejandra Casanova,5,"Good campsites, the washrooms are decent, clean and showers have hot water, beach is walking distance. There is one for families with dogs and other just for people. Sunset is amazing, grab your camera and be ready to take good pictures."
Point Farms Provincial Park,Andrea Fehler,4,Their Halloween on Thanksgiving is sooooo fun for our children and we look forward to it yearly.
Point Farms Provincial Park,Solange Walinga,5,"A small family friendly park on Lake Huron. The beach area is nice. I enjoyed the trails, the stairs (those stairs got me in shape) and the sunsets."
Point Farms Provincial Park,Paul James,5,"Beautiful and well kept campgrounds. Very accommodating and friendly staff. Close enough to Goderich to get any supplies one might need, and it has it's own beach where you can swim and see beautiful sunsets every night."
Point Farms Provincial Park,April Burns FriggleFraggle,5,"When you arrive stop at the rangers station to get a pass. They offer day passes or you can tent or rv camp. The day pass is $14.50. They give you a map and answer any questions. Follow the signs to the beach, parking is close to so you ..."
Point Farms Provincial Park,Lesley Monjezi,4,"Nice little park, seems to be very family oriented. No 'partyers' the weekend we were there.  The sites are fairly close together but are well-balanced and the loops are well laid out. Lots of undergrowth between them. The comfort ..."
Point Farms Provincial Park,Doug Jacques,5,Been coming here since 1978 (I believe) and simply love it. So many memories of times spent with family and friends. Excellent!
Point Farms Provincial Park,Brian MacIsaac,4,Camp sites and facilities were average but the beaches and trails were better than expected.
Point Farms Provincial Park,Michael Tremblay,4,"good intermediate trails.
clean washrooms and showers.
Dog friendly with a long beach for dogs to run and swim."
Point Farms Provincial Park,aRagingCanadian,4,"Not the worst. Not the best.

The Good:

+ Great for biking 
+ Nice trails
+ Huge Dog Beach
+ Beach is great for watching the sunset. 
+ Park Warden makes his/her presents known 

The Bad:

- Camp Sites are small (where we were), too ..."
Point Farms Provincial Park,Nadine Eby,5,"Great park for camping or a day trip with beach access to Lake Huron, and a large dog friendly beach area. Some nice nature trails through woods and meadow there."
Point Farms Provincial Park,Northern Drone,4,Great camp grounds. Beaches near by with a dog beach as well.  Park for the kids to play at.  It's not huge but it's something.
Point Farms Provincial Park,Janis Apple,5,"Booked a Group site for 35+ people for a family reunion.
The site was large, open and flat without many overhanging trees for shade.  The comfort station had flush toilets, sinks and hand dryers and was kept fairly clean by staff. ..."
