name,user,stars,review
Port Burwell Provincial Park,K C,5,"Absolutely my favorite place to go for either a day trip to the beach, or camping at the park. Beach is all sand, and you can walk out forever with amazing natural sandbanks here and there. There's also a dog beach with tons of space for ..."
Port Burwell Provincial Park,Devon Posthumus,4,"Love camping here. Lots of activities for the kids and the playground is great too. Clean washrooms/showers.

My only complaint is the beach is a little hike from the parking lot and the boardwalk seems short. But I understand that they don't want to ruin the natural areas."
Port Burwell Provincial Park,Ryan P,5,"Great park.
Spacious sites.
Lots of vegetation between sites for excellent privacy.
Large, well groomed beach.
Water is only a few feet deep for about a kilometer out from shore. 
Great for young kids.
Book early in season since sites go quickly."
Port Burwell Provincial Park,Jeff Neven,5,"I love this park! The beach is great. We were there on a long weekend and still had lots of space for beach volleyball and kite flying. The campsites are big and private. The washrooms/showers are new and clean. 
The town is a sleepy ..."
Port Burwell Provincial Park,Liz Cowie,5,So beautiful here.  We stayed 1 week on a ravine site. One of the unreservable sites. We were lucky to get it on the last week before school. Truly the nicest sites there. Washrooms facilities were exceptionally clean and lots of showers ...
Port Burwell Provincial Park,Aamir Bhaijiwala,5,"Good sandy beach. Waves in the water which makes it fun. Dog friendly with a dedicated dog off leash area. 
Less crowded than some of the other beaches I have been to.
One downside is that the walk from parking lot to beach is a little longer than some other places."
Port Burwell Provincial Park,David & Jillian Vandermeersch,5,"Great spot for camping or a beach trip. Well maintained. Close enough to local amenities should you need something. Rates seem a bit high, but considering the maintenance and service provided the price is justified."
Port Burwell Provincial Park,Vivien Hartshorn,4,Great sites. Nice walks. Good bathroom shower and laundry facilities. You need very long hydro cables to connect to power source. Beach awesome but either a long walk or a short car ride.
Port Burwell Provincial Park,Mathew Castillo,5,I thought it was a great public  nude beach.   $15 for entry clothing was in use on beach markers 1-5 but park in lot 5 and walk apx 500 yards past lot 6 and there is the nude beach.   Every type no need to be embarrassed because nobody ...
Port Burwell Provincial Park,Brenton Mcanuff,3,"Sites are beautiful, though staff is very strict and mostly teenagers on power trips or have no authority at all.  Use the eastern public beach as it is groomed, free and there's a French fry shack.  Also bring cash as the ice cream shop at the top of the hill doesn't take credit card.  Otherwise great fun."
Port Burwell Provincial Park,Nikolai Ustiantcev,4,"Large beach, rather clean, separate area for dogs, spacious parking. Washrooms leave to wish better."
Port Burwell Provincial Park,Jason Fournier,5,"Great spot, our first time visiting.  Nice mix of site types, and lots of space to explore.  Plenty of bathrooms, a very nice park for the kids and a huge field with badminton (and volleyball?) nets as well.

You are immediately greeted ..."
Port Burwell Provincial Park,Andy L.,4,We had a great time catching into the big wave. The beach is shadow and is for the kids.  The only disappointment was the colour of the sand beneath the water.  It is black and brown and stained our swimming wear.
Port Burwell Provincial Park,Carlos Burgos,5,Awesome place to relax in a small town. Been here a few times and its surprisingly a pleasant enviroment to be in.
Port Burwell Provincial Park,Beth Hardy,5,We came to stay for 1 night and ended up spending a whole week. A beautiful campground the sites have plenty of shade and are big. They have enough trees that you are fairly secluded from your neighbour which gives plenty of privacy. We ...
Port Burwell Provincial Park,Jeff W,5,"Great dog beach. Sandy and shallow. Warm water, I highly recommend going. First time there, but will definitely be back"
Port Burwell Provincial Park,Mike Cooper,5,"This is a great place with very good public and provincial park beaches.  There are short but nice hiking trails, a good playground for kids and good facilities.  The nearby town of Port Burwell is small but very nice too and boasts a retired military submarine on display and open for tours."
Port Burwell Provincial Park,Jackie McIsaac,3,Usually love this beach! Been here countless Times! Went today and had to pay by putting $ in a dropbox as it is late in the season. After depositing our $14.50 we found as we entered the beach area it was unbearable! We were swarmed by ...
Port Burwell Provincial Park,Marlene Koehler,3,"Well maintained & clean.generous sites in iroquois campground. Lovely walking trail. Spectacular beach. Sadly, swimming was not recommended when we were here. Helpful staff."
Port Burwell Provincial Park,Darryl Horrocks,5,"As a first time camper I must say this park is very clean, we'll laid out with sites that include electrical hook ups, and privacy.  My family really enjoyed our stay and recommend it."
Port Burwell Provincial Park,Will Nut,5,"Well maintained, in a lovely small-town area on Lake Erie, large dog beach. Not over crowded even on busy weekends"
Port Burwell Provincial Park,Katrina Norton,5,Lovely colours in the fall. Walk at own risk but lovely to have the park to yourself
Port Burwell Provincial Park,Andrew Cruickshank,4,"Great beach area with nice sand and plenty of parking.  Much less busy than the free beach just next door in town. Trails to the beach from the camping areas exist, but you have to look carefully to see the signs for them."
Port Burwell Provincial Park,R Oakley,5,We weren't exactly at the park but we did enjoy the beach just a few minutes down the road. P1 is the dog beach and I believe 2-5 is the other areas you may enjoy (just not with dogs). Very clean and lots of sticks to throw if you decide ...
Port Burwell Provincial Park,Bob Mckeown,4,"Large sites,   sandy beach, clean washrooms and great cycling through some of the best farm land in Ontario. This park has lots to offer"
Port Burwell Provincial Park,Jackie Taylor,5,"The provincial park beach is amazing.
If you go to the last parking lot it is less busy and is away from the dog beach.
The beach is monitored by park rangers so it is a family friendly safe environment"
Port Burwell Provincial Park,Suzanne Patry,5,Great place for us big women ...u can feel good in your skin....no fee parking ..family oriented.  2volley ball courts..  Chip stand ...washroom outside ...inside @ outside shower.    ..no life guards..u r the life guards...watch for undercurrents..if wave r choppy
Port Burwell Provincial Park,Lucas Gerryts,5,"Not much of a camper, but I know enough to recommend this park. Very pretty, good proximity to the pier, and nice showers!"
Port Burwell Provincial Park,Amanda Smith,5,Very well maintained campsites and facilities.  Friendly staff. Great kids playground and field.
Port Burwell Provincial Park,Frederick Oliver,4,Beautiful park but somewhat long walk to the beach. Go early or late as the midday sun is too hot for dogs paws to access the beach. Ice cream shop at dog beach
Port Burwell Provincial Park,Jim Di Crescenzo,4,Great provincial park.  Each site seemed to be secluded and easy to make private.   Beech was awesome and good sand bars for my young kids.
Port Burwell Provincial Park,Jake Janzen,2,When you charge 14.50 for a one day pass. I can see why everyone wants to go to the free beach. This place has no picnic tables on the beach.the main public beach has lots. Bathrooms are limited and a long walk from the beach. No i would not return.
Port Burwell Provincial Park,Chadwick Buckle,5,strongly recommend large buffer zones between most sites for more private experience. bathrooms are newer and adequately attentend to
