name,user,stars,review
Presqu'ile Provincial Park,Thierry Josic,5,"A treasure located a mere 158KM/ 2hrs drive from downtown Toronto, where so many amazing summer days have been spent. Due to the warm fall in Southern Ontario this year, we even had a beach day in September. The waters here are very ..."
Presqu'ile Provincial Park,samanthi de zoysa,4,Beautiful park for a day trip. Not too far from Toronto.  Next to lake Ontario.  Even on the hottest of days you have  a good time as there is a lovely breeze and the water is cool and refreshing.  Lots of nice campsites too.
Presqu'ile Provincial Park,Nishanth Paramsothy,4,"Beautiful park and always well maintained.  Usually pretty busy during the summer months (as per other Provincial parks).  However, if you go past the busy seasons, and get there early enough, you can catch an epic sunrise and the ..."
Presqu'ile Provincial Park,Reza Sadreddin,5,"A best relaxing place for a Sunday or any day afternoon. All nature in a good shape. Lots of facilities. You pay for visiting but  it worth it especially in autumn every tree shows a different colour. In addition to forest, beaches and a ..."
Presqu'ile Provincial Park,Jenna Beermann,4,"Their comfort stations were easy to access and open 24hr. However had lots of large spiders. 
Beautiful convenient beach areas with swimming access."
Presqu'ile Provincial Park,Reza Filsoof,5,Stunning park! Beautiful nature which lots to do. Highly recommend bringing a bike to enjoy all of it.
Presqu'ile Provincial Park,Michelle Tyler,5,This is a wonderful provincial park. We had a very spacious and private site with one rather large raccoon visitor.  There was nearby access to the lake and some sites are right on Lake Ontario.  There are several hiking trails and some ...
Presqu'ile Provincial Park,Michael Chapman,5,Wonderful walk in the light falling snow. Crested a ridge and off to our right were 2 deer. Later we got to watch a rafter of turkeys cross by one of the gazebo/picnic buildings.
Presqu'ile Provincial Park,Neil Sharma,5,"Beautiful, serene, quiet. Awesome place to be without any disturbance and too much crowd. This is my go to place !"
Presqu'ile Provincial Park,Steve Paul,5,"First time at park, and it is INCREDIBLY beautiful. There was a lot of car traffic, but understand that at height of spring or fall bird migration it will be busy. Well worth the drive from Peterborough - plan to visit multiple times in 2019!"
Presqu'ile Provincial Park,Monique Robillard,5,"I love this park because of waterfront sites, the beautiful sunsets and the shale bottom lake you can walk for miles on. Bring water shoes for some areas as entry can be rocky. The swamps nearby are home to biggest number of Swans I've ..."
Presqu'ile Provincial Park,Kim Ness,4,Beautiful natural area!  Amazing native drawings!  Birding paradise for warblers!
Presqu'ile Provincial Park,Sorabh Mishra,5,"Fantastic and well maintained beach.

We went as a group and had a blast. There is a huge distance of shallow water so it is good for swimming and just hanging out and playing frisbee or ball.

This is doubly good for small kids.

The ..."
Presqu'ile Provincial Park,Galaxy Girl Gaming,5,"So much to do here for the day! Hiking, museums pebble beach sand beach..great day trip for all ages."
Presqu'ile Provincial Park,David Johnston,5,"Beautiful place... Lots of options for hiking, biking, camping or being at the beach. Went on a Monday, mid-day and had a great time checking the place out (no crowds!) Lots of great spots for picnics ( plenty of picnic tables by the ..."
Presqu'ile Provincial Park,Kara Murray,5,I go here at least 3 times a year and stay at the residential side and in the summer the park is wonderful.so much to do outdoors and most of the time I don’t see me parents from the morning to dinner time love this place the only downside is that it is 7 hours from where I live
Presqu'ile Provincial Park,Mhairi Colgate,4,"Loved my camping stay here. The facilities were clean, the sites were quiet, and the park of course is gorgeous! 

Only downside was many ""too friendly"" raccoons (sitting on the picnic table with us too friendly! Even with all food in the closed car.)"
Presqu'ile Provincial Park,D Mason,4,"The camp sites are a bit close, but the beach was awesome.  No problems finding a spot to strech out.  Bring your bikes for a good ride around the grounds.  Would go back!"
Presqu'ile Provincial Park,Nadine Burriss,5,Certainly wouldn't hesitate going back. Beautiful scenery and very clean
Presqu'ile Provincial Park,Phillip Harris,4,"Spent a couple of days here.
Enjoyed the walks and beaches. 
The information centre /museum was worth a visit. 
Worth the entrance fee."
Presqu'ile Provincial Park,Nicole Dellamora,5,Beautiful beaches and hiking trails! The boardwalk trail was a nice walk before swimming. The sand is soft and mostly clean although there were a LOT of flies. Water is beautiful and not deep.
Presqu'ile Provincial Park,Gail Malcolm,5,A beautiful spot with a stunning view of Lake Ontario...incredible sunsets!
Presqu'ile Provincial Park,Unkown,5,Awesome time!!! Firewood sold on site. Excellent place for some nice camping. Clean and commodities! Beaches are very priceless. Feels like Florida ;)
Presqu'ile Provincial Park,Randal L Conley,4,Great New Year's day  walk in the marsh boardwalk. Sunshine and +temps.
Presqu'ile Provincial Park,Bartman,4,"This park has it all... varied sites, shaded and sun, swim in a Great Lake, nice trails (hike and bike) and nearby Brighton doesn't dissapoint. If you're doing hydro, some of the
 posts are far, so a third 30amp cord is a necessity."
Presqu'ile Provincial Park,Scott Dawson,4,"Quiet, relaxing. Park has basic picnicking facilities including picnic tables, outhouses and recycle/garbage containers along the southernmost shore.(This is not ""Beach #1"" or ""Beach #2"".)The beach by the picnic area is mostly pebbles and small stones. The water is shallow, but the bottom is hard shelving shale layers."
Presqu'ile Provincial Park,Elena J,5,"A very nice, well maintained place. The beaches are good, but I like the most the picknic are with access to the water. You can find shadow or sun, water for swimming or grass for relaxing, hiking trails. And the plus is that it is not very busy!"
Presqu'ile Provincial Park,Leah Houghton,5,"Great place for a family outting. Educational, beautiful, fun for all ages. Unique landscape features. Fantasticly interesting history and future for this beautiful gem."
Presqu'ile Provincial Park,Janice Bannister,4,Come here every year. A pretty nice park. But well visited. Considering the number in the park generally doesn't feel crowded. This weekend it did
Presqu'ile Provincial Park,M L,4,"Great Quiet Park. Big Beach sand area . Beach Area 1,2 is the spot. Has 2 Volleyball nets. Water was good , cleaner as you go little further for adults but not bad for young kids along the shore. Walk to the water from parking area is about 3-5 mins inwards. Overall very good place !"
Presqu'ile Provincial Park,Shah Khan,2,"Presqu'ile has always been a favorite place for a group family picnic every year since 5 years. There are sites large enough, but even large sites are sometimes hard to get the unit on. Washrooms are worst in all over Ontario looks they ..."
Presqu'ile Provincial Park,Brie K,4,"Wonderful experience. Due to the drought however, the lake has plant debris washing up earlier than usual (so there is a bit to wade through at the shore right now), but it is a beautiful place. There are walking, biking and ..."
Presqu'ile Provincial Park,Vahid S,5,"Great place for camping, stopped here for the night on our road trip, has a very nice marsh board walk. And campsites were well maintained."
Presqu'ile Provincial Park,Rolla07 CS,5,"Regular visitor to this place. Id easily say its the best beach between Montreal and Toronto. Wide beaches, and beautiful nature. Camping here is also excellent."
Presqu'ile Provincial Park,George Semple,5,Was a beautiful place for a wet fall walk. Didn't test any the facilities but the trails were nice.
Presqu'ile Provincial Park,Rebecca May,5,"I’ve been camping here for 40 years and LOVE it.  There is something for everyone here.  It’s a fantastic place bike riding, hiking, swimming and going to park planned programs."
Presqu'ile Provincial Park,Sanjeewa Abeykoon,5,Large well maintained park with wonderful picnic area and two beach areas. Access to the beach is 3/4 minutes walk from the beach parking lot. Don't expect shade in the beach area. Picnic area is very well maintained and very large area. Have access to water but not same as the beach area.
Presqu'ile Provincial Park,Shannon M,5,Beautiful beach. Great camping. Staff is helpful and pleasant. The marsh boardwalk is a must see.
Presqu'ile Provincial Park,Varun Menezes,4,Really pretty provincial park. Lots of very easy walking trails and easily navigable. Lighthouse still under construction. All the washrooms open at this time of the season are outhouse style ones as well (no plumbing!) I really look forward to coming back in the summer and swimming at the many beaches.
Presqu'ile Provincial Park,Barbara R,5,Great park - we look very our annual trip thanksgiving weekend.
Presqu'ile Provincial Park,Olaf Alders,5,Amazing beach.  Not crowded at all on a Sunday afternoon in July.  Camping was quite nice as well.  Big park.  Lots of trails for riding and hiking.
Presqu'ile Provincial Park,Mike Augustin,4,Water was weed free today.  Sand was nice also.  They need more picnic tables on the beach.  I saw about 6 on the entire beach.
Presqu'ile Provincial Park,Rayanne Pierce,4,Clean & helpful staff. Very larges beaches with lots of room for families & to play sport like activities.
Presqu'ile Provincial Park,Ann Doroon,5,I love the place and the lake. Very good for 15$ entrance fee per car. You can go in and out all day.
Presqu'ile Provincial Park,Mark Redford,5,"Its a very large park, and the Park Rangers are normal, they don't sneak up on you out of nowhere and tell you to stop talking like some other parks I've been to.  There are trilliums everywhere, growing alongside the trails, and the ..."
Presqu'ile Provincial Park,Owen Grimm,4,"Great place, however the bathrooms nearest my campsite had not been cleaned for a while. Otherwise it was a great experience, and I hope to go again."
Presqu'ile Provincial Park,Jessykah Jeffrey,5,Considering it's on lake Ontario it's pretty nice!  They even have little cabins in the park that you can rent
Presqu'ile Provincial Park,J Walters,5,"Family tradition.
Love this place."
Presqu'ile Provincial Park,Bryan Zimmermann,5,Decided to check out some of the trails for an easy hike with the dogs.. Over 6km today.. Phragmites everywhere!
Presqu'ile Provincial Park,Christopher Pope,4,Great park. Beauty beach. Clean comfort stations. Park wood is wet and over priced. Go support the locals outside the gate who have dry hardwood for the same price but bigger bags
Presqu'ile Provincial Park,Julia Rodrigues,5,The most beautiful beach I've ever been to. Amazing.
Presqu'ile Provincial Park,Leya K,5,Beautiful park and great staff 👍🏼
Presqu'ile Provincial Park,James Bransfield,4,"Nice park for camping, biking or roller blading too. The day use area is nice for parking by the water for a picnic. They could use a better full service bathroom facility in the day use area. Have to drive to the lighthouse for proper bathrooms."
Presqu'ile Provincial Park,Meredith Fleming,5,Great for family vacation but beware of sneaky raccoons
Presqu'ile Provincial Park,Hannah Segan,4,"relaxing, clean beach and water. not as busy as other parks in the area. too many seagulls tho...otherwise would've  given it 5 stars"
Presqu'ile Provincial Park,Jayne Zavitski,5,"Great place, well maintained, nice trails. Very easy (flat) bike loop along the one way road. Great place to see birds, waterfowl and deer. Take your camera."
Presqu'ile Provincial Park,Tessa atessa,4,I love it ! It's not crowded. There's lots of room. Its quiet there. Its relaxing
Presqu'ile Provincial Park,Rony Lowy,5,It is a beautiful place to visit and go to the beach in sumer time
Presqu'ile Provincial Park,Debra Heath,4,Beautiful provincial park.
Presqu'ile Provincial Park,Chrissy Cooper,5,Very nice beach👍
Presqu'ile Provincial Park,Lancelot Williams,2,"Should have visited during the summer, when everything would have been green. Walked the boardwalk with the family, but everything was dead so it was a boring experience. Most of the substructure was old wood, and not particularly sound, ..."
Presqu'ile Provincial Park,Nicole,5,Great shallow warm beach. Awesome trails and boardwalk.
Presqu'ile Provincial Park,Eric Dayman,5,"I've always loved Sandbanks, but Presquile is absolutely beautiful. While everyone was dying from the heat on the Canada Day weekend, we were enjoying cool lake breezes on our large and shady campsite."
Presqu'ile Provincial Park,ian tyler,4,Question: You ask visitors to respect shore birds nesting areas then you allow hunters to shoot waterfowl. Why??
Presqu'ile Provincial Park,Paula Penson,4,"Great provincial campground with a lot of choices in campground styles.  Lots to do in the peak season.  Nice to visit for day in off season too - walks, birds, boardwalk, ice volcanoes.  Beaches can be great or can be mossy."
Presqu'ile Provincial Park,Jessika Sawyer,5,"Awesome park, well maintained and lots of fun stuff to do"
Presqu'ile Provincial Park,Ed W. Visser,5,"Presqu'ile has always been a favorite place, and this time was no exception. We have
 a 32' fifth wheel, and that size is often a challenge in provincial parks. There are sites large enough, but even large sites are sometimes hard to get the unit on."
Presqu'ile Provincial Park,Andrew Foster,5,"Have been going to this park for years, and really enjoy it. Lakeshore view is really nice and its home to several rare bird and reptile species"
Presqu'ile Provincial Park,Charlene Daniels,5,"Absolutely beautiful clean Sandy beach, the water was spa like. An amazing day."
Presqu'ile Provincial Park,swiss_knife_ 4_edc,5,We've been here multiple times and always loved it. It's a great place to bring the kids!
Presqu'ile Provincial Park,Kim jackson,5,Great place to spend the day ABSULUTLY beautiful
Presqu'ile Provincial Park,Andrew Pollard,5,"We love this park .   The park is small with a beach like feel .  It's well maintained and the bathrooms are always kept clean .  

The campsites are very very small so if that is an issue for you then this is the last place you should ..."
Presqu'ile Provincial Park,Kristen Roberts,5,My favorite beach and camping location. Great for bird enthusiasts and to get a real escape from the city.
Presqu'ile Provincial Park,Shane Brydon,5,Great provincial park. Beautiful campground and beach. Clean bathrooms. Plenty of trails to walk on. Large sites. Look for lots of wild life on the marsh boardwalk.
Presqu'ile Provincial Park,Jordan Roherty,5,"If you are coming from the GTA then you are wasting your time driving to sandbanks. The beach here is just as nice.  My kids can wade out for probably 100m before the water is chest high on them.  Great for Kayaking, canoeing, ..."
Presqu'ile Provincial Park,J Mayer,5,"Beautiful beach , shallow, clean water..lots of birds, no motorized water craft ..so very quiet"
Presqu'ile Provincial Park,Ricky Wiehr,5,"Trails, beaches, visitor center, events, guided tours, and the lighthouse, an amazing place."
Presqu'ile Provincial Park,Frank D.,5,Beautiful park right on lake Ontario.  Nice campsites right along the water.
Presqu'ile Provincial Park,Mary McKever,3,"Was far too busy and crowded, It 2was difficult to really be able to get a good look,
Items were fairly expensive."
Presqu'ile Provincial Park,Anthony Genovese,5,"Great place to enjoy a day or more. Very well kept, i visit multiple times a year and camp as well."
Presqu'ile Provincial Park,glenn boniface,5,Well kept park. Nice camp site
Presqu'ile Provincial Park,Peter Pauer,5,Great sprawling park on the shore of Lake Ontario.
Presqu'ile Provincial Park,Darlene Dudley,3,Kind of dirty.. But a decent place to enjoy the water. Once you walk thru about 8 feet of green gunk
Presqu'ile Provincial Park,Mike Maunz,5,The Jobes' Woods walk is beautiful and fascinating! I love this park and visit every year.
Presqu'ile Provincial Park,Andrew Cruickshank,5,"One of my favourite parks in Ontario!  This one has it all - a beach, a beautifully preserved marsh and great walking trails."
Presqu'ile Provincial Park,Dave Williams,5,"Clean park, staff friendly and helpful. Sites well maintained."
Presqu'ile Provincial Park,Jim Anderson,5,"Great Beach, soft sand, warm, clear water and not close to being crowded."
Presqu'ile Provincial Park,Moiz Khan,4,Nice park till we got run over by raccoons... had to be rescued by a park ranger because they eventually surrounded us.. 🤷🏽‍♂️
Presqu'ile Provincial Park,Sue S,5,Bikes lakes marshes and views great!
Presqu'ile Provincial Park,Camille Bock,5,I always love coming here for birding. Plenty of trails and picnic areas so there is room for everyone and you aren't crowded into one area.
Presqu'ile Provincial Park,Jason Tripp,5,Beautiful beaches on lake Ontario. Also has a fantastic boardwalk path to walk through the wetlands.. beautiful setting with lots of wildlife
Presqu'ile Provincial Park,Lea Schmidt,5,Beautiful place on a nice fall day
Presqu'ile Provincial Park,BRYAN WRAY,5,"One of my favourite campgrounds to go to. Great campsites, good amenities and the trails and bird watching are second to none."
Presqu'ile Provincial Park,Mike Plesko,5,Great park to enjoy nature. Fantastic spot for bird watching.
Presqu'ile Provincial Park,Jürgen Weber,4,Nice clean beach. Where here for a quick jumpin the Lake.
Presqu'ile Provincial Park,Michael Gao,5,Very good place for hiking and swimming. Be prepared for the mosquito when you walk in the forest.
Presqu'ile Provincial Park,Andrew Pollard,5,Beautiful beach well taken care of . A must
Presqu'ile Provincial Park,Just Another Captain,5,"Excellent place to take the family camping.   If you have a big family, get more than one lot.  Place is clean,  has flush toilets in the powered lots.  Nice trails with views of the lake."
Presqu'ile Provincial Park,James Miklos,5,Our family”a favourite camping park for years.
Presqu'ile Provincial Park,Terry Stopps,5,Great camping and areas for day use.  Staff are knowledgeable and well trained (like most Provincial Parks).
Presqu'ile Provincial Park,Jeff McGill,5,Great park. Lots of activities for the whole family.
Presqu'ile Provincial Park,Janis Russell,4,"Great place to spend the day ,hike , bike ride and swim"
Presqu'ile Provincial Park,Brian Livingstone,5,"Always a great outdoorsy place to go. Trails, beach, camping....the best!!"
Presqu'ile Provincial Park,Ed W. Visser,5,Always a favourite with lots of various things to do and explore and see.
Presqu'ile Provincial Park,Mike Lyons,5,Less busy but just as nice as sandbanks for a day trip to the beach
Presqu'ile Provincial Park,Cindy Phillips,5,Lived just outside of the gates of Presquile for over 50 years and I still love it so much
Presqu'ile Provincial Park,Earl Snider,5,Great mid week camping. Nonreserve campground buggy. Great lake views.
Presqu'ile Provincial Park,Lindsay R,5,Beautiful park with nice walking trails  and views.
Presqu'ile Provincial Park,Claude Peloquin,4,I'd have given 5 stars if it had a children park with play structure
Presqu'ile Provincial Park,Jimmy Barbosa,4,"Nice and piecefull place...watch out for racoons! They like to visite :)
I gave 4 cause of the bad smell when camping near the shore close to Gull Island"
