name,user,stars,review
Rondeau Provincial Park,laura m,5,"Absolutely love this place! It's so beautiful! I went near the end of October and all the fall colours were great. Love the dog beach, it's so big! So many animals around as well, I saw deer more than a handful of times"
Rondeau Provincial Park,Megan Dyksterhuis,5,"Awesome fishing, clean campgrounds, decent beach, do your research on the site you book as there are a lot that are full sun all day with few trees for hanging hammocks or clothes lines. Washroom and shower facilities are clean and mostly bug free."
Rondeau Provincial Park,Jonathan Lees,5,"Amazing park. The sites are great, with a mixture of relatively private to spacious and open.  The staff are always friendly and the park store has a pretty good variety of ""oops"" items that you may have forgotten or run out of... and ..."
Rondeau Provincial Park,Kate Smith,5,Well kept park with beautiful trails. Visitor centre offers guided hikes that my kids love
Rondeau Provincial Park,Brandon Galbraith,4,"We went in the month of June and had no problem getting a site while other provincial parks were booked up.   The sites aren’t as private as other parks, however we had very few sites booked around us.  Still a great experience."
Rondeau Provincial Park,Skye Letourneau,5,"Went camping for a weekend in July and have absolutely no complaints. Beautiful campground with plenty to do including a beach, dog beach, ice cream shop and community center. There is also a little pub called Rondeau Joe's just outside ..."
Rondeau Provincial Park,Amy Elie,4,Beautiful beach. Lovely for little ones and those of us who like to sit in shallow water. Beach was clean. Bathrooms and showers were clean. Camp site was spacious. Had a great time! Would definitely go back.
Rondeau Provincial Park,Anne Matthews,5,Absolutely beautiful. Perfect weather. Walked a trail all the way to the beach. Just perfect.
Rondeau Provincial Park,Mista Jay,5,"Love this park. If you're into birds or bird watching this a great place to do it in April  - May every year. 
We spent the day here yesterday and saw dozens of different bird species including a few that we've never seen before. 
They ..."
Rondeau Provincial Park,Bob Bjelis,5,Great park. I wish our governing authority saw it a priority to rebuild the peer in the bay and the lookout tower on the trail. Otherwise this is an awesome park. Lake on one side and the bay on the other. Awesome beach and perfect for all kinds of water activities.
Rondeau Provincial Park,Emma K,5,I missed the most incredible picture of a sunset but the place was beautiful and fun to explore on our small boat. If you are camping look at the map as we felt we were a little far away from the washrooms. The campsites vary in privacy ...
Rondeau Provincial Park,Kay Menard,3,"If you need an electrical site make sure you bring an extra long extension cord. The power supply on almost all the sites are set way back. Also none of the sites offer a water hook up for trailers. The ""good"" beach is a little far and ..."
Rondeau Provincial Park,Ryan King,4,"Went there in August. Family had a great time. Lots of birds (blue jays, oriole, hummingbirds +). Long stretch of beach. Some sections better than others so recommend to checkout other sections and don’t settle for the first one you ..."
Rondeau Provincial Park,Krista Demcie,3,Very little privacy. Noisy. Road traffic and someone was shingling a house. But close to home and neat and clean sites. I will go back just because its close and clean.
Rondeau Provincial Park,Bob Barrie,5,A very lovely and unique provincial park with a lot of history (since 1894).  Nicely maintained with an excellent Visitors Centre and friendlly / informative staff.  Park itself has great natural beauty and beaches.
Rondeau Provincial Park,Subhadip Mukherjee,4,Good park for camping. Beach and lake are very good. One point less because of less tree in the camp ground.
Rondeau Provincial Park,Andrew Cruickshank,5,"Great park work a fantastic variety of scenery.  There are sand beaches to visit for swimming, trails through the woods and marshy areas, as well as a long trail on the west side going along a large wetlands area.  Lots of roads with ..."
Rondeau Provincial Park,Ontario Canada,1,Greed has over come the sense of public service . Unnecessary charge at the entrance 15 Dollars what a rip off. Nothing much to see inside the park.  What a waste of money. First drive hundreds of miles to get there and then pay this ...
Rondeau Provincial Park,Jodi O.,5,"I love Rondeau. It's only an hour from Windsor and they have a nice beach...except the dog beach, which is all rocks and not great for walking on unless you have shoes on. That being said, if you want to bring your kids and have them swim at a sandy beach you might want to leave the dog at home."
Rondeau Provincial Park,Barn Saw,5,Love coming here for the duck hunting.
Rondeau Provincial Park,Trish Thompson,5,This campground has a great beach along Lake Erie and a great playground as well as one of the best camp stores we've ever experienced with ice cream and ice onsite. We have gone back to this campground many times very happily.
Rondeau Provincial Park,Thomas Abdallah,4,"Nice park for families or car camping. Access to a decent beach, good washrooms, and hiking trails.  Not a lot of privacy on the campsites but not too bad for car camping."
Rondeau Provincial Park,Victor MacDonald,5,"Very beautiful park, well maintained and fun for the whole family!"
Rondeau Provincial Park,Jason Marchi,3,Went just for the evening.   Arrived at 6:15 pm.  Had to pay $17 entry which was only good until 10:00 pm.   Wasn't impressed overall with the upkeep of the park either
Rondeau Provincial Park,Darlington Mabunda,4,Great time we had with family and friends. Lots of cycling trails and also not too busy roads. Just beware of ticks though. Stay off the tall grass.
Rondeau Provincial Park,Ryan Anderson,4,"Great hiking trails, easy for anyone to explore. Decent campground and facilities. Lots of wildlife to see and discover."
Rondeau Provincial Park,Lisa Ferranti,5,Monday afternoon going for a walk amongst the beautiful fall foliage of Rondeau.
Rondeau Provincial Park,Shannon Porcellini,5,"Beautiful park with hiking trails, a spectacular beach on Lake Erie, a lagoon for activities like canoeing and SUP, clean restrooms and showers, big camp sites, camp store with ice cream and slushies, great for bicycling. Can be noisy on ..."
Rondeau Provincial Park,Steve Auth,5,Great place to spend time.
Rondeau Provincial Park,Peter White,4,Happy Thanksgiving. Good time had by all.
Rondeau Provincial Park,Dan Desbiens,5,So tranquil. So peaceful.great place for a nice bike ride.
Rondeau Provincial Park,Brenton Mcanuff,4,Beautiful park.  Each shoreline is very different.  Bring mosquito repellant as parts are marshy.  Snack bar houses endangered birds!
Rondeau Provincial Park,Tony Pileggi,4,Nice beaches lots of bike riding on cottage roads
Rondeau Provincial Park,Gary Bryce,4,Good for a get-together and bicycles
Rondeau Provincial Park,Adam SOLOMON,5,"Nice Park, nice place for birding, walking and enjoying!"
Rondeau Provincial Park,Deborah Lawrence,5,Best place for migration season
