name,user,stars,review
Rushing River Provincial Park,Justin Hildebrand,3,"Great campground. Lots to do for all ages. I've been coming here for almost 15 years straight, and unfortunately it seems that the park is kind of a forgotten gem... They used to have the museum open more often, as well as have weekend ..."
Rushing River Provincial Park,Alvin Bali,4,Went at about 3pm on a Saturday and stayed for 4 hours. Drove in for the day from Winnipeg for the first time to discover. Decent spot bit of a combo of private adult and family spots throughout. Would definitely go back. Had a group of ...
Rushing River Provincial Park,Meghan Schaefer,4,I've been coming here every year since I was a baby. Such a wonderful campground with great memories but it is starting to go downhill. The bathrooms are very run down and dirty. The amphitheatre isn't being used anymore which is a real ...
Rushing River Provincial Park,John Delisle,5,"Rushing River is an amazing campground. Book like 6 months in advance to secure a prime location on the river/lake. 

The showers are hot and free, and the campground is better kept than most. Good privacy if you pick a treed lot."
Rushing River Provincial Park,zaheer maknojia,5,Very good campsite. Waterfall is nice but only thing which was missing is beach so we went to falcon lake for that. Washrooms are clean and tidy. If you want to hike then there are good trails for hiking and cycling.
Rushing River Provincial Park,David McKinnell,5,"This place was amazing! There are rapids to enjoy, trails to hike, and sun to bathe in. The camping prices are reasonable and the washrooms are well kept. The bugs were at a minimum for our visit in late June, and everyone we met was ..."
Rushing River Provincial Park,Amy Melissa,5,"Absolutely beautiful park. The map to get to our site and around the park was a bit confusing when we first got there but we figured it out. The park itself was amazing we will 100% be going back in the future.
I didn't find the ..."
Rushing River Provincial Park,Tara Devlin,5,Love this park and we go back every year. It has a great hiking trail across the street that even my 5 year old was able to do and it is very pretty.
Rushing River Provincial Park,Andrew Warren,5,The water is crystal clear. The rapids are beautiful. You'll want to take lots of pictures. There are SO many blueberries when they're in season.
Rushing River Provincial Park,Paris,5,"Probably the best campgrounds you can find. Great water activities and many little islands to discover. And if you need something, Kenora is a few minutes away. Make sure to buy firewood from the local store and not from the park gate as they charge a huge markup."
Rushing River Provincial Park,Mike Ashe,5,Lots of parking. Change rooms available and water service. Clean park and facilities. We visit as often as we can. Beautiful park.
Rushing River Provincial Park,J Loewen,5,"One of my favorite parks. Awesome for river walking, picnics,  swimming and hanging out with the family."
Rushing River Provincial Park,Shamsher Singh,3,"This place is not for sight seeing. This is only for people who wants to camp, ride bikes and hiking. You may not find any help from local guides or sight supervisors if you need any."
Rushing River Provincial Park,Mae Sawatzky,5,"Thick brush for more private campsites; perfect for kayaking or canoeing or other water sports. Love this place, will come again next year!"
Rushing River Provincial Park,Inesh Prabuddha,5,Very beautiful and calm place to camp or visit.
Rushing River Provincial Park,Alyssa Dyck,5,Always a great place to stay.this year out campsite was not mowed so the grass was 2 feet long and the bugs were terrible.
Rushing River Provincial Park,Txia Manalo,5,Campsites are spacious walking distance to the beach. Good for hiking and bike riding in the morning. 🙂 Would recommend to explore the entire park cuz there is so much to see not just the famous rushing river. Mosquitoes are wild this season arrgh
Rushing River Provincial Park,LinuxAndThings,5,Nice Provincial park with a lot of picnick spots and sheltered areas. There are also a few cute tiny beaches you can swim in. RV park for your campers (have to reserve ahead of time) and tons of walking trails and fishing spots. If you ...
Rushing River Provincial Park,Shaadman Shaan,5,Really relaxing. The sound of the water rushing will sooth your soul while you enjoy the sun by the river banks.
Rushing River Provincial Park,Karl Oman,3,Spots uneven. Some very. Washrooms no TP and no lock. 10 am in Morning. Area nice
Rushing River Provincial Park,Judy McCormick,5,Great weekend trip with Cub Scouts! Clean facilities and well maintained camp sites. I will be camping here again
Rushing River Provincial Park,Luke Passi,4,Beautiful campground with several great areas to swim. Unfortunately the cost of firewood is NOT included in the camping fees.
Rushing River Provincial Park,Devon Williston,5,"Amazing camp sites, beautiful views and awesome swimming. The only thing that wasn't very good were the washrooms, but hey what do u expect from a public camping out house?"
Rushing River Provincial Park,M.G. Czarko,5,Love this campground every thing is well maintained. Lots of stuff to do on the lake.
Rushing River Provincial Park,Tashai Ryan,4,"Toilets and showers need upgrades, however we had a great time as family."
Rushing River Provincial Park,Nadia Liudmer,5,"We like to spend time with our family and friends in this place, but I think that you need to install several lamps near each toilets"
Rushing River Provincial Park,Robert,2,"I would not recommend this campground. We came here with friends for the August long weekend. The sites are close together, our fire pit was two feet from the road. The men wash room had no door on it and you had to hold the stall door ..."
Rushing River Provincial Park,chirag patel,5,Love the facility here. It's perfect place for weekend.
Rushing River Provincial Park,Jarred Hammer,4,"Beutiful Park, Hiking trails not so much"
Rushing River Provincial Park,mitesh patel,5,Good place for kayaking. The beach area is pretty small and crowded though.
Rushing River Provincial Park,mourice ogada,5,"Wonderful, exiting, various locations. One down side,  there are no lifeguards on site"
Rushing River Provincial Park,Mark Goertzen,5,Loved it! Just please fill the toilet paper more often. The stall I used this morning ran out of toilet paper.
Rushing River Provincial Park,Paul Reichart,4,"Great park,  but a lot of sites are not very level."
Rushing River Provincial Park,Andreas,5,Very nice.  The river is amazing
Rushing River Provincial Park,Kelly Nash,5,I'm a tenting only camper.  I'm heading across Canada.  I have mixed feelings about this park.  It's a good place to take kids but it's very busy.  I loved how they made all the sites without changing the landscapes. . Lots of steep ...
Rushing River Provincial Park,Gary Schettler,5,"Our favourite!  Its a beautiful campground, with quiet waters for canoeing.  Big rocks for jumping off into the water.  Water temps are not too cold.  Convenience store a mile down the road from the campground for ice-cream and other necessities.  Cant go wrong here!"
Rushing River Provincial Park,Doug Carter,5,Very nice campground with nice views of the bay and river.
Rushing River Provincial Park,Brook Hoskins,5,If swimming and fishing are you plan this is a great spot!
Rushing River Provincial Park,Pablo Ventura,5,"Beautiful camping location, with many water adjacent sites. Book early as this park fills up!"
Rushing River Provincial Park,Elaine Vachon,4,"Loved the park.  Lots of great campsites, especially for tenting down by the water.  If you are in a powered site with a trailer as we were you will want to make sure you have an extension cord with.  We were in South Campground and ..."
Rushing River Provincial Park,J H,5,My new favourite camping spot by far!!
Rushing River Provincial Park,Katia Voyer,5,"It was our first time in Rushing River Provincial Park, for a 2 night at the campsite, on the north side. We really enjoyed it. The bathroom and shower areas are clean and practical. Even the facilities (toilet without water... I'm ..."
Rushing River Provincial Park,Jason Campbell,4,Awsome place for camping. Swallow beaches for young ones.
Rushing River Provincial Park,Cory Walpole,5,Our favourite place to camp.
Rushing River Provincial Park,Vince Kubish,5,Beautiful place even in the winter
Rushing River Provincial Park,Jennifer Franzin,4,One of our favorite parks to explore in Ontario!
Rushing River Provincial Park,Ron Normand,5,Very nice place to visit and take some nice pictures
Rushing River Provincial Park,Reynaldo Pacheco,4,Exciting and great experience along the way
Rushing River Provincial Park,Jim Barnes,5,"Very nice, will do it again!"
Rushing River Provincial Park,Mr Swingline,5,Beautiful park with great hiking trails. The water is pretty chilly but you won't find a cleaner river anywhere it can't be beat on a hot day. There is a general store a minute down the road which sells all the basics for a day on the ...
Rushing River Provincial Park,Aaron Duncan,5,"The sites are huge. The park is clean. The showers have the pressure of a fire hose. Worth the 42 bucks. 

So long and thanks for the fish."
Rushing River Provincial Park,Barbara Herkert,5,Great hiking trails
Rushing River Provincial Park,Cass Romyn,1,"Tried to stay here with my daughter last summer - our neighbours had set up on half our site then left, and when I asked the front what I could do as they were all around the shared power outlet, they suggested a rent a 25 ft extension ..."
Rushing River Provincial Park,Jegi Ribadia,5,Nice place for group camping
Rushing River Provincial Park,Marv Red,5,"Favourite family camping! Nice campground, nice beach, enjoyed exploring the trails and various rapids"
Rushing River Provincial Park,Ravi Pathirana,5,Good place to chill out
Rushing River Provincial Park,TheBlackford78,5,We drove from Winnipeg to Rushing River. Totally worth the 2.5 hour drive
Rushing River Provincial Park,Brian Mitchell-Walker,5,Beautiful space and friendly staff.
