name,user,stars,review
Samuel de Champlain Provincial Park,Daniel Millar,5,Made the trek from Toronto once for camping and it is definitely has become one of our regular spots for camping for now on. We had a site right by the lake and it was amazing. Rapids were really fun too.
Samuel de Champlain Provincial Park,Robert Brunsch,5,This park is incredible! We stayed for the week after Labour Day - and our side of the park emptied out after the long weekend. Staff were friendly and did not bother us. Park bathrooms were clean as were the showers. We can't wait to book our site for next year!
Samuel de Champlain Provincial Park,Robert Higgins,5,"An amazing park, with excellent facilities, sites are big with lots of space. Beaches were clean and lots of ample space to wonder and explore. Fishing was good as well. Lots of different water bodies to explorer. Highly recommended for ..."
Samuel de Champlain Provincial Park,claudia mosher,5,"Wonderful woodsy campsites. Quiet and spacious. We had # 174 which has a nice waterview but it was listed at the park store as a ""pull-through"" ... Which might be true if you were on a motorcycle; otherwise you'd have a tree as a hood ornament!
Really nice flush outhouses but there's a boil water advisory"
Samuel de Champlain Provincial Park,Dianne Hanson,5,Loved it so much we are coming back this coming weekend despite the cooler weather!
Samuel de Champlain Provincial Park,Hirak Padh,5,"Amazing park and super friendly park staff..... we had everything as we were told...super clean Comfort Station...with Shower facilities......
Only thing needed more is group possible canoes...like specially for 4 and 8 people.....they had only very limited facilities of those.........We will surely go back in future......"
Samuel de Champlain Provincial Park,Doug Armstrong,3,"Cool park, the lazy river is awesome.  I would return, however read below.  

Use caution with the power at this park.  We were there during a fire ban and very hot week.  Everyone was running their ACs and this park can't handle that ..."
Samuel de Champlain Provincial Park,Pauline Ulman,4,"Beautiful park, small, but lovely. Trails are great and the camp sites have decent coverage between each other. There are some gorgeous sites right on the river or the lake. The biggest issue is that they advertise a dog exercise area ..."
Samuel de Champlain Provincial Park,Robert Caverly,4,Nice park. It's not very busy this week. Late September. The only issue is the road going into the park is really rough in a few places. It definitely needs to be repaired.
Samuel de Champlain Provincial Park,Bruce Kessler,4,"Reading other reviews, most I agree with, especially about activities and beauty. Pulling a 30' 5th wheel, though, these sites are definitely not large. Choose carefully if you are making reservations unseen. Many sites are not level, ..."
Samuel de Champlain Provincial Park,Isabella Jusková,5,Beautiful park. I loved canoeing on the lake here. Really worth the drive up north.
Samuel de Champlain Provincial Park,Katie MacLea,4,"Site 71 isn't much of a site, more like a driveway. Otherwise we had a great time hiking/ beach/ park/ visitor centre was also cool! Clean comfort stations & park staff is friendly. Our 1 year old & 2.5 year old had a great time!"
Samuel de Champlain Provincial Park,Erin Jarvis,5,Lovely park! Super helpful staff. Definitely enjoy the campsites although a bit stoney there's lots of space. The river and the beach are awesome 😊
Samuel de Champlain Provincial Park,Jason Smith,5,Great fairly remote campground. Very beautiful. Staff are amazingly helpful. Worth the drive!
Samuel de Champlain Provincial Park,Melissa Harmer,4,Lots of fun great activities one part if park for large trailer and lots of camping for tents as well staff are very friendly thanks we also enjoyed shooting the Rapids on the river :).
Samuel de Champlain Provincial Park,Michelle Renaud,5,"Love this campground. Close to Mattawa and Rutherglen. Nice beaches, natural lazy river, one of the few provincial campgrounds with a store. There's daily activities for kids, a little informative museum. The sites are spacious and fairly private."
Samuel de Champlain Provincial Park,Tara Burton,5,Beautiful park and peaceful .. We dont like paying to camp but we tried it for once
Samuel de Champlain Provincial Park,Devin Grosz,5,Really nice. The programming was top notch and very enjoyable.
Samuel de Champlain Provincial Park,Rise up,5,"I loved this park, and the staff were so helpful."
Samuel de Champlain Provincial Park,Kevin Thompson,5,"our first time thru ontario on our trip from alaska to the east coast, couldnt be more pleased with the area, beautiful, polite people, easy to find campground. excellent experience staying here!"
Samuel de Champlain Provincial Park,Mike Phelps,5,"A beautiful, peaceful place to camp. The staff is top notch in terms of helpfulness."
Samuel de Champlain Provincial Park,Cam Stevenson,5,"We hiked here while staying at Driftwood.  Beautiful place with great facilities and helpful staff.

ProTip:. The Geology Trail is 5km on a map but 9.1km in steps.  Bring lots of fluids and wear well treaded shoes."
Samuel de Champlain Provincial Park,Mister T,4,"The park was very nice with lots to see and do as campers, the lake, swimming, hikes, canoeing, star gazing, roasting marshmallows & dogs by the fire.  The thing to watch for is the main road going into the park is SOOO bumpy with road ..."
Samuel de Champlain Provincial Park,Sara Provincial,4,Love this place! Nice clean facilities many of the lots are spacious and private.
Samuel de Champlain Provincial Park,Natalie Cousineau,1,"If you’re a group of 20 something’s, steer clear of this place. My family had the most awful experience here. The park rangers were cold and unfriendly from the very start. 

We were evicted within 5 hours of being there, simply because ..."
Samuel de Champlain Provincial Park,Michelle St-Onge,1,"Online stated that there were “non reservable camp sites” we also called to make sure this was correct... 
so we arrived early in the morning to find out that this is false... traveled over an hour with small children for nothing!
There ..."
Samuel de Champlain Provincial Park,Ray Malette,5,Awesome park clean and beautiful and we keep coming back to it. Can't get enough.
Samuel de Champlain Provincial Park,Deonne James,5,Excellent trails. Wonderful place to relax
Samuel de Champlain Provincial Park,Steve Goldberg,4,Wry nice camping park with nice wooded good size sites. We had a place across from the lake and found it very relaxing
Samuel de Champlain Provincial Park,Angela Molendyk,5,"Very friendly, peaceful and green!  Sites are a generous size"
Samuel de Champlain Provincial Park,Budgie Grotesque,5,"Great park, good for paddle of the canoe up the river.   Can get busy.  Well maintained"
Samuel de Champlain Provincial Park,AlexMitchel,5,Great park. Maintained perfectly
Samuel de Champlain Provincial Park,Robert Klickermann,4,"Great park, even with the fire ban on right now."
Samuel de Champlain Provincial Park,Kevin Secord,3,road going in was very rough and sites were not laid out well. Friendly staff and lots to do.
Samuel de Champlain Provincial Park,John Maier,3,The staff at the park are great and had great kids activities. The museum was also well done.  The sites are not groomed but nice.  Many sites have good privacy while others do not. The beach is very small and crowded but it is good for ...
Samuel de Champlain Provincial Park,Lesley Monjezi,5,"A quiet park with great amenities. Even when it's busy it retains an air of peace and spaciousness. Close enough for day trips to Kiosk, North Bay, and Mattawa. Nature centre is an added bonus."
Samuel de Champlain Provincial Park,Christina Chenard,3,"Our stay was pretty good, but it started out rocky. We were originally booked in for 1 week in too sure 118 in the East Campground, we booked with a small tent trailer and extra tent for 6 people (4 adults, 2 little kids). Upon arrival ..."
Samuel de Champlain Provincial Park,SHEILA WILSON,5,The staff was all very friendly. The park was well maintained.
Samuel de Champlain Provincial Park,Dolly Ross,5,awesome camping..great bathrooms ..showers..rangers friendly
Samuel de Champlain Provincial Park,Adam McGrath,4,"Had fun, tough to find your site in the dark."
Samuel de Champlain Provincial Park,dennis colbourne,4,Lots to see and do at this provincial park.
Samuel de Champlain Provincial Park,Semiha Cantas,5,"One of my favourite park for camping.. been there as a family at least 4 times, we love it."
Samuel de Champlain Provincial Park,Colin Marvin,5,"Beautiful park, great sites and very clean bathroom facilities!"
Samuel de Champlain Provincial Park,Ron Hall,5,"Favourite park, hands down.    ?;-{-"
Samuel de Champlain Provincial Park,Jody Hebert,4,"Al2ays nice and clean
 Good trails"
