name,user,stars,review
Sandbanks Provincial Park,Jordan Toth,5,My favourite provincial park! Large park with all necessary amenities and a variety of activities. Always fun to hike through the dunes to find yourself a secluded beach spot for the day. Popular place so make sure you book in advance as camping spots are hard to come by!
Sandbanks Provincial Park,Avinash VK,5,"A great vacation spot for a weekend trip. The best fresh water beach that I’ve been to. Make sure to go on a non busy day. During that latter part of the summer, there is a lot of green algae floating around, watch out for that. They have some vineyards around the prince Edward county that are worth a visit as well."
Sandbanks Provincial Park,Nathaniel Broughton,4,"Since I'm from Hamilton, I'm used to Lake Ontario being disgusting, green, and toxic. When on my vacation, I came several times to Sandbanks Provincial Park, and it was honestly great! Clean water that you can actually see to the bottom ..."
Sandbanks Provincial Park,Adam G,3,"Sandbanks is generally beautiful, and I remember it fondly from childhood.  sadly, zebra mussels have become a massive problem.  while this isn't the park's fault, it does affect the visitor experience, so I cannot give the park the rating it deserves."
Sandbanks Provincial Park,Jessica Brant,5,"Clean, cheap and good for the whole family. It's nice that it hasn't been over run with Americanized stores. There's one store, with minimal selection. the bathrooms are clean. The beach is also clean and garbage free. Sand is usually ..."
Sandbanks Provincial Park,K S,5,My family has been camping at Sandbanks since long before I was born. My grandmother started taking my dads family there in the 70s and we’ve been back every year since. We always pick a week in July. Although the booking process can ...
Sandbanks Provincial Park,Robert Onley,5,If you have young kids you really cannot beat Sandbanks Provincial Park given its massive beaches with shallow water that are absolutely perfect to allow your children to roam around. You won't have to freak out about whether the water ...
Sandbanks Provincial Park,Jeremy Dang,5,"This review is long overdue. Had a great time here. If you don't like crowd areas, this is a great place to visit."
Sandbanks Provincial Park,Erich Shih,4,"I like the beach here. Water gradually goes deep and sand is fine, given that it is a lake.  What I don’t like is that there is no shower room for the public to use. That facility is only available for campers and not for day use. Other ..."
Sandbanks Provincial Park,Kelsey Halagian,5,I had a great camping trip here with my cousin. There are 5 trails to hike and tons of beach area to explore. I seen people canoeing and kayaking down the river by the outlets. The beach was spectacular and great for families. They have ...
Sandbanks Provincial Park,Christina Diong,5,Beautiful long beach. Could be crowded during long weekend but not that bad.
Sandbanks Provincial Park,Steven cowdrey,5,Great beach and water. Maybe one of the best I've been to in Ontario.  The only downfall is the price. $17 per car on the weekend we went. We visited dunes beach.  It had a nice little snack bar too and the sand is soft and clean. The water is shallow with a soft Sandy bottom and is  great for small children.
Sandbanks Provincial Park,Jeff Johnston,5,"Sandbanks is one of the best beaches if not the best beach on Lake Ontario.  The entrance to the park is cheap at $11/car.  The beach is wide, sandy and very shallow water makes is safe for children to wade out. The park provides picnic ..."
