name,user,stars,review
Sauble Falls Provincial Park,Don Muir,1,"We stopped for a look around the falls, quite nice until we left. Needed to use the toilets in the parking lot above the falls where we parked. We have never been more shocked and disgusted in a Provincial Park facility. Excrement ..."
Sauble Falls Provincial Park,Andrea Hajt,3,"Decent campground at Sauble Falls and close to Sauble Beach. Great bathroom, shower facilities. We did see 2 wood roaches during our 4 day stay though."
Sauble Falls Provincial Park,Jodi Belec,5,Excellent customer service and friendly staff. Good site sizes easily accessible. We had parking for 4 cars when friends surprised us with a visit. Short day trip to Sauble Beach was heavenly. Short day trip to Tobermory was ...
Sauble Falls Provincial Park,Meagan Hull,2,These grounds are the least private of all the provincial parks I’ve ever been to. We could see the cars on the highway from our campsite... the highway was on the other side of the fence... not impressed. I would go to a private park next time I’m in Sauble area
Sauble Falls Provincial Park,Lauren Osrecak,4,Went here to check out the falls and it is very beautiful. It is a tourist attraction so in the warm weather it is packed with people. Parking is expensive but there are a few cheaper lots if you are willing to walk a few minutes. The ...
Sauble Falls Provincial Park,Tommy Gunn,5,Went camping here for the first time with my wife during Fall and enjoyed the beautiful falls and unique rock formations. Was even lucky to spot salmon in the water.
Sauble Falls Provincial Park,Colin Benninger,1,"I have been camping at provincial parks since inception, and my friends and I have been going annually for nearly a decade, never before have I dealt with such strict noise policies. We booked a group site, and had about 10 people with ..."
Sauble Falls Provincial Park,Fanny Belcoski,5,Beautiful park worth going .  5 minutes from Sauble beach. Beautiful campsites. Nice clean facilities. Very nice staff. Lots to do in the area.
Sauble Falls Provincial Park,Rachel Shafer,5,"We camped here and have an awesome experience. The girls that work there were all super friendly and very helpful. The site was very large and it had a cooking grate over the fire pit, thought that was pretty cool. It was very lovely and very minimal bugs and mostly just at night mosquitoes."
Sauble Falls Provincial Park,Robert Harker,5,Incredible natural wonder where you are allowed to swim and dive off the falls. People were swimming the rapids and jumping off the falls into the pool.  Great fun for old and young ... highly recommended.  No admission fee but there is ...
Sauble Falls Provincial Park,Raj Paleja,1,"Due to the character limit, my full review cannot be provided here. Please refer to the attached screenshots."
Sauble Falls Provincial Park,Taylor Arman,5,Beautiful park! Sites were a great size and private enough. We rented kayaks for an hour down the river and did some exploring it was fantastic. Would highly recommend!
Sauble Falls Provincial Park,Siddiq Rizwan,5,It was a very nice experience. Felt very happy. I would rate it 5 stars. Happy Entry and Felt sad to miss that place. #nice #good #happy #google #maps #googlemaps #localguides #contributions #localguide #exiting #missing #feeling #place
Sauble Falls Provincial Park,Marc Daguerre,4,Tree coverage was fantastic since it provided much needed shade during noon day sun. Our lot size was kind of small compared to some of the other ones. Would be a good idea if they had dimension to the sites so that you can reserve one that fits your needs. The main beach area is only a few kilometers down the road.👍
Sauble Falls Provincial Park,BeeFound Business Optimization Inc.,5,Great provincial camp grounds. Staff were very friendly at the front gate and make checking in very pleasant. Camp sites are not very private but overlook the river which is nice to wake up too. If you forget something these are several stores close to the camp. The river was a blast to spend some time in.
Sauble Falls Provincial Park,Travis Merkley,5,"Beautiful Campground, see lots of nature up close, short drive to Sauble Beach, clean brand new Washroom building with Shower rooms. Good size campsites all with 2 picnic tables."
Sauble Falls Provincial Park,Brandy Forbes,4,Quiet & peaceful little spot not too far out of the way on a beautiful winding road thru a tunnel of gorgeous autumn leaves. ITS A MUST SEE. You won't regret it!
Sauble Falls Provincial Park,Natural_born _vaper,5,Beautiful beach very nice clean park. Nice water fall behind the park all in all fun times
Sauble Falls Provincial Park,Kris Smith,3,"To busy with people, find a better time to visit"
Sauble Falls Provincial Park,M Kellington,4,"This Park is very nice and very small. Its lane ways are the old style narrow one lane roads that provincial parks used to have.
The waterfall is amazing but it's hit and miss depending how high or low the river is.
The park is split in ..."
Sauble Falls Provincial Park,John Maier,4,We went the first week in May and had a great time!  The park was almost empty so the kids had free reign for biking and exploring.  We stayed in the north section and the bathrooms were great.  The fishing was easily accessible and ...
Sauble Falls Provincial Park,bindu saju,5,"Beautiful falls! It is a hidden gem. The parking is plenty. They have camping facilities as well. Clean washrooms with running water. Shower stalls for campers are also there. 
The rocks can be slippery. Be careful when getting on to the ..."
Sauble Falls Provincial Park,Niveka G,5,Going in the fall is lovely. The colors are amazing
Sauble Falls Provincial Park,meg p,3,"The falls itself is beautiful for that I’d vote 5 stars(yay nature!).  The parking was super crowded. Basically minimal amenities, washrooms brings a fly infested outhouse.  nice stop before or after the beach, parking at the ..."
Sauble Falls Provincial Park,David Harms,4,"Fun to walk around.  It's really about the nature and nothing to do with value added.  A little pricey seeing as it doesn't appear to be maintained, but rather capitalizing on work done long ago.  Should be free, though the brief boardwalk would cost something to fix."
Sauble Falls Provincial Park,Gordon Smith,5,"The most fun I've had in a long time, the Falls are cascading and you can walk out from the boardwalk and fight the current.It was just over 5.00 to park. You are close to the amazing Sauble Beach and check out the Sauble Sands just up ..."
Sauble Falls Provincial Park,Yeganeh Mehrbod,5,"Breathtaking views! Great for fishing if you're interested, and great for a one day getaway."
Sauble Falls Provincial Park,Ramsha Qureshi,5,"It's a great park for taking a stroll, having a picnic, taking pictures, and generally enjoying yourself. It's a great place for family. There is a smaller parking spot past the main provincial park that allows you to park for hourly ..."
Sauble Falls Provincial Park,Erna's Adventures,5,This is such a beautiful place its not a high falls but pretty
Sauble Falls Provincial Park,Brad Shaw,4,Really nice spot to look at the falls. They are small but beautiful. Parking is a bit pricey even though there isn't much to do or see. Maybe stop here for a picnic as it's a great spot for that.
Sauble Falls Provincial Park,Kirthiga C,5,The falls and the park was great. Even kids can walk through the falls with parents supervision of course. A very nice and shady place to do picnicking.
Sauble Falls Provincial Park,Budgie Grotesque,5,Park is very well maintained and washrooms nice and clean.  Campsites have some trees and good privacy on most sites.   One of the smaller provincial parks.  Sites available right on the river so you can launch your canoe right from your site if you want.
Sauble Falls Provincial Park,Shaun G,5,Even when busy still lots of room to explore and have fun. Great place to enjoy for anyone young and old!
Sauble Falls Provincial Park,Mike Garside,3,The site is interesting. The falls are nice.  Paid to park for the 10 minutes i spent there....
Sauble Falls Provincial Park,Raneem Sh,5,"Spent 2 nights there. Staff was friendly when checking in and roaming around at night. Facilities are very clean and up to date, more than what would you expect when going frontcountry camping. Super close to the falls, the beach as well ..."
Sauble Falls Provincial Park,Rami E,5,Great place to bring family and friends. There's a basketball court and a beach volleyball area for sports lovers and regular park benches to set up a nice picnic/bbq. Small trail leads to the falls; truly wonderful scenery!
Sauble Falls Provincial Park,Marlo Crossing,3,This park is super quiet all day and at night through the week. Unfortunately the sites are anything but private and are very small. I’m not really sure I’d come back.
Sauble Falls Provincial Park,Adam Olivero,4,Beautiful area. Lovely falls. You can swim at the bottom of it.
Sauble Falls Provincial Park,Satheeshwaran Nadaraja,5,Liked the place very much. Natural waterfall. Nice to have bath. Clear force water.
Sauble Falls Provincial Park,Karen Eden,4,"Beautiful spot, right by the river. Close to sauble beach. Bathrooms didn't get cleaned enough, very often out of toilet paper."
Sauble Falls Provincial Park,Emre Yilmaz,4,Stunning view. Some tables and benches to sit and relax. You can also put your feet into the water and have a foot massage.
Sauble Falls Provincial Park,SYED NADEEM AHMAD BUKHARI,5,Nice place for day trip with family or friends Highly recommended.
Sauble Falls Provincial Park,Michele Ubels,2,"Nice camp sites. Beautiful treed area. Great location for the beach and falls. BUT washrooms and showers too few of and so FILTHY! Very disappointing, so wouldn't recommend this campground because of this."
Sauble Falls Provincial Park,Andrew Cruickshank,5,Great park along the river with a staircase style of waterfall to see.  The walk along the river on the east campground side was fantastic as well.
Sauble Falls Provincial Park,Edward Nielsen,4,Beautiful part with excellent beach just minutes away.  Only downfall are the sites are so close to each other.
Sauble Falls Provincial Park,Kara Prescott,5,Beautiful place to visit and jump off the falls. There is a small fee for parking.
