name,user,stars,review
Selkirk Provincial Park,Piyush Ghimire,1,August long weekend.... We Went With Family and our 6 friends and their family. This place is not good for camping. Dirty Washroom. No shower in our side of camp ground. Staff are not friendly. We Just ENJOY because of big group. ...
Selkirk Provincial Park,Kaitlin Pierson,5,The park has some really private camp sites and it is well maintained. The staff are lovely and our kids enjoyed the art in the park activities. We will absolutely go back!
Selkirk Provincial Park,Branden McWha,4,A decent Provincial Park with the usual amenities. The site we booked had good shade and privacy. The beach was okay.
Selkirk Provincial Park,Remy Pravato,4,"Great camp sites, well maintained common areas/washroom facilities. Beach isn't maintained, very rocky, lots of dead fish/birds. Dog beach is actually nicer than the dog free beach, except for some irresponsible dog owners that don't ..."
Selkirk Provincial Park,Emily O'Gorman,2,"I am so disappointed with this park.  We arrived with our 5 year old for the weekend, it is so noisy all day!  The proximity of all the campsites not only limit privacy but also lack any sort of sound barrier.  When complaining, the park ..."
Selkirk Provincial Park,Alex Vorobyov,5,"Nice maintained park, quiet and shadowy. Beach is a bit rocky first 10 feet,  then soft send. Good for swimming and camping. Washrooms are basic, but it's not a Warldorf-Astoria, right?"
Selkirk Provincial Park,Vanessa Clark,2,"There is ONE COMFORT STARTION FOR THE WHOLE PARK. Unfortunately we had site #92, right across from the parking for the comfort station. People from all over the park drive to that station and there are lineups for the 6 showers. After ..."
Selkirk Provincial Park,Ed W. Visser,4,Close by for us (Caledonia) and there're always sites available. A quick getaway and much appreciated. Serviced sites have both electric and water. My only complaint: park roads can get to be very dusty. That's why I'm giving a rating of 4. We use 32' fifth wheel.
Selkirk Provincial Park,Gary Mariutti,5,"Awesome place, nice beach.."
Selkirk Provincial Park,Andrew Cruickshank,4,Nice park with waking trail through the forest and boardwalk over a river.  Beach areas had lots of open space for picnics and events.  There were a number of people playing cricket there when I visited.
Selkirk Provincial Park,Aleka Duguay,5,"Great Park! Clean and great size.. Just bring bug spray, ticks are in full force but it is like that everywhere right now. Staff was super friendly and helpful, gave us sufficient warning that our original site had flooded and let us pick our new site when wr got there. Highly recommend this park"
Selkirk Provincial Park,Nikitha Krishnan,5,"Clean, great spots for camping ! Loved the spot and the beach is awesome. If you want to go for a walk it's great for trails !"
Selkirk Provincial Park,Bob Wood,4,Nice park. People and dog beaches. Power and water sites. Friendly staff.
Selkirk Provincial Park,Gerhard Peters,4,Excekent park . Went there for the first time on Spetember long weekend. The only think lacking is a nice beach but that would not keep me from going back
Selkirk Provincial Park,dan booth,4,"Loved it.  It goes without saying, but bring bug spray and good t.p."
Selkirk Provincial Park,Ed W. Visser,4,"Always sites available, neat, clean and close by. (We live in Caledonia). We were in a 32' Fifth wheel."
Selkirk Provincial Park,Miguel Arturo Sierra Zàrate,5,"Very relaxing, surprised how detached from everything it feels even though is so close to town."
Selkirk Provincial Park,Rebecca Mills,2,"Encountered 6 blacklegged ticks around the campground, 4 of which were on our site. Not the most comforting feeling considering we weren't walking around in high grasses and such, just walking around the campground and our campsite. The ..."
Selkirk Provincial Park,Maria Yasnitsky,4,"Large sites, We stayed at the in a radio free zone. Loved the place."
Selkirk Provincial Park,Aileen Molloy,3,Lovely camping area.. beach not so great....slimy green shoreline mid summer
Selkirk Provincial Park,Bruce Winter,5,Nice quiet park. Great great place to relax. Gotta go there.
Selkirk Provincial Park,Avery MacLeod,4,"The bathrooms near most sites were sketchy but the 'comfort centre' was very nice. Not too many bugs, overall a good experience."
Selkirk Provincial Park,Professor Bhavesh Pandya,5,It's really a great place to spend weekend days here.
Selkirk Provincial Park,Erin Hesselink,4,"Nice little park, conveniently located."
Selkirk Provincial Park,Jeannine Kemmers,5,Beautiful place to go camping and a nice beach
Selkirk Provincial Park,Alyssa Keast,1,Big disappointment from time rolled in not much privacy between sites loud group beside us that security never told to be quiet bathrooms were few and far between and only one set of showers that they closed for over a half an hour the ...
Selkirk Provincial Park,Keith Villeneuve,4,"great campgrounds, the swimming area was not so great"
Selkirk Provincial Park,Jules Roy,4,"A nice park but lacks a nice beach, sites were fair sized, no clear flushable washrooms"
Selkirk Provincial Park,Chris Witmer,4,"Well maintained campsite and washrooms, beach left a little to be desired.   Bring sandals or water shoes as there are lots of rocks ."
Selkirk Provincial Park,Steve Brooks,2,Too many rocks at the beach. If you're looking for a good swimming spot... Don't look here.
