name,user,stars,review
Sharbot Lake Provincial Park,Nick Maddox,5,"It's not the biggest or best equipped of the Ontario Parks, but it's a beautiful little gem and absolutely worth a visit if you're nearby."
Sharbot Lake Provincial Park,Kelly Turner,2,Clean rest rooms. Must buy their fire wood unfortunately it’s very expensive and super wet! Kayak rentals available. Nice hidden paths where you can dock your kayak and go for a small hike.  Small selection of items to purchase in store ...
Sharbot Lake Provincial Park,Courtney McCarthy,5,"One of my favourite parks! Very family friendly. Private sites, large areas for camping equipment. Great swimming and easy Portages. Definitely recommend!"
Sharbot Lake Provincial Park,Bill Aubrey,4,"Nice simple camping. Park is nice, offers some hiking and swimming. I stayed as far from the highway as possible and still could hear trucks, but it's a problem with the location, not the fault of the park or it's staff. Great for a quick camping fix."
Sharbot Lake Provincial Park,Kevin Sullivan,5,"This is well run great little provincial park! We had an amazing site where we could swim right off of it, the weather was sweet, and our neighbours were all quiet & respectful of others! It all added up to an awesome camping trip!"
Sharbot Lake Provincial Park,Nat Ouellet,4,"Nice camping place, especially when looking out onto Black Lake where you can hear the lovely loons' calls. Small beach right in the park. Water is refreshing. You can rent canoes etc. Park office sells Keurig coffee and the usual (ice, ..."
Sharbot Lake Provincial Park,Adam Baran,4,"Just returned from a pleasant family camping trip. Stayed on site 98 which is great close proximity to the only running water comfort station in the whole park and a short walk to the second beach (which, in our opinion, is the better ..."
Sharbot Lake Provincial Park,Kerry Brammall,4,I LOVE this park! The walk-in camp sites offer more privacy. Be warned there is only one washroom facility with running water the rest are out houses. The hiking trail is nice and the air is fresh!
Sharbot Lake Provincial Park,Scott Howells,3,Like all Ontario Provincial parks it is well maintained. With well kept bathrooms and Beaches. Problems are that privacy of campsites is level or two less then what they rate it and campsites near Lake can here excessive boat traffic. Sound travels around campground.
Sharbot Lake Provincial Park,Dave Miller,5,"Great swimming, great fishing, nice play area for the kids. 
This is a second trip here and last time it was awesome as well as this time. 
Only downfall is campsites are a little close not alot of privacy."
Sharbot Lake Provincial Park,Cheyanne M,5,I absolutely LOVE this park. I live closer to Toronto and the 3 hour drive here is worth it every time. If you don’t like a crowded campground I recommend going during the week as apposed to a weekend. If you want a good “premium” site ...
Sharbot Lake Provincial Park,S Bertrand,3,"July 20th 2018 Nice park, clean and beautiful beach. We had campground 80 and it very nice, semi private and lake view. We have 2 young kids who like biking and play outside (it’s camping!) and some cars are driving very fast ..."
Sharbot Lake Provincial Park,John Crossley,5,"This park has it all, great staff, super clean, and a lake if you fish just right, you can get a nice big, 
5-8 lb Walleye.  
Too many bass, so fish deep.  
If you're interested in nature,  walk the trails, you will not be disappointed. ..."
Sharbot Lake Provincial Park,Andrew Kim,4,"Black Lake was very quiet and calm. Most people canoed or kayaked, and I have only seen few small motor boats on the lake. Canoe fishing on Black Lake was excellent, and I managed to land a number of smallmouths (one of them was 18” ..."
Sharbot Lake Provincial Park,Jamie Johnston,1,"If I could give less than 1 star I would !. The beach area is terrible and the park wardens are on a power trip ! There was 3 of us sitting around the fire talking, we had no music on at the time. We told them we were going to bed and ..."
Sharbot Lake Provincial Park,Carla Devlin,5,beautiful day and a great night under the stars.Nice clean well kept park .great staff very accommodating.
Sharbot Lake Provincial Park,Gill Kinglsey,5,This place is amazing.  We love it.  One of thebest close to Ottawa
