name,user,stars,review
Sibbald Point Provincial Park,Dujana,4,Big provincial park one hour drive from Toronto. Great for any party size of campers great place for fishing boating and swimming. Huge picnic area to spend a day BBQ. Clean facilities. Can get extremely crowded weekends in the summer. Good ice fishing in the winter they have some winter activities you can enjoy.
Sibbald Point Provincial Park,SYED NADEEM AHMAD BUKHARI,5,"Its a well maintained Provincial Park, has camping ground. Ample parking$20/vehicle/day (no limit on passengers). Nice picnic areas/shades available if anyone plan & book in advance. Clean beach, more than sufficient playing areas. …"
Sibbald Point Provincial Park,bah and nannybah rollindowntheroad,2,"stayed for thanksgiving weekend 2018 with our trailer. 
2 hr wait to fill with water in October! !!
only one water fill and one dump spot for entire park! plenty of room in area to build more stations! 

no pressure to fill or clean …"
Sibbald Point Provincial Park,Eng.Tahir Ahmed,4,Nice place for picnic. Water is clean. Shore could have been a bit better. Also a lot of sea weeds in the water.
Sibbald Point Provincial Park,Aysha E,3,"The lake part is good, but if you're looking for soft sand to lay on, this isn't the place. Good for picnics and they allow bbq's"
Sibbald Point Provincial Park,J Hobson,3,"Sibbald Point Provincial Park was a lovely surprise. Our Hardwoods area campsite was easy to access for setup, and provided just the wooded serenity we hoped for.  Public showers/washrooms seemed to be in high demand but both these and …"
Sibbald Point Provincial Park,Fatemah Jaffer,5,Went tent camping here for 2 nights. Absolutely loved the facility. Campsites are nicely spaced out between trees and the washroom/bath facility was always clean. Great water sources closeby with clean drinking water. The people who work …
Sibbald Point Provincial Park,Mckerness Kimberly,5,"Love love love! Been here many times. Good fun clean environment with tons of washroom facilities and parks, pathways you can walk or ride your bike. The beach is amazing with sand bars that seem to go forever! Staff is very friendly. Very well kept park! Cant wait to go again!"
Sibbald Point Provincial Park,Nancy Berry,4,"I like the spot we chose, it seemed more secluded than most. Weekdays make for a better, quiet camping experience. There is a dog beach, our two dogs liked swimming in the lake. Great place for kids.

 I always get bumper stickers when I …"
Sibbald Point Provincial Park,Kieran Petrasek,4,"This park is a short drive from Toronto, and has a huge beach and waterfront area where you can swim, picnic, and relax. The sites are close together but feel surprisingly secluded because they're surrounded on three sides by thick …"
Sibbald Point Provincial Park,David Kingston,5,"Went here to get away from the city for a day and it was fantastic. Had a great BBQ. The water was nice for the kids to swim and play in. It was far enough away that we didn't feel like we were in civilization but only an hour or so to get home. 

I would recommend this park to any one."
Sibbald Point Provincial Park,D Wallen,3,Nice park. Just be prepared for a long wait to fill up with water if you have a trailer. Our wait was 2 hours.  Very poor water pressure. We thought we had arrived in lots of time to get set up in daylight but the wait for the water meant we had to set up in the dark.
Sibbald Point Provincial Park,Christina Brinklow,4,"Sibbald Point is a very large park. There were many parking areas, picnic areas, basketball nets, volleyball nets, covered picnic buildings and camp sites. Of course Sibbald is known for its famous beach. Well kept and perfect for the …"
Sibbald Point Provincial Park,Vineet Tamhane,5,Wonderful place for family and friends to visit on a day trip. Garden is clean and has water front with very nice views. Lots of activity can be planned and enjoyed.
Sibbald Point Provincial Park,Chris McKnight,4,"The campground is very nice, with spacious and mostly shaded sites with good privacy. There's a big park too, with lots of picnic tables and plenty of space that was peaceful and not crowded, even over a holiday weekend.

If you're …"
Sibbald Point Provincial Park,Angela Porco,5,"Great sections for tents or trailers, private enclosed spots! Washroom facilities are big and clean, nice showers. Lots of beach parking and plenty of choice. This was a fabulous beach where we could sit at end of beach with family and …"
Sibbald Point Provincial Park,Jackie Perrault,5,"Great place for camping, nice winter cross country skiiing."
Sibbald Point Provincial Park,Sherri Cooper,4,Awww reminders of childhood camping!! Nice park with lots of history
Sibbald Point Provincial Park,Lawren Wetzel,3,A decent park that is close to the city.  The water access is ok.  The boat ramp is large but shallow and it can be hard to launch/load up when there is an east wind as there is no break wall protecting the ramp.  The pricing is also …
Sibbald Point Provincial Park,Louise Stanley,4,"Great beach, amazing campgrounds.  Family friendly. Close to town (Timmy's, LCBO, No Frills, Canadian Tire)"
Sibbald Point Provincial Park,Shayini Mathan,5,It's a very nice place to have group outting.  Can swim there too but be careful of the slippery rocks on the side.  The sunset is simply amazing!
Sibbald Point Provincial Park,Samuel A,5,"Honestly one of our favourite provincial parks. It’s close to the city and is always a safe bet to unwind from stress. The campsites we’ve ever stayed at were fairly private and maintained. The beach is nice, and as it’s Lake Simcoe the …"
Sibbald Point Provincial Park,Mike,1,"Worst park I've ever been too. They gave us a noise complaint ticket for $180 because they told us they hid in the bushes and were listening to what we were saying, I AM NOT MAKING THIS UP. Absolute joke of a place, these volunteer park …"
Sibbald Point Provincial Park,Pascal Nkenglack,4,"Liked my staying there. Didn't like the ticket for parking in the wrong spot though. But great for family camping, especially for first timers like I was. By the way, if you are a first timer, book early and book a camp site with electricity trust me."
Sibbald Point Provincial Park,mohammad kiumarsi,5,"Very close to the city, nice park, good staff. The washrooms are clean. Fairly nice campsites, it has a good beach and boat lunch! Overall very nice park for day stay or camping . Keep in mind it gets pretty busy during weekends and holidays"
Sibbald Point Provincial Park,Rate King,5,Love that area!  There is plenty of space for hundreds and hundreds of us and still there would me more space available.  There's a parking area reserved if you want to launch your boat in and have your vehicle nearby.  The beach is …
Sibbald Point Provincial Park,Lippy Heller,3,We stayed at site 341. I found it small and very basic - imagine a grass parking space for an amateur UFO... Which I found wanting for the $50+ price point. Since it was a weekday I was able to book a site that was surrounded by …
Sibbald Point Provincial Park,Dillon Sendler,2,"They only have one trail. They say it takes 1.5 hours, however, it took me and my girlfriend only 20 minutes to complete whilst it rained. 

The campground is really dedicated to family camping and not so much outback camping.

The …"
Sibbald Point Provincial Park,Keena J,4,"I had tons of fun, we stayed in the radio camping sites. Our neighbors were friendly and the campsite was clean. All the things in the Parks control was super good, but the beach was super dirty maybe because of the long weekend. And they have so many spiders. All the spiders."
Sibbald Point Provincial Park,andries laya,4,We came on long weekend labor day. Surprisingly the beach weren't pack as we thought it would be. Enough space on the beach and on the water to play. Park staff patrolled for garbage & washroom regularly. Alcohol banned was in effect but …
Sibbald Point Provincial Park,Jason Wong,4,Decent place to get away that's only a bit more than an hour away from Toronto. That also means it's pretty popular so expect lines to get in on weekends. Camp sites are pretty good although you will hear other camp sites as it is all car camping. Still pretty good given the location.
Sibbald Point Provincial Park,Tanya Simon,5,Our church goes there every year. The park is beautiful. The view of the lake is breath taking. Great place to take your family for camping or a day at the beach🏊‍♂️🎣🤽‍♀️🚵‍♀️
Sibbald Point Provincial Park,Jon Douglas,5,Amazing camp ground. A lot of places to explore. Has a beach just for dogs. Lots to see and do.
Sibbald Point Provincial Park,Mike Tarsitano,5,This place was awesome. Camping sites had different styles. Facilities were clean and very nice. Great showers. Beach was great water clear.
Sibbald Point Provincial Park,Anique Simone,5,Love this place. It's a great place for a family BBQ or for a day out on the boat.
Sibbald Point Provincial Park,Deepen Rahut Chhetri,5,We went for camping at this place. Very very nice place. Group camping area is well organized. Beautiful beach & clean park. Like to go again.
Sibbald Point Provincial Park,Elizabeth Tchervov,5,"There are two beaches, a sand beach and a stone beach. Both beaches are very lovely, kept clean by park staff, but on the stone beach there are a lot of itty-bitty little lobsters that get washed up on the shore. The trails are …"
Sibbald Point Provincial Park,Anton L,1,"Beware of double charges if you pay for visit by credit. To get your money back would be a hell. 

I visited park in June 2018. Attendant said that payment did not go through and asked me try again. In fact it goes through and I end up …"
Sibbald Point Provincial Park,Camile Gauthier,5,"A perfect park for beach loving small children! This was my first experience with a Provincial Park since my early 20s, and I was pleasantly surprised at how excellent the whole thing was. 

Sibbald Point is a little piece of Canadian …"
Sibbald Point Provincial Park,Shannon Kingsley,4,"Great beach minus all the rocks as you enter the water. Huge park, gorgeous large trees and lots of amenities. Great spot for large or small boats, kayaking or paddle boarding!"
Sibbald Point Provincial Park,Ice Monstah,4,"It's a nice park that's not too far away from the city, so it's great for weekend escapes without being too far off the grid. The park was very busy but I mean it is a holiday and that is to be expected, I arrived around 4pm and the line …"
Sibbald Point Provincial Park,Kevin Qu,4,"Provincial park that accessible to most people around the GTA, but there are so many people and the provincial park has turned into a sort of park you would find in a city. Has none of the charm that a provincial park like Killarney would have, but a great place to start out."
Sibbald Point Provincial Park,pamela erickson,5,Cycled there during the week when it wasn't too crowded. Overhaul going trees provide welcome shade. Water warm and easy access for swimming
Sibbald Point Provincial Park,Lance R,5,"For $20 parking you can spend the day at the beach.. good facilities and space for you to relax for the day!! Been going here since I was a child, now I take my own kid there to make her own memories... great way to spend a day!!"
Sibbald Point Provincial Park,Alain Rheaume,5,"The beach is beautiful, camp sites are clean, the boat launch is fantastic (although busy, but understandably since it is a good one!) and the store has pretty much everything you need, including some really tasty ice cream!!!"
Sibbald Point Provincial Park,Eric Vaz,5,Nice place lot of parking. Long beach sandy as well as pebbles. Make sure u take the bbq lots of sunscreen. A tent would be good.  Changing and toilets all around.  Excellent family picnic place.
Sibbald Point Provincial Park,Leila Binesh,5,"Great camp site, very close to Toronto less than 1 hour. Warm and pleasant water and great sand beach. Totally recommend it"
Sibbald Point Provincial Park,Donna McEvoy,4,We had a great time. I guess the only reason I am not rating it 5 stars has nothing to do with the park itself and that it was just too busy!  First time visitor....we will be back.
Sibbald Point Provincial Park,Irving Santana,5,"It's the first time i camp in Canada and i could say it was a wonderful experience, everything is super clean. If you want fresh air for your lungs and you're close to Toronto come here and have a peaceful night and jump into the lake Simcoe."
Sibbald Point Provincial Park,Augustin Petre,5,Great spot to swim and SUP paddle board
Sibbald Point Provincial Park,The Storm,2,"This park is disgusting. It's full of dog poop, stinks and has way to many bugs. (Bugs you will be terrified of and ones you won't find anywhere else) The beach and park area is ok. The area for swimming is way to small and it's crowded, …"
Sibbald Point Provincial Park,Beata Rancourt,4,It was busy on the weekend but not during the week. Comfort stations were clean. Lots of sites are private. Average beach with a nice playground for kids.
Sibbald Point Provincial Park,Shazam Khan,3,"A great Park to hang out lots of trees cover parking is 20 bucks per car when I was here with a group of five people, the beach is very muddy so buy some swim wear and get a pair of waterproof slippers if your going in the water.
And be early for parking otherwise its jammed up."
Sibbald Point Provincial Park,Brave Little Britch,5,All time favourite park so far. Very nice beach and plenty to do. Eldon hall is a great place to visit in the park for a look into the past.
Sibbald Point Provincial Park,James Moutoux,2,I will start the review first by saying the staff at this park were extremely pleasant and friendly. They were very enjoyable to engage with and were always waving when passing by. Even when they were cleaning up left over garbage at a …
Sibbald Point Provincial Park,Hooman B,3,I've been here numerous times for day use or camping. It's good for beginner campers. For a day use of beach close to Toronto it's great although Simcoe doesn't have the best water. The biggest problem with it is lack of showers in the day use area.
Sibbald Point Provincial Park,Valeria K,5,"Beautiful camping. Clean, quiet and very friendly personal"
Sibbald Point Provincial Park,Nathan Jousmaki,5,Well maintained park that has plenty of space. The rocks at the beginning of the shore should be removed. The beach is tilled nicely. A good idea to arrive early!
Sibbald Point Provincial Park,Orsi Almonte kun,4,"it's a nice park if you want to go camping not far from Toronto 
campsites are nice and big staff is friendly. 
the beach is pretty big and have dog swimming area as well. the only bad thing about this park is thay because it's so close to Toronto it gets packed on the weekend so much you can barely move or play around"
Sibbald Point Provincial Park,Sajid Mohammad,4,"Great park for family camping. Very close to Toronto. Park facilities are well kept considering the amount of traffic this park attracts. Beach was okay but water had lots of rocks. There is No Frills, Giant Tiger, Home Hardware, …"
Sibbald Point Provincial Park,Al Chakaroun,3,"Very nice park, not too far from Toronto, you can enjoy camping at Sibbald, clean washrooms and showers. The lake water is ok, not that great for swimming but very suitable for kids. A perfect park for family with kids."
Sibbald Point Provincial Park,Bill Amyotte,5,My family and i camp here every year its fantastic and we love it
Sibbald Point Provincial Park,Rajesh Kumar,4,"This park is good for camping with family and/or friends. 
Pros:
- Not very far from Toronto
- Big campsites
- Fairly big and maintained beach
- Overall good environment
Cons:
- Beach quality is not very good
- Very crowded in weekends, especially during long weekends.

Overall, a good park for camping."
Sibbald Point Provincial Park,Aren deJong,3,"Really super busy on weekends because it's so close to Toronto. Lately the day use beaches are filled with inconsiderate mindless people that have no regard for the fact that they ought to share the space with others. 
Otherwise, the beach is pretty good and the park camping is decent."
Sibbald Point Provincial Park,Cakelaine,2,Meh beach. Literally always jam packed. Grounds are clean but just way too many patrons for me. Be prepared to wait for a parking spot and try and snag a picnic table by 8am
Sibbald Point Provincial Park,tanya sc,5,Amazing sandy beach ! I absolutely love this place but be aware that you need to pay an entry fee!
Sibbald Point Provincial Park,Ruth Daniela Javier,5,"I spent 3 nights there. It is a quiet place to spend time with your family and friends out of the city. Its clean, and enjoyable. Don't forget to bring your repellent."
Sibbald Point Provincial Park,OReefer,4,"Nice camp site on a perfect location
They just don’t explain enough at the entrance so we had to pay double and no refund!!"
Sibbald Point Provincial Park,Ahamed Shameem,4,"Excellent camp site with a beach nearby. Beach gets crowded with day visitors but still fun. Has electrical and non electrical sites.
The trail is not that great."
Sibbald Point Provincial Park,Mike Walker,4,"Perfect week, thank you.    A few out of order showers is the reason for the 4 stars instead of 5, but not complaining."
Sibbald Point Provincial Park,Rachel Kaunismaa,2,Generally very crowded on the weekends. I think there are much nicer beaches around Lake Simcoe that aren't as popular. Parking is also quite pricey.
Sibbald Point Provincial Park,Christian Barnes,4,Good family fun. Sometimes a bit crowded but that's to be expected being so close to the city. Been coming back for years as it's great to get away without the long drive and on short notice. Clean sites. Showers available. Be sure to …
Sibbald Point Provincial Park,UTRA MOTIRAM,4,Very busy...the water is messy with sand and such close to the shore as a result. There is a dog park as well.
Sibbald Point Provincial Park,Simon DaimYar,5,Beautiful park beside the beach for picnic.
Sibbald Point Provincial Park,Deonne James,1,No words. No words. Washrooms were a pool but can't blame staff but users of park. Not worth camping just visiting
Sibbald Point Provincial Park,George Wang,2,"Really don't understand why there are sooooo many people going to this beach.   Costs $20 to enter, the parking lot is huge to accommodate the masses of cars.   The parking area is also unpaved, which will have your car coated in a thick …"
