name,user,stars,review
Silent Lake Provincial Park,Hanna Haponenko,5,"Fabulous campground. The electric cabins (200 series) are organized, supplied with necessary resources, and are super comfortable. My friends and I had a really splendid time there on an early December weekend. Also, the park staff are ..."
Silent Lake Provincial Park,Bald Guy,5,"Great little park with excellent hiking trails.  Most sites are spacious, decently private, with park sections for everyone - electrical for trailers, walk-in sites for folks that want a more private experience, well maintained roads and ..."
Silent Lake Provincial Park,Eddy Wong,5,"This place is beautiful with many beaches and coasts to play on. I definitely recommend you to get a kayak or canoe to explore the shores. We found a nice big rock a little cove and had a blast. 

Went here for the long weekend and I ..."
Silent Lake Provincial Park,Julia Ott,5,"We had a lovely weekend enjoying the trails. Walking poles of some sort really helped. As it's winter in Ontario, the topsy turvy weather meant mud one day, then ice, then snow on top. At night, stars lit the sky and we could hear deep ..."
Silent Lake Provincial Park,Elizabeth Kingsbury,5,What an amazing afternoon hiking Bonnie’s Pond Trail!  There was literally no one on this trail!  We’re talking October!! Colours were spectacular & pups loved running to their hearts content!  An abundance of flora & fauna to ...
Silent Lake Provincial Park,Sammy Mak,4,We stayed at the cabin 209 and its condition was superb.  Washroom and shower facilities were clean and good design in term of function and locking arrangements.  The stand up kitchen style sinks made clean of discs and other stuffs so ...
Silent Lake Provincial Park,Katie Barnes,5,"My family and I have been camping at silent lake for years and we always have a wonderful time! It’s our go-to location for camping most summers. Good quality camp sites, lots to see and do, helpful staff, and clean environment!"
Silent Lake Provincial Park,Chi Lin Liu,5,Great place to go for a canoe trip and a nice long hike around the lake. Would definitely recommend. Not very busy and super clean and well marked trails
Silent Lake Provincial Park,Chris Whaley,4,Took one star off for the bugs. Lovely trail with some great lookouts. Park was clean and had a terrific beach. Mosquitoes are insane on the trail. Dope up!
Silent Lake Provincial Park,Sharad Singh,4,"This was my first time hiking and we did the Bonnie's trail which was amazing! For beginners it's a moderate difficulty trail. We saw some bear claws or I thought that's what it was :) the park staff could have been nicer, when I walked ..."
Silent Lake Provincial Park,Jayne Zavitski,5,"Nice park, very quiet even with a full campground. Bathrooms relatively clean. Lake was very calm with beautiful scenery, lots of places to pull your canoe off to the side for a nice relaxing lunch. Staff very helpful and friendly."
Silent Lake Provincial Park,Colin Skinner,5,Conditions were beautiful! Trails well groomed.
Silent Lake Provincial Park,yas hasani,5,"Hi 
I hardly recommend this place. All things are perfect"
Silent Lake Provincial Park,craig scott,5,"I've been going to Silent Lake since I was a kid. Beautiful Provincial park with no motorboats. Great fishing, swimming and camping."
Silent Lake Provincial Park,Kids Mamma,4,"Really nice, clean camp ground.  We stayed in cabin 208 which is well located and quiet.  Comes with a friendly raccoon 😆.  Shallow sand beach, nice co.fort station with shower and dish washing rooms.  Good canoeing and fishing.  In general a wonderful, fun family experience."
Silent Lake Provincial Park,Rachel LaRocque,5,This has been a great park every time I've visited. Especially since they remodeled parts of it. The campsites are clean and have distance between them. The comfort stations have always been clean and I've never seen them run out of ...
Silent Lake Provincial Park,Magdalena Oroń,5,"Even though it was long weekend and day use area parking was full, once we launched our kayaks it was all quiet. A beautiful lake for kayaking/canoeing. Very helpful staff. We don't have opinion of a camping as we didn't stay overnight."
Silent Lake Provincial Park,Kim Macdonald,4,"Nice little park, very family oriented. Lots of wildlife. Saw deer, wild turkey, water snake, Heron. Very cheeky chipmunks and squirrels, and raccoons so like any park keep your food and garbage  locked up. Canoe rentals, nice sand beach ..."
Silent Lake Provincial Park,Kyle Moher,5,What can I say? This place is great. The staff was ALWAYS friendly and polite. I felt completely welcomed. You could ask anything you wanted and they wouldn't treat you any less. The place has great comfort stations for being a outdoors ...
Silent Lake Provincial Park,Shashank Pisharody,5,"This is my family's favorite camping location. We go here every year. if you are looking for a quiet getaway from Toronto, this is the perfect location  just 2 hours from the city. It has a beautiful lake which is not adulterated by ..."
Silent Lake Provincial Park,Desmond Belcastro,5,"Great place for hiking, biking, kayaking and camping. Good for just a day trip or an over night trip. There is a area with a beach and I believe they rent kayaks and canoes. The views are breathtaking if your in the area it's a must see."
Silent Lake Provincial Park,Tan Canchela,5,"Great park. Well-maintained. Clean comfort stations. Nice beaches. Beautiful and peaceful lakes for swimming, canoeing, and kayaking. Camp sites are great with utmost privacy. Park office is new; great and helpful staff. A must to visit park."
Silent Lake Provincial Park,Darin Higgon,4,"Some awesome walk in sites near the campground beach. Nice quiet lake for paddling. Day use beach is nice too. Some good hiking or biking. A lot of the sites lack level tent pads, but most are decently spaced. I liked it here. Bugs can be bad early in the season due to some swampy areas, so be prepared!"
Silent Lake Provincial Park,Kreativ Aura,5,"Amazing experience as always! Beautiful campsites, lots of space between sites (partly because the surrounding area is full of hills and whatnot), but also good tree cover to keep privacy. Many options for campsites and generally a very ..."
Silent Lake Provincial Park,Andrei Javier,5,Great park. Had a great time here. It was my first time camping here and I'd highly recommend it to anyone interested.
Silent Lake Provincial Park,Jake Kim,5,"This park is great. Great view, clean and staffs are very friendly. My only complain would be the water tap where I stayed. It had a muddy water  for as long as I stayed. I ran it for several minutes and tried many times. Muddy all the ..."
Silent Lake Provincial Park,Adam Derome,5,"Amazingly clean and fresh facilities. The staff were extraordinarily friendly as well. I have been to many provincial parks in Ontario, Quebec, Nova Scotia, New Brunswick and PEI, and this one really surprised me with how nice the facilities were. The beach is small and beautiful to swim at as well!"
