name,user,stars,review
Silver Lake Provincial Park,Firelight Studio,4,"This park is good, lots of swamp and wetland to explore, saw lots of wetland wildlife in my 3 day stay.  Excellent sandy beach and lake access with canoe kayak rental available.  It’s a small park so there a little bit of everything and ..."
Silver Lake Provincial Park,Patrick Vigneault,5,Nice camping for the whole family. Beaches are kept very clean. We enjoyed fishing/kayaking on the lake. Kids catched half a dozen frogs within our first hour on the ground !
Silver Lake Provincial Park,Dujana,3,Great small provincial park. Campsites on the lake are spacious and have good privacy. Not alot of big size fish. Its great for beginner camping the only down side its near a highway. Washroom and showers are clean. Park has canoing and great views.
Silver Lake Provincial Park,Irvin Lapierre,4,Good camping experience for the family. Beach and boardwalk trail through the woods. Only downside is sites are close to each other so you may hear your neighbor.
Silver Lake Provincial Park,Joseph Luciano,5,"Nice provincial park.  Small park with some small sites, however, there are some sites that are fair size for sure.  Beach is clear water and free of seaweed.  Staff are friendly and efficient at keeping the park clean at all times. ..."
Silver Lake Provincial Park,myskijoring Healey,4,This campground is great for a day trip or to stay 3 or 4 nights. The perks are a nice beach and easy to launch kayaks on and not ever too busy. There is one trail that is maintained nicely for a short hike. The downfall of this park is ...
Silver Lake Provincial Park,Dhruv Patel,4,This park is very small but great to spend few days with family or friends. Lake is decent for paddling or boating. Beach is not great but good enough for hot days. We had site number 42 and it has lake facing view which was great part of my trip.
Silver Lake Provincial Park,Lidia Araujo,3,"We were there on the last weekend, the park is far for us but we decided to go and have fun, the first day a chick approached us saying we were being too loud, we were just talking with the family around campfire. I don’t understand if ..."
Silver Lake Provincial Park,Philippe Tessier,5,"Very clean, well maintained. Good spot. Site are a good size and the ones closer to the river are quite private. Highway side might be a little louder and less private. Friendly wildlife."
Silver Lake Provincial Park,Francis Hamilton,1,"The park ranger here is on a power trip    looking to hand out warnings and tickets 

We were a group of 16 25 year old we so I get the fact that they wpuld be all over is but

 I had the correct amount of camp sites and were not there ..."
Silver Lake Provincial Park,Joy Baylon,1,This is the most horrible park I’ve ever been! The camp warden especially the girl was the most rude I’ve ever met! We’ll never go back on that park ever! Instead of giving us peaceful time we just experienced horrible time because of those warden! I recommend everyone not to go there ! You’ll regret it !!!
Silver Lake Provincial Park,Kannan Muthiah,4,"It is a very nice and quiet park by the Trans-Canada Highway. If you are travelling between Toronto and Ottawa, it is a nice stop-over.
There is a kid's play area, canoe rentals, fishing area, kids swim area, boating area, camping area, picnic shelter."
Silver Lake Provincial Park,Ioan Nicorescu,4,"Great location. Great camping site. Good facilities. You can rent kayaks, canoes. However if your camping site is too close to the highway the noise could be a little  too much at night."
Silver Lake Provincial Park,Manish Bhasker,4,"A great family park.

Lots of privacy, clean park, well maintained and monitored grounds, well maintained beach. 

***Do your diligence with regards to weather***

 if you can avoid rain and overcast you'll be ok. The bugs were ..."
Silver Lake Provincial Park,Andrew Carew,4,Great spot to spend an afternoon in the lake or camp.  Sites are some what close together and can be close to the highway.  Would be smart to view your site before paying.
Silver Lake Provincial Park,Adonis Dina,3,"Night 1

This camp sucks. Caterpillars everywhere. Warden is on a high horse - stalked our campsite in the dark, and gave us a warning (stern threat) for talking around the camp fire (I am not making this up!). Warned us that his next ..."
Silver Lake Provincial Park,Ian Taylor,5,Made a quick stop to visit to an old friendly Campground. Determine if we were driving a large motorhome probably not a good place to stop as most of the spots are four smaller tent trailers or tents
Silver Lake Provincial Park,Nathalie Cote,4,"Great camping site! Super clean and organized! Beach is clean, sand is soft and well maintained! Only downside is the noise from highway 7 at night! The trucks are really loud!"
Silver Lake Provincial Park,Jim Abernathy,1,"Beautiful camp ground, lake and beach. However the wardens are rude and harass you as soon as the night comes around. If you plan on being super quiet this is the place for you, if you want to play music(even at a level so low you can`t ..."
Silver Lake Provincial Park,greg quinn,3,Nice park...all be it smaller than most. Very busy and not much privacy with the sites. Lake very busy beaches as well. More suited for busy families with kids .
Silver Lake Provincial Park,Steve Drenters,3,It was a great day trip.
Silver Lake Provincial Park,Satyajit Nandi,5,Nice and clean. We had camp here with kids. Washroom was clean and well maintained of the premises.
Silver Lake Provincial Park,Patricia Zakhour,5,It was an incredible experience and the fact that  dogs are welcomed was amazing...thank you and see you next year
Silver Lake Provincial Park,Troy Reilly,5,small campground quiet as we like it
Silver Lake Provincial Park,Sandra Max,5,"Lovely site
Definitely worth a visit"
Silver Lake Provincial Park,Dean B. Terriah,4,Beautiful little provincial campground on a nice sized little lake.  Clean with lots to offer.
Silver Lake Provincial Park,Lindsay O'Neil,5,"Clear water, you can watch the sunfish while you’re swimming."
Silver Lake Provincial Park,Dondolina B-W,5,"Love the lake. Nice beach, can rent kayaks, canoes, paddle boards. There is camping there as well."
Silver Lake Provincial Park,Deep Pandya,4,"A good provincial Park, beach is good and stays busy over weekends. The campsites are a little closer to each other."
Silver Lake Provincial Park,Antoine Dumas,5,Nice beach. Great place for a swim. Lots of kids though.
Silver Lake Provincial Park,Jakup Butty,4,"Very nice place, lake is beautiful and great for a canoe ride, not much more then sun fish if you're fishing but still a good place to camp, good staff."
Silver Lake Provincial Park,Evan Wang,5,"Silver lake is a very good park, they even have a rest point on HWY 7 ,every time I drive between Toronto and Ottawa, I take a break here, the water is clear and warm in summer, very good for swimming or paddling."
Silver Lake Provincial Park,Mauricio Perez,5,"The park was not crowded, and the weather was nice. It is good that you pay only for your car and not for the number of people coming when you enter the park."
Silver Lake Provincial Park,Robert Onley,5,Great camping for families - only an hour or so outside of Ottawa. Great for day trips too.
Silver Lake Provincial Park,Simon Lever,4,"Great place to hang out with the family and enjoy the beach. Lots to do, good swimming."
Silver Lake Provincial Park,Emily Gooding,3,"Campsites are nice. Close to the highway though, so you can hear and see many cars driving at night."
Silver Lake Provincial Park,Mike McCamley,2,"Nice lake park is kept clean very small in size. I wouldn't plan on going if your a large party or have older kids absolute nothing to do. 
Parks police made there round at 10pm was told to turn music down so I shut it off. The people ..."
Silver Lake Provincial Park,Irvin Emmanuel,5,Great place to get away with the family.  Been coming to Silver Lake for over 20 years.
Silver Lake Provincial Park,Richard Cuerrier,3,Beautiful park but a good amount of the sites are slopes beyond comfortable.
Silver Lake Provincial Park,Pamela Feres,5,Beautiful beach and very clean througout the park!
Silver Lake Provincial Park,David Brownlee,5,"This is an absolutely great provincial park, my wife and I have been coming here for 14 years and we love it"
Silver Lake Provincial Park,Aniket Deshmukh,4,Beautiful location. Lots of shade. Quiet and decent facilities.
Silver Lake Provincial Park,Michelle Wallis,1,"Very disappointed with my last visit to the park july 13. We were harassed by the park ranges starting 15 minutes after we arrived, for not having our permit in the post. They threatened to give us a ticket for consuming alcohol off of ..."
Silver Lake Provincial Park,georgette kirkland,5,What a beautiful site to visit. Lot's of fun for everyone.
Silver Lake Provincial Park,scott shelley,3,Lots to do ....campsites are run down
Silver Lake Provincial Park,Craig Senior,5,"We took our kids camping at Silver lake and had a great time. Our site (110) was very open with room for a large tent and a kitchen tent. We were able to park two vehicles and there was still room for our kids to run and play. 
The beach ..."
Silver Lake Provincial Park,Nicole Wong Tomchuk,2,Campsite felt like it was basically on the shoulder of the highway
Silver Lake Provincial Park,Mehrzad Farmahin,5,"Very nice , tidy and pleasant place"
Silver Lake Provincial Park,Michael Perry,5,"What a great little park. With canoe and kayak rentals in site, you can easily get out and explore the beautiful Siver Lake. This campground seems to be fairly family oriented, no loud music or late night parties. Plus, they allow dogs, ..."
