name,user,stars,review
Six Mile Lake Provincial Park,Dujana,2,I find this park is on the muddy sandy side. Great place to camp if your a dog owner. Good place for fishing and boating. Lake views are beautiful.
Six Mile Lake Provincial Park,Steven Ngo,5,This camp site is very clean. Staff roams around a lot. There is 10 hot shower area with washer/dryer however washing machine cost $3 and dryer cost $2. Fire woods $8/bag. Everyone is so friendly. The views are great. Great spot to fish ...
Six Mile Lake Provincial Park,Todd Wilson,4,"Nice clean and QUIET park as far as other campers are concerned. 
It is quite close to the highway, so there is noise from there, but if you bring earplugs it's fine for sleeping.
They're building/renovating a second comfort station, so ..."
Six Mile Lake Provincial Park,Dillon Hunter,5,Awesome lake full of fishing and clear waters. Caught a few great fish and really enjoyed the scenery of the park. Easy access to boat ramp.
Six Mile Lake Provincial Park,P. J.,4,Beautiful National Park! I’ve done 4 separate long weekends at the park wit some great friends and absolutely loved every minute! The beach is borderline not a beach... but the waters for fishing or boating are perfect. We have also done ...
Six Mile Lake Provincial Park,Marin Martiskovich,5,"Nice provincial park. It's a dog friendly park. Nice sized camp spots. Few small swimming beaches.  Docks available to rent, if you bring your boat. Obviously there is a boat launch. Fishing can be good for pike, bass, perch and sunfish ..."
Six Mile Lake Provincial Park,Matt Ralston,3,"Very nice spot we went to by default with the forest fires up north, but turned out good.  Need more accessible amenities by foot.  Didn't like hearing the 400 traffic noise though. Very noticeable"
Six Mile Lake Provincial Park,Sivakumar Somasundram,2,It's a small conservation park. Lot's of rocks and a small beach. The park was not properly maintained when we went during camping.  The washrooms were not cleaned untill after 10am.  No paper toilets and mess all over.  A big line up to ...
Six Mile Lake Provincial Park,Kijiji Buyer,1,"This park is more of a conservation area than a provincial park.  Only two serviced washrooms were available, but they had 6 showers.  There's always a huge line up to use it.  The noise from the highway is pretty loud, the beach that ..."
Six Mile Lake Provincial Park,Britt Vee,2,"There was a bear on the grounds, which means it’s probably host to many people from the city who are inexperienced campers who leave garbage around. We visited in the off season, so it was fairly quiet but sites are very picked over and ..."
Six Mile Lake Provincial Park,Colleen H,4,Nice place. Well maintained. Washrooms pretty clean. Nice variety of products at the store. Camp sites are decent size and okay for privacy. Bugs were a little annoying. Actually had tick issues. Park was very entertaining for kids a variety of ages. Has a separate beach for dogs.
Six Mile Lake Provincial Park,Bryce Schroeder,4,"Site 160 was great, with good privacy and size. Washrooms in the north end of the campground are well kept outhouses, with the only showers being near the entrance at the volleyball court. The court is pretty good, albeit a bit small, ..."
Six Mile Lake Provincial Park,Aaron Keefer,5,"We go minimum once a year. We are dog owners and love the pet beach. The park is clean, brand new comfort station just opened while we where there this year. Very nice. Learn to fish program FREE! SUP canoe paddle boats. Boat launch and ..."
Six Mile Lake Provincial Park,Carlos Santana,4,"Great place to camp. The washrooms and showrooms are well maintained. The volleyball net is really good with the only downside being the fact the court that is a bit too small. Also, it would be nice if they could fence off the area so ..."
Six Mile Lake Provincial Park,Mark Kowgier,4,A great campsite for young kids. The beach and playground were excellent and provided days worth of fun. Our sites had good privacy and the camp offered tones of free fishing lessons and supplies. We would definitely bring our kids back.
Six Mile Lake Provincial Park,Lee Custodio,5,5 days camping with family and such a good time.  Very nice provincial park with a few nice beaches and play ground.  Lots to do on the water.
Six Mile Lake Provincial Park,Orsi Almonte,5,"six mile is a smaller quieter park. even on long weekends it's not packed which is why I rather drive an extra 30 min.
off leash dog beach. you can rent kayaks etc.$25/2hrs
water is nice and warm great for kids"
Six Mile Lake Provincial Park,David Steele,5,"We had truck troubles when we arrived, the staff were fantastic, very courteous and helpful. Thank's again for your understanding and support. 
We still managed to enjoy the park and will be back again soon!
To the all the staff at 6 Mile Lake provincial park, our sincere thanks!"
Six Mile Lake Provincial Park,Nase Auto,1,HONESTLY IF I WANTED TO GO SOMEPLACE QUIET I WOULD HAVE GONE TO THE LIBRARY.  HONESTLY THIS CAMP SITE IS FOR PEOPLE WHO SLEEP AT 9:30. WASTE OF MY 2 HOUR DRIVE AND FOOD THAT WE COULDNT BBQ BECAUSE OF THE FIRE BAN WHICH IS REALLY STUPID...LEFT WITHIN 2 HOURS OF MY STAY.
Six Mile Lake Provincial Park,Adriana Rodríguez,4,"Great place. Nice beach areas and playground. Would totally go back. Kids had a blast. Make sure to check the pictures of the sites as a lot of them have massive rocks so it made it difficult to put the pegs for the tent. Also, atm one of the comfort stations is under Reno's but it's looking very good."
Six Mile Lake Provincial Park,Jeremiah Latour,4,It is a nice park with access to nice water ways. The best thing is you can get a reserve a boat slip so you don't have to pull the boat in and out every time you use it but there is only so many and first come first serve so get there early.
Six Mile Lake Provincial Park,Jenn Raftis,4,"Love this place.  Great location and family fun!
A little mucky at the bottom of the lake when swimming at the campsite, but the beach site is great! 
We will be back many times this year!"
Six Mile Lake Provincial Park,Matteo Fontana,4,Nice park. Too close too hwy.
Six Mile Lake Provincial Park,Russ Kv,1,"Stay away from this park in 2018. 

We were six individual in a family who went there on the Canada day 2018 long weekend to stay there for three nights. But it turned out to be a bad experience and we left after two nights. 
There are ..."
Six Mile Lake Provincial Park,jennifer sinclair,5,One of the best parks I've ever been to! So many things to do there!
Six Mile Lake Provincial Park,Bassy,5,Nice park but at times you can hear Hwy 400 in the background. Lots of park rangers around keeping it peaceful and people in line with booze off site and dogs off the people beaches!
Six Mile Lake Provincial Park,Ravi Chaudhari,5,"Perfect place for summer vacation... love it 😍 
Precious memories...."
Six Mile Lake Provincial Park,Alfredo Rodriguez Rojas,5,Awesome time. Excellent camping experience
Six Mile Lake Provincial Park,Brook Hoskins,5,This park is beautiful and relatively close to the Windsor area. Great alternative to cheap a hotel while heading to the city.
Six Mile Lake Provincial Park,Jerry Qin,3,Fire wood is expensive and wet! Camping site at Lakeview height is terrible. Washroom and garbage site are far.
Six Mile Lake Provincial Park,Daniele Diamante,3,Showed up to launch the boat for a day of fishing before the staff arrived and when we go get the truck at the end of the day they gave us a $30 parking ticket for not showing a permit? HELLO! THERE WAS NO ONE TO ISSUE THE PERMIT FOR THE ...
Six Mile Lake Provincial Park,Monica Wierzbicki,5,"Great for families with children. Mother Nature offers a variety of different things that only nature can offer. Enjoy the outdoors, and teach the children a new world of interesting facts about nature as a whole."
Six Mile Lake Provincial Park,Rick Cui,4,"There are campsites, beaches, clean and well maintained bathrooms. The prices are nice, and there are plenty of sites around the year. The beaches are quite nice, and offer free mooring. There is an abundance of fish nearby, despite the ..."
Six Mile Lake Provincial Park,Nilesh Shah,2,Not so impressed by this. Not worth the drive from Toronto. Limited amenities. May be good for people from Berry as its near. Nothing more to do than canoeing in a small cordoned area few square feet wide.
Six Mile Lake Provincial Park,Sandra Comeau,5,I've had some amazing time at this park.
Six Mile Lake Provincial Park,D Wallen,1,This park is not large enough for trailers. Very difficult to get trailer into and out of site. Our site #36 was at the bottom of a hill and during a rain storm the site was totally flooded. One very busy main road that was very narrow. Not impressed with this park at all. Will not return
Six Mile Lake Provincial Park,Jason Bristow,5,Great family place to camp.  N now hav a bunch of brand new showers in a huge building.    Thats gonna be nice.  But not quite done yet.   But sure looks like it.
Six Mile Lake Provincial Park,Jose Sosa,5,"Always good to go, there is something to do for every age. 
Great experience, sometimes the day area is to crowd."
Six Mile Lake Provincial Park,Ashley Bristow,1,"I will never go back to this PP again. 

We took our family of 6 to site 129 as it was right across from the 'Comfort Station'. When we arrived we we're asked if we picked the site for that reason (we have 4 kids) and when we said ""yes"" ..."
Six Mile Lake Provincial Park,Wilson John,5,"Awesome campground. Lot to do. 2 beaches. Conroe, kayak and paddle boat rentals. Great hiking trail that go around the park."
Six Mile Lake Provincial Park,Samuel Pulido,5,Great place to camp. Bathrooms and showers very clean! Excellent customer service.
Six Mile Lake Provincial Park,Karin Isaev,5,"great place to visit, even for a day trip, super relaxing."
Six Mile Lake Provincial Park,Paul Mendes,5,Definitely one of my favorite provincial parks. Great spot for exploring in a canoe.
Six Mile Lake Provincial Park,Becky Irvine,4,"The park is decent. We had a great site, but i can see people being disappointed if they were in a different site. There are water access sites but they are small and right on the main roadway - so small that people were parling their ..."
Six Mile Lake Provincial Park,Erika Kuehnel,5,"Great Beach, plenty of canoes and paddleboards and kayaks for rental, clean facilities and the learn to fish program is excellent!"
Six Mile Lake Provincial Park,RubberDucky306,2,We had just went here to get a camp site for 2 nights. We paid and went to our site. Got to our site and it was a mess. There was garbage all over. The fire pit was full of garbage and there was a used condom  by the picnic table. This ...
Six Mile Lake Provincial Park,Brian Reavely,5,Great park! Was very happy to spend the weekend exploring. Can't believe we waited this long to go here.
Six Mile Lake Provincial Park,Dave Greene,4,Feels like Muskoka.  A little close to Hiway 400 but very nice
Six Mile Lake Provincial Park,mai medhat,5,"Beautiful place, lots of activities and fun. Swimming, kayaking, canoeing, biking, fishing, camping, birds watching!"
Six Mile Lake Provincial Park,Steady Elm,5,"Had a great time walking the Milne trail and picnicking.  Of course, it helped that the weather co-operated."
Six Mile Lake Provincial Park,s Davis,2,Nice park. Close to Toronto.  A lot of noise the first night (4am) and the park officials did not address the noise the second night until 1am.  Plenty....I mean PLENTY of signs about not disturbing the peace but not much in the way of ...
Six Mile Lake Provincial Park,Andy Sung,5,"Beautiful camp site
Quiet 
Facilities clearly labelled 
Seems to be well maintained"
Six Mile Lake Provincial Park,timothy chadwick,5,Trails are awesome...swamps are full of life...had the best site in the park
