name,user,stars,review
Sleeping Giant Provincial Park,James Park,5,I only got to spend little time here as I was traveling through. Though the time spent here was just amazing. The park has much to offer and a lot of wildlife that as a photographer I loved! Not to mention the nature and the trails. ...
Sleeping Giant Provincial Park,Egor Shalvarov,5,"A beautiful place to spend a weekend at. That is, of course, if you're into Nature. Well maintained trails, camp grounds and lakes.
Just a beautiful experience overall."
Sleeping Giant Provincial Park,Ian Melamud,5,One of the best hiking spots in Ontario. Lost of trails that vary in lengths and difficulty levels with the more strenuous also being most rewarding. The views from the peaks are world-class and an occasional dip in the frigid waters of Lake Superior will refresh even the most tired hiker.
Sleeping Giant Provincial Park,Becket Garner,5,I come here twice a year and hike and camp in the interior with my dog. We both love it. Last spring my dog and I hiked all along the Kaybeun Trail from Thunder bay lookout to and around the Giant to south end trailhead. Spent 11 days out there
Sleeping Giant Provincial Park,Heather Wilson,5,Spent a week at sleeping giant and had a fantastic time! We stayed on a water front site 204. It is an electrical site with water just out front and clean vault toilet very close by. A quick walk to the beach and a bike ride to the ...
Sleeping Giant Provincial Park,Mark Rose,5,Great hiking trails and campground.  We bought a day pass and hiked the Sea Lion trail.  Then went into the visitors center and learn all about Silver Islet and the park and checked out the beach.  Looks like good swimming at the beach ...
Sleeping Giant Provincial Park,Anthony Hammond,5,"We drove up this summer and spent a week in the 300's. The interior campsites are super- clean and even had a picnic table. Wherever you pitch your tent  in the 300's,  you're only feet away from the shores of Marie Louise Lake. You can ..."
Sleeping Giant Provincial Park,Adam Altwasser,5,"I have far from seen the whole park, but that areas that I have seen are gorgeous.

The bays and coves are amazing, and if on the correct side it's like looking out over the ocean.
Hike a are well maintained and trails are marked when required.

Highly recommended for anyone who enjoys the outdoors"
Sleeping Giant Provincial Park,Joseph Poniatowski,5,A must see for all traveling through our great city
Sleeping Giant Provincial Park,Todd Holmes,4,"The staff and location are wonderful.  Many hikes to go on and a beautiful beach. NOW MANAGMENT YOU HAVE 2 PROBLEMS. 1. How do we keep that little receipt on our dash to prove we paid, please provide tape so we can keep it on the window. ..."
Sleeping Giant Provincial Park,Kirk Anderson,5,Stayed here in August and the park was packed but everyone kept respectfully quiet. Unfortunately they had barely any showers operational.
Sleeping Giant Provincial Park,Anthony Desloges,5,Beautiful provincial park. Lots of great opportunities for hiking. Very well maintained.
Sleeping Giant Provincial Park,Robert Porter,4,Nice private sites. Store hrs too short for the distance you must drive off park grounds to store. Would recommend this park. This is my second stay in 8 yrs.
Sleeping Giant Provincial Park,Claudine Lacombe,5,Beautiful place. The view on the 11 km trail is awesome! (And exhausting ;) )
Sleeping Giant Provincial Park,Bobby Baker,5,"Sleeping Giant Provincial Park, established in 1944 as Sibley Provincial Park and renamed in 1988, is a 244-square-kilometre (94 sq mi) park located on the Sibley Peninsula in Northwestern Ontario, east of Thunder Bay. The nearest ..."
Sleeping Giant Provincial Park,Michael Garlick,5,"The camping here is amazing, there's lots of sites with their own water access and the shoreline is fantastic.  My wife and I drove/camped across Canada and this was one of the highlights as far as parks went.  Beautiful scenery, hiking, and swimming. I'd recommend sleeping giant to anyone heading towards Thunder Bay."
Sleeping Giant Provincial Park,Vivin Sam,4,"Great view and beautiful. Camping at its finest. Good for canoeing and kayaking, which can be rented at the park. Good for fishing bass, perch and okay for pike, hardly any or no Walleye. Great staff."
Sleeping Giant Provincial Park,Sharon Silveira,5,Very beautiful. Quite busy with a lot of people backcountry camping. If you are hiking The Feet... Be warned that it is very difficult and climbers should be good physical shape. A lot of boulders and a steep almost 90 degree hike up the feet. Get there early if you want a backcountry site as they fill up fast :)
Sleeping Giant Provincial Park,Ronald Reynolds,4,A bit out of the way but that's why you go there. Lake Marie Louise is a beautiful fun spot for swimming or fishing. Family fun for everyone.
Sleeping Giant Provincial Park,Erin Forte,5,"This park is stunning and tranquil. Make sure you visit the Thunder Bay lookout point, breathtaking."
Sleeping Giant Provincial Park,Gardner Calibuso,5,This place is huge and very high cliffs!  Hikers haven!  Beautiful place
Sleeping Giant Provincial Park,Stewart Slaymaker,5,"This park is beautiful, and there are many trails of varying lengths and difficulties. The trails that take you to the Top of the Giant is a full day hike, but the views from the top are worth it."
Sleeping Giant Provincial Park,Haley Swanson,5,Love the park! It is quite a ways off highway but worth the drive! :)
Sleeping Giant Provincial Park,Bill Ducat,5,Lovely park. Nice and quiet.
Sleeping Giant Provincial Park,Lizaveta Ksenafontava,5,"Spectacular landscape you didn't expect to see in Ontario! Hard to get to the top, but it worth it!"
Sleeping Giant Provincial Park,Russell Milles,4,"Awesome hiking, great views. Rent a mountain bike to get to some trail heads more quickly."
Sleeping Giant Provincial Park,Josnamol Joseph,5,Best place for good pictures..swimming...lot more
Sleeping Giant Provincial Park,Glen George,4,"Good facilities -helpful staff -about 40 km from the hwy to the park - good shower, washing machines and bathrooms -sites with power -took a drive past the old minor's houses -signed up for the geological discussion by an retired geologist -worth the effort"
Sleeping Giant Provincial Park,Justin Gignac,5,I went for a hike with friends along this trail during vacation this past summer and it was amazing! I would highly recommend bringing some bug spray because there are many mosquitoes as the walk is in the middle of the woods and can ...
Sleeping Giant Provincial Park,Nass Nik,3,"Nice variety of trails but very confusing maps with no legends on them otherwise I would rate it 4,  mary Louise lake is nice to kayak in with a cosy beach , no wifi and very limited network access in the park"
